symbol,market_type,trigger_date,entry_date,entry_price,target_ath,drawdown_pct
GODREJPROP,Mid Cap,2026-06-01,2026-06-02,1701.0,3381.4,-49.305021588691076
HAVELLS,Mid Cap,2026-06-01,2026-06-02,1133.0,2082.4,-45.10180560891279
IDEA,Mid Cap,2026-06-01,2026-06-02,14.0,84.4792,-83.48705953654864
IGIL,Small Cap,2026-06-01,2026-06-02,362.65,620.4,-41.54577691811735
MAPMYINDIA,Small Cap,2026-06-01,2026-06-02,840.45,2531.5,-66.79834090460201
NAUKRI,Mid Cap,2026-06-01,2026-06-02,995.0,1805.1,-44.37704282311229
SIGNATURE,Small Cap,2026-06-01,2026-06-02,820.0,1612.9,-49.1505983011966
SUPREMEIND,Mid Cap,2026-06-01,2026-06-02,3484.0,6186.3,-43.08876064852982
TATATECH,Small Cap,2026-06-01,2026-06-02,711.05,1313.0,-45.55978674790556
TCS,Large Cap,2026-06-01,2026-06-02,2320.0,4553.75,-49.54927257754598
ITCHOTELS,Mid Cap,2026-06-02,2026-06-03,152.5,254.75,-40.08635917566241
INFY,Large Cap,2026-06-05,2026-06-08,1177.5,1999.7,-40.116017402610396
SOBHA,Small Cap,2026-06-08,2026-06-09,1293.2,2181.15,-40.73309951172547
ICICIPRULI,Mid Cap,2026-06-10,2026-06-11,465.4,791.05,-41.11623791163643
LEMONTREE,Small Cap,2026-06-11,2026-06-12,104.29,177.93,-41.7298937784522
ASTRAL,Mid Cap,2026-06-29,2026-06-30,1381.6,2417.75,-43.418467583497055
NSLNISP,Small Cap,2026-07-22,2026-07-23,42.24,70.9,-40.423131170662906
AARTIIND,Small Cap,2026-08-11,2026-08-12,510.0,1156.55,-56.30971423630625
BLUEDART,Small Cap,2026-08-11,2026-08-12,5116.0,9369.45,-45.64782351151882
DEEPAKNTR,Small Cap,2026-08-11,2026-08-12,1779.8,3102.6,-42.474054019209696
PCBL,Small Cap,2026-08-11,2026-08-12,323.0,577.6,-44.226108033241005
TRENT,Large Cap,2026-08-11,2026-08-12,3000.0,5489.97,-45.35489264968662
GODREJCP,Large Cap,2026-08-12,2026-08-13,911.4,1516.7,-40.00131865233732
DABUR,Mid Cap,2026-08-19,2026-08-20,402.1,667.55,-40.116845180136316
UTIAMC,Small Cap,2026-08-31,2026-09-01,871.0,1475.4,-40.99566219330352
VBL,Large Cap,2026-08-31,2026-09-01,404.45,674.12,-40.59662968017563
NTPCGREEN,Mid Cap,2026-09-02,2026-09-03,88.25,148.61,-40.70385572976247
SAPPHIRE,Small Cap,2026-09-02,2026-09-03,227.45,381.6,-40.19654088050315
