symbol,quarter_label,net_sales_cr,pat_cr,diluted_eps,source_url,pulled_at
360ONE,Jun 2023,7,116,3.24,https://www.screener.in/company/360ONE/,2026-08-16T07:14:15
360ONE,Sep 2023,63,219,6.13,https://www.screener.in/company/360ONE/,2026-08-16T07:14:15
360ONE,Dec 2023,68,143,4.00,https://www.screener.in/company/360ONE/,2026-08-16T07:14:15
360ONE,Mar 2024,12,201,5.59,https://www.screener.in/company/360ONE/,2026-08-16T07:14:15
360ONE,Jun 2024,12,27,0.74,https://www.screener.in/company/360ONE/,2026-08-16T07:14:15
360ONE,Sep 2024,128,159,4.35,https://www.screener.in/company/360ONE/,2026-08-16T07:14:15
360ONE,Dec 2024,25,79,2.03,https://www.screener.in/company/360ONE/,2026-08-16T07:14:15
360ONE,Mar 2025,67,70,1.79,https://www.screener.in/company/360ONE/,2026-08-16T07:14:15
360ONE,Jun 2025,23,112,2.77,https://www.screener.in/company/360ONE/,2026-08-16T07:14:15
360ONE,Sep 2025,130,34,0.85,https://www.screener.in/company/360ONE/,2026-08-16T07:14:15
360ONE,Dec 2025,31,0,0.01,https://www.screener.in/company/360ONE/,2026-08-16T07:14:15
360ONE,Mar 2026,25,248,6.12,https://www.screener.in/company/360ONE/,2026-08-16T07:14:15
360ONE,Jun 2026,71,83,2.05,https://www.screener.in/company/360ONE/,2026-08-16T07:14:15
3MINDIA,Jun 2023,977,117,103.57,https://www.screener.in/company/3MINDIA/,2026-08-16T07:14:15
3MINDIA,Sep 2023,1040,146,129.70,https://www.screener.in/company/3MINDIA/,2026-08-16T07:14:15
3MINDIA,Dec 2023,1006,135,120.05,https://www.screener.in/company/3MINDIA/,2026-08-16T07:14:15
3MINDIA,Mar 2024,1033,161,143.13,https://www.screener.in/company/3MINDIA/,2026-08-16T07:14:15
3MINDIA,Jun 2024,1047,157,139.50,https://www.screener.in/company/3MINDIA/,2026-08-16T07:14:15
3MINDIA,Sep 2024,1111,134,118.76,https://www.screener.in/company/3MINDIA/,2026-08-16T07:14:15
3MINDIA,Dec 2024,1090,114,100.99,https://www.screener.in/company/3MINDIA/,2026-08-16T07:14:15
3MINDIA,Mar 2025,1198,71,63.35,https://www.screener.in/company/3MINDIA/,2026-08-16T07:14:15
3MINDIA,Jun 2025,1196,178,157.73,https://www.screener.in/company/3MINDIA/,2026-08-16T07:14:15
3MINDIA,Sep 2025,1266,191,169.85,https://www.screener.in/company/3MINDIA/,2026-08-16T07:14:15
3MINDIA,Dec 2025,1228,-62,-55.08,https://www.screener.in/company/3MINDIA/,2026-08-16T07:14:15
3MINDIA,Mar 2026,1399,215,191.16,https://www.screener.in/company/3MINDIA/,2026-08-16T07:14:15
3MINDIA,Jun 2026,1423,233,206.90,https://www.screener.in/company/3MINDIA/,2026-08-16T07:14:15
AADHARHFC,Jun 2023,578,146,3.71,https://www.screener.in/company/AADHARHFC/,2026-08-16T07:14:15
AADHARHFC,Sep 2023,614,197,5.00,https://www.screener.in/company/AADHARHFC/,2026-08-16T07:14:15
AADHARHFC,Dec 2023,659,203,5.15,https://www.screener.in/company/AADHARHFC/,2026-08-16T07:14:15
AADHARHFC,Mar 2024,692,202,5.10,https://www.screener.in/company/AADHARHFC/,2026-08-16T07:14:15
AADHARHFC,Jun 2024,713,200,4.69,https://www.screener.in/company/AADHARHFC/,2026-08-16T07:14:15
AADHARHFC,Sep 2024,764,228,5.29,https://www.screener.in/company/AADHARHFC/,2026-08-16T07:14:15
AADHARHFC,Dec 2024,798,239,5.55,https://www.screener.in/company/AADHARHFC/,2026-08-16T07:14:15
AADHARHFC,Mar 2025,833,245,5.68,https://www.screener.in/company/AADHARHFC/,2026-08-16T07:14:15
AADHARHFC,Jun 2025,848,237,5.49,https://www.screener.in/company/AADHARHFC/,2026-08-16T07:14:15
AADHARHFC,Sep 2025,897,266,6.15,https://www.screener.in/company/AADHARHFC/,2026-08-16T07:14:15
AADHARHFC,Dec 2025,943,281,6.48,https://www.screener.in/company/AADHARHFC/,2026-08-16T07:14:15
AADHARHFC,Mar 2026,984,311,7.13,https://www.screener.in/company/AADHARHFC/,2026-08-16T07:14:15
AADHARHFC,Jun 2026,993,282,6.46,https://www.screener.in/company/AADHARHFC/,2026-08-16T07:14:15
AARTIDRUGS,Jun 2023,592,40,4.27,https://www.screener.in/company/AARTIDRUGS/,2026-08-16T07:14:15
AARTIDRUGS,Sep 2023,578,35,3.76,https://www.screener.in/company/AARTIDRUGS/,2026-08-16T07:14:15
