Date,Close,High,Low,Open,Volume
1995-01-23,210,210,210,210,100
1995-02-07,217.5,217.5,217.5,217.5,100
1995-02-08,215,215,215,215,100
1995-02-09,215,215,215,215,300
1995-02-10,210,210,210,210,100
1995-02-16,200,205,200,205,800
1995-02-17,200,200,200,200,100
1995-02-24,195,195,190,190,300
1995-02-28,195,195,195,195,100
1995-03-01,205,205,205,205,100
1995-03-02,210,220,210,220,500
1995-03-03,216.15,217.5,215,215,900
1995-03-06,220,220,220,220,100
1995-03-07,225,225,220,220,200
1995-03-10,210,210,205,206,600
1995-03-13,205,205,205,205,200
1995-03-20,206,206,206,206,100
1995-03-21,200,200,200,200,600
1995-03-27,210,210,210,210,500
1995-03-30,203,203,203,203,400
1995-04-03,195,197.5,195,195.1,600
1995-04-04,195,195,190.5,190.5,200
1995-04-05,200,205.5,200,200,2100
1995-04-06,205,205,205,205,1400
1995-04-10,211,211,211,211,200
1995-04-11,205,205,205,205,100
1995-04-12,204.5,206,204.5,206,2200
1995-04-19,190,191.5,190,191.5,400
1995-04-20,190,190,190,190,500
1995-04-24,180,180,180,180,900
1995-04-25,177.5,177.5,177.5,177.5,100
1995-04-27,175,175,175,175,600
1995-05-03,170,170,170,170,100
1995-05-19,180,180,180,180,100
1995-05-22,178,180,177,180,1000
1995-05-25,180,180,179,179,200
1995-05-29,172,172,172,172,2100
1995-06-02,165,165,165,165,900
1995-06-05,179,179,179,179,100
1995-06-07,170,170,170,170,200
1995-06-09,183,183,182,182,1200
1995-06-12,182,182,182,182,800
1995-06-15,182,182,182,182,300
1995-06-16,175,175,175,175,100
1995-06-19,183,183,180,180,400
1995-06-20,189,189,189,189,200
1995-06-21,190,190,188,188,300
1995-06-22,192,192,192,192,100
1995-06-26,183,183,182,182,300
1995-06-29,170,170,170,170,200
1995-07-03,160,160,160,160,100
1995-07-04,160,161,160,161,500
1995-07-06,170,170,160,160,200
1995-07-10,165,165,165,165,100
1995-07-18,220,220,200,200,200
1995-07-19,209,209,209,209,200
1995-07-20,205,205,205,205,200
1995-07-24,200,200.05,200,200,500
1995-07-25,200.95,200.95,200.95,200.95,200
1995-07-26,213.8,221,210.05,220,3800
1995-07-27,205,208,202.05,202.25,900
1995-07-28,195.25,197,195.1,195.1,700
1995-07-31,199,199.05,199,199.05,1000
1995-08-01,200,200,191.1,191.1,1000
1995-08-03,199.5,200,199,199,700
1995-08-04,201,205,200,201,1200
1995-08-09,199,200,199,200,300
1995-08-11,200.95,201,200,200.5,400
1995-08-14,196.05,196.05,196.05,196.05,100
1995-08-21,195,195,195,195,100
1995-08-22,188.25,188.25,188.25,188.25,200
1995-08-24,185,185,180,180,300
1995-08-28,170,175,170,175,300
1995-09-05,165,165,165,165,100
1995-09-08,185,185,181,181,300
1995-09-11,190,190,190,190,100
1995-09-12,185,186.5,185,185,600
1995-09-13,185,185,185,185,100
1995-09-14,180,180,180,180,100
1995-09-15,180,180,180,180,100
