Date,Close,High,Low,Open,Volume
2018-10-08,774.35,787,710.05,750,3534258
2018-10-09,767.7,785,731,762,293295
2018-10-10,791.3,798,766,766,254753
2018-10-11,758.3,774.7,745,760,64953
2018-10-12,781.4,785.2,760,760,49674
2018-10-15,783.4,794.5,758.1,758.1,40739
2018-10-16,779.4,797,774.9,780.05,72475
2018-10-17,775.5,792,768.95,780.15,77718
2018-10-19,736.65,770.95,732,770,154689
2018-10-22,678.4,750,651,750,66813
2018-10-23,635.1,680,623.1,680,127341
2018-10-24,643.3,650.6,612.25,645.95,38009
2018-10-25,643.55,660.8,617.05,639.9,68841
2018-10-26,662.8,670,622.3,657.7,66917
2018-10-29,635.4,664.85,625.25,655.05,26365
2018-10-30,645.5,648,627.95,630,30058
2018-10-31,662.75,671,622,640.05,64324
2018-11-01,660.15,665,643,659.05,18275
2018-11-02,670.3,679.95,662,667,16821
2018-11-05,650.2,666,648.9,656,103024
2018-11-06,662.35,665.65,649.95,650.2,36501
2018-11-07,657.95,665,638.7,665,1916
2018-11-09,668.8,670,651.1,658.05,7177
2018-11-12,660,675,654,665,74733
2018-11-13,665.15,673,652.75,659.8,56424
2018-11-14,674.75,680,666.3,666.35,100282
2018-11-15,680.2,683.95,666.6,674.75,6829
2018-11-16,675.1,683.75,670,683.75,7699
2018-11-19,685.2,689,668,671.05,16158
2018-11-20,690.25,695,676.55,680.45,7517
2018-11-21,690.65,706.6,687.25,687.95,7138
2018-11-22,732.05,740,686.85,690,25064
2018-11-26,732.6,742.5,726,733,16043
2018-11-27,725.55,735,716,728,16482
2018-11-28,774.7,784.85,720.05,732.5,114237
2018-11-29,762.4,782.05,757,762.2,9773
2018-11-30,769.35,779.95,751,757.05,188248
2018-12-03,779.15,785,760.1,770.5,111929
2018-12-04,771.2,780,765.1,770.05,11560
2018-12-05,776.05,799.8,761,764.05,14960
2018-12-06,775.1,786,765,777,6641
2018-12-07,778.55,784,765,771.05,8816
2018-12-10,774.6,784,732.75,732.75,13727
2018-12-11,785.9,790,759.25,761.75,17432
2018-12-12,805.55,815.3,777,778.05,57679
2018-12-13,835,865,797.1,814.4,490161
2018-12-14,839.45,848.95,822.5,822.5,317736
2018-12-17,839.95,847.9,835.6,840,83533
2018-12-18,835.7,844.8,821,836.8,108114
2018-12-19,849.3,855,833.05,833.1,44806
2018-12-20,843.35,851,838,847.8,9331
2018-12-21,823,854,805.15,843.35,22012
2018-12-24,788.4,826.95,780.05,812.2,19024
2018-12-26,800.35,868,735,788.45,41382
2018-12-27,807.3,836,792.1,819.75,18326
2018-12-28,816.75,825,810,810,13414
2018-12-31,857.5,863.2,820,835,137147
2019-01-01,845.25,865,840,851,15420
2019-01-02,840.65,856.75,829.95,840.25,10812
2019-01-03,837.65,845.95,830.2,830.2,5728
2019-01-04,840.85,843.95,830.9,831.05,10472
2019-01-07,840.65,846.75,835.05,835.05,11036
2019-01-08,841.95,846.9,836.15,836.15,46053
2019-01-09,843.8,845,835.3,835.3,15787
2019-01-10,840.95,846,838.3,840.05,4463
2019-01-11,842.7,848.95,835,840,8986
2019-01-14,828.95,836,808.8,827.85,9203
2019-01-15,849.85,852,828,828,17858
2019-01-16,841.1,855,837.4,840.95,8364
2019-01-17,853.85,857,836.05,849.95,21528
2019-01-18,842.6,860,836.8,860,3431
2019-01-21,837.25,850,830,832,3788
2019-01-22,850.7,855,842,842.2,7646
2019-01-23,854.15,858.6,849.55,849.55,8962
