Date,Close,High,Low,Open,Volume
2017-09-01,237.5,255,237.5,250,4658997
2017-09-04,225.65,225.65,225.65,225.65,309923
2017-09-05,214.4,214.4,214.4,214.4,192377
2017-09-06,203.7,203.7,203.7,203.7,267160
2017-09-07,206.95,213.85,193.55,193.55,34241768
2017-09-08,201.25,205.1,198.4,201,5412431
2017-09-11,193.85,204.7,192.4,202.9,5588615
2017-09-12,187.05,198,184.45,195,36566460
2017-09-13,196.4,196.4,192.7,194.7,4592680
2017-09-14,206.2,206.2,201.4,205.9,6454750
2017-09-15,203.25,211.55,202.25,209.5,19039812
2017-09-18,199.95,206.45,199.05,206.45,6389800
2017-09-19,198.65,203.9,197.7,200,4287615
2017-09-20,195.4,200.2,195,199,2925035
2017-09-21,195.45,197.5,190.6,196.2,3559653
2017-09-22,190.25,198.75,189.05,193.25,5176182
2017-09-25,188.25,191.5,183.6,190,3928855
2017-09-26,189.55,193.3,188.5,190.25,3647262
2017-09-27,180.45,191,180,191,4276411
2017-09-28,175.9,182.5,173.5,181.9,6803935
2017-09-29,183.75,190.9,177.45,177.65,4999893
2017-10-03,184.35,187,182.65,186.7,1759816
2017-10-04,185.15,189,184,184.8,2034157
2017-10-05,181.15,186,180.25,185,2710481
2017-10-06,180.6,182.95,180.25,182.3,2760329
2017-10-09,179.9,182.9,179.5,181.5,2038990
2017-10-10,180.25,184.4,179.3,180,5116910
2017-10-11,178.7,183.1,178.1,182,3896403
2017-10-12,178.1,180.8,178,180.05,1867823
2017-10-13,183.25,187.75,179.2,180,9303982
2017-10-16,180.8,188,180.05,184.85,4999594
2017-10-17,182.05,184.7,181.15,181.7,4001669
2017-10-18,179.95,182.9,179.5,182.35,3401693
2017-10-19,183.5,184.45,180.9,181,2362093
2017-10-23,179.85,185.25,179.6,184.85,3370600
2017-10-24,180.3,182.65,179.85,180.75,2694052
2017-10-25,175.9,182.6,173.7,181.8,5183142
2017-10-26,174.45,178.9,174,176.55,3455465
2017-10-27,174.9,176.85,174.5,175.4,2618383
2017-10-30,178.8,181.5,175.8,175.8,4085826
2017-10-31,177.9,179.75,177.55,179.75,1587498
2017-11-01,178.15,183.6,177.3,178.55,4175241
2017-11-02,186.9,191.45,178.5,179.05,15438592
2017-11-03,193.3,194.75,187,188.9,9083391
2017-11-06,207.2,210,194.5,194.6,20016574
2017-11-07,202.55,213.8,198,209.75,16877244
2017-11-08,196.1,205,195.1,203,8367167
2017-11-09,199.5,201.75,196.25,197.5,4612496
2017-11-10,194.85,199.9,193.5,199.5,3865941
2017-11-13,194,198.15,193.25,195.7,2981764
2017-11-14,190.15,194.9,189.55,194.5,3777259
2017-11-15,189.25,194,187.3,190,4203443
2017-11-16,198.9,199.6,190,190.5,6098738
2017-11-17,198.2,202.9,197.1,201.9,4351915
2017-11-20,204.05,205,198.05,198.5,6421487
2017-11-21,205,208.8,202,205,6641932
2017-11-22,201.75,205.75,200.5,205.75,3738514
2017-11-23,202.15,205.6,200.55,202.3,3487521
2017-11-24,202.8,205.5,202.25,202.75,2820801
2017-11-27,204.6,205.4,201,202.5,2791373
2017-11-28,200.95,207.05,199.1,205,3649749
2017-11-29,197.9,202.8,197.3,201.3,3802629
2017-11-30,194.5,197.75,193.6,197.5,4826787
2017-12-01,191.95,196.8,191.7,195.5,3117840
2017-12-04,189.65,192.75,188.8,192.75,2843066
2017-12-05,190.15,191,188.3,189,3093576
2017-12-06,186.65,189.75,186.4,189.5,2332029
2017-12-07,189.25,190.85,186.65,187,2447727
2017-12-08,188.9,191.4,188.15,191,3024776
2017-12-11,187.7,190.35,187.5,189.75,2005947
2017-12-12,185.85,188.15,185.3,188.1,1814721
2017-12-13,184.8,188.7,184.5,185.85,1886827
2017-12-14,182.85,186.15,181.5,185.7,2210973
2017-12-15,184.6,186.3,183.7,184.8,1967854
2017-12-18,185.05,187,179,184.25,3345536
2017-12-19,184.5,187.45,183.3,186,2662271
2017-12-20,183.75,185.55,182.9,185.15,2693653
2017-12-21,189.05,190.95,183.6,184,4540907
2017-12-22,187.05,192.3,185.1,191,4944036
2017-12-26,184.5,187.75,184,187.75,3516860
2017-12-27,184.2,185.8,183.75,185.5,2417466
2017-12-28,184.55,185.65,183.85,184.5,2067830
2017-12-29,184.15,185.65,183.65,185,2431218
2018-01-01,186.4,189.3,184,184.5,2837824
2018-01-02,185.25,187.65,184.2,187.5,2614919
2018-01-03,184.6,186.3,184.1,186,2035734
2018-01-04,184,185.55,183.5,185,2105382
2018-01-05,184.85,186,184.2,185,3143911
2018-01-08,183.1,186.9,182.65,185.9,4784106
2018-01-09,183.75,187.6,183.4,184.5,4664375
2018-01-10,183.2,185.05,183.05,184.4,2099917
2018-01-11,185,188,182.75,183.8,5116869
2018-01-12,184.1,188,183.4,186,5146372
2018-01-15,184.75,186.8,184,185,3127856
2018-01-16,180.8,185.3,180.5,185.2,2914228
2018-01-17,181.6,183,178,180.1,2587497
2018-01-18,176.6,182.9,176,182.45,2991306
2018-01-19,177.05,179.3,176,177,1998381
2018-01-22,178.4,179.4,176,177.7,2018025
2018-01-23,175.55,179.9,174.9,178.95,2667050
2018-01-24,176.45,178.9,175.7,176.5,2837161
2018-01-25,175.9,178.8,175.35,176.8,2139090
2018-01-29,173.55,176.9,172.8,176.25,2014297
2018-01-30,170,173.85,169.6,173.5,2370390
2018-01-31,170.85,172.8,169.85,170.7,1537405
2018-02-01,174.2,175,169.95,171,2092606
2018-02-02,167.85,173.55,165,172,3066443
2018-02-05,165.1,167,161.75,164.1,3205448
2018-02-06,158.9,162,157,159,4784294
2018-02-07,163.65,164.8,162,162,1959712
2018-02-08,168.25,169.8,165,165.05,2103999
2018-02-09,167.8,173,162.5,162.5,5084303
2018-02-12,169.75,171,168.05,169.5,1990927
2018-02-14,167.85,172.85,167.35,170.3,1779926
2018-02-15,165.95,169.25,165.05,168.55,1256050
2018-02-16,164.5,166.9,163.65,166.45,1249920
2018-02-19,162.1,164.9,160.5,164.6,1925692
2018-02-20,164.55,165,160.7,162.3,1110229
2018-02-21,165.15,166.9,163.3,165,1768396
2018-02-22,165.15,167.2,164.4,164.4,1436420
2018-02-23,164.1,167.45,164,166.4,1749803
2018-02-26,163.45,165.6,163,165.1,1642463
2018-02-27,166.95,170,163.5,163.7,3364322
2018-02-28,166.55,168.2,164.65,165.15,1410620
2018-03-01,162.85,166.75,162.45,165.95,1806186
2018-03-05,160.85,165.05,159.8,163.2,3229776
2018-03-06,158.15,162.65,157.75,162,2083839
2018-03-07,154.4,157.4,153.5,157.15,2383511
2018-03-08,154.95,157,153.55,156,1874901
2018-03-09,153.25,155.85,152.1,155,1626974
2018-03-12,152.9,154.95,152.15,154.5,1545789
2018-03-13,153.15,154.45,152.5,153,2045253
2018-03-14,151.3,153.85,150.85,153.15,2720460
2018-03-15,150.35,152.25,150.1,152.25,3077915
2018-03-16,147.65,151.7,146.55,150,3712123
2018-03-19,146.65,148.4,146,148,2037331
2018-03-20,146.2,149,145.2,146,2642861
2018-03-21,145.55,148.8,145.05,146.8,2357709
2018-03-22,147.25,148,146,146,2712330
2018-03-23,147.35,149.7,143.8,145.1,5081064
2018-03-26,146.8,147.95,144.4,146.9,3961136
2018-03-27,148.9,151.85,147.65,147.65,2146470
2018-03-28,145.95,148.5,145.5,148.5,2440226
2018-04-02,151.9,153.5,147.5,147.9,2483443
2018-04-03,152,154.25,150.8,151.5,1674807
2018-04-04,151.7,155.8,151,152.9,3032787
2018-04-05,155.55,157.5,153.7,154,4590684
2018-04-06,157,158.3,154.5,156.4,2796924
2018-04-09,159.15,160.3,156.5,157.05,1799960
2018-04-10,159.75,160.7,158.3,160,1461610
2018-04-11,161.4,164.35,158.25,160.25,4155070
2018-04-12,160.25,162.35,160,161.4,3023366
2018-04-13,158.95,160.5,158.15,160.25,953645
2018-04-16,159.65,160.05,157.5,157.95,980792
2018-04-17,158.25,160.2,158,159.5,1100887
2018-04-18,157.05,159.1,156.65,159,791778
2018-04-19,157.05,159.9,156.25,157,1444794
2018-04-20,156.15,157.9,155.8,156.95,979065
2018-04-23,158.65,159.75,156,156,1289982
2018-04-24,155.9,158.8,155.2,158.6,1332194
2018-04-25,153.65,157,153,155.9,2572064
2018-04-26,156.45,156.95,153.45,153.8,997939
2018-04-27,156.3,158.3,155.7,156.55,1007200
2018-04-30,159.75,162,157.1,157.45,2127844
2018-05-02,159.95,163.2,159.1,160.5,4151809
2018-05-03,158.6,160,156.6,159.65,984366
2018-05-04,158.95,161.2,158,158.9,1618371
2018-05-07,157.9,160.9,157.5,159.8,1168063
2018-05-08,160.4,166,158.35,158.9,10403637
2018-05-09,157.4,160.25,157.1,160.25,2814148
2018-05-10,154.7,158.95,153.5,157.9,1767847
2018-05-11,151.4,155.5,150.7,155.05,1384798
2018-05-14,149.95,152.8,149.6,152.4,1169122
2018-05-15,147.65,150.7,146.8,150,1200953
2018-05-16,145.8,149.35,145.3,147.45,1782388
2018-05-17,147.3,148.5,144.35,146.55,1556375
2018-05-18,147.5,152.8,146.5,147.4,3343365
2018-05-21,143.85,148.9,143,148.4,1789491
2018-05-22,144.9,145.85,143.4,144,972098
2018-05-23,140.95,145.35,140.6,144.9,1812913
2018-05-24,141.9,144,141.25,143.1,1037594
2018-05-25,142.95,143.5,141.85,142.5,877607
2018-05-28,146.15,146.8,143.1,143.8,1837799
2018-05-29,149.1,151.7,145.2,146,2030951
2018-05-30,147.5,151.6,147.25,147.9,1172255
2018-05-31,146.7,149.2,146.1,148.2,988712
2018-06-01,144.4,147.55,143.8,147.2,1037784
2018-06-04,141.65,145.8,141.5,145.8,1314196
2018-06-05,138.2,141.95,137.5,141.8,2255973
2018-06-06,139.7,140.4,138.1,138.5,1238860
2018-06-07,141.5,142.75,140.35,140.6,1199321
2018-06-08,140.8,141.2,139.6,140.9,1206850
2018-06-11,139.35,143.5,139.1,141.65,2403142
2018-06-12,139.25,140.65,139,140,1132654
2018-06-13,139.55,140.75,138.8,139.7,1290457
2018-06-14,140.65,142,139.75,140.5,1998499
2018-06-15,139.9,141.65,139.45,141,1119938
2018-06-18,138.65,140.25,138,139.95,1009352
2018-06-19,138.85,141.1,138,138.5,1156108
2018-06-20,139.25,141.7,138.1,138.7,9572962
2018-06-21,136.9,141.65,136.7,141,2198365
2018-06-22,136.95,138.3,136,137.25,994411
2018-06-25,135.6,137.55,135.15,137.55,1279362
2018-06-26,131.55,136.1,131.15,136.05,2170193
2018-06-27,126.8,132.3,125.35,131.95,3484076
2018-06-28,127.85,130.05,127.05,128.05,1584813
2018-06-29,133.2,133.95,128.55,128.9,2382296
2018-07-02,129.35,133.45,128.55,132.8,1163493
2018-07-03,129.75,131,128.5,129.3,721282
2018-07-04,129.05,130,128,129.9,836873
2018-07-05,127.35,129.4,127,129,936385
2018-07-06,126.95,128.85,126.5,127.25,1045159
2018-07-09,127.95,129.4,127.6,128.4,1179352
2018-07-10,130.9,132.15,127.95,128.4,1733408
2018-07-11,130.75,133.5,130,130.55,1313189
2018-07-12,130.8,132.45,130.3,131,1121014
2018-07-13,130.2,131.6,129.8,131,799994
2018-07-16,126.95,130.4,126.6,130.4,805382
2018-07-17,127.6,128.2,126,127,999391
2018-07-18,124.25,129.2,123.65,128.45,1775796
2018-07-19,125.55,126.7,123.5,124.95,1263717
2018-07-20,126.45,127.8,125.1,126,1206816
2018-07-23,129.85,131.4,126.1,127.7,1532387
2018-07-24,140,140.8,130.35,130.65,4246426
2018-07-25,139.1,143.25,138.3,140.4,2054403
2018-07-26,143.6,145.9,138.45,139.4,3279609
2018-07-27,142.8,145.2,142.2,144,1474112
2018-07-30,147.35,148.4,142.7,143,2918116
2018-07-31,146.5,149.5,146,147.8,1496222
2018-08-01,147.2,151.9,143.85,145.25,3184385
2018-08-02,145.5,148.3,144.65,146.6,1688538
2018-08-03,146.9,147.5,145.8,145.9,1322451
2018-08-06,146.4,149.9,145.5,148,1977287
2018-08-07,148.9,151.75,146.45,146.6,3819349
2018-08-08,149.3,151.4,148.35,149.75,1830235
2018-08-09,150.1,152.4,149.05,149.35,1779312
2018-08-10,146.25,152.1,145.1,150.85,2132625
2018-08-13,141.4,145,139,145,1889312
2018-08-14,141.65,143.7,140.55,142.3,1345632
2018-08-16,141.4,143.15,140,141.2,1430426
2018-08-17,143.05,143.65,141.6,142,1346692
2018-08-20,143.85,145.5,143,143.15,1497070
2018-08-21,142.2,144.4,142,144,814444
2018-08-23,140.55,142.7,140.05,142.4,943258
2018-08-24,140.3,141.4,139.95,140.25,918287
2018-08-27,139.3,142.85,138,140.5,2133331
2018-08-28,138.2,139.85,137.8,139.2,1084664
2018-08-29,137.3,138.9,136.9,138.15,1296757
2018-08-30,143.35,145,141,141,4588046
2018-08-31,141.25,142.9,140.3,142.8,1022709
2018-09-03,141.05,143.55,140.2,141.25,1112249
2018-09-04,137.1,141.9,136.65,141.35,1066513
2018-09-05,135.9,137.4,134,136,1326603
2018-09-06,137.35,137.85,135.5,136.05,928653
2018-09-07,137.35,138.95,136.05,137.35,781612
2018-09-10,134.9,137.2,134.5,136.4,739500
2018-09-11,132.55,135.35,132,134.85,673496
2018-09-12,131.05,133.25,128.9,132.75,1272893
2018-09-14,133.25,133.45,131.85,131.9,795818
2018-09-17,132.2,133.25,131.25,132.95,729114
2018-09-18,129.9,133.4,129.5,132,779081
2018-09-19,127.25,129.55,126.2,129.3,1810021
2018-09-21,123.7,129.95,120.1,128.75,3678460
2018-09-24,117.25,123.45,116.1,123.45,3325131
2018-09-25,119.55,120,115,117.25,2194693
2018-09-26,119.45,121.5,118.25,120.1,1146982
2018-09-27,116.55,119.9,115.65,119.5,1089382
2018-09-28,114.65,117.9,113.05,116.6,2481355
2018-10-01,110.75,115,106,114.95,3190536
2018-10-03,110.25,113.2,108.85,110.65,1898083
2018-10-04,111.25,112.7,107.5,108,2210276
2018-10-05,107.8,111.45,106.3,111,1516268
2018-10-08,104.95,108.75,102.15,107.8,2755673
2018-10-09,105,107.7,104.05,105.1,1678879
2018-10-10,110.2,112.4,105,105,2385346
2018-10-11,106.15,108.8,104,105,1217654
2018-10-12,107.8,109.7,107.05,107.25,1488070
2018-10-15,108.4,109,107,108.65,977383
2018-10-16,109.2,110.85,108.4,108.9,948751
2018-10-17,104.55,110.9,104,110.7,1384807
2018-10-19,102.7,106,102.3,104,1190244
2018-10-22,100.05,103.8,99.65,103.6,1610321
2018-10-23,96.65,99.85,96,99.85,2130266
2018-10-24,95.6,99.4,95,98.05,1848745
2018-10-25,96.9,97.9,94,94.45,1718136
2018-10-26,94.45,98,90.55,97.7,2402468
2018-10-29,101.15,101.9,95.1,95.5,2000846
2018-10-30,100.85,104,100.1,100.7,1288058
2018-10-31,104.55,105.4,99.25,100.7,1616274
2018-11-01,106.1,107.8,105.05,105.05,1236941
2018-11-02,106.35,108.9,105.55,107.4,1718596
2018-11-05,106.15,107.1,104.25,105.1,1193537
