Date,Close,High,Low,Open,Volume
1995-05-12,1.16195,1.16195,1.16195,1.16195,100
1995-05-23,1.06422,1.06422,1.05336,1.05336,200
1995-05-24,1.07507,1.08593,1.05336,1.05336,500
1995-05-25,1.06422,1.06422,1.06367,1.06422,2400
1995-05-30,1.28748,1.28748,1.17064,1.17064,200
1995-05-31,1.30095,1.30312,1.27271,1.27271,600
1995-06-01,1.30312,1.30312,1.30312,1.30312,200
1995-06-02,1.27054,1.2814,1.27054,1.2814,200
1995-06-05,1.29226,1.30312,1.28683,1.28683,1700
1995-06-07,1.22711,1.25968,1.22711,1.25968,800
1995-06-08,1.24882,1.25968,1.23797,1.24882,1500
1995-06-09,1.25328,1.25751,1.23797,1.24882,1900
1995-06-12,1.11851,1.24882,1.11851,1.24882,6100
1995-06-13,1.14023,1.14023,1.10353,1.12709,1500
1995-06-15,1.14457,1.15109,1.14023,1.14023,800
1995-06-16,1.16412,1.18367,1.14023,1.14023,1300
1995-06-19,1.21625,1.21625,1.18367,1.19887,1300
1995-06-20,1.27934,1.29226,1.20756,1.20756,2400
1995-06-21,1.38674,1.39,1.34656,1.37262,3100
1995-06-22,1.35112,1.36611,1.31398,1.31398,1100
1995-06-23,1.3357,1.35199,1.3357,1.3509,800
1995-06-26,1.31615,1.32158,1.31615,1.3205,300
1995-06-27,1.35742,1.35742,1.29226,1.30312,1700
1995-06-28,1.31724,1.3357,1.30312,1.3357,1300
1995-06-29,1.32755,1.33559,1.31398,1.32484,1200
1995-06-30,1.36828,1.36828,1.32506,1.32918,1500
1995-07-03,1.33136,1.39,1.33136,1.36828,1300
1995-07-04,1.30432,1.31615,1.29465,1.30529,1100
1995-07-05,1.29226,1.31409,1.29226,1.31409,800
1995-07-06,1.2814,1.29226,1.27054,1.27054,900
1995-07-07,1.2814,1.29226,1.2814,1.2814,600
1995-07-10,1.34873,1.34982,1.30312,1.30312,1500
1995-07-11,1.33809,1.35742,1.33353,1.33353,1700
1995-07-12,1.38457,1.39,1.35959,1.37045,1400
1995-07-13,1.43778,1.45081,1.41171,1.41171,2000
1995-07-14,1.43343,1.44429,1.42692,1.43343,800
1995-07-17,1.44429,1.48773,1.43778,1.48773,800
1995-07-18,1.39,1.48751,1.32484,1.48751,1400
1995-07-19,1.50282,1.50619,1.4899,1.49859,2800
1995-07-20,1.48914,1.4899,1.47904,1.47904,600
1995-07-21,1.47687,1.47698,1.47687,1.47698,400
1995-07-24,1.49501,1.50728,1.49425,1.50728,600
1995-07-25,1.49859,1.49859,1.4899,1.49425,500
1995-07-26,1.51162,1.52031,1.50076,1.52031,400
1995-07-27,1.529,1.529,1.49859,1.5051,1300
1995-07-28,1.58253,1.58329,1.52031,1.529,1500
1995-07-31,1.56809,1.58546,1.56375,1.56375,700
1995-08-01,1.57439,1.57678,1.5594,1.56375,1000
1995-08-02,1.5594,1.56375,1.55506,1.56375,1100
1995-08-03,1.53334,1.53334,1.53334,1.53334,100
1995-08-04,1.52031,1.53768,1.52031,1.52031,700
1995-08-07,1.48773,1.52031,1.47687,1.52031,900
