Date,Close,High,Low,Open,Volume
2025-02-04,401.65,412.9,370.2,402,15635750
2025-02-05,395.5,410,389,392.05,2348481
2025-02-06,404.4,421.55,365.7,392.1,7037799
2025-02-07,402.05,425.5,398.3,405,2451596
2025-02-10,402.8,407.95,385.35,397.5,1146330
2025-02-11,406.85,413.5,392.8,397.25,2169020
2025-02-12,425.6,433.3,396,401,3489372
2025-02-13,449,464,420.1,420.1,3917987
2025-02-14,439,456.6,434,449.7,3396560
2025-02-17,424.7,443.35,405.15,430,1437535
2025-02-18,416.8,433.45,410.45,419.95,850826
2025-02-19,421.95,429.8,411.6,417.3,655123
2025-02-20,418.5,435,411.7,428,574120
2025-02-21,412.6,420,406.2,415.65,469512
2025-02-24,402.5,412,397.55,412,1740787
2025-02-25,404.8,414.15,398.55,402.05,695024
2025-02-27,407.15,410,395.6,404.8,1008519
2025-02-28,401,405,391.05,398.5,644242
2025-03-03,391.8,398,376.55,380.05,897408
2025-03-04,402.55,405.5,383,388,400581
2025-03-05,418,419.95,390,390,568420
2025-03-06,414.95,418,402,414.95,895496
2025-03-07,405.85,415,403.6,408.75,644999
2025-03-10,414.7,423,403.1,405.85,649020
2025-03-11,420.1,426,406,413,503076
2025-03-12,428.55,431,413.15,416,424023
2025-03-13,422.95,434.65,420.1,434.65,308000
2025-03-17,416.4,423.45,405.7,417.35,333108
2025-03-18,416.5,422.45,414.15,416.9,193164
2025-03-19,417.55,434,392.6,420.7,273920
2025-03-20,433.9,449,420.5,425,908383
2025-03-21,444.9,457,436.3,442.75,591909
2025-03-24,442,451.2,435.4,442.15,338406
2025-03-25,448.65,463.05,440.15,442,568937
2025-03-26,432.45,450.7,431,447.55,187760
2025-03-27,442.8,445,427.05,432.45,186346
2025-03-28,445.85,458.45,442,448.6,318735
2025-04-01,453.3,456.85,435.2,437.25,260203
2025-04-02,435.45,460,433,450,223197
2025-04-03,435.95,444.45,419.85,440,200337
2025-04-04,434.1,437.9,426.7,435,130455
2025-04-07,417.3,420.45,361.1,361.1,230337
2025-04-08,425.75,437.4,421,421,213789
2025-04-09,422.7,430.6,415,427.85,121866
2025-04-11,415.2,434.9,407.1,434.9,287409
2025-04-15,410.4,420.45,409,418.9,295918
2025-04-16,399.75,413.95,398.7,412,234255
2025-04-17,402.55,405.1,394.55,401.95,161590
2025-04-21,402.75,408.25,397.8,404.65,286586
2025-04-22,395.55,407,393,402.8,303912
2025-04-23,398.15,402,387.4,396.65,206559
2025-04-24,389.45,398.15,387.55,398.15,387625
2025-04-25,386.5,393,381.4,387.25,121550
2025-04-28,378.55,387.3,376.1,384.95,228628
2025-04-29,374.55,380.55,370,379,150163
2025-04-30,364.9,374.75,361,371,284657
2025-05-02,353.6,368.45,351,363.05,471352
2025-05-05,348.7,361.65,344.25,350.55,517960
2025-05-06,348.5,356,346,349.55,753895
2025-05-07,359.55,371.7,330,342,1235223
2025-05-08,360.7,369.75,353.7,364.95,398600
2025-05-09,355.6,359.8,349.05,359,238658
2025-05-12,368.05,372.8,360,360,184051
2025-05-13,370.65,378.5,368.15,370.05,158062
2025-05-14,385.7,401.05,367.5,375,801677
2025-05-15,386.2,394.7,378.3,388.8,485223
2025-05-16,397.75,399.3,382.75,388.7,204664
2025-05-19,401.6,406,397.1,397.15,226995
2025-05-20,400.55,407,398.35,405,276645
2025-05-21,391.55,401.6,389.05,400.55,278461
2025-05-22,389.3,394.5,385.65,391,225798
2025-05-23,389.45,395,385.9,386.05,319167
2025-05-26,383.65,394.6,382,389.4,144571
2025-05-27,375.25,385.5,373,384.75,296851
2025-05-28,352.85,390.7,340.1,390.7,1561930
2025-05-29,347.05,360,345,360,684686
2025-05-30,338.5,360,327,347.15,2805645
2025-06-02,334.05,337.6,328.75,331.5,583531
2025-06-03,336.75,339.4,332.5,335.4,903645
2025-06-04,345.5,348.45,336.85,338.3,828576
2025-06-05,354.5,356.7,345,345,318488
2025-06-06,367.9,370.45,354.55,356.05,524968
2025-06-09,374.95,377.65,367.2,371.55,473762
2025-06-10,375.05,379.95,373.55,374.9,327989
2025-06-11,364.35,377.95,360.6,377.95,894785
2025-06-12,372.3,375.95,362.5,362.55,441973
2025-06-13,375.25,377.5,367.15,369.55,333456
2025-06-16,384.95,386.55,371.5,371.5,349543
2025-06-17,395,397.25,382.4,382.4,299206
2025-06-18,398.95,402.3,392.05,395,315289
2025-06-19,407.9,413.35,396.55,402,1085110
2025-06-20,403.3,410.1,400.9,407,187176
2025-06-23,392.55,402.4,385.35,396,356388
2025-06-24,402.25,410,389.35,393,213348
2025-06-25,401.85,406.95,397.25,401,163365
2025-06-26,399.95,409.9,396.6,403,244658
2025-06-27,397.7,402.1,385.7,401.8,388357
2025-06-30,404.8,406.5,396.15,400.5,206731
2025-07-01,404.2,418,398.7,407.6,360997
2025-07-02,407.35,409.4,391.15,408,1240203
2025-07-03,411.75,414.95,402.15,404,289279
2025-07-04,416.65,424.5,405.05,411.75,405350
2025-07-07,425.85,429.55,410.05,413,377253
2025-07-08,431.95,433.3,424.45,425,345175
2025-07-09,431.8,438,425.15,431.95,148892
2025-07-10,436.85,442.6,422.4,427.95,448222
2025-07-11,427.25,437.6,425.2,436.85,96550
2025-07-14,427.1,440,422.65,423,229180
2025-07-15,432.3,434.85,427.1,427.1,115105
2025-07-16,432.1,434.7,428.3,431.4,102104
2025-07-17,429.95,434,427.55,430.05,152731
2025-07-18,438,440.25,428.5,428.5,141035
2025-07-21,444.1,449.15,429.45,438.1,279356
2025-07-22,450,451,440.1,442.95,193694
2025-07-23,449.8,456,443.05,450,333813
2025-07-24,453.45,456,447,447,103780
2025-07-25,458.5,460,447.15,451.95,277227
2025-07-28,449.35,456.5,435.4,456.5,151173
2025-07-29,445.25,451.85,442.85,449.35,51270
2025-07-30,455.15,494.5,443,443,1141848
2025-07-31,456.85,466.4,446.6,455,292061
2025-08-01,451.85,459,450.1,459,69960
