Date,Close,High,Low,Open,Volume
2024-04-23,185.24,190.64,155.01,171,212645
2024-04-24,181.64,193.66,178.2,190,35784
2024-04-25,177.19,183.25,174.06,183.25,13788
2024-04-26,170.82,178.84,165.6,178.84,15124
2024-04-29,168.16,170.82,166.8,170.82,6264
2024-04-30,166.61,173.8,164.32,173.8,7376
2024-05-02,165.18,169.79,164.32,169.79,5691
2024-05-03,166.08,172.42,164.46,168.92,3538
2024-05-06,162.84,168.51,161.2,166.2,10524
2024-05-07,156.83,165.28,153.83,165.28,13783
2024-05-08,157.03,159.61,153.44,156.04,5224
2024-05-09,155.64,160.19,150.65,156.77,11761
2024-05-10,152.89,167.07,146.44,155.71,33011
2024-05-13,152.49,157.25,147.2,147.2,19741
2024-05-14,164.6,166.44,153.68,153.68,16864
2024-05-15,165.99,169.6,160.83,166.56,15961
2024-05-16,171.09,172.88,164.5,166.8,16161
2024-05-17,178.26,184,170.22,172.4,34119
2024-05-20,175.45,182.66,174,176.2,4040
2024-05-21,168.33,177.6,166.23,175.45,13616
2024-05-22,170.23,172.99,166.17,170.85,12935
2024-05-23,167.63,170.99,167.23,167.68,6763
2024-05-24,173.49,180,167.63,167.99,159652
2024-05-27,168.05,179.59,166.5,176.09,16184
2024-05-28,163.13,168.87,162.05,168.05,12829
2024-05-29,162.71,169.99,160,163.2,21694
2024-05-30,162.57,168.28,161.4,168,14460
2024-05-31,165.11,178.66,163.53,178.66,90501
2024-06-03,184.82,189.4,163.01,177.96,193245
2024-06-04,164.63,184.07,156.66,180.04,93025
2024-06-05,170.93,174.01,159,164.63,52379
2024-06-06,194.06,198,168.09,175.6,639912
2024-06-07,211.45,216.89,195,195.39,222656
2024-06-10,207.4,213.6,200,213.6,214117
2024-06-11,209.27,225.6,206.4,208.2,156421
2024-06-12,217.08,219,206.4,210.32,74805
2024-06-13,221.6,228.61,218.39,220.34,114108
2024-06-14,224.13,230,222.22,223,54532
2024-06-18,213.51,227.8,207.87,227.49,66395
2024-06-19,201.99,217.4,197.89,213.51,64080
2024-06-20,219.21,224,206.04,206.04,143692
2024-06-21,226.22,228.61,219.24,228.6,65520
2024-06-24,229,233.96,223.73,228.61,79968
2024-06-25,229.96,231.47,224.13,229.4,51539
2024-06-26,229.25,234.8,227.49,233.78,47125
2024-06-27,227.6,233,221.01,233,49780
2024-06-28,231.45,236,227.16,229.8,47153
2024-07-01,228.09,235.36,224.21,235,41907
2024-07-02,231.05,233,224.9,230.2,55372
2024-07-03,227.17,233.2,225.81,230.83,34733
2024-07-04,228.28,230.79,225.12,229.99,19761
2024-07-05,225.59,229.99,224.28,229.6,17956
2024-07-08,229.44,233,222.17,228.8,31646
