Date,Close,High,Low,Open,Volume
1995-01-03,20.6667,20.7333,20.6667,20.7333,200
1995-01-04,20,20.3333,20,20.3333,300
1995-01-05,20,20,20,20,100
1995-01-06,19.3333,19.6667,19.3333,19.6667,1500
1995-01-09,19.6667,20,19.3333,20,600
1995-01-10,19.3333,19.6,19.3333,19.6,200
1995-01-11,19.6667,19.6667,19.4,19.4,25800
1995-01-12,19.6667,19.6667,19.4333,19.4333,300
1995-01-13,20,20,19.6667,19.6667,600
1995-01-16,19.8667,20,19.6667,20,500
1995-01-17,19.8333,20,19.6667,20,1900
1995-01-18,20.3333,20.3333,20.3333,20.3333,100
1995-01-19,20.5,20.6667,20.3333,20.3333,800
1995-01-20,20.3333,20.7333,20.1333,20.7333,300
1995-01-23,19.6667,20.1667,19.6667,20.1667,400
1995-01-24,19.6,19.6,19.2667,19.2833,500
1995-01-25,19.5,19.5,19.5,19.5,300
1995-01-27,20.3333,20.3333,20,20,600
1995-01-30,20.3333,20.3333,20.3333,20.3333,800
1995-01-31,20.1333,20.6667,20.1333,20.6667,800
1995-02-01,20.3333,20.3333,20,20,800
1995-02-02,19.8333,20.3333,19.8,20.2667,800
1995-02-03,20.6667,20.6667,20.3333,20.3333,400
1995-02-06,21,21,20.8,20.8333,800
1995-02-07,21.0167,21.1667,20.6667,20.6667,5600
1995-02-08,21.3333,22,21.3333,21.3333,700
1995-02-09,21.6667,21.6667,21.5,21.5,200
1995-02-10,19.9667,20.7333,19.9667,20.7333,20200
1995-02-13,19.8667,20.6667,19.8667,20.3333,8800
1995-02-14,20.0667,20.6667,20.0167,20.6667,900
1995-02-15,19.5367,20.6667,19.4,20.6667,3300
1995-02-16,19.4667,20,19.4667,19.9333,700
1995-02-17,19.4,19.6667,19.4,19.6667,300
1995-02-20,18.5667,19.6667,18.5667,19.4333,6100
1995-02-21,18,18.3333,18,18.3333,1000
1995-02-22,18.8333,18.8333,18.8333,18.8333,300
1995-02-23,18.8633,19.8333,18.6667,19.3333,12700
1995-02-24,18.8,19.6667,18.7333,19.0667,17000
1995-02-28,18.2667,19.0333,18,18.8667,2600
1995-03-01,18.9433,19.3333,18.8,19.3333,17900
1995-03-02,18.9767,19.1333,18.7333,19.1333,14900
1995-03-03,19,19.2667,19,19.2667,3300
1995-03-06,19.3333,19.3333,19,19.3333,7100
1995-03-07,19.3133,19.4167,19.2667,19.3333,6200
1995-03-08,19.4,19.4667,19.1667,19.3333,8500
1995-03-09,19.3333,19.5333,19.2667,19.4,2600
1995-03-10,19.33,19.4667,19,19,2500
1995-03-13,18.9333,19.3333,18.5333,18.5333,1400
1995-03-14,18.9333,18.99,18.4,18.7333,7400
1995-03-15,18.5667,19.6667,18.3333,19.4667,15200
1995-03-16,18.2,18.2667,18,18.16,20900
