Date,Close,High,Low,Open,Volume
2006-09-27,87.8303,87.8303,87.8303,87.8303,300
2006-09-28,86.5137,89.591,86.0748,89.591,31720
2006-09-29,86.631,87.5497,85.0337,86.5596,1432
2006-10-03,88.3662,88.3662,86.7586,87.269,1774
2006-10-04,90.1371,90.1371,88.2948,90.1371,27084
2006-10-05,91.9437,91.9437,90.8465,91.8621,2819
2006-10-06,90.1983,93.7861,90.1065,93.7708,14433
2006-10-09,90.6015,91.76,89.5145,90.8414,5071
2006-10-10,91.3619,92.4132,90.1269,91.9641,6435
2006-10-11,89.5349,91.3517,89.5349,91.3517,3019
2006-10-12,91.3262,91.3262,88.8,88.8,10633
2006-10-13,93.1532,93.1532,92.352,93.1379,16001
2006-10-16,95.016,95.016,93.0869,93.0869,6598
2006-10-17,93.1175,96.3531,93.1175,96.3531,1856
2006-10-18,91.2548,93.7452,91.2548,93.4952,3662
2006-10-19,91.7804,92.8828,89.443,90.8414,2246
2006-10-20,93.6177,93.6177,92.1172,92.1172,3122
2006-10-23,95.164,95.4345,92.9899,92.9899,719
2006-10-26,97.0676,97.0676,94.9241,95.3324,4292
2006-10-27,98.9048,99.012,98.1903,98.9865,7236
2006-10-30,100.885,100.885,100.885,100.885,1670
2006-10-31,102.906,102.906,102.906,102.906,3136
2006-11-01,104.968,104.968,104.968,104.968,125
2006-11-02,107.07,107.07,107.07,107.07,1472
2006-11-03,109.214,109.214,109.214,109.214,447
2006-11-06,111.398,111.398,111.398,111.398,210
2006-11-07,113.628,113.628,113.628,113.628,1346
2006-11-08,115.716,115.904,111.357,115.904,45764
2006-11-09,118.033,118.033,117.481,117.686,5422
2006-11-10,120.395,120.395,115.95,120.395,15590
2006-11-13,122.804,122.804,120.543,122.585,10836
2006-11-14,121.304,125.264,120.35,125.034,19197
2006-11-15,121.926,123.708,118.88,123.708,9638
2006-11-16,122.559,124.014,120.967,122.37,8037
2006-11-17,120.135,123.095,120.135,121.156,4935
2006-11-20,117.737,117.89,117.737,117.89,414
2006-11-21,120.094,120.094,115.384,117.379,2709
2006-11-22,122.498,122.498,121.462,122.483,9221
2006-11-23,124.203,124.932,122.35,124.932,9880
2006-11-24,126.688,126.688,124.524,124.524,1957
2006-11-27,129.224,129.224,129.224,129.224,3557
2006-11-28,131.786,131.812,129.423,131.669,10375
2006-11-29,134.425,134.425,130.648,134.119,21484
2006-11-30,137.114,137.114,134.221,137.079,9746
2006-12-01,139.86,139.86,136.772,139.86,3977
2006-12-04,142.657,142.657,142.657,142.657,1203
2006-12-05,145.51,145.51,145.51,145.51,601
2006-12-06,147.046,148.424,142.641,148.418,33388
2006-12-07,144.111,149.735,144.106,147.49,10200
2006-12-08,146.188,146.979,141.233,141.57,21709
2006-12-11,143.269,149.082,143.269,148,10280
2006-12-12,140.406,142.386,140.406,140.651,9204
2006-12-13,137.599,137.599,137.599,137.599,335
2006-12-14,140.355,140.355,134.848,134.848,3863
2006-12-15,139.146,143.162,137.798,143.101,6420
2006-12-18,136.742,139.732,136.364,136.91,4369
2006-12-19,134.108,138.814,134.011,138.814,2104
2006-12-20,131.429,134.425,131.429,134.425,4133
2006-12-21,134.057,134.057,128.801,129.127,18348
2006-12-22,131.955,136.742,131.378,136.742,33202
2006-12-26,134.517,134.598,130.143,132.69,13430
2006-12-27,136.604,137.211,131.924,134.119,8202
2006-12-28,139.339,139.339,138.303,138.303,1201
2006-12-29,142.126,142.126,142.126,142.126,498
2007-01-02,144.907,144.969,142.182,144.969,7435
2007-01-03,143.341,147.479,142.09,145.754,4122
2007-01-04,143.478,144.938,141.064,143.509,2838
2007-01-05,143.728,144.938,140.753,140.753,3277
2007-01-08,140.855,143.815,140.855,142.897,1268
2007-01-09,138.038,141.366,138.038,138.038,4507
2007-01-10,135.323,136.262,135.277,135.752,2420
2007-01-11,136.665,138.033,132.618,135.277,4745
2007-01-12,134.956,139.324,133.935,137.793,2237
2007-01-15,137.655,137.655,134.221,135.548,4317
2007-01-16,139.258,140.345,137.793,139.834,6223
2007-01-17,137.788,141.876,137.283,141.876,2288
2007-01-18,139.146,140.447,135.241,137.793,6587
2007-01-19,138.742,139.63,136.364,137.283,4169
2007-01-22,136.334,138.814,136.007,136.772,1793
2007-01-23,134.603,136.568,133.659,133.71,3617
2007-01-24,133.414,135.65,131.975,132.827,3606
2007-01-25,136.083,136.083,134.838,135.548,4242
2007-01-29,137.421,138.809,136.262,138.793,17800
2007-01-31,135.772,139.324,134.935,134.935,6426
2007-02-01,134.057,137.773,133.098,137.691,10180
2007-02-02,133.721,135.241,131.679,133.21,7230
2007-02-05,136.395,136.395,133.705,133.71,5862
2007-02-06,139.003,139.125,136.772,136.772,7817
2007-02-07,139.324,141.784,137.181,139.309,16602
2007-02-08,140.432,142.08,136.772,142.08,3540
2007-02-09,140.85,141.876,140.345,140.345,7349
2007-02-12,138.033,138.033,138.033,138.033,2717
2007-02-13,139.692,140.794,135.272,135.272,65891
2007-02-14,139.538,142.182,136.9,137.589,11232
2007-02-15,140.529,141.876,137.997,141.876,28022
2007-02-19,142.835,143.341,139.834,139.834,38511
2007-02-20,141.151,143.407,140.855,143.305,2105
2007-02-21,141.758,142.177,140.345,140.345,11538
2007-02-22,140.406,141.672,138.926,141.672,19084
2007-02-23,137.599,138.814,137.599,138.814,1149
2007-02-26,134.848,137.691,134.848,137.691,58
2007-02-27,132.154,132.154,132.154,132.154,125
2007-02-28,129.515,129.515,129.515,129.515,447
2007-03-01,126.928,126.928,126.928,126.928,1167
2007-03-02,124.391,124.391,124.391,124.391,523
2007-03-05,121.906,121.906,121.906,121.906,2
2007-03-06,119.472,119.472,119.472,119.472,229
2007-03-07,117.083,117.083,117.083,117.083,2
2007-03-08,114.817,117.379,114.746,114.746,28528
2007-03-09,112.521,117.073,112.521,112.582,26364
2007-03-12,110.286,114.726,110.286,110.745,20479
2007-03-13,109.357,112.48,108.081,108.101,22232
2007-03-14,108.071,110.643,107.172,107.172,3714
2007-03-15,105.912,108.499,105.912,107.989,10810
2007-03-16,101.457,103.804,100.62,102.079,1953
2007-03-19,98.5374,100.946,96.3837,98.1903,5869
2007-03-20,96.2306,102.579,95.9448,99.0069,3270
2007-03-21,101.043,101.043,96.9655,96.9655,3980
2007-03-22,103.518,106.05,102.069,103.095,2305
2007-03-23,107.606,108.601,103.09,103.09,6688
2007-03-26,108.428,110.224,107.172,110.224,3391
2007-03-28,108.321,111.766,103.008,105.131,5705
2007-03-29,108.596,111.255,106.866,107.172,5308
2007-03-30,113.889,114.026,110.745,110.745,4942
2007-04-02,109.816,114.828,108.198,109.724,2379
2007-04-03,109.734,112.174,104.417,109.724,137061
2007-04-04,105.08,111.153,104.641,107.172,1119
2007-04-05,106.335,110.234,105.641,108.193,1480
2007-04-09,108.964,109.724,107.172,109.214,862
2007-04-10,110.847,112.072,108.295,110.775,1696
2007-04-11,110.382,113.297,108.193,110.234,3676
2007-04-12,113.205,113.501,109.219,109.219,8554
2007-04-13,114.215,114.828,111.255,113.807,49129
2007-04-16,116.18,117.379,110.745,112.276,1989
2007-04-17,118.63,119.829,113.297,113.297,4820
2007-04-18,121.171,121.666,118.094,118.094,57641
2007-04-19,121.615,121.972,118.4,118.4,2921
