Date,Close,High,Low,Open,Volume
2004-07-12,35.4,38.55,35.4,38.55,3
2004-07-13,34.875,35.25,33.1125,33.1125,1512
2004-07-14,36,36.6,35.25,35.25,9648
2004-07-15,36.825,37.3125,34.6875,34.6875,5490
2004-07-19,38.0625,39,38.0625,38.55,1100
2004-07-20,40.4625,41.025,38.325,38.325,16315
2004-07-21,40.35,42.225,39.6375,41.25,13611
2004-07-22,41.8125,43.425,39.9,41.25,20981
2004-07-23,41.55,43.5,40.6875,41.925,34031
2004-07-26,40.725,41.625,40.6125,40.875,6052
2004-07-27,39.1875,40.5,39.0375,39.4875,5537
2004-07-28,39.3,39.975,39.075,39.075,788
2004-07-29,40.05,40.5375,38.8125,39.2625,2760
2004-07-30,42.1875,42.525,41.025,41.025,13194
2004-08-02,41.25,43.125,40.6875,43.125,4924
2004-08-03,42.075,43.05,41.25,42,7676
2004-08-04,41.4,42.75,41.3625,42.1875,1684
2004-08-05,42.7125,42.75,41.4,41.4,12618
2004-08-06,42.3,42.45,41.625,42,3300
2004-08-09,42.75,43.125,42,42,11707
2004-08-10,43.65,44.475,42.375,42.75,20331
2004-08-11,44.2125,46.3125,43.5,43.65,30542
2004-08-12,43.8,46.3125,43.5,43.65,21279
2004-08-13,42.9375,43.95,42.8625,43.65,4014
2004-08-16,43.5,45,42.3375,45,2410
2004-08-17,43.6125,44.625,43.125,43.575,2034
2004-08-18,42.3,43.3875,42,43.125,2834
2004-08-19,42.1875,44.2125,42.0375,42.0375,3120
2004-08-20,40.725,42.6,40.725,42.6,3515
2004-08-23,40.7625,41.85,40.6875,40.725,1171
2004-08-24,40.5375,41.3625,40.5375,41.25,3495
2004-08-25,40.95,42,40.5,40.875,1701
2004-08-26,41.5125,41.775,41.0625,41.0625,3738
2004-08-27,41.175,41.7,40.6125,41.25,2394
2004-08-30,43.0875,43.5,41.325,43.5,5420
2004-08-31,45.225,46.5,43.5,43.6875,28984
2004-09-01,46.6125,47.5875,46.0875,46.425,27793
2004-09-02,43.5375,46.8375,42.9,44.4375,20323
2004-09-03,42.4125,45.375,42,42.675,3550
2004-09-06,44.2125,45.6,43.5,43.725,10854
2004-09-07,42.9,45.4125,42.75,45.4125,9259
2004-09-08,43.05,44.175,42.825,42.9375,4582
2004-09-09,42.8625,43.2,42,43.125,3462
2004-09-10,44.25,45.675,41.325,42.375,14516
2004-09-13,43.65,45.3,43.575,44.9625,24953
2004-09-14,44.1,46.35,43.875,44.6625,93744
2004-09-15,42.7875,44.8875,42.75,44.8875,16760
2004-09-16,42.1875,43.875,41.25,43.125,24483
2004-09-17,42.6,43.125,42,43.125,29483
2004-09-20,42.45,43.125,41.8125,42.75,3953
2004-09-21,42.375,43.05,42.0375,42.075,10877
2004-09-22,42,42.9,41.7375,42.7125,4422
2004-09-23,41.5875,45,40.9875,45,2200
2004-09-24,41.175,44.9625,40.9875,44.9625,6615
2004-09-27,42.15,44.5875,41.25,44.5875,12526
2004-09-28,42.075,42.75,41.7375,42.675,12300
2004-09-29,41.8125,42.525,41.4375,42.075,5188
2004-09-30,43.425,44.25,42.1875,43.0125,16738
2004-10-01,43.65,45,42.5625,45,7106
2004-10-04,45.6375,46.5,43.5,44.175,389131
2004-10-05,45.7875,47.8125,45,47.775,67687
2004-10-06,49.9875,50.4,46.6125,47.25,226174
2004-10-07,51,54,49.9125,51,169605
2004-10-08,51.1125,52.125,49.6875,52.125,61594
2004-10-11,49.425,52.35,49.125,52.35,36060
2004-10-12,46.575,50.55,46.275,48.075,22045
2004-10-14,46.8375,47.2125,45.4875,45.75,5950
2004-10-15,45.7875,48.6375,45.225,47.25,14657
2004-10-18,44.8875,48.7125,44.625,46.5,17141
2004-10-19,46.3875,47.175,45,45,12298
2004-10-20,45.075,46.5,44.8875,45.825,13400
2004-10-21,44.1,45,42.8625,45,3050
2004-10-25,42.3375,44.85,42.1875,44.625,8561
2004-10-26,43.5,44.175,42.525,43.875,14520
2004-10-27,46.2375,47.175,44.1,44.1,19271
2004-10-28,45.825,49.425,45.4875,49.425,16159
2004-10-29,45.45,47.1,44.25,46.5,16071
2004-11-01,45.825,46.5,42.75,44.25,20474
2004-11-02,46.35,47.7,45.9,46.875,17607
2004-11-03,48.15,49.5,45.9,47.25,36991
2004-11-04,48,48.9,47.4,48.9,13780
2004-11-05,48.0375,49.35,47.7,48,18399
2004-11-08,49.6125,50.175,48.75,49.5,22073
2004-11-09,48.825,50.1375,48.4125,49.5,14185
2004-11-10,49.8375,50.1,49.125,50.1,21040
2004-11-11,51.8625,53.55,49.125,51.675,69216
2004-11-12,52.7625,53.85,52.125,52.9875,14420
2004-11-16,52.6875,53.925,51.9375,53.925,25296
2004-11-17,53.4375,54.75,52.5375,54.75,16660
2004-11-18,53.2875,54.6,52.875,53.8125,16293
2004-11-19,52.3125,54.6375,51.7875,54.6375,20691
2004-11-22,54.6,55.35,51.4125,51.7875,31364
2004-11-23,54.225,56.175,54,55.5,24896
2004-11-24,53.7,56.175,53.4,56.175,16157
2004-11-25,52.4625,54.75,51.975,54.75,33689
2004-11-29,53.4,53.775,52.275,52.5,16618
2004-11-30,54.225,55.2375,52.2375,53.925,37938
2004-12-01,53.3625,54.75,52.2,54.75,20958
2004-12-02,53.325,54.3375,52.2375,53.1375,16272
2004-12-03,53.1375,53.625,52.6875,52.725,7886
2004-12-06,52.8,55.125,52.3875,55.125,6894
2004-12-07,53.1,54,51.4875,51.7875,15887
2004-12-08,57.15,58.425,51.75,51.75,124450
2004-12-09,62.8875,62.8875,58.0875,58.5,105248
2004-12-10,63.3375,67.875,63,65.25,112500
2004-12-13,69.675,69.675,60.75,60.75,128232
2004-12-14,76.65,76.65,68.4375,71.25,160502
2004-12-15,72.825,79.95,72.825,79.95,83816
2004-12-16,73.8,76.05,70.5,72,41408
2004-12-17,72.6,77.175,72,74.85,28046
2004-12-20,73.5375,75.1125,72.75,74.2125,19271
2004-12-21,70.3125,74.9625,69.8625,72.7875,20538
2004-12-22,69.1875,73.125,67.875,73.125,18339
2004-12-23,67.6875,72,66,72,17173
2004-12-24,67.0125,68.25,66.1875,67.5,15569
2004-12-27,70.3875,70.3875,68.1,68.1,6347
2004-12-28,73.9125,73.9125,72.8625,73.35,5321
2004-12-29,72.1125,76.875,71.25,74.3625,20366
2004-12-30,71.925,75.75,71.25,74.175,14558
2004-12-31,72.0375,73.65,71.4375,73.2,5510
2005-01-03,73.8375,75.45,72.75,73.5,19602
2005-01-04,72.9,75,71.7,74.25,13930
2005-01-05,70.1625,74.25,69.2625,72.375,23887
2005-01-06,67.575,70.4625,66.75,67.5,15958
2005-01-07,67.95,69,66,66,3490
2005-01-10,70.7625,71.3625,67.875,69.75,12381
2005-01-11,69.0375,73.5,68.475,73.5,12839
2005-01-12,66.2625,70.5,66,70.5,9688
2005-01-13,68.0625,68.925,66,68.8875,4437
