Date,Close,High,Low,Open,Volume
2011-09-20,45.6,52.8,43.5,52.8,292260
2011-09-21,47.75,47.9,43.5,43.5,103144
2011-09-22,46.95,48,45.4,46.5,69493
2011-09-23,46.5,47,44.6,44.75,44870
2011-09-26,44.2,46,44.2,44.2,14695
2011-09-27,43.05,45.7,42.35,42.7,47601
2011-09-28,41.8,43.95,41.25,41.25,27611
2011-09-29,42.5,43,40.2,40.3,31645
2011-09-30,42.25,43.25,40.7,40.7,29079
2011-10-03,41.25,42.1,40.25,40.25,24433
2011-10-04,41.7,44,40.5,40.5,68054
2011-10-05,41.05,42,40.5,42,34987
2011-10-07,42.1,43.25,38,38,53721
2011-10-10,41.15,42.5,40.1,40.1,46006
2011-10-11,40.7,42.95,40.35,40.6,35220
2011-10-12,40.95,42.85,38.7,38.7,22380
2011-10-13,40.7,41.2,40.2,40.2,13526
2011-10-14,40.45,41.5,40.1,40.5,47030
2011-10-17,40.8,41,39.25,39.25,34243
2011-10-18,40.85,41.45,39.25,39.25,21585
2011-10-19,45.4,46.95,39.25,39.25,91085
2011-10-20,45.85,46.5,43.95,45.6,96984
2011-10-21,45.7,46.65,44.6,44.6,42867
2011-10-24,45.05,46.5,44.05,46.1,30920
2011-10-25,44.85,46.4,44.3,46,26058
2011-10-26,45.75,46,44,44,9521
2011-10-28,45.35,47.25,44.8,45.75,102095
2011-10-31,44.9,45.9,44.55,44.65,25391
2011-11-01,44.05,45.2,43.9,44.3,39206
2011-11-02,43.35,44.25,43.05,43.1,38265
2011-11-03,44.15,44.65,41.25,41.25,82847
2011-11-04,45.8,46,43.2,43.2,80023
2011-11-08,48.4,48.8,44.75,44.75,108426
2011-11-09,47.4,49,46.25,47.25,240767
2011-11-11,45.8,46.5,45,46.1,58823
2011-11-14,44.9,46.5,43.3,45.6,41570
2011-11-15,43.75,45.25,43.3,43.6,25678
2011-11-16,42.6,44,42.2,43.3,27283
2011-11-17,42.15,43.25,40.55,40.55,33582
2011-11-18,40.65,41.7,40,40.5,33662
2011-11-21,40.8,41.9,38.35,40.25,36488
2011-11-22,39.9,41,38.85,39.25,27672
2011-11-23,39.2,40,38.2,39.3,27269
2011-11-24,40.1,40.75,38.5,38.5,14340
2011-11-25,40.6,41.3,38.3,38.3,15105
2011-11-28,41.15,41.5,38.5,38.5,7284
2011-11-29,41.4,42.05,40.7,40.7,3454
2011-11-30,41.3,41.45,39.5,39.5,9538
2011-12-01,40.65,42,40.25,40.25,14943
2011-12-02,42.25,42.9,40.25,40.25,48912
2011-12-05,42.45,44,39.5,39.5,11096
2011-12-07,40.9,42.75,40.2,41,54207
2011-12-08,39.45,41.5,39,39.1,47414
2011-12-09,39.4,40.55,38.1,38.1,8750
2011-12-12,38.8,39.85,38.6,39,5831
2011-12-13,39.95,40.45,38.55,38.65,11362
2011-12-14,38.5,40,38,38,28726
2011-12-15,39.9,40.25,37.3,37.75,25114
2011-12-16,39.3,40.5,37.6,37.6,22554
2011-12-19,38.7,40,37.8,39.6,24515
2011-12-20,38.9,39.2,37.15,38,32828
2011-12-21,37.5,39,37.2,37.2,28564
2011-12-22,37.05,38,36.5,38,41017
2011-12-23,36.8,38.35,36.5,36.5,33885
2011-12-26,36.5,39,36.25,38.9,22565
2011-12-27,36.45,37.4,36.1,36.1,6045
2011-12-28,36.6,36.95,36.05,36.05,5639
2011-12-29,36.15,36.45,35.8,36.25,9013
2011-12-30,35.45,36,31,31,10342
2012-01-02,35.05,35.7,34.05,35.1,30038
2012-01-03,36.05,37.25,35.25,35.25,10589
2012-01-04,35.85,37.35,35.55,36.15,1353
2012-01-05,36.05,37.2,33.75,36,7571
2012-01-06,36.1,36.9,33.75,33.75,8784
2012-01-09,36.85,37.35,36,36.1,10153
2012-01-10,37.85,38.2,36.05,36.05,22285
2012-01-11,38,40.4,34.5,34.5,87248
2012-01-12,37.65,39,36.7,36.7,22962
2012-01-13,38.05,42.8,36.25,36.25,180425
2012-01-16,38,39.1,37.9,38.05,74447
2012-01-17,37.95,39.3,36.5,36.5,77320
2012-01-18,37.7,38.5,37.2,37.2,20069
2012-01-19,38,38.7,37.05,37.05,25251
2012-01-20,37.6,38.5,37.5,37.5,28972
2012-01-23,37.6,38.15,37.15,37.65,10472
2012-01-24,37.5,38.3,35.25,35.25,26848
2012-01-25,38.05,38.35,36,36,18378
2012-01-27,38.75,39.6,36.6,36.6,134878
2012-01-30,38,38.9,37.6,38.75,13924
2012-01-31,38.15,38.35,36.25,36.25,6257
2012-02-01,39.15,39.9,37.6,37.6,22809
2012-02-02,40.25,40.65,39.35,39.4,53666
2012-02-03,41.55,42.15,40.1,40.5,37296
2012-02-06,42.25,42.8,41.55,41.55,47202
2012-02-07,41.85,43,41.55,42.05,29793
2012-02-08,41.7,42.65,41.05,41.05,99882
2012-02-09,43.65,45.35,42.75,42.95,230635
2012-02-10,42.9,44.75,42.15,44,88512
2012-02-13,43.8,44.1,41.9,43.45,70311
2012-02-14,45.75,46.5,44.45,44.45,412931
2012-02-15,45.65,47.15,45.5,46,100467
2012-02-16,45.85,46.5,44.5,46.5,111705
2012-02-17,46.95,49.25,46,46,330509
2012-02-21,47.2,47.95,46.5,47.3,67793
2012-02-22,46.75,48.7,46.2,47.5,118186
2012-02-23,45.95,47.15,45.35,46.5,116668
2012-02-24,46.4,48,45.25,46.05,85003
2012-02-27,44.45,46.7,44.05,46.7,52710
2012-02-28,45.3,45.95,44.3,44.5,40745
2012-02-29,45.15,46.7,45.05,45.45,31607
2012-03-01,46.8,47.5,45,45.65,52739
2012-03-02,46.95,49.1,46.5,48,119622
2012-03-05,45.8,47.25,43.4,46.25,24693
2012-03-06,45.15,46.7,44.9,45,26047
2012-03-07,43.95,45.8,42.5,42.6,144658
2012-03-09,44.5,45.7,44.2,44.2,40523
2012-03-12,43.95,45.45,43.65,44.5,16994
2012-03-13,45.1,46.75,43.95,44.9,90667
2012-03-14,43.25,45.9,42.9,45.25,156010
2012-03-15,44.45,45,43,43.45,71368
2012-03-16,43.5,44.8,43.2,43.4,9493
2012-03-19,42.75,43.75,42.5,43.55,33293
2012-03-20,42.85,43.7,41.7,42.25,36177
2012-03-21,42.95,43.75,42,42,28137
2012-03-22,43.5,45.7,43.2,44,82730
2012-03-23,45.45,45.9,43.7,44.1,61416
2012-03-26,46.5,48.2,44.9,45.15,209891
2012-03-27,47.3,47.9,45.25,46.7,81054
2012-03-28,47.35,48.5,45.3,47,85343
2012-03-29,47.05,48.2,45.7,47.9,160548
2012-03-30,48.25,50.15,46.8,47.5,275251
2012-04-02,49,50.4,47.8,48.5,70770
2012-04-03,52.8,54.4,49,49.1,288908
2012-04-04,53.35,54.8,52.8,54.25,107451
2012-04-09,54.05,54.95,52.6,54,159700
2012-04-10,53.1,55.45,52.75,55.45,179465
2012-04-11,53.7,54.9,52,52,233271
2012-04-12,54.4,55.4,53.5,54.7,249552
2012-04-13,56.85,57.4,54.2,55,354384
2012-04-16,58.1,58.55,56,57.05,244153
2012-04-17,58.65,59.85,58.1,58.55,181784
2012-04-18,58,59.9,57.55,59.35,82338
2012-04-19,57.75,58.9,57.1,58.9,67928
2012-04-20,56.65,59.5,55.55,57.3,141345
2012-04-23,55.8,57.75,55.25,57,55816
2012-04-24,56.65,57,54.4,55.5,58368
2012-04-25,55.1,58,53.35,53.35,321859
2012-04-26,53.3,56.25,53,55.55,146786
2012-04-27,53.95,55.5,53.15,55.3,118133
2012-04-30,54.5,55.3,54,55,138009
2012-05-02,53.6,55,53.5,53.6,29910
2012-05-03,54.05,54.4,52.75,54,56302
2012-05-04,52.4,54,52.2,53.3,94503
2012-05-07,53.3,53.85,50.55,51.85,34298
2012-05-08,53.3,55.4,52.7,54.3,54354
2012-05-09,54.1,55.1,52.4,53,110396
2012-05-10,51.8,56.4,51.45,55,160636
2012-05-11,51.95,52.4,51.05,51.8,46953
2012-05-14,50.85,52.6,50.2,52.6,45686
2012-05-15,49.7,51.15,49.2,51,56232
2012-05-16,49.65,50.45,48,50.45,51341
2012-05-17,50.15,51,49.25,49.5,62833
2012-05-18,49.4,50,48.2,49,28244
2012-05-21,48.55,50,48.2,50,39171
2012-05-22,49.15,49.5,48.4,48.65,41469
2012-05-23,48.45,49.5,48.1,49.15,19660
2012-05-24,50.7,51.05,48.15,48.5,65068
2012-05-25,50,51.4,49.6,51.4,44381
2012-05-28,50.3,50.8,49.85,49.85,16275
2012-05-29,49.8,50.85,49.6,50.5,13393
2012-05-30,49.65,50.9,49.15,50.5,23964
2012-05-31,49.5,50,49.05,49.8,15857
2012-06-01,48.75,50.4,48.75,50.4,14763
2012-06-04,48.4,49,47.3,48.05,37648
2012-06-05,48.7,49,48.35,48.4,17602
2012-06-06,49.45,49.75,48.6,48.7,33747
2012-06-07,49.45,50,48.55,49.5,15768
2012-06-08,49,50,48.5,49,29161
2012-06-11,52.05,53.1,49.5,50,115538
2012-06-12,53.35,54.15,52,52,76354
2012-06-13,51.25,53.8,50.9,53,45803
2012-06-14,51.6,51.9,50.5,51.3,37077
2012-06-15,53.45,55.4,51.15,51.15,257432
2012-06-18,52.4,54.8,51.8,53.6,37081
2012-06-19,52.1,52.8,51.7,52.8,21181
2012-06-20,55.6,56.3,52.1,52.15,235334
2012-06-21,56.25,56.85,54.9,55,124233
2012-06-22,55,56.15,54.6,55.9,50320
2012-06-25,55,55.95,53.85,53.85,42496
2012-06-26,53.9,55.7,46.15,46.15,49752
2012-06-27,53.55,54.9,45,45,19996
2012-06-28,54.6,54.9,53.95,54,19281
2012-06-29,55.8,57.5,53.7,53.7,211269
2012-07-02,55.15,56.5,54.5,54.55,102552
2012-07-03,55.35,56,55,55.9,41455
2012-07-04,57.25,57.6,55.5,55.5,244539
2012-07-05,58.65,59.9,57.5,59,416811
2012-07-06,57.05,59,56.65,59,104330
2012-07-09,58.55,58.8,56.7,57.5,75717
2012-07-10,58.65,59.7,58.1,58.7,85099
2012-07-11,58.05,59.25,58,58.95,31292
2012-07-12,57.7,58.8,56.85,57.4,61748
2012-07-13,57.7,58.65,57.3,57.7,30088
2012-07-16,57.4,58.55,57.05,58,33795
2012-07-17,57.05,58.7,56.6,57.4,37103
2012-07-18,56.95,57.8,56.45,57,51706
2012-07-19,58.4,59.2,57.15,57.5,115610
2012-07-20,58.15,58.5,57,57,23403
2012-07-23,60.9,62.5,57.1,58,303894
2012-07-24,61.6,62.4,60.2,62.4,286020
2012-07-25,60.35,62,60.1,60.3,57485
2012-07-26,60.8,62,58.2,60.95,188673
2012-07-27,60,61.4,59.4,61,65706
2012-07-30,60.4,61.8,59.7,59.7,83960
2012-07-31,59.95,60.7,57.6,59.95,110428
2012-08-01,62.25,63.2,60.15,60.45,173943
2012-08-02,63.9,64.5,62.5,63,121862
2012-08-03,64.35,64.6,62.7,63.9,122057
2012-08-06,65.4,66.1,64,64.7,130411
2012-08-07,63.65,66.8,63.2,65.4,125030
2012-08-08,64.5,65.4,62.75,64,197693
2012-08-09,61.4,66.4,59.2,65,309613
2012-08-10,58.7,62.5,58.3,61.5,414066
