Date,Close,High,Low,Open,Volume
2018-11-05,75.6,75.6,72,72,1636701
2018-11-06,78.1,79.35,75.7,77,2528961
2018-11-07,81.3,82,78.5,79.4,488994
2018-11-09,79.95,84,77.25,84,1926334
2018-11-12,76,79.8,76,79.8,1494059
2018-11-13,76.95,78,72.5,72.5,915107
2018-11-14,78.3,78.65,75.5,77.05,640666
2018-11-15,79.4,80,75.5,79,662627
2018-11-16,78.85,79.75,77.5,79.4,445033
2018-11-19,77.8,78.95,77.2,78.45,1332624
2018-11-20,80.9,88.5,80.1,81,3819027
2018-11-21,97.05,97.05,81.7,81.9,7785820
2018-11-22,111.55,115.4,105,106.55,17594460
2018-11-26,104.1,114.7,102,114.1,7818868
2018-11-27,101.05,105.25,98.25,100.5,4647882
2018-11-28,99,102.6,94.1,101.45,4517227
2018-11-29,99.45,101.7,98.1,99.9,2006532
2018-11-30,98.75,101.4,97.65,99.1,1745738
2018-12-03,97.5,99.75,96.3,99,1065560
2018-12-04,96.2,97.85,95.2,97.5,1044937
2018-12-05,105.35,105.8,94.2,95.15,6794511
2018-12-06,104.3,110.7,103.15,103.95,4175920
2018-12-07,100.15,108.5,99.25,105,1674014
2018-12-10,94.85,98,94,95.1,965256
2018-12-11,96.15,98.7,91,91,1521664
2018-12-12,98.05,101.95,97.5,97.7,1142024
2018-12-13,98.95,101.9,98.5,99.6,966517
2018-12-14,98.85,100.8,98.1,99.75,513487
2018-12-17,99.7,100.8,98.75,99.55,584085
2018-12-18,106.25,108.4,98.4,99.1,3127798
2018-12-19,103,108.45,102.55,108.45,1107432
2018-12-20,102.8,104.75,101.55,102.05,657144
2018-12-21,99.65,103.9,99.4,103.65,763820
2018-12-24,98.3,101.15,98.05,100.7,415118
2018-12-26,100.5,103.2,96.5,97.85,1298911
2018-12-27,100.1,102.3,99.65,101.25,455898
2018-12-28,101.2,102.75,100.35,100.65,618916
2018-12-31,100.8,102.4,100.1,101.5,394322
2019-01-01,101.85,103.5,100.55,101.25,501670
2019-01-02,100.45,102.55,99.4,101.25,379628
2019-01-03,100.85,103.2,100.75,102.3,560741
2019-01-04,100.85,101.75,99.85,101,360516
2019-01-07,101.65,103,100.5,101.5,787978
2019-01-08,101.1,101.9,100.25,101.65,385585
2019-01-09,101.25,102.75,99.9,101.5,563962
2019-01-10,100.4,101.7,99.75,101.45,336970
2019-01-11,99,101.6,98.35,100.5,533121
2019-01-14,98.05,100.2,97.5,99.05,457526
2019-01-15,98.4,99.2,97.75,98.7,341359
2019-01-16,99.05,100.4,98.2,98.5,363370
2019-01-17,98.5,101,97.8,99.5,509916
2019-01-18,98.6,99.5,97,99.1,378266
2019-01-21,97.75,98.8,97,98.8,440885
2019-01-22,96.9,98.4,95.3,97.75,462224
2019-01-23,96.8,97.45,95.8,96.9,323343
2019-01-24,99.45,100,95.95,97.25,715971
2019-01-25,98.1,99.5,93.45,98.7,1095182
2019-01-28,88.55,97.95,88.3,97.95,1186589
2019-01-29,93.65,96.4,88.9,89.9,1667154
2019-01-30,94.7,96.7,94.05,95.7,455516
2019-01-31,92.45,96,91,95.3,572228
2019-02-01,92.45,93.3,92,92.05,285635
2019-02-04,96,97.2,84,92.9,1260974
2019-02-05,96.35,98,94.05,95.15,879131
2019-02-06,96.4,97.9,92.9,97.4,383885
2019-02-07,97.9,103.4,97.1,97.2,798768
2019-02-08,95.45,98.7,94.8,98,252817
2019-02-11,94.8,96.75,94,94.05,239324
2019-02-12,94,95.75,93.55,94.8,178252
2019-02-13,97.7,99.05,94.05,94.05,992892
2019-02-14,96.2,98,94.25,98,389712
2019-02-15,96.9,97.5,94.6,96.55,358062
2019-02-18,95.45,97.15,94.2,96,343653
2019-02-19,95.1,96.35,94.35,95.3,316209
2019-02-20,95.75,97.45,94,95.4,414982
2019-02-21,98.75,99.9,95.85,96.55,426183
2019-02-22,102.2,103,98.25,99.35,932312
2019-02-25,100.8,103.9,100.25,102.2,344984
2019-02-26,100.55,101.4,96.15,99.5,581121
2019-02-27,99.8,103.45,97.2,102,548376
2019-02-28,102,102.55,99.75,100.75,464224
2019-03-01,106,108.9,102.1,102.1,1269475
2019-03-05,110.65,114.7,105.1,105.1,2046300
2019-03-06,113.1,114,100.6,111.4,1096455
2019-03-07,115.2,117.7,113.1,113.55,1018859
2019-03-08,114.75,116,113.5,115.2,463357
2019-03-11,117.25,118.8,115.5,115.75,669356
2019-03-12,120.05,122.2,117.5,118.45,1551133
2019-03-13,118.75,120,118.1,120,468422
2019-03-14,117.2,118.9,115.6,118.65,643626
2019-03-15,116.5,118,116,117,659518
