Date,Close,High,Low,Open,Volume
1995-01-02,102,102,102,102,100
1995-01-04,102.5,102.5,102.5,102.5,100
1995-01-06,97,97,97,97,500
1995-01-09,102,102,101.75,101.75,1000
1995-01-10,99.95,100,99.85,99.85,900
1995-01-17,98,98,98,98,200
1995-02-01,102.5,103,101.5,101.5,1500
1995-02-06,102,102,102,102,200
1995-02-07,102.5,102.5,102.5,102.5,600
1995-02-08,105,105,105,105,100
1995-02-10,107.5,107.5,103,103,100
1995-02-13,103,103,103,103,300
1995-02-14,107,107,103,103,5300
1995-02-15,103,103,103,103,200
1995-02-16,102,102,102,102,50
1995-02-21,99.5,99.5,99.5,99.5,500
1995-02-22,94,94,94,94,300
1995-02-23,97,100,97,100,1150
1995-02-24,97,102.5,97,102.5,600
1995-02-28,95,95,95,95,50
1995-03-01,93.9,94,92.5,92.5,550
1995-03-03,98,98,98,98,100
1995-03-27,105,105,104.75,104.75,250
1995-03-28,106,106,106,106,100
1995-03-29,106,106,106,106,500
1995-03-30,106.9,107,106,106,1300
1995-03-31,105.75,105.75,105,105,150
1995-04-03,108,110,108,110,600
1995-04-04,107.5,109,106.5,106.5,850
1995-04-05,110,110,110,110,100
1995-04-07,107.5,107.5,107.5,107.5,200
1995-04-10,115,115,107.95,107.95,2450
1995-04-17,110,112.6,110,112.5,700
1995-04-19,108,108,108,108,300
1995-04-20,112,112,110,110,400
1995-04-21,108,108,108,108,300
1995-04-24,104,104,104,104,100
1995-04-25,105,105,100,100,1150
1995-04-26,105,105,105,105,100
1995-04-27,100,100,100,100,700
1995-04-28,100,100,100,100,100
1995-05-02,90,90,90,90,200
1995-05-04,94,94,94,94,100
1995-05-05,86,86,86,86,50
1995-05-08,90,90,90,90,50
1995-05-09,91,91,83,88,4350
1995-05-10,83,83,82,83,2100
1995-05-12,83.5,84,82.25,82.25,700
1995-05-15,84,84,84,84,500
1995-05-16,83.25,83.25,83.25,83.25,700
1995-05-18,92,92,84.25,84.25,200
1995-05-19,88,88,88,88,100
1995-05-22,82.25,82.25,82.25,82.25,100
1995-06-01,92,92,89,89,100
1995-06-02,83.05,83.05,83.05,83.05,100
1995-06-05,86.35,86.35,86,86,150
1995-06-06,86.55,86.55,86.55,86.55,100
1995-06-07,90,90,90,90,600
1995-06-08,90,90.05,90,90.05,800
1995-06-09,89.9,92,89,92,1100
1995-06-13,89,89,89,89,100
1995-06-23,81,81,81,81,200
1995-07-07,67,74,67,74,200
1995-07-10,72,72,72,72,100
1995-07-12,67.6,67.6,65,65,350
1995-07-13,73,73,73,73,200
1995-07-14,73,73,73,73,500
1995-07-18,75,75,75,75,50
1995-07-19,75.6,75.6,75.6,75.6,50
1995-07-20,80,80,80,80,100
1995-07-21,81.2,81.2,81.2,81.2,50
1995-07-24,82.1,83.5,82.1,83.5,150
1995-07-25,80,80,80,80,500
1995-07-26,80,80,80,80,100
1995-07-31,78,78,73,73,150
1995-08-01,76.95,76.95,76.95,76.95,50
1995-08-02,72,72,72,72,350
1995-08-09,66.5,66.5,66.5,66.5,50
1995-08-11,69.05,69.1,68,68,600
1995-08-14,69.2,69.2,69.2,69.2,100
1995-08-16,73,73,69,69,250
1995-08-18,69.3,77,69.3,77,150
1995-08-22,78,78,75,75,200
1995-08-23,80,80,80,80,100
1995-08-24,78,78,77.9,77.9,750
1995-08-25,78,78,78,78,2000
1995-08-30,76.05,76.05,76.05,76.05,100
1995-08-31,78.3,78.3,78,78,2600
1995-09-01,78,78,78,78,1600
1995-09-05,78,78,77,78,750
1995-09-08,79,79,79,79,600
1995-09-11,79,79,79,79,50
1995-09-12,80,80,76,76,250
1995-09-19,82,82,80.5,81,250
