Date,Close,High,Low,Open,Volume
2017-07-10,270.825,273.5,261.85,265,10585689
2017-07-11,283.625,287.325,266.2,268.5,14286312
2017-07-12,314.775,321.35,287.5,288.225,17774578
2017-07-13,345.575,349.475,315.05,326,21875196
2017-07-14,299.4,362.75,280.55,348.9,33648384
2017-07-17,298.05,306.85,281.175,295,11510790
2017-07-18,294.45,301.5,290.55,295,3549898
2017-07-19,293.475,300.75,292.05,295.975,1791992
2017-07-20,291.3,299.475,288.55,294,3055040
2017-07-21,291.725,297.5,290.1,292,1438938
2017-07-24,293.2,295.475,288,293.25,1489789
2017-07-25,301.025,306,294.475,294.975,3090370
2017-07-26,297.5,303.5,296,301.15,1063010
2017-07-27,290.925,299.225,290,298.95,849208
2017-07-28,294.25,299.375,285,289,2331948
2017-07-31,295.3,297.5,289.075,295,1050079
2017-08-01,292.95,296.25,291.5,296,422157
2017-08-02,291,294.95,290,291.1,465458
2017-08-03,279.25,292.75,274.05,291,740392
2017-08-04,277.15,280.2,270.875,280.2,701556
2017-08-07,275.7,290.725,248.125,275,7352471
2017-08-08,284.175,289.15,274.275,276.725,2371678
2017-08-09,274.95,282.5,270.5,282.5,1387103
2017-08-10,271.4,275.35,251,257.5,3199711
2017-08-11,270.75,273.925,262.575,266,839237
2017-08-14,270.2,277.5,268.5,272.6,588097
2017-08-16,272.05,275.9,270.15,272.55,487988
2017-08-17,271.75,276.25,271.05,273.2,325873
2017-08-18,268.875,274.5,267.5,270.7,286880
2017-08-21,270.1,273.25,268.675,270.375,537489
2017-08-22,264.75,272.125,263.85,271.4,471540
2017-08-23,262.625,266.5,261,265.9,255288
2017-08-24,266.425,267.5,262.025,263.375,486024
2017-08-28,268.975,270.625,264,266.625,500688
2017-08-29,272.4,279.4,265.5,265.5,824901
2017-08-30,275.425,278.875,274.225,275,356147
2017-08-31,274.725,278.225,273,274.9,290104
2017-09-01,276.15,285,273.775,275.5,882994
2017-09-04,278.5,282.15,271.025,277.875,591385
2017-09-05,286.575,288.25,276.575,280.05,994612
2017-09-06,283.925,289,281.8,284,578677
2017-09-07,279.35,288,277.5,285.625,407726
2017-09-08,277.175,282.75,275,280.5,415958
2017-09-11,279.3,282.45,275.5,279.375,348502
2017-09-12,277.825,280.225,275.525,280,234107
2017-09-13,278.75,280,275.525,278.45,238299
2017-09-14,277.05,282.15,276.35,279.5,179895
2017-09-15,283.625,286,275.225,275.9,504402
2017-09-18,281.35,288,279.5,284.5,411976
2017-09-19,276.525,281.4,275.5,281.4,465633
2017-09-20,274.95,279,273.175,278.4,607148
2017-09-21,276.85,280.4,273,275.6,493229
2017-09-22,272.975,275.95,270.5,275.95,284570
2017-09-25,276.75,278.75,264.25,274.8,448008
2017-09-26,280.05,281.8,272.325,278.05,562972
2017-09-27,279.325,281.7,275.825,280.45,419121
2017-09-28,278.575,279.9,275.05,278,379248
2017-09-29,284.3,288.95,275.05,279.475,396142
2017-10-03,281.275,286.675,278.775,284.6,535457
2017-10-04,281.65,286.425,280.05,283.95,166260
2017-10-05,292.875,295,281,281,867437
2017-10-06,307.525,311.5,293.1,295.2,1921968
2017-10-09,295.7,305.75,293.55,305.45,623692
2017-10-10,290.4,297.475,288,297.4,339224
2017-10-11,290.8,293.65,288.825,291.05,564042
2017-10-12,290.675,293.075,285.075,292.95,240905
2017-10-13,292.85,298,288.75,291.15,454782
2017-10-16,303.625,307.2,292,294.5,1007564
2017-10-17,302.175,304.9,299.225,302.8,271420
2017-10-18,295.85,304.5,294.1,300,314010
2017-10-19,300.45,301.775,296,296,102001
2017-10-23,299.25,302.975,297.65,300,379839
2017-10-24,296.7,300.975,295.75,299,129672
2017-10-25,285.125,299,282,295,733135
2017-10-26,290.675,294.925,286,287.4,169128
2017-10-27,295.9,302,293,293.9,422430
2017-10-30,293.975,299.5,285.5,296.5,813988
2017-10-31,290.875,297.675,290.05,294,226989
2017-11-01,294.65,296,290,295.475,294687
2017-11-02,305.125,309.75,298.5,298.5,927453
2017-11-03,307.45,310,305.475,310,537207
2017-11-06,307.6,311,303.95,308.975,322901
2017-11-07,305.725,310.1,299,309.15,344166
2017-11-08,305.925,311.9,304.5,305.5,319555
2017-11-09,311.875,314,306.5,306.5,416783
2017-11-10,302.475,311.5,300,309,286913
2017-11-13,307.35,309,297.55,302.5,375118
2017-11-14,311.8,312.45,308.025,310,267493
2017-11-15,312.975,314.95,304,304,222125
2017-11-16,322.8,326.25,313,313.25,519416
2017-11-17,335.225,339.5,320.05,324,663093
2017-11-20,331.6,337.475,329.025,336,178622
2017-11-21,325.75,337,324.6,334.6,758854
2017-11-22,326.35,327.825,320.775,326.075,116031
2017-11-23,332.775,336.9,325.1,329.225,171548
2017-11-24,331.625,336.5,329,332.775,127651
2017-11-27,334.275,335,327.5,332.45,210388
2017-11-28,339.8,342.175,331.1,334.475,447722
2017-11-29,344.75,349.2,340.6,342.5,307070
2017-11-30,349.025,356.5,337.5,344,522966
2017-12-01,351.05,356.5,345.5,349.85,269915
2017-12-04,343.825,354.9,335.15,353.925,211797
2017-12-05,342.3,345,340,343.825,157018
2017-12-06,336.425,344.975,335.05,342.3,245518
2017-12-07,338.8,341.925,335.025,338,113863
2017-12-08,344.9,347,338.5,339,239590
2017-12-11,356.425,365.975,344.025,347.45,684489
2017-12-12,362.125,366.25,357.5,357.5,509886
2017-12-13,349.65,368.5,347.55,364.825,257946
2017-12-14,337.875,352.95,325.45,351.6,290855
2017-12-15,335.225,346.925,330.05,342.55,1964081
2017-12-18,334.2,339.95,325,335.15,185631
2017-12-19,335.35,341.5,331.5,336.5,172981
