Date,Close,High,Low,Open,Volume
2024-11-06,443.25,449.95,430,440,46731
2024-11-07,439.75,451,435,441,35185
2024-11-08,424.5,442.85,414.9,433,72913
2024-11-11,416.3,443.7,412.65,416.15,46768
2024-11-12,430.25,470,415.05,422.55,162255
2024-11-13,461.3,469.5,422.1,422.1,371900
2024-11-14,457.45,464,447.75,462,203724
2024-11-18,452.8,458.9,431.55,450.1,79123
2024-11-19,472.9,488,459.95,459.95,189376
2024-11-21,468.25,487.2,451.05,472,103979
2024-11-22,482.35,485,461.3,463.5,69547
2024-11-25,495.95,504,486.1,490,273745
2024-11-26,476.6,498.6,474.35,495.95,69698
2024-11-27,461.65,480.05,460,479.95,62925
2024-11-28,484.6,496,470.3,473,231863
2024-11-29,475.45,494.6,472.35,494.6,48510
2024-12-02,461.7,480.45,455.5,479.2,364007
2024-12-03,475.55,479.8,462.1,468,96402
2024-12-04,479.65,489.45,461.1,474.05,74055
2024-12-05,480.45,485.1,474,485,53836
2024-12-06,479.75,495,473.1,485.25,69216
2024-12-09,474.3,494.95,470.05,480,273357
2024-12-10,498.85,505,465.95,475.1,293066
2024-12-11,493.4,524.45,483.05,503.6,195270
2024-12-12,489,493.5,481.15,490.5,69208
2024-12-13,488.55,495,478,492,77593
2024-12-16,486.1,495,480.15,488.55,85779
2024-12-17,505.9,511.5,482.5,489.9,295348
2024-12-18,519.95,523.5,504.05,510,306380
2024-12-19,510.35,520.95,499.95,501.05,266405
2024-12-20,528.15,536.45,511,516,372230
2024-12-23,506.9,537.15,502.65,530.1,124176
2024-12-24,514.8,519.45,500.2,506.95,67864
2024-12-26,527.95,530.3,501.35,517.65,125702
2024-12-27,516.95,546.6,511.1,530,226635
2024-12-30,516.1,524.7,505,524.7,227343
2024-12-31,509.25,518.45,502.9,510.05,65502
2025-01-01,518.4,525,508,513.25,39495
2025-01-02,512.15,520.2,503.1,513.25,93443
2025-01-03,512.05,515.95,508,512.15,64217
2025-01-06,501,516,492.05,515,163522
2025-01-07,500.3,504.95,458.55,458.55,190478
2025-01-08,514.25,517.45,493,500.1,332023
2025-01-09,500.25,514.2,496.15,514.2,74468
2025-01-10,494.9,506.95,487.8,504.65,171525
2025-01-13,482.75,502,467.55,499.75,94781
2025-01-14,500.35,507,470.05,489.9,71459
2025-01-15,494.25,502.5,486.65,500,124622
2025-01-16,500.35,514,493.1,494.25,43550
2025-01-17,504.5,510.6,492.55,500.35,36865
2025-01-20,504,508,496.05,504.5,44826
2025-01-21,507.2,512.1,496.85,499,73602
2025-01-22,480.05,522,472.55,513,655662
2025-01-23,480.05,481.25,466,478,164264
2025-01-24,478.8,486.3,468.1,486.3,49896
2025-01-27,464.95,474.8,457.15,471.25,155267
2025-01-28,476.85,481,431.6,467,161110
2025-01-29,489.25,492.05,468.4,478.8,52430
2025-01-30,438.2,491.25,426.35,488.75,1023422
2025-01-31,422.2,429.8,402.15,414,712707
2025-02-03,469.7,487.95,458.05,462.35,549583
2025-02-04,486.3,491,465,465,84658
2025-02-05,482.95,488.9,471,475,101332
2025-02-06,479.75,488,472.2,488,103160
2025-02-07,476.6,484.85,457.85,472.1,303191
2025-02-10,454.15,474,445,470.1,461554
2025-02-11,416.1,459.9,405.15,456.4,231621
2025-02-12,414.6,426.4,391.55,418,155222
2025-02-13,415.5,425.7,408.1,414.35,55116
2025-02-14,404,426.95,385.6,426.95,199789
2025-02-17,384.6,406.05,368,406.05,497294
2025-02-18,389.05,392.9,377.3,390.35,141886
2025-02-19,399,400.95,380.95,389.9,82512
2025-02-20,413.15,414.95,399,399,94935
2025-02-21,411.35,419.3,409.45,419.3,40148
2025-02-24,413.2,416.25,403.45,405.2,36934
2025-02-25,414.9,418,405.1,405.1,46318
2025-02-27,413.5,420.8,406.5,416.95,62741
2025-02-28,434.4,445,399.05,407.3,411400
2025-03-03,427.8,437.3,400.6,434.4,138497
2025-03-04,448.05,453,412.3,421.4,133249
2025-03-05,461.15,466.9,440.05,443.9,702244
2025-03-06,455.85,475.4,450.55,465,46900
2025-03-07,457.95,468.1,446.95,454.55,98169
2025-03-10,429.2,470,426,457,83294
2025-03-11,424.4,437.4,419.7,427.95,44072
2025-03-12,425.5,430.95,420,420,17216
2025-03-13,424.85,429.3,420,429.25,25847
2025-03-17,424.6,429.65,421.1,427,29897
2025-03-18,436.45,440,424.35,426.75,26200
2025-03-19,439.95,443,432.55,438.65,37459
2025-03-20,436.25,458,414.55,446.55,379979
2025-03-21,437.1,444,430.15,436.25,52918
2025-03-24,429.65,440.15,423,438.75,98402
2025-03-25,438.65,445,428.15,445,72717
2025-03-26,435.55,438.8,432.2,432.35,30004
2025-03-27,460.35,465.7,433,434.95,280135
2025-03-28,445.75,460,439.65,454,136472
2025-04-01,443.6,448.65,440,448,29727
2025-04-02,450.75,458.4,438.7,448.9,569889
2025-04-03,452.35,459.7,445,445,36448
2025-04-04,432.65,455.85,428.5,453.15,63770
2025-04-07,409.7,426.95,391,391.95,146591
2025-04-08,419.9,426.9,411.05,411.05,44996
2025-04-09,416.7,421.95,411.9,412.7,34531
2025-04-11,427.85,439.05,421,439,43995
2025-04-15,443.95,445.8,429.85,429.9,47202
2025-04-16,445.65,448.65,440.3,448.4,22800
2025-04-17,438.65,449.5,435.55,449.5,45063
2025-04-21,443.6,446.1,435.95,444.9,33918
2025-04-22,454.1,457.45,438.5,443.55,48408
2025-04-23,444.6,460.4,441,456,32054
