Date,Close,High,Low,Open,Volume
2024-05-30,421.75,451.45,415.2,435,13664267
2024-05-31,402.95,424.45,396,421,1663442
2024-06-03,419.35,423.5,405,420,1135227
2024-06-04,407.05,417,371.4,417,706925
2024-06-05,413.25,423.7,384,400,422329
2024-06-06,408.65,418.15,406.95,408,308675
2024-06-07,448.5,468.8,410.3,415.95,1935606
2024-06-10,439.8,455,433.25,448.5,536318
2024-06-11,455.85,468,443.05,447,695332
2024-06-12,472.55,485.9,457.2,463.95,717967
2024-06-13,466.95,478.45,462.1,474.8,298522
2024-06-14,483.35,491.8,464.85,470,616614
2024-06-18,486.5,494.8,473.2,489.35,351370
2024-06-19,499.85,507.25,479.25,488,597141
2024-06-20,504.9,544,500,530.15,1736521
2024-06-21,491.1,512.8,484.6,504.9,280205
2024-06-24,507.05,515,474.7,494.9,371253
2024-06-25,536.6,540,505,511,699993
2024-06-26,561.95,578.95,544,544.95,955436
2024-06-27,517.65,561.5,507.5,559.95,609993
2024-06-28,514.6,524.7,505.5,517.05,595151
2024-07-01,515.55,522.5,501,522.3,281660
2024-07-02,516.35,522.95,510.1,514,422263
2024-07-03,518.85,532,510.7,518,237784
2024-07-04,553.65,568.9,518.05,518.85,759783
2024-07-05,552.15,553.9,543,553.9,155827
2024-07-08,573.4,592,551.95,552,512050
2024-07-09,548.2,573.5,544.75,573.5,194899
2024-07-10,600.35,613.45,521.95,550.35,668627
2024-07-11,626.15,634.8,597.95,604.35,913989
2024-07-12,619.75,634.9,604.25,630.5,230499
2024-07-15,615.45,628.75,608.25,624.8,162300
2024-07-16,631.55,637.4,615.55,620,247276
2024-07-18,701.3,757.85,632,633.15,2608734
2024-07-19,647.1,747.6,641.3,701.3,1029854
2024-07-22,621.6,648,613.7,640,264417
2024-07-23,615.4,641.2,578.9,631,202176
2024-07-24,645.9,652,615.4,621.8,211081
2024-07-25,641.5,657.3,636.25,643.9,117240
2024-07-26,639.95,650,636.25,636.25,72381
2024-07-29,695.4,701,656.35,694.9,374205
2024-07-30,682.2,706.15,674.5,695.4,165313
2024-07-31,691.2,697.5,676,685.75,117753
2024-08-01,681.05,695.1,660.6,693.95,102852
2024-08-02,670,675.8,648.05,670,119527
2024-08-05,625.7,662,620.05,651,207233
2024-08-06,626.55,648.3,612.55,629.4,121162
2024-08-07,629.25,656,621.2,634,91400
2024-08-08,668.35,683,631.65,640.05,289766
2024-08-09,696.1,712,678.05,690,252655
2024-08-12,687.05,710,680,690,219656
2024-08-13,670.95,704.9,665.55,688.2,145954
2024-08-14,708.5,746.65,676.55,700,1020405
2024-08-16,720.1,739.25,712,739.25,285146
2024-08-19,744.85,760,702.3,727,220556
2024-08-20,794.8,856,765.5,789.95,1875484
2024-08-21,788.35,819.9,780.25,794.8,313294
2024-08-22,861.7,946,800,800,3946638
2024-08-23,899.9,932.7,865.65,868,1772225
2024-08-26,791.3,888,771,888,1430402
2024-08-27,766.7,814.45,763.55,804,731375
2024-08-28,795.35,824.45,767.25,805,1443853
2024-08-29,758.55,795.2,755,794,354291
2024-08-30,749.65,769.7,731.05,767.95,613646
2024-09-02,776.5,794,743.5,749.65,623003
2024-09-03,773.5,784.6,762.05,782.8,265372
2024-09-04,782.55,795,760,768.05,342166
2024-09-05,809.95,825,780.85,783,764302
2024-09-06,771.55,825,765.15,810.5,420344
2024-09-09,756.5,778.9,748,771.6,238641
2024-09-10,789.5,794,762.3,762.35,356785
2024-09-11,750.6,797.8,746.1,797.8,303350
2024-09-12,726.55,770,719,759.9,494997
2024-09-13,727.55,758,723.7,734.9,282376
2024-09-16,708.05,739.45,700.35,736,427531
2024-09-17,725.05,738.5,702.3,714,560641
2024-09-18,713.15,730,707.4,730,305711
2024-09-19,728.55,742.1,702.2,730,418567
2024-09-20,722.95,742,707,733.9,271434
2024-09-23,729.65,738,717,727.9,217249
2024-09-24,712.65,731.75,707.3,731.75,115538
2024-09-25,712.15,721,705,719.85,174129
2024-09-26,702.1,713.2,701,712.15,110688
2024-09-27,696.85,712,690.2,706.25,138282
2024-09-30,699,709,683,699,256305
2024-10-01,704.5,714.9,700,706.8,136487
2024-10-03,675.55,697.7,669.6,694,445126
2024-10-04,672.05,680.5,650,673.9,189616
2024-10-07,633.8,686.05,625,675,430144
2024-10-08,668.7,678,623.25,625,240605
2024-10-09,679.5,698,662.8,678.7,225661
2024-10-10,720.85,725,681,683,313960
2024-10-11,707.85,729.9,700.05,720.55,202835
2024-10-14,709.7,716.7,702.8,709.05,170950
2024-10-15,712.7,720.3,695.1,710.4,182441
2024-10-16,755.2,761.95,708.05,713,438696
2024-10-17,749.3,762.7,734.55,756,234135
2024-10-18,752.75,756,735,749.3,126896
2024-10-21,745.55,769.35,739.1,754,115769
2024-10-22,711.9,745.55,691,745.55,235611
2024-10-23,707.25,717.9,696.8,709,133427
2024-10-24,705.3,715,701.2,710,76593
2024-10-25,682.65,712.1,671.2,705,112381
2024-10-28,702.2,712.5,675,682.65,73649
2024-10-29,680.55,705.05,678,702.05,111571
2024-10-30,685.65,701.9,681.3,683.9,63120
2024-10-31,679.45,694.4,677.95,687,97975
2024-11-01,686.25,692.95,680.1,680.1,13191
2024-11-04,717.8,744,673.6,698,358740
2024-11-05,728.8,749,707.05,707.05,214857
2024-11-06,748.9,755,728.8,747.95,221063
2024-11-07,777.5,780,743.3,748.9,403667
2024-11-08,792.85,798,772.5,787.5,244581
2024-11-11,777.45,804.7,768.5,791.25,177624
2024-11-12,764.45,810,728,810,966729
2024-11-13,728.25,777.75,721.6,768.7,243193
2024-11-14,714.05,737.05,708.25,724,183480
2024-11-18,685.85,720.05,683.65,717.85,113049
2024-11-19,670.35,701.05,663.95,686.85,138970
2024-11-21,675.45,685,664.7,669.85,125594
2024-11-22,680.85,685.6,666.1,685,70121
2024-11-25,701.5,711,685,698.5,156571
2024-11-26,719.45,730,701,705.9,186673
2024-11-27,720.25,729.4,715.6,729,130544
2024-11-28,721.85,744.1,719.95,728,162931
2024-11-29,693.85,715.3,678.5,700,933910
2024-12-02,698.4,714.9,696.5,699.3,188474
2024-12-03,728.95,740,697.65,704.85,421828
2024-12-04,721.8,740,715,740,610676
2024-12-05,719.75,732,713,722.1,110676
2024-12-06,715.65,725.95,713.5,725.9,71217
2024-12-09,717.25,728,715,728,122981
2024-12-10,717.05,725,713,724.4,83584
2024-12-11,777.4,795,700,717,2753587
2024-12-12,756.35,807.8,747,795,1306232
2024-12-13,726.85,747.7,720.55,742,616039
2024-12-16,723.7,739.6,721,730.8,177081
2024-12-17,727.55,745.5,720.55,726.7,366297
2024-12-18,729.7,735,706.95,733.5,172363
2024-12-19,722.7,755.8,705.75,723.05,847372
2024-12-20,714.65,748.9,701,728.85,652539
2024-12-23,702.8,723.95,690.25,720,322085
2024-12-24,729.25,735,702.8,710.55,348852
2024-12-26,724.8,730.7,713.3,730.5,175471
2024-12-27,725.45,743.5,720.75,727,354050
2024-12-30,716.15,731.95,707,730.3,247991
2024-12-31,724.85,730,703,716.9,252696
2025-01-01,720.5,736.4,715.55,726,106003
2025-01-02,757.5,764.5,723.85,726.05,399410
2025-01-03,751.05,772.8,745.5,757.5,280044
2025-01-06,728.2,752.4,718.9,751.9,534685
2025-01-07,754.05,763,732.4,734.9,525300
2025-01-08,760.55,772,725.8,754.3,484035
2025-01-09,740.45,786.95,739.5,756.65,346831
2025-01-10,712.65,742.2,698.05,738.5,414255
2025-01-13,682.15,708.6,673.85,700.7,415498
2025-01-14,710,717.85,671.4,679,494577
2025-01-15,688.85,710.25,685,710.25,754387
2025-01-16,710.75,724,688.9,690,209896
2025-01-17,701.05,711.25,696,708.1,282248
2025-01-20,706.3,713.7,696,711,313730
2025-01-21,701.45,712.35,689.75,712.35,120283
2025-01-22,679.65,704.4,668.65,701.35,285425
2025-01-23,692.1,698.5,676.25,682,180780
2025-01-24,675.45,698.05,670.65,696,188723
2025-01-27,633.95,671.75,624,671.75,339375
