Date,Close,High,Low,Open,Volume
2023-12-28,677.5,727,670,720,15106934
2023-12-29,692.05,714.4,684.05,685.5,3447128
2024-01-01,683.35,702,680,696.75,762525
2024-01-02,676.1,693.65,675,683.5,787783
2024-01-03,666.8,682,665.2,676.95,558334
2024-01-04,661.1,673.6,660,665,436763
2024-01-05,661.7,674.85,657.25,664.65,542662
2024-01-08,659.45,669,648.4,662,541995
2024-01-09,667.2,672,658.3,664,581493
2024-01-10,673.6,675.9,663.4,667.2,399548
2024-01-11,669.8,677.4,666.2,675,275412
2024-01-12,689.8,706.05,684.7,689.75,1071933
2024-01-15,685.2,696.2,680.2,695,293051
2024-01-16,669.6,686,664.65,686,249283
2024-01-17,659.15,674.05,642.4,667,269257
2024-01-18,665.3,668.65,643.35,657.15,286285
2024-01-19,670.05,678.1,666.65,670,148856
2024-01-22,678.1,682.4,667.05,675.65,156847
2024-01-23,670.55,687.75,665,680,327607
2024-01-24,670.85,683,669,679.5,245282
2024-01-25,676.15,682,672,677,140295
2024-01-29,711.95,745.9,681.05,683.65,3152212
2024-01-30,854.3,854.3,717.65,723.3,5226821
2024-01-31,961.25,1013.4,892.3,919,8395202
2024-02-01,943.4,981.55,925,955,1303874
2024-02-02,945.4,969,936.55,952,476628
2024-02-05,932.2,953.45,900,945.7,536826
2024-02-06,898.4,936.45,892,932,426753
2024-02-07,988.2,988.2,940,955,1099485
2024-02-08,991.5,1045,970.05,1010,1111615
2024-02-09,970.25,1014,940.7,1012,394246
2024-02-12,958.85,994.7,930.6,978.65,292026
2024-02-13,979.65,989.95,899.9,960,394676
2024-02-14,1015.35,1020,934.75,963.95,392419
2024-02-15,1071.5,1100,1027.85,1029.65,682435
2024-02-16,1113.4,1144,1075,1077,588802
2024-02-19,1224.7,1224.7,1116.35,1123,494030
2024-02-20,1216.25,1285.9,1209,1269,786530
2024-02-21,1158.45,1228.65,1155.45,1228.65,368876
2024-02-22,1216.35,1216.35,1116.05,1179.8,514314
2024-02-23,1203.65,1248.3,1195.05,1239.85,277247
2024-02-26,1186.55,1219,1180.75,1215,152337
2024-02-27,1180.45,1212,1171.5,1186,222472
2024-02-28,1180.7,1205,1164.1,1174.95,244937
2024-02-29,1210.35,1238.8,1180.7,1193,350624
2024-03-01,1270.85,1270.85,1230,1240.35,468627
2024-03-04,1400.25,1401.05,1335,1360,656805
2024-03-05,1356.9,1465,1349,1424.8,830654
2024-03-06,1297.8,1380,1289.05,1358,554005
2024-03-07,1356.4,1362.65,1325.25,1345,365818
2024-03-11,1302.8,1360,1292.15,1360,287062
2024-03-12,1283.1,1334.95,1251.05,1334.95,308305
2024-03-13,1218.95,1299,1218.95,1270,208958
2024-03-14,1222.35,1256.8,1158,1185,493599
2024-03-15,1214.1,1259.4,1193.05,1231.05,137935
2024-03-18,1229.85,1260,1216.2,1229.9,140845
2024-03-19,1214.95,1240.75,1203.1,1229.55,59509
