Date,Close,High,Low,Open,Volume
1995-03-15,13.3333,13.3333,13.3333,13.3333,100
1995-05-19,10.4444,10.4444,10.4444,10.4444,200
1995-05-22,10.4444,10.4444,10.4444,10.4444,550
1995-06-02,9.55556,9.55556,9.55556,9.55556,100
1995-06-05,8.88889,9.33333,8.88889,9.33333,650
1995-06-07,8.57778,8.57778,8.57778,8.57778,300
1995-06-08,7.51111,7.72,6.04444,7.72,750
1995-06-09,7.77778,7.77778,7.33556,7.33556,250
1995-06-12,8,8,8,8,50
1995-06-13,7.86667,7.86667,7.77778,7.77778,250
1995-06-19,7.77778,7.77778,7.77778,7.77778,50
1995-06-21,8.11111,8.11111,8.11111,8.11111,25000
1995-06-22,8.53333,8.53333,8.44444,8.44444,200
1995-06-23,8.35556,8.66667,8.35556,8.66667,200
1995-06-26,8.22222,8.35556,8.22222,8.35556,200
1995-06-27,8.17556,8.44444,8.04444,8.44444,20600
1995-06-28,8.22222,8.22222,8.13333,8.13333,800
1995-06-29,8.24444,8.24444,8.15556,8.15556,300
1995-06-30,8.50222,8.88889,8.17778,8.17778,10600
1995-07-04,8.01111,8.22222,8,8.22222,1300
1995-07-05,8.15556,8.44444,8.13333,8.44444,1050
1995-07-06,8.22222,8.22222,8,8,200
1995-07-10,8.22222,8.22222,8.22222,8.22222,100
1995-07-11,8.29556,8.44444,8.22222,8.22222,600
1995-07-12,8,8.31111,8,8.22222,1450
1995-07-13,8.04444,8.13333,8.04444,8.13333,400
1995-07-14,8.04444,8.08889,8,8.04444,800
1995-07-19,8.35556,8.35556,8.35556,8.35556,200
1995-07-20,8.22222,8.22222,8.22222,8.22222,600
1995-07-21,8.22222,8.22222,8.22222,8.22222,100
1995-07-26,8.95556,8.97778,8.66667,8.66667,2900
1995-07-27,9.45556,9.55556,9.24444,9.24667,1900
1995-07-28,10,10.2222,9.33333,9.33333,1200
1995-07-31,9.55556,9.6,9.55556,9.6,150
1995-08-01,9.2,9.37778,9.2,9.2,400
1995-08-07,8.88889,9.02222,8.88889,9.02222,600
1995-08-08,8.84444,8.88889,8.84444,8.88889,500
1995-08-11,9.11111,9.11111,9.11111,9.11111,50
1995-08-14,8.66667,8.66667,8.66667,8.66667,100
1995-09-05,8,8.22222,8,8.22222,200
1995-09-07,7.64444,7.64444,7.64444,7.64444,100
1995-09-08,8,8.22222,8,8.22222,200
1995-09-12,7.95556,7.95556,7.95556,7.95556,200
1995-09-13,7.55556,7.55556,7.55556,7.55556,150
1995-09-15,7.68889,7.68889,7.68889,7.68889,300
1995-09-18,7.86667,7.86667,7.86667,7.86667,200
1995-09-19,8.05556,8.05556,8.05556,8.05556,200
1995-09-20,8.14444,8.14444,8,8.04444,400
1995-09-21,7.82222,7.82222,7.82222,7.82222,400
1995-09-27,7.33333,7.33333,7.33333,7.33333,200
1995-09-28,8,8,7.77778,7.77778,200
1995-09-29,8,8,8,8,100
1995-10-05,8,8,8,8,100
1995-10-10,8.22222,8.44444,8.22222,8,200
1995-10-11,9.11111,9.31111,9.11111,8.22222,200
1995-10-12,8.84444,8.84444,8.44444,9.11111,550
1995-10-13,8.66667,8.84444,8.66667,8.84444,250
1995-10-16,8.57778,8.80222,8.44444,8.66667,900
1995-10-17,8.44444,8.66667,8.44444,8.44444,1750
1995-10-19,8,8,8,8,100
1995-10-20,8,8,8,8,500
1995-10-23,7.97778,7.97778,7.97333,8,250
1995-10-24,8,8.04444,8,8.04444,200
1995-10-26,8,8,8,8,100
1995-10-27,8,8,8,8,100
1995-10-30,8,8,8,8,50
1995-10-31,7.2,7.55556,7.2,7.22222,400
1995-11-01,7.02222,7.02222,7.02222,7.02222,100
1995-11-02,7.33333,7.33333,7.33333,7.33333,100
1995-11-03,7.33333,7.33333,7.33333,7.33333,100
1995-11-06,7.33333,7.35556,7.33333,7.33333,300
1995-11-07,7.33333,7.33333,7.33333,7.33333,50
1995-11-08,7.55556,7.55556,7.55556,7.55556,100
1995-11-09,7.55556,7.55556,7.46667,7.55556,700
1995-11-10,7.33333,7.46667,7.33333,7.46667,150
1995-11-13,7.15556,7.28889,7.15556,7.28889,250
1995-11-14,6.8,7.15556,6.62222,7.15556,350
1995-11-15,6.88889,7.02222,6.66667,6.66667,650
1995-11-16,6.75556,6.93333,6.75556,6.88889,350
1995-11-17,6.62222,6.75556,6.57778,6.75333,400
