Date,Close,High,Low,Open,Volume
1995-10-04,4.29282,4.29282,4.29282,4.29282,200
1995-10-12,5.03296,5.03296,5.03296,4.29282,100
1995-10-30,4.52967,4.97375,4.52967,4.97375,200
1995-10-31,4.98263,4.98263,4.98263,4.52967,100
1995-11-01,5.03296,5.03296,5.03296,5.03296,100
1995-11-02,5.03296,5.03444,5.03296,5.03444,300
1995-11-06,5.03296,5.03296,5.03296,5.03296,100
1995-11-10,4.73691,4.73691,4.73691,5.03296,100
1995-11-13,4.85829,4.86273,4.85533,4.73691,300
1995-11-14,4.73691,4.73691,4.73691,4.85829,100
1995-11-15,4.52967,4.52967,4.51486,4.73691,300
1995-11-16,4.58888,4.58888,4.58888,4.52967,100
1995-11-23,4.29282,4.29282,4.29282,4.58888,100
1995-11-27,4.58592,4.58592,4.58592,4.29282,100
1995-11-28,4.44085,4.44085,4.44085,4.44085,100
1995-11-29,4.45565,4.58888,4.45565,4.44085,300
1995-11-30,4.14479,4.14479,4.01009,4.01009,300
1995-12-01,3.70071,3.70219,3.70071,4.14479,1000
1995-12-04,3.40465,3.43426,3.40465,3.43426,700
1995-12-05,3.1086,3.1308,3.1086,3.1086,2200
1995-12-06,3.28623,3.34544,3.28623,3.1086,200
1995-12-07,3.24182,3.25662,3.1382,3.28623,1600
1995-12-08,3.53788,3.53788,3.40465,3.40465,700
1995-12-11,3.43426,3.43426,3.43426,3.53788,200
1995-12-12,3.25662,3.46386,3.25662,3.43426,800
1995-12-14,3.19741,3.19741,3.19741,3.25662,400
1995-12-15,3.19741,3.19741,3.19741,3.19741,100
1995-12-18,3.1086,3.1086,3.1086,3.19741,100
1995-12-19,3.02126,3.02126,3.01978,3.01978,900
1995-12-20,3.01978,3.01978,3.01978,3.02126,400
1995-12-21,2.96057,3.01978,2.96057,3.01978,700
1995-12-22,2.99017,2.99017,2.99017,2.96057,100
1995-12-29,2.96057,2.96057,2.96057,2.99017,100
1996-01-01,2.87175,2.87175,2.87175,2.96057,100
1996-01-02,2.87175,2.87175,2.87175,2.87175,100
1996-01-03,2.99017,2.99017,2.99017,2.87175,200
1996-01-04,2.90136,2.90136,2.90136,2.99017,200
1996-01-05,2.81994,2.81994,2.81994,2.90136,100
1996-01-09,2.7252,2.7252,2.7252,2.81994,100
1996-01-10,2.69412,2.69412,2.6053,2.7252,300
1996-01-12,2.81254,2.81254,2.81254,2.69412,200
1996-01-19,2.53128,2.53128,2.53128,2.81254,200
1996-01-24,2.42766,2.42766,2.42766,2.53128,100
1996-01-25,2.36845,2.36845,2.36845,2.36845,100
1996-01-30,2.39806,2.40102,2.39806,2.36845,200
1996-01-31,2.39806,2.39806,2.39806,2.39806,200
1996-02-02,2.6349,2.6349,2.51648,2.51648,300
1996-02-05,2.88655,2.88655,2.87175,2.87175,400
1996-02-07,2.67931,2.69412,2.67931,2.88655,200
1996-02-08,2.79774,2.79774,2.79774,2.67931,100
1996-02-09,2.81254,2.81254,2.81254,2.79774,100
1996-02-12,2.96057,2.96057,2.93096,2.93096,400
1996-02-14,3.1086,3.1086,3.10119,3.10119,300
1996-02-15,3.40465,3.40465,3.25662,3.1086,1600
1996-02-16,3.22702,3.22702,3.19741,3.19741,300
1996-02-19,3.16781,3.19741,3.16781,3.22702,500
1996-02-20,3.16781,3.16781,3.16781,3.16781,100
1996-02-22,3.19741,3.19741,3.19741,3.16781,100
1996-02-23,3.1086,3.1086,3.1086,3.19741,300
1996-02-26,3.1086,3.1086,3.1086,3.1086,400
1996-03-01,2.81254,2.81254,2.81254,3.1086,100
1996-03-08,3.04938,3.04938,2.99017,2.81254,200
1996-03-15,3.1086,3.1086,3.1086,3.04938,200
1996-03-19,2.96057,2.96057,2.96057,2.96057,100
1996-03-25,2.84214,2.84214,2.84214,2.84214,100
1996-03-26,2.81254,2.81254,2.81254,2.81254,400
1996-03-29,2.87175,2.87175,2.87175,2.87175,100
1996-04-02,2.81254,2.81402,2.81254,2.81402,200
1996-04-03,2.84214,2.84214,2.84214,2.84214,100
1996-04-04,2.81254,2.84214,2.81254,2.84214,200
1996-04-08,2.87175,2.87175,2.87175,2.81254,100
1996-04-11,2.81254,2.81254,2.81254,2.81254,200
1996-04-16,2.84214,2.84214,2.84214,2.84214,200
1996-04-19,3.12636,3.12636,3.12636,3.12636,100
1996-04-22,3.25662,3.25662,3.12636,3.12636,400
1996-04-25,3.25366,3.25366,3.25366,3.25366,100
1996-05-01,3.1086,3.1086,3.1086,3.1086,100
1996-05-02,3.1086,3.1086,3.1086,3.1086,100
1996-05-03,3.1086,3.1086,3.1086,3.1086,100
1996-05-16,2.84214,2.85695,2.84214,2.85695,200
1996-05-17,2.87175,2.87175,2.84955,2.87175,800
1996-05-21,2.78737,2.78737,2.78737,2.78737,100
1996-05-23,2.72372,2.72372,2.72372,2.72372,100
1996-05-27,2.6053,2.66451,2.6053,2.66451,300
1996-05-29,2.6053,2.6053,2.6053,2.6053,300
1996-05-30,2.86435,2.86435,2.86435,2.6053,100
1996-05-31,2.81254,2.81254,2.81254,2.81254,200
1996-06-03,2.74,2.74,2.74,2.74,100
1996-06-04,2.96057,2.96057,2.96057,2.96057,200
1996-06-06,2.66451,2.66451,2.66451,2.66451,100
1996-06-07,2.75333,2.75333,2.60678,2.60678,500
1996-06-11,2.6349,2.75333,2.6349,2.75333,400
1996-06-12,2.72372,2.72372,2.66451,2.66451,200
1996-06-13,2.78441,2.81254,2.78441,2.78589,400
1996-06-14,2.84066,2.84066,2.75481,2.81254,500
1996-06-17,2.93096,2.94576,2.70892,2.70892,500
1996-06-18,2.84066,2.84066,2.78293,2.78293,300
1996-06-20,2.72372,2.73112,2.72372,2.73112,200
1996-06-21,2.6349,2.69412,2.6349,2.69412,200
1996-06-24,2.78293,2.78293,2.77405,2.77405,600
1996-06-25,2.78293,2.78293,2.75333,2.78293,500
1996-06-26,2.75333,2.75333,2.75333,2.75333,100
1996-06-27,2.75333,2.75333,2.75333,2.75333,300
1996-07-01,2.51648,2.51648,2.51648,2.51648,300
1996-07-05,2.42766,2.45727,2.42766,2.45727,200
1996-07-10,2.26483,2.26483,2.26483,2.26483,100
1996-07-12,2.13161,2.13309,2.13161,2.13309,200
1996-07-19,2.13161,2.13161,2.13161,2.13161,100
1996-07-22,2.21894,2.21894,2.21894,2.21894,100
1996-07-26,2.32404,2.32404,2.32404,2.32404,100
1996-07-29,2.30924,2.30924,2.22043,2.22043,300
1996-07-30,2.16121,2.22043,2.16121,2.22043,200
1996-08-01,2.13161,2.13161,2.13161,2.13161,100
1996-08-02,2.01319,2.01319,2.01319,2.01319,100
1996-08-06,1.83703,1.83703,1.83703,1.83703,100
1996-08-07,1.98358,1.98358,1.98358,1.98358,100
1996-08-08,1.84295,1.84295,1.84295,1.84295,100
