Date,Close,High,Low,Open,Volume
2018-03-27,476.85,499,455,499,91036632
2018-03-28,469.05,478.9,463,463.85,12056881
2018-04-02,475.7,485,472,474.9,5239378
2018-04-03,483.45,485.9,469.15,474,2796977
2018-04-04,486.05,488.8,478,484.6,2459030
2018-04-05,509.2,514.9,487.3,490,8163440
2018-04-06,508.25,517.7,505.2,512.5,1844654
2018-04-09,514.45,519.9,496.05,508.8,2656272
2018-04-10,518.65,520.8,510.2,515,1731872
2018-04-11,533.5,535,513,519.9,3555719
2018-04-12,534.75,540.8,526.1,530,1884412
2018-04-13,528.65,536.95,526.4,533,1057977
2018-04-16,518.8,532.35,516.1,523.9,760439
2018-04-17,505.1,521.4,500,520,1156139
2018-04-18,504.15,513.5,501,508,815508
2018-04-19,505.1,508.9,502,505.2,589106
2018-04-20,495.05,510.5,493.1,505.1,949874
2018-04-23,498.35,504.3,481.75,496,2474228
2018-04-24,489.85,502.3,486,500,1200876
2018-04-25,494.3,497.1,485.25,490.05,1313604
2018-04-26,495,501.4,491.1,497.1,1878261
2018-04-27,506.45,522.95,498.5,498.8,5635987
2018-04-30,513.45,515.9,502.7,509.5,1461600
2018-05-02,515.85,520.9,511,513,1319363
2018-05-03,502.05,515,496.4,511.95,861937
2018-05-04,504.6,506,500.5,503,1078225
2018-05-07,494.5,508,492.65,507,764766
2018-05-08,494.35,497,490,496.95,568372
2018-05-09,488.6,495.25,485.3,492,505802
2018-05-10,486.45,493.9,484.05,490,251959
2018-05-11,484.35,492.2,480.25,486.55,1030945
2018-05-14,479.95,489.4,478.4,484,377154
2018-05-15,483.85,489.8,473.5,483.9,1463884
2018-05-16,482.5,484.9,475,479.9,432584
2018-05-17,483.85,487,477.65,483,477080
2018-05-18,479.55,485.05,478,481.05,294337
2018-05-21,468.8,481.2,463.2,474,363194
2018-05-22,470.35,477.4,468,468.8,243251
2018-05-23,495.95,500,469.3,471.8,1809012
2018-05-24,477.2,495.1,474.6,489.8,435390
2018-05-25,483.1,487,476.85,483.75,289819
2018-05-28,484.55,488.4,481,486.7,228736
2018-05-29,479.75,488.5,478.25,485.1,172900
2018-05-30,469.9,478.95,468.2,477,372779
2018-05-31,470.5,474,463.1,472.2,375833
2018-06-01,475.1,478.75,470,470,347149
2018-06-04,473.95,479,470.4,479,331178
2018-06-05,470.05,474,456.15,474,535857
2018-06-06,495.7,503.6,467,471,2580270
2018-06-07,498.05,502.9,491.2,501,767664
2018-06-08,498.1,502.35,492.3,496.9,971489
2018-06-11,512.2,529,496.05,501,3530631
2018-06-12,520.2,525.5,505.55,510.1,1061375
2018-06-13,535.7,539.85,518.55,521.05,1541850
2018-06-14,547.2,560,538,538,3171005
2018-06-15,550.15,553.8,531.4,544.4,1468910
2018-06-18,551.95,557.9,545.2,548.05,653866
2018-06-19,534.2,549.95,532,546.25,603528
2018-06-20,539.7,551.4,535.15,536.95,617216
2018-06-21,537.55,547.9,535.15,541,327133
2018-06-22,536.1,544,533.15,537.55,293938
2018-06-25,534.5,542,533.05,538.35,308692
2018-06-26,531.5,542,528.05,532.1,1183515
2018-06-27,523.85,535,520.05,535,855250
2018-06-28,512.2,523.85,508,522,260547
2018-06-29,526.55,530,512.25,514.95,346849
2018-07-02,527.65,530.65,523,530,1119123
2018-07-03,559.25,567.8,525,527,679896
2018-07-04,548.45,558.7,545.05,552.8,367351
2018-07-05,540.05,549.8,538,547.15,270838
2018-07-06,544.3,548.4,538.05,538.05,313428
2018-07-09,557.95,560.7,544.5,548.8,687065
2018-07-10,580,585.95,561,561,1321938
2018-07-11,567.4,588.8,564,577,862150
2018-07-12,563.15,572,555.65,569.9,960998
2018-07-13,568.95,579.35,556.4,564.8,1274500
2018-07-16,557.35,564.8,544.55,558.25,433679
2018-07-17,562.75,566.4,552.05,559.9,397824
2018-07-18,600.5,607.7,564,564,5518147
2018-07-19,617.5,633,590.35,599,3883898
2018-07-20,687.4,706.8,616,618,5425223
2018-07-23,681.2,714,665.55,685,2813794
2018-07-24,708.7,712.9,681.3,681.3,2345515
2018-07-25,695.1,715,688.4,709.9,1490189
2018-07-26,664.5,702.9,660.1,697.9,1091444
2018-07-27,687.05,696.7,667,667.05,1354625
2018-07-30,690,707.95,685.95,690.4,769600
2018-07-31,701.35,719.8,682.6,690.1,1586042
2018-08-01,706.95,714,703,703.5,602841
2018-08-02,699.45,708.7,693,708.6,622240
2018-08-03,698.7,710.45,693.5,704.45,651603
2018-08-06,688.85,704.35,685,704.35,676161
2018-08-07,675.45,691.65,671.75,689.9,569096
2018-08-08,692.75,696,675.45,675.45,584943
2018-08-09,729.7,741.8,694.1,694.1,3562003
2018-08-10,702.7,731.4,695,731.4,818271
2018-08-13,685.5,702.4,680.55,699.8,663776
2018-08-14,698.9,707.75,685.5,685.5,960441
2018-08-16,700.65,706.95,690,694,501028
2018-08-17,703.9,711.45,702.15,704.95,723488
2018-08-20,699.75,709.65,698,707.95,376704
2018-08-21,685.05,698,682,698,589147
2018-08-23,665.7,692.4,662.35,690,1671749
2018-08-24,674.6,681,612,666.5,5165184
2018-08-27,689.35,704.1,681.4,681.65,1698763
2018-08-28,698,701,681.65,695.9,894560
2018-08-29,686.15,700,681.1,700,821218
2018-08-30,677.4,694.8,674.2,686,430372
2018-08-31,694.8,698.25,672.7,677.45,737840
2018-09-03,670.75,696,667.8,694.05,730245
2018-09-04,638.3,677.95,630,674.95,1310534
2018-09-05,635.4,656.65,616.7,635,11060659
2018-09-06,643.15,654.3,640,645,794953
2018-09-07,658.65,661.95,640.05,643.1,750500
2018-09-10,646.3,665.9,642.5,660,783340
