Date,Close,High,Low,Open,Volume
1997-02-26,15.76,15.89,15.1,15.56,56000
1997-02-27,17.02,17.3,15.72,15.72,56400
1997-02-28,18.29,19,18.05,18.05,27900
1997-03-03,22.12,22.12,20.12,20.4,29300
1997-03-04,22.12,22.12,22.12,22.12,14900
1997-03-05,24.33,24.33,24.2,24.2,15400
1997-03-06,26.77,26.77,24.2,24.2,29700
1997-03-10,24.1,27,24.1,27,54000
1997-03-11,21.86,25,21.72,23,72800
1997-03-12,22.81,23.94,22.4,22.8,63100
1997-03-13,22.22,22.99,21.91,22.84,27000
1997-03-14,21.81,22.38,21.63,21.63,20100
1997-03-17,21.59,22,21.51,21.82,18800
1997-03-18,20.96,21.7,20.73,21.7,44200
1997-03-19,20.8,22.4,20.75,21.34,29800
1997-03-20,19.95,21.13,18.81,20.6,48900
1997-03-21,19.95,20.42,19.8,20.1,22200
1997-03-25,20.18,20.58,19.6,20,32500
1997-03-26,20.34,20.6,20.28,20.3,8500
1997-03-27,20.38,20.5,20.15,20.5,5800
1997-03-31,18.35,18.4,18.35,18.4,8400
1997-04-01,18.41,18.65,16.66,16.66,13700
1997-04-02,19.18,19.3,18.8,18.98,9700
1997-04-03,20.53,21,19.31,19.31,37300
1997-04-04,20.02,20.39,19.79,19.85,26900
1997-04-07,19.95,20.1,19.76,19.9,45300
1997-04-09,20.49,21.18,20.3,21.18,36200
1997-04-10,19.49,20.39,19.46,20.2,28200
1997-04-11,19.85,20,18.75,18.78,10300
1997-04-15,19.82,20.2,19.57,20.2,14000
1997-04-17,20.54,21.59,20.27,20.7,25500
1997-04-21,21.27,21.36,20.8,20.8,21700
1997-04-22,21.28,21.62,20.99,20.99,24600
1997-04-23,21.26,21.45,21.06,21.4,8600
1997-04-24,21.2,21.59,21.12,21.43,5300
1997-04-25,21.38,21.57,21.04,21.05,5500
1997-04-28,22.4,22.97,21.4,21.55,39500
1997-04-29,23.04,23.4,22.38,22.38,33100
1997-04-30,23.76,24.75,23.62,24.4,46500
1997-05-02,23.19,23.7,23.05,23.7,23200
1997-05-05,21.94,22.99,21.8,22.61,15600
1997-05-06,21.35,22,21.2,22,20700
1997-05-07,22.21,22.78,21.4,22,19700
1997-05-08,23.16,24,22,22.13,126100
1997-05-09,23.09,23.44,22.52,23,98300
1997-05-12,23,23.08,22.7,23,78500
1997-05-13,23.28,23.7,22.86,23,43400
1997-05-14,23.37,23.56,22.83,23.56,14100
1997-05-15,23.01,23.2,22.55,23.17,7300
1997-05-16,22.9,23,22.78,22.78,4800
1997-05-19,22.71,23.08,22.71,22.8,2600
1997-05-20,21.34,22.59,20.8,22.44,14000
1997-05-21,21.71,22.2,21.5,21.75,7100
1997-05-22,21.4,21.72,21.2,21.2,4200
