Date,Close,High,Low,Open,Volume
1997-05-07,66.8,66.8,60.35,62.5,3564400
1997-05-08,73.5,73.5,67.6,68.9,5675600
1997-05-09,73.85,75.8,71.7,75.8,6460700
1997-05-12,68.65,75.75,68.25,73.85,4509500
1997-05-13,67.6,70,66.6,68.15,3311300
1997-05-14,68.25,69,66.6,69,2089100
1997-05-15,64.7,68.1,63.8,67.9,2111400
1997-05-16,62.55,64.6,62.1,64.15,1533000
1997-05-19,63.1,64,62.2,63,1408200
1997-05-20,62.15,63.5,61.2,62.9,1563100
1997-05-21,59.1,62.4,59,62.4,994100
1997-05-22,55.95,59,55.1,58.9,1745500
1997-05-23,54.95,55.9,54.35,55.6,1340100
1997-05-26,60.15,60.45,54.25,54.25,6118900
1997-05-27,58.5,61.8,57.8,61.45,2818300
1997-05-28,59.95,60.95,57.65,59,3481500
1997-05-29,60.75,61.2,58.75,59.75,3516000
1997-05-30,62.6,63.5,60.2,62,3365000
1997-06-02,63.3,63.7,62.25,63,2250300
1997-06-03,64.65,69.25,63.2,63.25,5434700
1997-06-04,65.9,68.7,65.55,66.5,3286400
1997-06-05,64.55,66.9,64.2,66.1,1139000
1997-06-06,63.8,65.25,63.25,64.5,3409900
1997-06-09,61.6,63.8,61.15,63.8,1365400
1997-06-10,61.5,63.4,60.7,61.4,2570800
1997-06-11,63.15,64.75,62,62,1572200
1997-06-12,63.55,64.1,62.7,63.5,973800
1997-06-13,63.55,64.55,63.05,63.55,2095600
1997-06-16,59.95,63.35,59.65,63.3,1695100
1997-06-17,59.85,61.4,59.5,60.1,1998600
1997-06-18,62.3,64.25,62,62.5,1153800
1997-06-19,62.9,63.2,61.65,62,602800
1997-06-20,62.45,64.25,62,63.5,1134500
1997-06-23,62.7,64.5,62.3,63.45,2766100
1997-06-24,64.4,65,62.3,62.75,3254400
1997-06-25,68,70.45,67.9,69.5,2244400
1997-06-26,67.8,68.7,67.1,68.1,2784800
1997-06-27,67.9,68.6,65.3,67.25,2679500
1997-06-30,67.5,68,67.3,67.5,576900
1997-07-01,67.95,68.15,67.5,67.5,716100
1997-07-02,67.85,69.2,67.6,68,1126200
1997-07-03,67.5,68.25,67.25,67.7,420600
1997-07-04,68.3,68.5,67.3,67.75,761900
1997-07-07,68.35,69.2,68.25,68.25,743400
1997-07-08,67.95,68.6,67.75,68.35,423700
1997-07-09,68.65,68.9,67.9,68.25,696300
1997-07-10,71.8,73.6,69.45,69.5,4757500
1997-07-11,70.65,72.5,69.85,71.5,1489000
1997-07-14,68.3,70.6,68,70,1141100
1997-07-15,68.8,69.05,67.8,68,572000
1997-07-16,66.05,69.65,65.55,69,1124600
1997-07-17,65.2,66.5,63.8,66,1391000
1997-07-21,62.8,64,61.95,64,1084100
1997-07-22,63.35,64.9,62.55,63.4,2749900
1997-07-23,64.45,65.4,64,64.9,814000
1997-07-24,63.1,64.9,62.9,64.75,370900
1997-07-25,62.15,62.75,61.5,62.4,485400
1997-07-28,62,62.7,61.7,62.5,270300
1997-07-29,64,64,61.3,62,859700
1997-07-30,62.95,63.9,62.75,63.75,259000
1997-07-31,64.3,65,63,63,680800
1997-08-01,64,64.5,63.75,64.1,749600
1997-08-04,64.45,64.75,63.9,63.9,348100
1997-08-05,64.05,65.75,63.75,64.1,912300
1997-08-06,65.3,65.8,64.5,65.25,133100
1997-08-07,63.8,65.45,63.25,63.3,271600
1997-08-08,63.9,64.1,63.25,63.5,372900
1997-08-11,63.65,64,63.05,63.25,249200
1997-08-12,62.6,64,62,64,366900
1997-08-13,62.5,63.2,62.3,63,96900
1997-08-14,61.5,62.85,61.25,62.85,243100
1997-08-18,60.1,60.25,59.1,59.75,53400
1997-08-19,57.95,60.05,57.5,60.05,274900
1997-08-20,59.85,60,58.1,58.1,169600
1997-08-21,60.2,61,59.5,60.2,377000
1997-08-22,60.2,60.5,59.3,60.35,315900
1997-08-25,60.2,61,59,61,276000
1997-08-26,62.3,63.5,60.25,60.25,543400
1997-08-27,63.45,65.55,62.85,63.25,1032700
1997-08-28,63.25,64.75,62.75,63,918500
1997-08-29,61,63.15,60.4,62.8,517200
1997-09-01,61.15,62,60.3,61,255700
1997-09-02,60,61.8,59.25,61.5,594900
1997-09-03,60.65,61.5,60.3,61.25,231700
1997-09-04,60.1,61,58.5,60.5,202600
1997-09-05,61.75,62,59.75,60,308000
1997-09-08,61,61.3,60.35,60.4,88300
1997-09-09,60.4,61.4,60.1,61,192300
1997-09-10,60.2,60.5,59.65,60.5,140300
1997-09-11,60.25,60.6,60.1,60.25,54700
1997-09-12,60.1,60.25,59.7,60,123500
1997-09-15,59.45,59.75,59.25,59.45,49700
1997-09-16,59.35,60,59.3,59.4,128900
1997-09-17,59.1,59.5,58.75,59.25,177900
1997-09-18,62,62,62,62,1
1997-09-19,56.15,57.85,56.05,57.85,104500
1997-09-22,54.95,55.95,53.4,53.45,90800
1997-09-23,53.7,54.65,53.45,54.55,153300
1997-09-24,54.35,55.85,54.15,54.8,85800
1997-09-25,54.65,55,54.05,54.1,46900
1997-09-26,54.9,55.45,54.75,55,58100
1997-09-29,55.95,57.25,55.75,56.5,116900
1997-09-30,54.25,55.15,54,55,111900
1997-10-01,54.75,55.15,53.4,54.15,141400
1997-10-09,53.6,53.75,53.1,53.5,55300
1997-10-10,52.9,54.4,52.25,54,64700
1997-10-13,51.6,53.35,51.4,53.35,49100
1997-10-14,49.45,51.8,49.05,51.1,93900
1997-10-15,50.15,51.75,49.25,51.5,103900
1997-10-16,52.05,52.4,50.05,51,238300
1997-10-17,50.05,52.5,49.5,52.5,378000
1997-10-20,51.9,52.1,50.4,50.45,300700
1997-10-21,51.55,52.2,49.9,51.7,890800
