Date,Close,High,Low,Open,Volume
2020-12-24,118.84,120,100,100,37066792
2020-12-28,111.83,124.8,107.66,120.86,12523905
2020-12-29,104.27,112.89,103.42,110.6,6256476
2020-12-30,102.95,107.6,101.43,104,5803600
2020-12-31,102.87,104.99,102,103.56,2382600
2021-01-01,100.54,103.89,100.25,103.2,2117248
2021-01-04,94.03,101.08,93.5,100.64,3119301
2021-01-05,95.17,97.98,90.02,92,4837879
2021-01-06,92.83,96.34,92.34,95.2,1166890
2021-01-07,91.17,93.61,91.02,92.22,713031
2021-01-08,91.36,93.58,90.74,91.4,955664
2021-01-11,90.7,93,90.2,93,789630
2021-01-12,87.34,90.2,87,90.2,1304843
2021-01-13,85.81,88.78,85.4,87.4,720330
2021-01-14,87.77,89.08,84.49,85.6,1253003
2021-01-15,89.81,91.98,87.6,87.6,1588383
2021-01-18,86.79,90.6,86.4,90.6,455523
2021-01-19,86.94,88.74,86.8,87.89,363002
2021-01-20,86.27,87.9,86,86.94,370929
2021-01-21,81.97,86.4,81.42,86,2927474
2021-01-22,79.31,85.58,78.8,82,1827611
2021-01-25,78.49,80.12,75.4,79.45,1026018
2021-01-27,77.3,79.16,76.81,78.4,562871
2021-01-28,76.8,78.29,75.93,76,463043
2021-01-29,74.99,77.95,74.5,77.6,382485
2021-02-01,75.24,76.46,74.12,74.4,639305
2021-02-02,81.03,81.79,75.73,76.4,1499601
2021-02-03,82.26,83.83,80.52,82,1023770
2021-02-04,83.7,84.79,82.28,83.04,685406
2021-02-05,82.17,85.38,81.92,84.8,658799
2021-02-08,82.06,84.38,81.8,83.56,803027
2021-02-09,79.43,82.74,79,82.6,734358
2021-02-10,77.86,79.8,77.25,79.79,680537
2021-02-11,77.44,78.8,77.24,77.9,445939
2021-02-12,78.22,79.38,77.58,78,698854
2021-02-15,78.42,79.09,77.37,78.4,302556
2021-02-16,76.86,78.71,76.32,78.35,464991
2021-02-17,76.99,77.58,76.04,76.5,372380
2021-02-18,81.16,82,76.37,77.2,1136869
2021-02-19,80.7,83.77,80,81.33,808501
2021-02-22,79.05,81.33,78.72,81.33,300877
2021-02-23,81.06,83.19,78.95,79,876903
2021-02-24,81.27,82.49,80.5,81.68,234201
2021-02-25,81.65,82.3,80.6,81.52,316326
2021-02-26,80.03,81.57,79.27,80.4,470941
2021-03-01,78.45,81,78.04,81,648802
2021-03-02,79.06,80.09,78.61,79,407258
2021-03-03,78.98,81.4,78.8,79.4,617417
2021-03-04,79.18,80,78.6,78.81,354768
2021-03-05,78.76,80.1,78.6,79.18,360583
2021-03-08,78.08,79.36,78,78.82,253632
2021-03-09,77.39,79.49,77.01,78.3,367294
2021-03-10,77.25,78.34,77.15,77.99,206693
2021-03-12,76.2,78.15,76.01,78.15,301892
2021-03-15,75.02,76.47,74.13,76.2,322593
2021-03-16,75.05,76.37,74.73,75,331543
2021-03-17,72.59,75.39,72.4,75.39,282740
2021-03-18,70.48,74.17,69.81,74.17,421042
2021-03-19,69.17,70.48,67.5,70.4,411857
2021-03-22,69.5,71.2,68.41,68.88,480365
2021-03-23,69.08,71.19,68.6,70,340605
2021-03-24,69.52,70.2,68.03,68.65,332809
2021-03-25,67.57,69.87,66.7,69.2,407440
2021-03-26,66.28,68.6,66,68.13,331172
2021-03-30,68.06,70.15,65.68,66.98,503035
