Date,Close,High,Low,Open,Volume
2024-04-12,813.3,880,755,755,53465496
2024-04-15,806.1,820,783,785.5,5068261
2024-04-16,903.5,917.7,814,816,13031759
2024-04-18,969.15,1015.55,906.2,921,13608473
2024-04-19,947.15,986.8,926.15,949.95,5137294
2024-04-22,926.8,993.55,906,954.9,3677669
2024-04-23,927.2,939.8,907.1,925,2346573
2024-04-24,917.8,974.45,912,930.6,1271044
2024-04-25,908.25,921.15,901,916.9,988092
2024-04-26,894.65,919,875.4,909.6,1067575
2024-04-29,884.15,898.35,872.5,895.55,878004
2024-04-30,866.5,889.25,861.2,882,617812
2024-05-02,878.8,896.4,854.15,865,821324
2024-05-03,871.35,882.3,865,880,433165
2024-05-06,906.45,930,865.25,876.6,1320523
2024-05-07,886.1,918.4,870.1,915,834415
2024-05-08,869.85,887,858.25,880,1675583
2024-05-09,868.65,883.95,863,870,707120
2024-05-10,902.6,910,867.4,868.9,647972
2024-05-13,900.15,913,878.65,908.9,470673
2024-05-14,899.7,912,884.95,900,440688
2024-05-15,954.05,962,896.35,935,2431049
2024-05-16,941.6,979.95,935.1,962.8,904640
2024-05-17,966.6,978.9,940,944.8,814452
2024-05-20,961.1,975.95,955,970,39942
2024-05-21,941.7,967.55,933.95,967.55,585751
2024-05-22,964.75,970,939.5,945,463341
2024-05-23,1002.25,1037.55,966.25,967,2089917
2024-05-24,1022.05,1034,992.3,1006,800713
2024-05-27,1028.4,1038,1012,1030.65,486858
2024-05-28,989.75,1037.45,981.2,1029.95,448053
2024-05-29,1019.25,1030.9,986.15,990,258009
2024-05-30,1010.45,1032,1007.9,1019.65,328974
2024-05-31,1023.4,1055,987.5,1017,967409
2024-06-03,1072.9,1089.95,1040,1075,555233
2024-06-04,960.2,1061.1,909.45,1061.05,1477151
2024-06-05,1020.35,1048,936.05,970.9,1704385
2024-06-06,1055.85,1066.95,1015.05,1022.1,507070
2024-06-07,1071.2,1088.65,1040,1062.65,435943
2024-06-10,1091,1119,1063.1,1080,502256
2024-06-11,1077.55,1099.6,1058,1099,364656
2024-06-12,1110.3,1117.95,1078,1086.95,980726
2024-06-13,1091.3,1118,1082.3,1114.15,304749
2024-06-14,1077.3,1094,1063.05,1093,346464
2024-06-18,1154.75,1174.5,1081.5,1083,643266
2024-06-19,1148.6,1161.9,1103.8,1153.9,1060621
2024-06-20,1133.25,1165,1122.15,1150,609306
2024-06-21,1118.3,1148,1085.05,1134.95,488207
2024-06-24,1120.3,1158.5,1104.6,1113,466281
2024-06-25,1160.85,1173.95,1127.1,1133.65,535989
2024-06-26,1257.15,1368.6,1166,1167.2,3226448
2024-06-27,1185.4,1279.8,1152,1279.8,2074101
2024-06-28,1116.85,1242.9,1091,1225,3848210
2024-07-01,1099.85,1133.8,1075.1,1126,1073344
2024-07-02,1080.2,1119,1075,1105.05,626986
2024-07-03,1083.9,1102.95,1071.05,1084.95,508390
2024-07-04,1073.55,1098,1060.25,1094,1302432
2024-07-05,1095.2,1107.5,1068.75,1089,475800
2024-07-08,1073.2,1101,1067.5,1100,570540
2024-07-09,1070.7,1075.95,1052.8,1073.5,1622774
2024-07-10,1054.85,1075.75,1030,1072.1,738766
2024-07-11,1047.6,1072,1041,1061.15,482359
2024-07-12,1090.65,1102.95,1062.95,1063,620344
2024-07-15,1065.3,1091.05,1062.05,1091,653277
2024-07-16,1140.95,1167,1103,1150,3931298
2024-07-18,1137.55,1172,1112,1140.95,999253
2024-07-19,1138.65,1180,1126.1,1137.8,1094689
2024-07-22,1110.8,1141,1104.4,1121.05,390077
2024-07-23,1115.05,1144.7,1083.35,1110,478433
2024-07-24,1156.25,1172,1120,1120,576486
2024-07-25,1138.7,1170.7,1130.85,1142,524592
2024-07-26,1169.5,1176.95,1144.5,1145,548441
2024-07-29,1165.9,1203.7,1150.6,1173.95,348308
2024-07-30,1175.4,1195.7,1168.25,1172,275584
