Date,Close,High,Low,Open,Volume
2022-11-16,317.45,334.7,314.2,322.8,27437210
2022-11-17,321.25,334.7,320,320,4548853
2022-11-18,317.5,324.45,303,322.8,2754410
2022-11-21,310.9,315.75,306.1,315.1,1119849
2022-11-22,313.45,316,309.05,312,1194243
2022-11-23,344.75,344.75,310.55,314,4006812
2022-11-24,379.2,379.2,351.6,351.6,9697965
2022-11-25,391.85,410,368.1,387.1,9386769
2022-11-28,427.35,431,387,387,6560933
2022-11-29,434.65,446.8,418.9,426,6168593
2022-11-30,416.45,441.95,412.95,431.7,3126303
2022-12-01,408.05,430.65,403.4,420,1318502
2022-12-02,411.9,417.95,407.5,410,829068
2022-12-05,398.3,415.45,396,414,552058
2022-12-06,395.6,406.25,391.25,400.3,560446
2022-12-07,412.65,415.35,405,410,2545980
2022-12-08,407.1,415.5,403,412.45,957992
2022-12-09,393.3,409.1,391,409.1,570979
2022-12-12,394.6,398.95,391,394.6,415159
2022-12-13,384,396.4,381.6,396,362195
2022-12-14,390.25,403.2,380.3,385,1222965
2022-12-15,387.45,397.95,385.05,388.7,432752
2022-12-16,385.05,392.8,376,385,1353175
2022-12-19,385.3,388,379.7,386.65,252839
2022-12-20,380.2,384.9,378.85,380.05,161483
2022-12-21,369.05,384,361.2,382.15,389627
2022-12-22,363.3,373.85,351.25,369.05,435880
2022-12-23,350.15,356.4,345.15,356,856994
2022-12-26,367.65,367.65,347,347,210930
2022-12-27,386,386,375.25,375.25,290085
2022-12-28,405.3,405.3,400,405,499502
2022-12-29,425.55,425.55,420.6,425.55,578705
2022-12-30,436.2,446.8,405.4,446.8,1871999
2023-01-02,421.3,444.25,417.15,436.2,476079
2023-01-03,425.75,442.35,414.9,423.45,842251
2023-01-04,414.85,429,412.3,427.85,343325
2023-01-05,412.1,420.65,407,417.2,229665
2023-01-06,409.2,421.9,405.25,412.65,257367
2023-01-09,405.95,417.65,400.8,415.1,296782
2023-01-10,393.25,405,391.1,405,252122
2023-01-11,403.15,412.9,394.75,395.4,327706
2023-01-12,423.3,423.3,398.6,404,716466
2023-01-13,433.45,437,418.5,431,745337
2023-01-16,421.6,431.85,418.5,431.45,214000
2023-01-17,419.8,434.7,416.1,421.85,286514
2023-01-18,418.7,424.45,417.5,421.95,124538
2023-01-19,416.45,426.55,414.15,416.45,171384
2023-01-20,419.1,426.95,417.2,418.9,182600
2023-01-23,426.7,440.05,420,420.5,1409332
2023-01-24,426.1,436.8,421,427.05,385256
2023-01-25,443.05,447.4,415,426.75,713196
2023-01-27,420.9,441.5,420.9,440,539492
2023-01-30,399.85,416.95,399.85,407.25,387973
2023-01-31,392.9,404.9,379.85,400,1336592
2023-02-01,387.1,401,381,399.7,244369
2023-02-02,384.6,393.95,383,393.95,136935
2023-02-03,373.65,388.9,368,388.9,281638
2023-02-06,381.6,384.8,374.55,375.9,154525
2023-02-07,377.65,384.95,375,382.3,180992
2023-02-08,378.3,384.85,376.2,379.45,154376
2023-02-09,380,380.9,369.95,378.3,495790
2023-02-10,380.55,385,376.2,379.4,327853
2023-02-13,381.3,384.25,379.05,382.5,159821
2023-02-14,384.75,387.4,375,383.15,288922
2023-02-15,377.9,386.7,377,386.7,81328
2023-02-16,380.2,383.35,378,379.75,213439
2023-02-17,377.35,382.4,376,379.8,143630
2023-02-20,373.35,380,372.25,378.95,57232
2023-02-21,374.25,379,369.85,374.5,113593
2023-02-22,375.4,383.85,372.05,373.7,375570
2023-02-23,371.35,380,370,376.7,149509
2023-02-24,363.4,374.35,361.2,369.2,1149939
2023-02-27,353.05,363.9,347.85,363.25,264596
2023-02-28,357.3,360.85,353.3,354.8,113951
2023-03-01,359.8,362.9,358.55,358.9,190854
2023-03-02,361.65,366.1,357.1,361.3,53619
2023-03-03,363.15,366.3,361.95,363.4,64016
2023-03-06,365.5,368.05,363.9,364.55,181434
2023-03-08,365.65,372.3,361.85,364.75,157662
2023-03-09,369,374.55,361.05,367.25,251775
2023-03-10,367.3,370.05,360.95,363.05,101570
2023-03-13,361.5,367.25,361,366,85276
2023-03-14,359.7,363.3,357.05,363.3,81477
2023-03-15,359.05,366,355.75,366,160283
2023-03-16,353.75,358.6,348.5,358.2,426126
2023-03-17,353,356.25,348.1,355.55,90962
2023-03-20,346.3,355.95,341.3,348.1,97016
2023-03-21,347.35,350,343,346.3,82919
2023-03-22,344.6,350,343.05,348,130343
2023-03-23,360.4,362.75,343.05,343.45,186101
2023-03-24,354.5,365.2,351.65,362.25,129122
2023-03-27,348.1,356.8,345.9,354.95,271665
2023-03-28,348.9,352.95,346.9,349.85,69688
2023-03-29,361.9,370,348,348,167350
2023-03-31,362.6,370,359.3,362.25,148795
2023-04-03,358.7,362.6,356.6,362.6,52264
2023-04-05,357.6,360.5,355.2,360.45,58854
2023-04-06,358.55,364.1,355.1,357.1,71959
2023-04-10,352.7,360.8,348.35,358.55,83202
2023-04-11,350.7,356.05,349.85,354.95,76378
2023-04-12,352.15,360,349.5,353.2,222818
2023-04-13,357.25,361.2,351.1,351.1,133290
2023-04-17,359.25,369,355.35,357.95,120891
2023-04-18,359.75,362.2,358,358.25,56911
2023-04-19,374.5,395.7,360.8,361.65,2121111
2023-04-20,374.9,378.5,369.05,375.55,393634
2023-04-21,366.3,376.8,362.1,376,192768
2023-04-24,365.75,368.95,360.5,366.3,96298
2023-04-25,360.55,366.6,358.8,366.25,140482
2023-04-26,370.55,382,358.05,360.85,480569
2023-04-27,374.8,380.7,360.1,374.5,334144
2023-04-28,375.2,378.1,371.7,377.8,109468
2023-05-02,374.05,378.4,373.55,376.05,66934
2023-05-03,373.9,375.9,368.85,373,220167
2023-05-04,371.15,380.55,370.05,375.95,121223
2023-05-05,372.3,375.7,370,371.7,74196
2023-05-08,372.65,378.9,370.25,373.95,83643
2023-05-09,369.35,377.05,368,377.05,70372
2023-05-10,370.3,372.3,367,367,109281
2023-05-11,385.7,390,363.05,374,929186
2023-05-12,372.7,390,369,388,2191914
2023-05-15,370.35,374.7,364.05,369,352536
2023-05-16,369.85,374,368.2,374,189776
2023-05-17,387.25,389.9,368.3,369.95,890774
2023-05-18,381.1,393.95,379.6,393,284087
2023-05-19,384.2,384.65,376.8,382,151370
2023-05-22,383.7,394.7,380,394.7,212010
2023-05-23,384.6,391,382.2,385.9,232856
2023-05-24,381.8,403,379.05,393,833955
2023-05-25,381.2,392.4,379.8,382.2,483611
2023-05-26,375.75,394.35,372.25,383.8,664101
2023-05-29,380,389.5,372.3,379.95,535303
2023-05-30,378.15,382.65,377,382,164169
2023-05-31,381.95,385.1,374,379.4,1123857
2023-06-01,381.95,386,381,382,177958
2023-06-02,382.25,385,380.1,382.9,107698
2023-06-05,381.9,385,378,382.3,247742
2023-06-06,380.15,383,375.6,381.7,167562
2023-06-07,380.05,383.65,378.5,381.05,377157
2023-06-08,389.25,393.6,378.85,382.25,1216057
2023-06-09,396.5,401.5,388.75,390.7,671826
2023-06-12,414.15,417.5,389.8,396.35,1299769
2023-06-13,416.05,419,408.1,418.4,867606
2023-06-14,415.4,421.05,409,417,304059
2023-06-15,413.25,416.9,409.1,415.7,232652
2023-06-16,409.25,416.7,405,413.25,136075
2023-06-19,415.2,416.45,405.2,410,196769
2023-06-20,416.15,417,409.9,416.4,176327
2023-06-21,409.95,419.95,407.6,418,103073
2023-06-22,422.3,425,406.4,410.95,525295
2023-06-23,426.8,432.4,416.05,428.4,459208
2023-06-26,419.5,431,416.65,429.9,161177
2023-06-27,429.1,440,414,420.9,505952
2023-06-28,424.1,447.3,420.6,432,9329920
2023-06-30,417.8,426,416.5,422.9,312583
2023-07-03,408.9,420.9,408.1,419.8,267127
2023-07-04,408.9,414.35,403.3,411.6,297868
2023-07-05,409.75,411.9,405,409,143985
2023-07-06,415.8,418,410.25,412,210662
2023-07-07,415.45,417.45,410,417.45,910403
2023-07-10,410.4,417,405,417,171264
2023-07-11,407,410.9,404.05,409,263236
2023-07-12,416,418.75,408.4,408.4,357303
2023-07-13,411.5,424,406,418.85,298501
2023-07-14,429.2,432.7,410.1,417,741468
2023-07-17,430.4,439,424,430,505770
2023-07-18,426.3,448,414.35,448,472829
2023-07-19,448.65,468.9,426.6,428,4659498
2023-07-20,454.7,467.7,450,453,1316435
2023-07-21,462.7,464.95,448,454,739923
2023-07-24,470.95,479.5,465.5,465.75,893576
2023-07-25,487.8,491.9,469.75,473,1156421
2023-07-26,474.15,490,462.3,489.05,709851
2023-07-27,472.3,482,468.5,475.1,278005
2023-07-28,473.5,476.95,462.55,473,313925
2023-07-31,485,486.9,473.5,475,461829
2023-08-01,484.2,491.4,481.25,488,300723
2023-08-02,472.4,509,465,504.05,2065069
2023-08-03,481.3,485.8,475.1,475.1,492313
2023-08-04,476.05,484.5,475.75,484.25,272241
2023-08-07,483.5,487.1,477,479,367320
2023-08-08,482.7,489.1,467.3,484.4,1023153
2023-08-09,491.55,496.85,482.5,484.9,822541
2023-08-10,489.6,495.1,483.25,493.4,315352
2023-08-11,488.15,493,482,492.95,160623
2023-08-14,487.5,490,472,489.6,196914
2023-08-16,479.65,489.45,477.4,488.65,168544
2023-08-17,476.25,483,474.15,483,172670
2023-08-18,478.7,485.8,475,476,1018027
2023-08-21,480.95,484.2,478,482.3,495127
2023-08-22,489.5,499.8,481.95,483.9,949159
2023-08-23,481.35,493.4,478.15,490.7,252860
2023-08-24,478.45,484.9,476,483.4,178640
2023-08-25,475.3,482.95,473.05,477,140042
2023-08-28,485.55,488,476.75,476.75,421806
2023-08-29,480.55,488.4,478.3,488.3,123136
2023-08-30,481.3,483.5,477.65,483.5,149708
2023-08-31,498.2,500,462.6,481.3,1190940
2023-09-01,487.05,500.4,484.6,500,643697
2023-09-04,482.15,490,481,489.8,302928
2023-09-05,512.35,519,480.05,484.8,1867103
2023-09-06,522.75,528.8,507,515,1995712
2023-09-07,513.85,520.95,506,520,1745319
2023-09-08,527.05,533,513.1,515.9,1019677
2023-09-11,520.5,529,517.65,529,633798
2023-09-12,496.25,525.95,469,522.9,732488
2023-09-13,489.6,501.2,477.25,495.75,699000
2023-09-14,489.1,505,485,497.8,1134576
2023-09-15,494.65,502.95,492.05,494.8,435333
2023-09-18,492.6,503.45,491.05,501.65,155176
2023-09-20,487,495,485,492,113584
2023-09-21,485,489.9,478,485.5,258749
2023-09-22,481.9,492.25,476.4,488,242757
2023-09-25,491.1,494.05,482.15,485.95,249747
2023-09-26,488.35,498.55,483.05,491.1,559112
2023-09-27,491.45,493,483.25,489.9,227547
2023-09-28,491.6,493.9,485.8,492.65,116557
2023-09-29,484.95,494.4,484,494.4,266710
2023-10-03,487.8,493,484.75,490,165242
2023-10-04,481.1,492,478,487.5,230563
2023-10-05,480.7,485.9,479.75,484.95,102881
2023-10-06,470.6,484.5,467.65,482.4,325467
2023-10-09,470.6,476.95,461.3,465,309986
2023-10-10,470.65,476.6,469.95,476.6,125008
2023-10-11,484.85,488.9,472.55,474.8,476081
2023-10-12,483.15,490.45,480,488,165201
2023-10-13,483.45,488.3,480.55,481.55,282674
2023-10-16,491.3,494,479,484.9,390630
2023-10-17,488.15,496.4,486.35,494.25,139068
2023-10-18,483.85,491.25,482.75,490.5,75846
2023-10-19,491.5,493.15,479,487.6,151639
2023-10-20,489.05,494.8,485.5,489.95,184940
2023-10-23,479.35,495.85,476.2,490,199075
2023-10-25,469.8,486,465,482.85,349494
2023-10-26,458.5,468.55,450.2,468.5,602536
2023-10-27,467.5,472,459.05,459.05,338035
2023-10-30,468.9,475.65,463.65,469.8,300492
2023-10-31,473.1,480,470.05,470.05,117103
2023-11-01,468.9,487,467.05,474.5,311053
2023-11-02,474.75,477.55,471,473.8,88170
2023-11-03,479.35,482,475,478.2,121179
2023-11-06,499.15,503,480.05,485.35,655964
2023-11-07,519.55,525,496,502.4,2104234
2023-11-08,520.25,525,511.6,523.55,511656
2023-11-09,524,535,517.3,520,721402
2023-11-10,515.8,528.2,513,524.9,299462
2023-11-13,520,522.65,515.15,522.65,132124
2023-11-15,549.45,553,516.3,524.9,1545656
2023-11-16,549.1,559.8,545.05,554.2,820587
2023-11-17,539.35,560.05,535,549,719932
2023-11-20,547.35,564.45,541,542.45,557287
2023-11-21,546.05,562.5,542.7,552,464362
2023-11-22,535.1,551.05,531.95,550,219187
2023-11-23,539.65,545,534.8,535,175157
2023-11-24,548.15,551,537.1,540.05,332479
2023-11-28,542.35,554.9,540,551.6,133897
2023-11-29,545.7,549.9,540.25,544,103467
2023-11-30,558,560,544.5,547.8,572965
2023-12-01,553.85,564.8,550.45,563.95,190334
2023-12-04,537.75,559.95,535.4,559.95,322588
2023-12-05,542.4,546.2,535.2,538.05,193139
2023-12-06,547.55,561.4,538.6,543.9,354318
2023-12-07,524.3,546.45,520,546.45,476906
2023-12-08,527.6,531.95,521,526.15,195352
2023-12-11,526,527,521.2,527,290414
2023-12-12,533.25,536.5,520.85,527,599879
2023-12-13,532.7,536.5,525.75,533.65,170424
2023-12-14,538.75,546.9,532.55,534.65,345023
2023-12-15,547.6,550,540.1,541.65,217312
2023-12-18,535.85,548.6,532.55,548.6,289607
2023-12-19,544.45,548,534.05,538.75,197120
2023-12-20,537.35,547.65,533,544.45,352821
2023-12-21,540.75,545.55,521.05,527.35,182514
2023-12-22,552.35,555,537.05,542.9,355027
2023-12-26,553.3,555,547,554.75,218200
2023-12-27,559.2,580,549.75,557,962930
2023-12-28,558.6,562.5,553.1,562.5,276086
2023-12-29,546.1,558.6,544.05,555,221044
2024-01-01,546.4,556,543.05,546,145982
2024-01-02,553.9,559,545.55,548.3,156524
2024-01-03,550.95,558.25,548,553.7,103818
2024-01-04,567.55,574.9,552.6,552.9,524870
2024-01-05,573.35,585,568.9,570,1276363
2024-01-08,580.35,584.5,574.55,574.75,972448
2024-01-09,574.1,587.8,571.55,584,270557
2024-01-10,573.85,578.35,570,574.1,129323
2024-01-11,570.95,580,566.2,577.9,137183
2024-01-12,583.05,592,571,572.65,480677
2024-01-15,580.65,587.45,571.15,583.05,205533
2024-01-16,587.45,591.1,574.1,584,693001
2024-01-17,576.75,583.6,567.2,577.05,413016
2024-01-18,577.8,585,566.55,576.75,277837
2024-01-19,576.05,584.8,572.1,581.5,136948
2024-01-22,577.1,582,575,578.15,75328
2024-01-23,570.65,593,561,580.65,234324
2024-01-24,576.4,581.5,564.05,575.95,148461
2024-01-25,573.8,582.15,568.05,579,115842
2024-01-29,583.7,585.8,574.2,575.75,165195
2024-01-30,581.9,605.9,580,586.65,493859
2024-01-31,591.7,603.55,586.65,593,316354
2024-02-01,584.2,598.9,576.2,596,248693
2024-02-02,547.55,597.2,535.7,588.1,1026472
2024-02-05,547.4,575.9,542.6,548,407859
2024-02-06,558.7,564,550.1,550.1,268145
2024-02-07,564,569.4,555.55,562,290705
2024-02-08,553.45,569.9,550.05,569.9,911786
2024-02-09,551.8,566,540.25,555.45,159721
2024-02-12,547.25,552.85,541.9,551.7,1268023
2024-02-13,530.35,549.85,523,549.85,1182370
2024-02-14,524.15,539.1,521.55,527.5,1432944
2024-02-15,539.3,546.95,527.1,529,692033
2024-02-16,537.4,544.65,535.55,541.95,127126
2024-02-19,541.25,546.5,531.35,537,442372
2024-02-20,535.3,543.95,534.25,543.65,327945
2024-02-21,532,539.3,529.6,539.25,236020
2024-02-22,529.6,538.2,527.75,538.2,106835
2024-02-23,527.75,532,524.8,531,285555
2024-02-26,527.6,531.65,524.15,531.65,328270
2024-02-27,525.6,533.9,525,530.9,186662
2024-02-28,519.1,526,513,526,449816
2024-02-29,521.85,530,514.05,518.5,317694
2024-03-01,517.9,528,515,527.95,92045
2024-03-04,516.85,526.95,514.5,526.95,84756
2024-03-05,506.75,517,499.8,517,460840
2024-03-06,516.15,519.7,503.5,503.5,555783
2024-03-07,533.85,539,509,521,235282
2024-03-11,526.15,542,521.2,533.85,207622
2024-03-12,511.9,525,508,525,122826
2024-03-13,503.2,512.4,489.75,508.25,225898
2024-03-14,492.35,503,488.35,502.95,183225
2024-03-15,484.95,496.55,476.1,496.55,342313
2024-03-18,488.25,494.35,483,485,219507
2024-03-19,485,493.2,478.1,492,129836
2024-03-20,490.35,494,480.35,490,119739
2024-03-21,498.5,501,487.35,492.85,244152
2024-03-22,489.85,499,489,498,219847
2024-03-26,482.85,491.95,481.25,490,145974
2024-03-27,490.85,497.4,482.35,483.95,669466
2024-03-28,490.45,496.9,482.9,492.6,235939
2024-04-01,496,501,490.9,494.95,170157
2024-04-02,526,529.5,496.5,499,1191287
2024-04-03,531.45,534,513.85,529,526593
2024-04-04,540.8,544.7,525.1,533.25,262256
2024-04-05,539.55,546,528.15,544.45,207775
2024-04-08,539.4,545.6,528.3,538.85,162170
2024-04-09,542.75,545,540,540.05,137651
2024-04-10,548.15,549.9,542.9,549.9,107355
2024-04-12,538.6,559.7,535,548.15,876290
2024-04-15,526.8,537.5,520.2,537.5,117085
2024-04-16,527.25,534.2,518.15,518.15,111151
2024-04-18,520.25,538,517.4,535,128728
2024-04-19,520.95,532,515,519.95,161725
2024-04-22,514.05,527.85,510.3,524.7,93933
2024-04-23,520.6,523,515.1,520,65092
2024-04-24,524.3,531.45,520.15,524.3,93606
2024-04-25,530.9,539.9,521.8,524.3,150849
2024-04-26,527.45,537.6,525.7,537.6,176615
2024-04-29,528.65,532.25,523,532.25,54475
2024-04-30,532.85,539.5,525.55,532.95,143494
2024-05-02,531.6,535.95,523.5,535,94155
2024-05-03,530.6,536.5,526,528.1,73264
2024-05-06,525.8,534.5,522,533.2,47499
2024-05-07,518.9,531,512.05,520.05,611008
2024-05-08,522.6,527.3,516.5,523,90276
2024-05-09,511.35,528.95,506.05,526,115894
2024-05-10,525.75,532.5,505,519.95,149984
2024-05-13,523.05,531,518.1,520,92087
2024-05-14,517.9,528,514.5,528,330319
2024-05-15,518.8,523.9,515,519.05,333758
2024-05-16,545.8,554.7,518,524.4,675533
2024-05-17,546.15,552,539.25,547,245916
2024-05-20,544.95,548.8,542.1,547.45,20076
2024-05-21,533.85,544.8,530,544.8,117128
2024-05-22,536.9,541.55,531.65,537,105593
2024-05-23,534.65,545.15,530.65,538.25,118532
2024-05-24,556.3,584.7,552,574,2383378
2024-05-27,556.55,564.9,550.05,559.8,307535
2024-05-28,555.7,563.95,550,562,237830
2024-05-29,545.9,554.05,532.6,551,210657
2024-05-30,543.3,550.95,540,548,168604
2024-05-31,593.85,597.6,553,556,3682311
2024-06-03,574.95,620,574.2,605,891613
2024-06-04,578.55,586,540.55,574.7,748379
2024-06-05,636.4,636.4,571,597,1687044
2024-06-06,647.9,661.95,631.6,650,1065334
2024-06-07,691.65,701.9,648.4,650,1735067
2024-06-10,677.15,711.95,673.2,700,1012791
2024-06-11,694.95,724.4,687.05,690,1646286
2024-06-12,704.15,715,692.5,700,545216
2024-06-13,714.75,727.95,695,708.75,711712
2024-06-14,725.55,739.4,708.15,716.9,841124
2024-06-18,731.65,745.95,723.15,736.8,730114
2024-06-19,724.5,736.1,713.2,736,503945
2024-06-20,720.6,738,716.95,724.3,333494
2024-06-21,728.9,747,722.5,740,569421
2024-06-24,726.25,728.8,713,723,257200
2024-06-25,720.2,735,715.05,724.75,350328
2024-06-26,729.4,735,715.1,718.9,204078
2024-06-27,720.75,733,717,730,183243
2024-06-28,715.6,725.9,713,724.8,268804
2024-07-01,717.85,729.15,713,717.5,519605
2024-07-02,723.75,733.6,719.1,722,317237
2024-07-03,726.5,739,723.1,727,540222
2024-07-04,714.55,729.95,711.25,729.95,361864
2024-07-05,706.65,720.85,698.35,719.2,334893
2024-07-08,696.15,713.7,692,713.5,205067
2024-07-09,687.1,700.7,685.25,699.9,235383
2024-07-10,696.35,706,685.25,687,282560
2024-07-11,702.15,709.8,699.35,700,250445
2024-07-12,707.75,718.9,702.55,703,275041
2024-07-15,713.8,715,700.7,709.9,232437
2024-07-16,708.2,716,704,713.8,205238
2024-07-18,703.1,724.9,698.2,704.95,564458
2024-07-19,697.5,708.55,691.3,701,206885
2024-07-22,707,718.4,688.1,688.1,273828
2024-07-23,710.25,717.95,690,717.95,307346
2024-07-24,723.85,726.5,714.1,717,426076
2024-07-25,710.85,732,704,720,574916
2024-07-26,716.8,720,689.1,705.4,606428
2024-07-29,707.95,721.95,699.05,699.05,189451
2024-07-30,718.6,733.95,705,711,456801
2024-07-31,715.2,729.9,709.35,723.3,523907
2024-08-01,714.75,719.95,711,718,116540
2024-08-02,739.25,777,698.5,700,3993303
2024-08-05,709.3,732.8,695.7,730,750879
2024-08-06,735.8,750,716,716.9,931461
2024-08-07,786.35,794.45,738.95,741.1,1667021
2024-08-08,799.3,819,777.9,787.8,1740310
2024-08-09,815.45,879.2,799.75,804.85,1609786
2024-08-12,861.85,894.2,812.05,813.4,2026160
2024-08-13,849.7,875,838,863.65,1240704
2024-08-14,835.35,885,832.2,853,705861
2024-08-16,848.4,876,835.65,844,1255548
2024-08-19,872.9,880,853.45,854.95,838759
2024-08-20,857.4,883.95,853.1,874.5,319757
2024-08-21,853.35,863.9,840.05,858,539172
2024-08-22,855,872.65,848,856.9,399826
2024-08-23,854.6,859.95,843.4,859.95,294422
2024-08-26,855.8,895,852,859,939561
2024-08-27,854.2,865.65,845.8,857.35,284204
2024-08-28,831.2,857,826.15,857,268937
2024-08-29,833.7,839.85,818,830,329263
2024-08-30,825.1,838.95,815.55,838.95,481026
2024-09-02,841,862.95,820,828.6,594940
2024-09-03,871.35,883.8,839.2,845.85,1164842
2024-09-04,867.9,901.75,856,869.95,845036
2024-09-05,881.5,885,868,875,411592
2024-09-06,861.3,888,856.1,885,273607
2024-09-09,834.9,862.5,825,861.3,401542
2024-09-10,863.25,899.8,852,895,1726707
2024-09-11,854.55,864.9,844.3,864,357774
2024-09-12,878,890.15,836.95,858.3,636723
2024-09-13,877.85,889.9,865,878,289153
2024-09-16,847.9,884,845.5,881.65,406992
2024-09-17,866.3,873.4,841.95,849.6,396247
2024-09-18,919.15,933.4,861.7,868.9,2752043
2024-09-19,932.65,942.9,895.5,928.6,1207866
2024-09-20,953.25,965.95,911.35,939,2397365
2024-09-23,978.7,987.85,945.55,960,870540
2024-09-24,953.25,985,943.3,977.15,628684
2024-09-25,954.1,960.95,940.05,960.95,245916
2024-09-26,978.3,988,952.15,960,875030
2024-09-27,959.05,1007.95,946.95,984,867742
2024-09-30,921.7,972.15,915,955,767296
2024-10-01,945.05,965,921.7,923.05,998468
2024-10-03,920.4,950,915.25,937.7,361144
2024-10-04,901,933.95,896.45,919.85,400345
2024-10-07,854.1,907.7,850.5,901.95,539453
2024-10-08,862.45,873,833.85,842,635067
2024-10-09,862.75,881.35,853.95,854,370919
2024-10-10,852.85,867.95,848.8,860,297693
2024-10-11,841.75,850,835.05,845.15,241321
2024-10-14,859.55,885.9,850.95,850.95,647777
2024-10-15,882.35,885,857.4,863.9,437433
2024-10-16,909.6,922.8,876.4,880.95,1022875
2024-10-17,906.85,929,895.05,920,694946
2024-10-18,910.65,922,876.25,903.95,442461
2024-10-21,890,916.85,882.3,914,279224
2024-10-22,830.95,892.5,822.8,887.95,710842
2024-10-23,857.8,866,824,845,419285
2024-10-24,834.85,867.5,825.1,862.1,369936
2024-10-25,866.15,918,850.55,860,1899218
2024-10-28,855.05,876,835.05,869,565515
2024-10-29,843.35,865.8,836,860,430366
2024-10-30,846.05,857.5,837,844.95,357408
2024-10-31,849.9,856.95,846.6,848.1,175015
2024-11-01,857,860.95,849.9,850,87567
2024-11-04,875.05,880.2,838,854.9,310699
2024-11-05,880.6,890,859.15,860,352208
2024-11-06,874.9,899,871.2,899,323821
2024-11-07,879.4,887.2,868.65,874,179106
2024-11-08,862.75,879.95,860.05,879.4,144733
2024-11-11,859.8,868,850,860,101259
2024-11-12,849.95,874.35,845.9,862.4,130951
2024-11-13,822.85,848.7,819.2,845,274087
2024-11-14,786.6,830,782.05,815,472139
2024-11-18,758.15,790,755,786,523977
2024-11-19,739.35,766.7,735,760.25,545505
2024-11-21,732.9,742.4,718.05,742.4,408871
2024-11-22,734.25,744.95,722.75,730,238773
2024-11-25,769.3,785,744,750,489572
2024-11-26,781.95,785,763.1,778,185229
2024-11-27,811.8,815.05,775,785,321853
2024-11-28,802,819.35,799,814,210886
2024-11-29,802.7,807.45,792.3,802,113651
2024-12-02,792.65,801.95,760.8,766.1,536244
2024-12-03,803.7,810.05,791,798.35,227203
2024-12-04,813.7,841.3,801.55,807.35,523306
2024-12-05,801.3,822.4,796,815.6,421646
2024-12-06,820.5,843.5,805.25,805.25,492374
2024-12-09,832,838,818.65,825,277792
2024-12-10,853.45,864,833.25,836.3,689323
2024-12-11,851.3,859.95,847.2,855.65,256258
2024-12-12,816.05,859,813,851.3,614227
2024-12-13,799.35,815.9,796.05,815.9,377092
2024-12-16,808.6,813.25,791.1,805.2,320307
2024-12-17,800.1,820,797.65,811.9,344516
2024-12-18,783.5,800,779,793,194308
2024-12-19,758.15,781.9,757.1,780,550682
2024-12-20,770.15,788,757.8,761.95,691381
2024-12-23,782.3,788,760.85,784,488520
2024-12-24,781.35,788.1,772,788,129504
2024-12-26,765.9,783.8,763.8,783.8,132322
2024-12-27,764.2,772,760.85,762.15,97986
2024-12-30,774.05,782,767.05,773,245740
2024-12-31,779.45,781.1,758,772,227452
2025-01-01,758.9,780.05,751.9,779.45,425255
2025-01-02,747.6,766.2,744.8,764.9,327926
2025-01-03,748.35,759,745.55,755.1,267956
2025-01-06,728.1,758.6,721.15,752.9,350365
2025-01-07,725.8,744.45,721,737.55,427565
2025-01-08,720.15,732,710,732,322812
