Date,Close,High,Low,Open,Volume
2000-06-15,6.8689,6.8689,6.8689,6.8689,15
2000-06-16,6.32283,6.32283,6.32283,6.32283,500
2000-06-19,5.81988,5.93963,5.81988,5.93963,208
2000-06-20,5.35525,5.81988,5.35525,5.81988,1225
2000-06-21,4.93373,5.35525,4.93373,5.35525,1840
2000-06-22,4.64154,4.78524,4.54095,4.54095,5500
2000-06-23,4.50262,4.50262,4.28707,4.35892,2025
2000-06-26,4.16732,4.35892,4.16732,4.35892,4850
2000-06-27,4.29665,4.39724,4.0332,4.39724,8080
2000-06-28,4.0332,4.31102,4.02362,4.11942,2985
2000-06-29,4.0811,4.31102,4.02362,4.31102,8086
2000-06-30,3.97572,4.30144,3.97572,4.30144,4045
2000-07-03,4.29186,4.29186,4.27749,4.27749,788
2000-07-04,4.16253,4.26312,4.02362,4.26312,3125
2000-07-05,4.24875,4.31102,4.15774,4.30144,955
2000-07-06,4.02362,4.04757,3.9853,4.02362,829
2000-07-07,4.10984,4.10984,3.87992,3.97572,1751
2000-07-10,3.90866,4.10026,3.8416,3.97572,1323
2000-07-11,3.65,3.99967,3.65,3.88471,4005
2000-07-12,3.83202,3.83202,3.73622,3.73622,600
2000-07-13,4.10026,4.10026,4.02362,4.02362,490
2000-07-14,3.86076,3.9374,3.82244,3.9374,1314
2000-07-17,3.95656,4.02362,3.69311,3.87992,2000
2000-07-18,3.78891,4.02362,3.64521,3.83681,4682
2000-07-19,3.73622,3.92782,3.73622,3.7937,2165
2000-07-20,3.50151,3.71227,3.45361,3.64521,6185
2000-07-21,3.64042,3.73622,3.5542,3.73622,1657
2000-07-24,3.49193,3.83202,3.47277,3.83202,1222
2000-07-25,3.46319,3.72664,3.35302,3.35302,1285
2000-07-26,3.64521,3.73622,3.49672,3.54462,1287
2000-07-27,3.61168,3.73622,3.51109,3.51109,1100
2000-07-28,3.71227,3.77933,3.51109,3.77933,515
2000-07-31,3.97093,4.00446,3.64042,3.64042,8605
2000-08-01,3.90866,3.9374,3.67874,3.9374,2828
2000-08-02,3.9374,3.94698,3.68832,3.68832,1665
2000-08-03,3.86555,4.02362,3.76975,3.99967,1467
2000-08-04,3.74101,3.97572,3.71227,3.97572,2770
2000-08-07,3.47756,3.83202,3.44882,3.64042,5838
2000-08-08,3.64042,3.64042,3.49672,3.59252,875
2000-08-09,3.7937,3.90866,3.75059,3.80807,2165
2000-08-10,3.96614,4.02362,3.66916,3.83202,871
2000-08-11,3.78412,4.24396,3.73622,3.81286,2908
2000-08-14,3.83202,3.83202,3.48714,3.50151,2125
2000-08-16,3.72185,3.83202,3.6979,3.73622,1150
2000-08-17,3.57336,3.83202,3.57336,3.82244,1350
2000-08-18,3.63084,3.78412,3.59252,3.59252,1698
2000-08-21,3.5542,3.76017,3.49672,3.64042,1288
2000-08-22,3.50151,3.77933,3.38176,3.70748,4137
2000-08-23,3.3626,3.49672,3.25722,3.49672,2952
2000-08-24,3.59252,3.59252,3.35302,3.40092,3627
2000-08-25,3.5063,3.64042,3.50151,3.64042,4166
2000-08-28,3.3626,3.54462,3.28117,3.54462,4647
2000-08-29,3.39613,3.53504,3.25722,3.25722,1653
2000-08-30,3.54941,3.73143,3.44882,3.54462,7243
2000-08-31,3.64042,3.68832,3.49672,3.50151,2175
2000-09-04,3.64042,3.70748,3.54941,3.64042,1724
2000-09-05,3.71706,3.71706,3.54941,3.54941,2292
2000-09-06,3.70748,3.73622,3.57815,3.57815,2444
