Date,Close,High,Low,Open,Volume
2020-10-05,280.28,297.8,274.2,284,638095
2020-10-06,283.88,288.37,280.25,282,542590
2020-10-07,276.29,284.73,271.15,284.2,283120
2020-10-08,266.98,277.99,265.04,277,287037
2020-10-09,267.36,274.24,259,265.22,617516
2020-10-12,262.2,269.5,261.15,268.4,406274
2020-10-13,261.84,265.6,259.01,260,177612
2020-10-14,269.08,270.89,261.6,261.6,231987
2020-10-15,266.45,272.11,265.81,269.39,152765
2020-10-16,268.29,269.8,265.17,265.6,74694
2020-10-19,268.12,270,265.81,269,73734
2020-10-20,267.16,269.01,266,267,51810
2020-10-21,267.48,270.8,266.8,267.16,76814
2020-10-22,265.43,269.26,264,266.4,158798
2020-10-23,270.49,274.74,265.61,266.73,143025
2020-10-26,268.74,270.54,265,269,47806
2020-10-27,267.09,268.99,265.41,266.02,224439
2020-10-28,263.6,268.16,258.96,266.41,177457
2020-10-29,259.92,262.98,259,260.61,286045
2020-10-30,259.37,264,258.6,260.39,38536
2020-11-02,259.82,264,258.19,260.4,194552
2020-11-03,253.13,261.77,252.3,260.4,279604
2020-11-04,253.49,257.66,252,253.99,159282
2020-11-05,258.05,259,253.48,255,51937
2020-11-06,256,259.98,255.6,259.98,201372
2020-11-09,258.72,259.59,255.6,257.93,107173
2020-11-10,258.34,259.79,255.91,259.78,225620
2020-11-11,257.04,259.74,255,259.2,138462
2020-11-12,261.07,263.8,257.8,257.96,245795
2020-11-13,260.18,262.82,259.8,260.99,127037
2020-11-16,262.18,262.6,260.96,262,18763
2020-11-17,272.06,274,263.19,263.19,514752
2020-11-18,271.4,275.38,270.3,274,159255
2020-11-19,275.2,276.98,268.81,271.8,216180
2020-11-20,277.77,279.9,271,275.45,244030
2020-11-23,289.82,292,278,279.99,466959
2020-11-24,287.69,294.28,284.4,293.78,155863
2020-11-25,295.89,299.74,285.69,288,640300
2020-11-26,295.91,298,291.21,298,153673
2020-11-27,289.03,295.78,287.33,295.78,64131
2020-12-01,290.07,294.2,287.34,288.8,110134
2020-12-02,291.56,293.78,285.13,290,102564
2020-12-03,289.12,293.59,288.2,290.22,48322
2020-12-04,292.61,294,288.33,290.4,77127
2020-12-07,291.04,296,287.25,293.92,201898
2020-12-08,292.76,295.8,291.43,292,82535
2020-12-09,294.07,297,292.4,292.99,313925
2020-12-10,300.95,304.93,291.65,294.07,605787
2020-12-11,299.82,304.8,294.97,303.4,146974
2020-12-14,301.95,306.6,298,301.11,240597
2020-12-15,301.88,303.6,299,302,152371
2020-12-16,301.87,307.6,299.01,301.8,102512
2020-12-17,301.9,306.52,301,302.9,68814
2020-12-18,320.22,324.8,299.01,302.14,741937
2020-12-21,337.57,350.4,322.05,323.69,1699343
2020-12-22,335.38,348,310,348,619219
2020-12-23,334.63,344,330.8,338.8,314154
2020-12-24,339.02,346.7,335.2,337.6,257655
2020-12-28,345.21,349.8,336.01,340.8,228668
2020-12-29,367.15,373,344.73,347.59,823821
2020-12-30,359.27,378,350.49,377.6,830410
2020-12-31,361.14,367.8,354.02,356.57,391078
2021-01-01,357.85,371,350.4,358.2,308193
2021-01-04,365.09,369.98,352,359.3,297889
2021-01-05,360.52,371.37,358,362,118804
2021-01-06,356.78,364.41,352.22,362.39,101368
2021-01-07,361.49,365.2,353.6,360.02,118012
2021-01-08,357.39,364.6,355.39,364.5,75264
2021-01-11,359.15,361.59,356.2,358.93,73679
2021-01-12,360.53,365.6,357.42,360.8,164883
2021-01-13,368.15,373,359.21,363.59,199541
2021-01-14,362.29,370.8,360.6,370,49784
2021-01-15,361.64,365.2,360,363,38152
2021-01-18,362.33,366,351,361,81468
2021-01-19,361.75,364.47,360.2,364,25430
2021-01-20,358.92,363.6,358,361.8,28155
2021-01-21,358.18,367.58,355.83,361.95,80497
2021-01-22,356.1,362.33,353.45,357.99,42799
2021-01-25,356.79,361.94,352.81,359,42983
2021-01-27,359.63,361,356.02,356.02,48426
2021-01-28,360.3,366,357,357.02,70587
2021-01-29,355.35,367.2,351.6,362.08,110295
2021-02-01,359.41,364.69,354.02,356,110133
2021-02-02,361.91,364.39,360,360.2,44588
2021-02-03,362.56,364.79,360.74,363,36467
2021-02-04,371.19,383.8,362,362.6,210401
2021-02-05,364.49,374.8,362.23,372.99,66705
2021-02-08,370.7,374.09,365.2,366.95,267384
2021-02-09,373.92,396,371,373.3,349201
2021-02-10,374.62,389.32,371,377.2,242790
2021-02-11,395.77,401.6,375.99,375.99,293161
2021-02-12,386.07,404.66,382,401,194527
2021-02-15,382.91,394,380,390.55,160252
2021-02-16,380.5,386.73,377.99,385.97,106453
2021-02-17,378.83,383.99,376.18,379.98,66659
2021-02-18,376.63,382.8,374,380.65,72720
2021-02-19,364.4,378.5,362,376.63,110825
2021-02-22,343.48,364.2,340.2,364.2,274208
2021-02-23,351.96,359.09,346.19,346.19,246882
2021-02-24,361.55,363.99,352.22,354.8,34331
2021-02-25,361.39,366,360,362.6,106348
2021-02-26,365.1,370.79,354.01,359,99429
2021-03-01,372.27,375,364.01,368,172938
