Date,Close,High,Low,Open,Volume
2014-06-23,35.8,36.2,34.2,34.2,438
2014-06-24,35.64,36.4,35.24,35.4,2293
2014-06-25,36.25,36.4,35.64,35.64,746
2014-06-26,35.95,37,34.8,36.6,3192
2014-06-27,39.54,39.54,35.41,35.46,4811
2014-06-30,43.49,43.49,43.49,43.49,860
2014-07-01,47.83,47.83,46.22,47.83,10736
2014-07-02,50.22,50.22,48,48.41,4224
2014-07-03,52.73,52.73,51.5,52.58,6324
2014-07-04,55.36,55.36,55.36,55.36,2178
2014-07-07,55.87,58,52.6,57.2,20868
2014-07-08,53.08,55.28,53.08,55.28,7699
2014-07-09,50.78,52.8,50.43,52.8,4935
2014-07-10,53.07,53.31,49.62,52.39,6735
2014-07-11,53.05,55.6,53,53.2,4654
2014-07-14,50.84,54.6,50.4,54.6,3961
2014-07-15,53.38,53.38,50.84,50.84,643
2014-07-16,56.04,56.04,56.04,56.04,2429
2014-07-17,58.52,58.84,56,58.84,16537
2014-07-18,61.44,61.44,56.45,60,6911
2014-07-21,64.51,64.51,63.2,63.8,7547
2014-07-22,67.73,67.73,66.21,67.19,3763
2014-07-23,67.79,71.11,66.02,71.11,46259
2014-07-24,64.41,67.79,64.41,67.79,8456
2014-07-25,63.19,64.41,61.21,61.21,9600
2014-07-28,66.1,66.34,62.8,63,6850
2014-07-30,69.4,69.4,64.2,68.2,21871
2014-07-31,72.87,72.87,70.85,72.2,11177
2014-08-01,73.98,76.51,70,76.2,45937
2014-08-04,72.67,75.54,70.29,75.2,10549
2014-08-05,73.44,74.76,71.05,73.8,8645
2014-08-06,70.9,75.7,70.41,73,5122
2014-08-07,70.16,71.98,68.06,71,8943
2014-08-08,67.69,69.95,67.1,69,5045
2014-08-11,69.18,71,68.2,71,2286
2014-08-12,68.63,69.82,68.2,69.2,1480
2014-08-13,72,72.06,68.63,68.63,15776
2014-08-14,74.93,75.6,68.4,74.8,14428
2014-08-18,77.44,78.67,72.6,76.8,29270
2014-08-19,79.91,80.98,74,77.4,27735
2014-08-20,83.9,83.9,80.54,80.88,13423
2014-08-21,88.09,88.09,85.31,86.8,16481
2014-08-22,85.25,92.49,83.69,92.49,36992
2014-08-25,84.04,88.88,83.02,88.88,13458
2014-08-26,79.84,83.2,79.84,83.2,6767
2014-08-27,83.83,83.83,75.85,75.87,42469
2014-08-28,88.02,88.02,86.07,87.96,8462
2014-09-01,88.79,92.42,86.61,91.8,21586
2014-09-02,88.53,91.2,87.6,90,12983
2014-09-03,86.22,90.9,85.99,90.9,14535
2014-09-04,88.14,89,86.62,86.8,7863
2014-09-05,89.91,92.54,88.08,88.8,11471
2014-09-08,94.4,94.4,90,93.71,8920
2014-09-09,99.12,99.12,97.11,99.12,14788
2014-09-10,104.07,104.07,101.87,101.88,8787
2014-09-11,102.68,109.27,99,109.27,25131
2014-09-12,100.69,102,98,102,10957
2014-09-15,105.72,105.72,99.2,104.97,16883
2014-09-16,101.01,111,100.44,109.96,34931
2014-09-17,97.36,105.67,96.24,103,38199
2014-09-18,100.29,101.93,97,97,8434
2014-09-19,98.47,104.79,97.6,101.99,8143
2014-09-22,95.3,98.4,93.55,98,12716
2014-09-23,93.07,98.15,92.4,95.7,8267
2014-09-24,88.65,94.6,88.42,93,8794
2014-09-25,84.22,89.76,84.22,89.75,9483
2014-09-26,80.45,85,80.01,80.2,15041
2014-09-29,79.05,84.4,78.65,84.4,11770
2014-09-30,83,83,76.6,78.65,18484
2014-10-01,86.95,87.15,83,85.6,33778
2014-10-07,83.57,89.6,82.62,86.2,19672
2014-10-08,77,85.66,75.6,85.66,16308
2014-10-09,78.6,81.2,76.4,76.4,12529
2014-10-10,76.19,79.8,75.64,77.82,9032
2014-10-13,76.93,79,63,63,6336
2014-10-14,74.69,77.81,74,76.16,8575
2014-10-16,70.13,81.2,69.05,81.2,12614
2014-10-17,69.56,72.98,68.01,72.98,7131
2014-10-20,68.22,72.34,67.03,70,7596
2014-10-21,77.87,80.78,67,68,44252
2014-10-22,86.97,88.56,78.32,78.95,79849
2014-10-23,85.38,90,82.42,89.74,11666
2014-10-27,84.59,87.85,84,85,17463
2014-10-28,80.47,85.15,79.31,83.74,7744
2014-10-29,82.08,85.39,78.84,80,12423
2014-10-30,82.01,84.98,80.8,81.26,8316
2014-10-31,80.39,82.78,79.2,81.15,7198
2014-11-03,80.27,83,79.8,79.93,6637
2014-11-05,80.93,82,79.01,80.24,8238
2014-11-07,80.64,81.99,80.4,80.4,5839
2014-11-10,90.76,93.4,80.4,80.4,34102
2014-11-11,88.63,94.89,87.64,92,28585
2014-11-12,87.28,89.39,86.79,88.63,9302
2014-11-13,87.11,94.6,85.42,89.6,25158
2014-11-14,86.66,91.6,83.3,89.18,16616
2014-11-17,84.8,91.98,84.05,91.98,9493
2014-11-18,81.87,86.97,81.06,84.22,11392
2014-11-19,84.29,88.79,81.06,83.53,22489
2014-11-20,83.21,86.91,82.46,84.19,11618
2014-11-21,84.57,86.59,84.04,84.97,9210
2014-11-24,83.1,87.76,82.2,87.76,5513
2014-11-25,82.23,85.2,82,83.41,9224
2014-11-26,82.85,84.2,82.21,82.24,7777
2014-11-27,83.65,85,83.02,84,7041
2014-11-28,87.76,89.8,82.82,82.82,20853
2014-12-01,88.54,93.02,87.82,89.23,19140
2014-12-02,87,89.77,86.6,88.82,4873
2014-12-03,87.01,89.4,85.61,87.4,10023
2014-12-04,88.27,89.19,85.62,85.62,10715
2014-12-05,86.21,87.97,86,87.97,7481
2014-12-08,85.03,87.75,84.8,86.46,9161
2014-12-09,84.24,85.55,83,84.4,4593
2014-12-10,85.64,86.56,83,84,5537
2014-12-11,84.51,87.4,83.62,86,4124
2014-12-12,83.29,87.39,83,84.01,4314
2014-12-15,86.01,87,82.4,83.2,9603
2014-12-16,81.07,87,79.96,87,18363
2014-12-17,78.65,82.6,76.44,81.95,10218
2014-12-18,82.68,83.96,81.6,81.76,3686
2014-12-19,81.44,84.85,81.02,82.99,7961
2014-12-22,79.8,83.87,78.04,83.87,11889
2014-12-23,78.92,80,78.2,80,5666
2014-12-24,78.04,80,75.62,75.62,7313
2014-12-26,76.43,79.28,76.06,77.4,8154
2014-12-29,79.52,80,77,77,7130
2014-12-30,80.97,82,78.31,81.2,7965
2014-12-31,80.78,81.8,80.6,81.55,5552
2015-01-01,80.49,81.45,80.2,80.41,1940
2015-01-02,80.97,83,80.44,81,5584
2015-01-05,82.07,82.4,80.36,82.2,10782
2015-01-06,78.84,83.4,77.8,83.4,16095
2015-01-07,80.14,81.34,78.99,80.79,5560
2015-01-08,85.67,86.99,80,80.42,16510
2015-01-09,86.35,87.98,85.01,86,8815
2015-01-12,84.07,88.38,82.98,88.38,13235
2015-01-13,83.2,85.3,82.76,85.28,4985
2015-01-14,83.49,84.8,82.54,82.55,3138
2015-01-15,83.61,85.2,82.8,83.58,10502
2015-01-16,85.93,86.4,84.02,86.4,4878
2015-01-19,85.54,88.84,83,87,12454
2015-01-20,85.69,88.4,84.4,88.4,3206
2015-01-21,85.74,87,85.2,85.98,3725
2015-01-22,85.13,88.34,84.61,88.34,6680
2015-01-23,86.19,87,83.8,86,10795
2015-01-27,87.27,87.8,85.02,87.8,7086
2015-01-28,87.05,87.8,86.2,87.8,6682
2015-01-29,104.46,104.46,87.38,87.38,161783
2015-01-30,120.15,125.2,97.2,105.6,307761
2015-02-02,119.09,121.5,114,120,43880
2015-02-03,130.37,130.99,118.01,120.79,139700
2015-02-04,135.55,137.34,121,130.8,120722
2015-02-05,122,126.15,122,123.5,20608
2015-02-06,112.28,117.89,109.8,109.8,74261
2015-02-09,120.17,122.8,107.6,108.02,40467
2015-02-10,131.63,132.18,119.81,119.81,79414
2015-02-11,123.26,138,121.6,134.4,67892
2015-02-12,128.54,130.6,123.95,123.95,27283
2015-02-13,141.39,141.39,129.4,133.4,41801
2015-02-16,142.87,148.45,142.2,148.36,50747
2015-02-18,150.01,150.01,142.24,142.24,29696
2015-02-19,154.47,157.51,151.76,155.6,59425
2015-02-20,162.19,162.19,152.97,155.2,45377
2015-02-23,165.58,170.29,162.18,166,65284
2015-02-24,157.31,169.66,157.31,165.75,30301
2015-02-25,153.18,159.98,149.45,156,18973
2015-02-26,152.77,160.6,147.66,150.4,21504
2015-02-27,150.08,155.96,148.4,154,13679
2015-03-02,152.3,158,151.2,158,6191
2015-03-03,149.34,155,148.6,154.47,3695
2015-03-04,156.48,156.8,147.84,149.42,19644
2015-03-05,163.87,164.3,156.8,159.4,21791
2015-03-09,163.39,170.02,158,166.98,35177
2015-03-10,160.02,164.76,156.24,163.98,35999
2015-03-11,165.68,168,160.93,160.93,26008
2015-03-12,182.24,182.24,165.24,166.85,58578
2015-03-13,189.95,200.46,186.01,187.8,99142
2015-03-16,193.65,199.74,187.93,191,52761
2015-03-17,195.23,199.8,190.6,190.6,32406
2015-03-18,194.93,198,193,195.8,15168
2015-03-19,188.87,197.6,188.02,196.2,18450
2015-03-20,188.09,191.2,186.21,189.6,15509
2015-03-23,178.26,187,175.21,187,44175
2015-03-24,176.99,186.99,172.41,178.34,47110
2015-03-25,168.08,180,166,180,11416
2015-03-26,183.42,184.88,164.2,164.25,28844
2015-03-27,185.63,193.2,184.98,184.98,27223
2015-03-30,193.23,204.19,186,186,73468
2015-03-31,205.06,207.6,191.41,192.96,57644
2015-04-01,224.53,225.56,204,204,108731
2015-04-06,235.75,235.75,225,234.8,56522
2015-04-07,247.53,247.53,238,246.68,34290
2015-04-08,259.9,259.9,253.99,254.8,27354
2015-04-09,264.8,272.89,254.24,268,103858
2015-04-10,259.61,267.4,255.44,267.4,27550
2015-04-13,248.28,256.8,246.63,256,26272
2015-04-15,236.38,256.96,235.87,248.28,34104
2015-04-16,224.57,240,224.57,237.98,16061
2015-04-17,214.96,231.98,213.35,213.35,39392
2015-04-20,214.51,220.8,208.2,215,18306
2015-04-21,224.33,225.23,206.21,215,26311
2015-04-22,227.69,234.6,223,227.6,26649
2015-04-23,224.23,236.8,220,229.79,12729
2015-04-24,213.02,228.8,213.02,226.02,11478
2015-04-27,202.37,208.35,202.37,207.21,4371
2015-04-28,192.9,202,192.26,202,17599
2015-04-29,192.55,201.84,190,195.2,20396
2015-04-30,187.21,196,185.4,193,14113
2015-05-04,196.57,196.57,190.2,191.01,6261
2015-05-05,205.45,206.39,197.99,206.39,26287
2015-05-06,198.99,208.8,195.6,208.8,21605
2015-05-07,190.6,195.3,189.05,189.05,11432
2015-05-08,197.22,200.13,186.6,193.98,13282
2015-05-11,197.52,205,187.7,200.2,10493
2015-05-12,192.13,203.02,190.46,196.02,7690
2015-05-13,195.75,199.5,188.85,195,9239
2015-05-14,195.7,199.79,193.6,195.6,4839
2015-05-15,193.96,205.48,193,205.48,5612
2015-05-18,198.81,201.7,194.4,195,10635
2015-05-19,197.53,205.8,195.81,196.02,13014
2015-05-20,193.16,203.8,188,203.5,6341
2015-05-21,188.39,197.8,186,195.6,9974
2015-05-22,183.03,191.77,180.42,180.42,10443
2015-05-25,177.22,185.6,175.22,185.6,10815
2015-05-26,180.88,184,174.21,176,13975
2015-05-27,189.92,189.92,178.5,180,10652
2015-05-28,191.86,197.98,186.99,192.38,20291
2015-05-29,189.93,196.01,188,191.93,5823
2015-06-01,190.09,193.5,188.2,193.4,5646
2015-06-02,183.1,191.01,181.2,191.01,4505
2015-06-03,177.3,183.18,174,183.18,11252
2015-06-04,173.33,180,171,180,8090
2015-06-05,173.43,181.2,170.2,181.2,5021
2015-06-08,173.75,180.6,172.82,180.6,5310
2015-06-09,166.72,174.97,161.61,174.96,8069
2015-06-10,183.39,183.39,167,171.99,18026
2015-06-11,182.41,197.8,180.6,185.4,28899
2015-06-12,175.97,185.98,174.65,182.6,11687
2015-06-15,180.13,184.8,175.61,179.8,13787
2015-06-16,182.03,185.8,177.2,181.99,11310
2015-06-17,186.49,190,179.19,183.6,14391
2015-06-18,191.57,197.36,188.96,188.98,35065
2015-06-19,193.06,197.8,190,193.99,12538
2015-06-22,193.95,197.6,191.2,196.01,11482
2015-06-23,187.38,195.6,178.3,193.8,11776
2015-06-24,183.66,190,181.2,190,10523
2015-06-25,182.87,185.3,181.19,184.02,5193
2015-06-26,182.82,186.99,182,182.38,8223
2015-06-29,183.52,186.79,170.2,175,13035
2015-06-30,186.17,188.58,180,180.21,10143
2015-07-01,190.07,192.79,187.21,189,12787
2015-07-02,197.4,201.6,189.99,192.4,31088
2015-07-03,194.07,207,192.4,200.8,20259
2015-07-06,198.46,203.6,189.99,191.09,15400
2015-07-07,197.97,205.01,197,201.99,14570
2015-07-08,197.9,204.71,193.39,197,12859
2015-07-09,201.45,207.18,196,202.8,44264
2015-07-10,215.72,223,204,206,82013
2015-07-13,258.86,258.86,216.22,216.22,166306
2015-07-14,265.08,283.2,256,265,187608
2015-07-15,262.12,271.69,255.38,266,51730
2015-07-16,254.92,267,253.4,263.2,28155
2015-07-17,252.23,262.6,248.2,254.42,36598
2015-07-20,272.32,277.8,252.98,253.02,87931
2015-07-21,275.96,287,267.2,279.6,89934
2015-07-22,262.5,274,259.04,272.4,35573
2015-07-23,253.33,269.8,252,263,28912
2015-07-24,238.86,259.2,237.61,253.8,52100
2015-07-27,241.77,258.96,235.97,239.99,46090
2015-07-28,240.9,250.1,239.03,245.8,20149
2015-07-29,238.64,244.8,237,243.2,9598
2015-07-30,238.66,243.4,234,241.79,14773
2015-07-31,240.98,250,239.29,241.8,16676
2015-08-03,254.6,264.9,239.6,239.6,58179
2015-08-04,258.41,264.22,252.2,259.58,34368
2015-08-05,259.16,268,258.2,262,23470
2015-08-06,253.14,263,251,263,12296
2015-08-07,250.73,257.8,250,254.4,9185
2015-08-10,254.25,259,245.96,252.2,18131
2015-08-11,257.25,266.6,255.8,258,54773
2015-08-12,243.05,259.72,240,258.2,19324
2015-08-13,238.74,250.8,237,248,11519
2015-08-14,243.44,248.89,240,245,11595
2015-08-17,262.89,265.8,244.43,247.2,51095
2015-08-18,270.45,275.4,264.4,264.4,49648
2015-08-19,269.4,274.7,250,271.38,35551
2015-08-20,272.88,277.6,265,269.59,37907
2015-08-21,294.26,303.98,270.3,277,234551
2015-08-24,255.04,285.6,241,280,79206
2015-08-25,251.38,270.2,230,267,44229
2015-08-26,253.51,257.66,240,250.98,22412
2015-08-27,261.66,267.4,259,267.4,14195
2015-08-28,276.78,287.4,263.6,263.6,76819
2015-08-31,281.19,285.79,270.01,272.62,24665
2015-09-01,275.89,287.4,273.6,273.61,26569
2015-09-02,279.37,284.4,276.51,282,22367
2015-09-03,321.17,329.19,278,282.59,255948
2015-09-04,299.37,320,290,320,93575
2015-09-07,288.36,314,284.2,300,51199
2015-09-08,289.47,297.8,278,289,41447
2015-09-09,294.97,303.77,292.6,294,35479
2015-09-10,288.38,295.2,284,290,24342
2015-09-11,306.45,318.4,289,289,106331
2015-09-14,311.91,317.2,306.8,308,31596
2015-09-15,306.2,314.91,304.22,312.74,24713
2015-09-16,305.27,312.32,302,310.78,18457
2015-09-18,306.31,311.6,303,311.6,16971
2015-09-21,301.89,312,297.2,305.98,23903
2015-09-22,291.21,308,288.39,305,20773
2015-09-23,287.66,294.39,282.52,291.22,29754
2015-09-24,293.97,301.6,284,284,21681
2015-09-28,291,298.98,288.42,298.98,11073
2015-09-29,290.53,294,285.02,288.8,11638
2015-09-30,288.45,292.79,286,292.79,11361
2015-10-01,288.49,293.99,287.28,288.45,11026
2015-10-05,294.85,303,288.22,291.99,28743
2015-10-06,302.82,308.61,292,294,52987
2015-10-07,300.8,310,298.25,301.22,19768
2015-10-08,274.78,303.06,271.53,299.02,85109
2015-10-09,274.47,280.01,270.6,276,33395
2015-10-12,272.28,276.45,264,275.4,20850
2015-10-13,265.77,271.61,264.12,271.61,10468
2015-10-14,270.72,274.97,264.42,266.41,20362
2015-10-15,267.15,273,266.39,271,11927
2015-10-16,271.93,274,265,267.95,17483
2015-10-19,267.2,277.59,266,270.75,15224
2015-10-20,270.52,273,267.2,268.27,7076
2015-10-21,271.99,277,270.52,272.79,9103
2015-10-23,269.71,275,266.04,275,6449
2015-10-26,265.5,272.6,264,272.6,7094
2015-10-27,264.19,268,263.49,268,6224
2015-10-28,264.71,267,259.92,264.23,9291
2015-10-29,263.69,275.4,262.05,264.71,15150
2015-10-30,255.34,267.14,253,266,13174
2015-11-02,249.04,255.6,244.6,252.2,12314
2015-11-03,250.19,253.49,248,251.53,10969
2015-11-04,259.92,266,249.1,251.4,49542
2015-11-05,259.38,269,256.1,260.79,34148
2015-11-06,265.99,277.79,262.79,270.02,76407
2015-11-09,265.12,270,253.25,256.4,20669
2015-11-10,261.44,269.8,259.67,269.8,9547
2015-11-11,262.71,266.19,252.41,262.64,1782
2015-11-13,259.42,263.6,256,261.6,8657
2015-11-16,256.69,261,254.4,259.2,6891
2015-11-17,257.94,260,256.08,258.03,4662
2015-11-18,259.33,260,254.24,259.71,17707
2015-11-19,263.43,274.6,254.19,264.64,28247
2015-11-20,266.7,269.59,262,263.48,12755
2015-11-23,280.61,286.8,265,268.7,55260
2015-11-24,297.33,299.99,280.2,280.6,61885
2015-11-26,297.37,306.4,290,293.8,39214
2015-11-27,288.45,299.78,287.01,297.99,9319
2015-11-30,280.33,294.98,276.65,289,16730
2015-12-01,274.16,281.8,271.92,280.2,6781
2015-12-02,271.81,276.8,270,271,7097
