Date,Close,High,Low,Open,Volume
2014-03-14,149.7,155.125,143.5,150,27208
2014-03-18,147.875,151.475,145.775,150.5,52683
2014-03-19,145.45,147.95,144.05,147.95,43210
2014-03-20,144.7,145.5,143.55,145,47574
2014-03-21,143.575,145.5,142.9,144,77541
2014-03-24,144.475,146.175,143.8,146.175,120240
2014-03-25,143.625,146.475,142.5,144.25,47272
2014-03-26,145.825,146.475,144.025,145,40337
2014-03-27,148.85,149.125,145.15,146,54703
2014-03-28,156.1,157,151.25,151.25,208665
2014-03-31,155.475,158.5,154.675,156.65,91514
2014-04-01,153.025,156.1,152.5,156.1,198453
2014-04-02,154.025,156.25,152.5,153,169167
2014-04-03,152.45,155.5,151.55,153.525,254728
2014-04-04,154.2,154.975,152.35,152.6,53319
2014-04-07,152.025,154.9,151.75,153.075,99437
2014-04-09,152.025,154.5,151.5,152.025,244701
2014-04-10,152.1,153.2,151.95,152.5,100456
2014-04-11,152.45,154.95,152,152.5,109339
2014-04-15,151.325,153.675,151.075,153.675,63611
2014-04-16,150.175,152.25,150,151.75,69455
2014-04-17,150.7,152,150,150,26470
2014-04-21,150.1,152.5,150,151,108739
2014-04-22,151.15,151.5,150.075,150.425,48618
2014-04-23,151.125,152.25,150.625,152.25,54131
2014-04-25,148.725,151,148.5,150.5,67660
2014-04-28,148.725,149.45,148,148.575,51164
2014-04-29,147.1,153.375,146.525,153.375,99784
2014-04-30,148.05,152.25,146.5,147.475,103453
2014-05-02,148.15,149.5,146.8,149,50070
2014-05-05,146.5,148.5,145.75,148.15,56645
2014-05-06,145.975,147.25,145.5,147,50415
2014-05-07,145.15,146.45,144.7,145.625,151320
2014-05-08,143.45,146.175,143.025,145.175,115858
2014-05-09,143.375,145.5,143,143.15,125316
2014-05-12,145,145.75,144,144.5,72632
2014-05-13,146.5,149.2,145.025,147.75,178584
2014-05-14,144.025,146.5,143.05,146.5,144899
2014-05-15,143.8,145.4,143.325,145.4,129161
2014-05-16,142.375,145.575,141.55,145.025,153224
2014-05-19,143.1,144.425,142.5,142.5,245191
2014-05-20,142.375,144.15,141.8,144,315718
2014-05-21,144.85,146.025,141.75,142.55,502662
2014-05-22,146.5,149.25,145.05,145.5,889713
2014-05-23,147.425,149.6,146.5,147.9,454472
2014-05-26,149.375,154.35,146.575,148.75,756861
2014-05-27,146.75,150.8,146.5,150.45,185626
2014-05-28,145.8,149.25,145,146.8,257473
2014-05-29,145.95,147.5,145.4,146.35,83574
2014-05-30,147.125,149.7,145.275,145.275,135411
2014-06-02,147.4,148.85,147,147.5,86124
2014-06-03,147.5,148.15,147.05,147.5,155556
2014-06-04,149.25,151,147,147.025,448830
2014-06-05,156.45,157.5,151.5,151.5,1088461
2014-06-06,163.35,165.8,158.25,158.25,1341326
2014-06-09,174.025,174.95,165.625,165.7,1266440
2014-06-10,170.7,175.9,167.375,175,479254
2014-06-11,167.675,174.5,165.85,171,327666
2014-06-12,166.925,170.25,165.7,168,168772
2014-06-13,158.825,167.925,158.05,167.075,470365
2014-06-16,157.525,161.35,155.625,157.575,405667
2014-06-17,159.75,161.5,157.35,157.35,529122
2014-06-18,156.65,161.5,155.825,160.5,219803
2014-06-19,154.875,158.4,154.2,157.95,249459
2014-06-20,159.3,161.175,154.7,154.725,426257
2014-06-23,157.3,161,156.3,159.6,153412
2014-06-24,159.6,161,157.25,158,222304
2014-06-25,158.425,160,157.55,159.125,81759
2014-06-26,157.15,158.925,156.1,158,115649
2014-06-27,162.75,164,157.5,157.625,494270
2014-06-30,162.35,164.5,160.85,163.6,182164
2014-07-01,165.85,166.975,161,163.225,343956
2014-07-02,180.775,182.5,167.025,169.05,3729277
2014-07-03,173.875,177.5,171.275,177.375,1341996
2014-07-04,171.875,175.7,171.125,174.75,402603
2014-07-07,168.625,171.975,167.375,171.575,379814
2014-07-08,170,172.95,168.05,169.925,1212234
2014-07-09,168.85,172,165.55,168.95,811586
2014-07-10,164.925,169.5,161.5,169.5,258941
2014-07-11,159.35,166.15,158.625,165,159441
2014-07-14,160.975,162.35,158.1,158.1,112783
2014-07-15,165.025,166,159.575,160.55,191503
2014-07-16,166.175,167.5,165.075,165.125,177280
2014-07-17,166.475,168.8,163.75,165.6,172397
2014-07-18,165.6,167.25,164.65,167.25,101201
2014-07-21,166.525,169.7,165.6,165.6,178468
2014-07-22,164.225,167.5,163.4,167.35,186440
2014-07-23,168.375,169.125,162.225,165,561251
2014-07-24,167.925,170.75,167.05,169,289423
2014-07-25,165.95,169,164.55,167.75,493904
2014-07-28,165,166.475,164.025,165.5,467631
2014-07-30,165.375,166.975,164.175,164.5,696681
2014-07-31,168.025,169.35,165.375,166.75,451272
2014-08-01,166.725,167.475,162.675,164,308124
2014-08-04,164.975,166.5,164.075,165.5,96057
2014-08-05,170.7,172.5,164.25,164.5,341613
