Date,Close,High,Low,Open,Volume
2017-06-30,130.8,134.975,125,125,50326064
2017-07-03,131.075,132.35,121.575,131,14445613
2017-07-04,132.65,135.45,131.5,131.75,4484530
2017-07-05,131.975,133.25,131.075,132.95,1877748
2017-07-06,146.95,149.2,131.2,132.2,17400332
2017-07-07,165.575,172.4,145,145.05,38221192
2017-07-10,177.075,183,162.5,177.5,8928724
2017-07-11,190.85,193.2,178.85,178.85,23411260
2017-07-12,201.975,204.5,195.3,196.575,17877964
2017-07-13,222.15,222.15,204.2,208.5,15896817
2017-07-14,199.95,243,199.95,235.575,31052454
2017-07-17,190.775,198.4,185,194.25,15705997
2017-07-18,191.175,196,185.5,187.5,5308410
2017-07-19,189.5,194.85,188.2,192.9,2577313
2017-07-20,186.8,192.35,181.7,190.95,6222337
2017-07-21,185.175,190.725,184.125,187.35,2469984
2017-07-24,181.925,188,181.25,185.9,2293565
2017-07-25,181.85,187.25,181.55,182.875,2760857
2017-07-26,177.85,183.5,177.5,182.6,1931369
2017-07-27,172.075,179.9,171.5,178.15,2850106
2017-07-28,186.775,189.275,168.75,170,10446183
2017-07-31,169.8,185,169,185,7912135
2017-08-01,168.65,174,167.825,171.25,2889107
2017-08-02,168.725,173.925,168.1,168.5,3677085
2017-08-03,163.55,171.35,162.55,168.7,2552070
2017-08-04,155.85,164.175,154.7,163.9,3544659
2017-08-07,166.675,169.3,154.025,156.35,7715813
2017-08-08,162.875,168.125,161.05,167.75,2688517
2017-08-09,159.725,163.475,158.75,161.45,1582568
2017-08-10,150.625,160.5,149,158.375,2718480
2017-08-11,152.275,155.5,145.55,148.45,2949441
2017-08-14,158,159.9,155.3,156,1513613
2017-08-16,163.125,165.5,157.6,159.825,2758656
2017-08-17,163.8,166.4,162.5,163.925,1480926
2017-08-18,160.675,162.5,158.5,162.5,1026505
2017-08-21,165.425,171.725,160.8,161.5,4886628
2017-08-22,164.3,168.35,163.25,167,1285706
2017-08-23,166.375,168.225,164.3,165.5,1383990
2017-08-24,165.5,167.5,165.075,167,757308
2017-08-28,170.575,172.3,165.8,166.3,2584839
2017-08-29,167.225,172.95,166.825,169.2,2262605
2017-08-30,170.05,171.4,168.8,168.975,1247379
2017-08-31,169.175,171.2,168.75,170.3,998538
2017-09-01,169,172.75,168.5,169.85,1640095
2017-09-04,165.525,169.1,163.5,168.75,1001248
2017-09-05,171.025,172.4,166.25,166.25,1989703
2017-09-06,169.225,171.5,168.5,168.75,1590487
2017-09-07,172.475,178.275,170,170,3535951
2017-09-08,179.275,180.9,174,174,5191666
2017-09-11,178.25,181.225,177.05,181.025,1893319
2017-09-12,177.325,180.425,176.5,179.2,1123451
2017-09-13,174.025,178.675,172.875,177.5,956237
2017-09-14,174.15,176.525,173.2,174.5,801888
2017-09-15,173.9,175.9,172.6,173.5,986627
2017-09-18,180.775,184.5,174.525,174.525,3691628
2017-09-19,185.3,189.3,180,182.175,3955335
2017-09-20,193.275,199.225,185.5,186.45,7712216
2017-09-21,191.625,198.075,188.05,194.45,3238070
2017-09-22,182.2,190.8,181.55,190.8,2254366
2017-09-25,175.075,181.925,172.075,181.125,1864577
2017-09-26,176.575,178.65,175,175,1477624
2017-09-27,170.5,178.325,169.5,178,1410608
2017-09-28,170.325,172.75,170,171.875,932160
2017-09-29,170.875,175.95,170.15,171.125,2360656
2017-10-03,173.7,175.7,171.8,173,1056289
2017-10-04,176.675,178.4,173.225,174.9,1408665
2017-10-05,178.125,180,175.75,177.5,1239998
2017-10-06,187.925,189.7,178,179.1,3695629
2017-10-09,187.225,190.3,186.125,189.475,1408850
2017-10-10,192.55,196.625,186.525,187.9,3541245
2017-10-11,186.525,196.2,184.5,193.4,2164548
2017-10-12,189.35,190.625,184.6,188.15,1093643
2017-10-13,187.9,192.225,187.1,189.5,1010152
2017-10-16,191.9,192.825,187.55,189.75,1443634
2017-10-17,195.025,196.925,190,191.5,2490964
2017-10-18,194.45,198.45,192.55,194,1644667
2017-10-19,190.825,195.3,189,194.35,643791
2017-10-23,188.9,193.35,188,190.9,950509
