Date,Close,High,Low,Open,Volume
2010-10-29,35.411,42.2897,34.9519,38.4595,187361
2010-11-01,35.495,36.665,35.3114,35.4688,41730
2010-11-02,35.3901,35.9384,35.3638,35.4163,72249
2010-11-03,35.4373,36.4657,35.4163,36.4657,59006
2010-11-04,35.335,35.6786,34.9441,35.6786,142509
2010-11-05,35.4924,35.6786,35.4163,35.4425,32260
2010-11-08,35.1015,35.6681,35.1015,35.4268,94509
2010-11-09,35.1041,35.3638,35.049,35.1566,123639
2010-11-10,35.1539,35.2484,35.1067,35.1802,51705
2010-11-11,35.6078,35.9384,35.1067,35.4137,187779
2010-11-12,35.9436,36.2007,35.4242,35.6786,63748
2010-11-15,36.8854,37.3576,36.5444,36.7254,59576
2010-11-16,36.9143,37.2527,36.5181,37.2527,59437
2010-11-18,35.8833,37.3576,35.6786,37.3576,31292
2010-11-19,36.08,36.7228,35.9462,36.7228,50136
2010-11-22,36.3975,36.728,35.5737,35.5737,35231
2010-11-23,35.0752,36.4657,33.1103,36.3607,43628
2010-11-24,28.0077,34.8916,28.0077,34.8916,242337
2010-11-25,22.4067,22.4067,22.4067,22.4067,7625
2010-11-26,20.1663,20.1663,20.1663,20.1663,564
2010-11-29,18.1515,18.1515,18.1515,18.1515,377
2010-11-30,16.3361,16.3361,16.3361,16.3361,2963
2010-12-01,15.5202,15.5202,15.5202,15.5202,1921
2010-12-02,14.7463,14.7463,14.7463,14.7463,1440
2010-12-03,14.0091,14.0091,14.0091,14.0091,1735
2010-12-06,13.3087,13.3087,13.3087,13.3087,802
2010-12-07,12.6449,12.6449,12.6449,12.6449,227
2010-12-08,12.0127,12.0127,12.0127,12.0127,155
2010-12-09,11.4119,11.4119,11.4119,11.4119,38
2010-12-10,10.8426,10.8426,10.8426,10.8426,111
2010-12-13,10.3022,10.3022,10.3022,10.3022,151
2010-12-14,9.78801,9.78801,9.78801,9.78801,313
2010-12-15,9.30006,9.30006,9.30006,9.30006,1613
2010-12-16,9.76703,9.76703,8.83571,8.83571,200550
2010-12-20,9.27907,10.1999,9.27907,9.86409,18398
2010-12-21,8.83046,9.17675,8.81735,8.81735,67691
2010-12-22,8.38973,9.27382,8.38973,8.3976,209802
2010-12-23,7.96998,8.18248,7.96998,7.96998,25956
2010-12-24,7.57122,7.97522,7.57122,7.57122,56028
2010-12-27,7.19344,7.79683,7.19344,7.19344,91234
2010-12-28,6.83403,7.3456,6.83403,7.03079,52492
2010-12-29,6.49299,6.61104,6.49299,6.59268,28617
2010-12-30,6.78681,6.81829,6.17031,6.17031,250773
2010-12-31,6.87076,7.12786,6.66351,6.92323,270617
2011-01-03,6.57169,7.03079,6.52709,6.78419,110801
2011-01-04,6.39854,6.69237,6.32246,6.45364,60619
2011-01-05,6.25163,6.7186,6.07849,6.53234,232156
2011-01-06,6.26213,6.45364,6.11521,6.39067,77704
2011-01-07,5.94994,6.28836,5.94994,6.28836,53131
2011-01-10,5.65349,6.03126,5.65349,6.03126,19519
2011-01-11,5.37278,5.5092,5.37278,5.41738,29876
2011-01-12,5.32031,5.40164,5.10519,5.14454,81464
2011-01-13,5.48821,5.5879,5.24686,5.3518,151636
2011-01-14,5.41476,5.64562,5.24948,5.56167,47850
2011-01-17,5.22849,5.66661,5.17078,5.66661,54203
2011-01-18,5.23636,5.33868,5.14717,5.19439,28724
2011-01-19,5.25998,5.4305,4.99239,4.99239,84038
2011-01-20,5.25211,5.31769,5.14192,5.14717,18460
2011-01-21,5.51707,5.51707,5.24686,5.24948,13894
2011-01-24,5.79516,5.79516,5.66661,5.66661,2595
2011-01-25,6.08636,6.08636,6.08636,6.08636,2018
2011-01-27,6.39067,6.39067,6.39067,6.39067,31940
2011-01-28,6.71073,6.71073,6.56382,6.71073,60860
2011-01-31,6.48774,6.94159,6.41953,6.94159,65197
2011-02-01,6.52184,6.70548,6.19129,6.55857,34521
2011-02-02,6.67138,6.73697,6.45364,6.60055,26814
2011-02-03,6.89175,6.95471,6.61104,6.71598,19497
2011-02-04,6.54808,7.05178,6.54808,7.05178,12424
2011-02-07,6.22802,6.55857,6.22277,6.55857,71559
2011-02-08,5.91846,6.03913,5.91846,5.92108,5495
2011-02-09,5.62463,5.71908,5.62463,5.62726,4950
2011-02-10,5.34392,5.56167,5.34392,5.56167,3754
2011-02-11,5.55905,5.61152,5.08158,5.1288,10832
2011-02-14,5.83713,5.83713,5.5092,5.5092,3846
2011-02-15,5.95518,6.13095,5.61414,6.00241,16885
2011-02-16,6.25425,6.25425,5.98142,6.1808,13085
2011-02-17,6.56907,6.56907,6.40117,6.5061,12532
2011-02-18,6.24376,6.89962,6.24114,6.81567,60300
2011-02-21,5.99454,6.08636,5.93157,5.98142,15820
2011-02-22,5.69546,6.03389,5.69546,6.03389,16112
2011-02-23,5.41213,5.82401,5.41213,5.82401,66224
2011-02-24,5.19439,5.29408,5.14192,5.24686,52800
2011-02-25,5.02124,5.40426,4.93729,5.24686,31699
2011-02-28,4.97927,5.03698,4.8822,4.93992,46151
2011-03-01,4.83498,5.05797,4.82973,4.97927,179935
2011-03-03,4.64085,5.07896,4.62248,4.85859,214556
2011-03-04,4.44409,4.72217,4.41261,4.64085,90680
2011-03-07,4.42835,4.45983,4.28144,4.30242,39313
2011-03-08,4.65134,4.65134,4.40736,4.62773,18164
2011-03-09,4.87433,4.88482,4.61724,4.79563,97077
2011-03-10,4.8376,5.03174,4.77464,4.90581,12726
2011-03-11,4.69856,4.97927,4.6697,4.86908,14572
2011-03-14,4.71955,4.81662,4.54116,4.69856,9028
2011-03-15,4.48869,4.59362,4.48344,4.59362,10575
2011-03-16,4.48606,4.61724,4.40736,4.40736,18622
2011-03-17,4.4231,4.55165,4.30242,4.30242,7001
2011-03-18,4.38113,4.5123,4.35489,4.45983,30244
2011-03-21,4.28406,4.39162,4.23946,4.24996,5102
2011-03-22,4.29455,4.35489,4.2552,4.33915,6081
2011-03-23,4.29718,4.34965,4.17388,4.30242,14919
2011-03-24,4.32341,4.39424,4.19749,4.30242,13827
2011-03-25,4.40998,4.47032,4.25258,4.25258,11944
2011-03-28,4.2998,4.35489,4.19224,4.24996,183230
2011-03-29,4.30767,4.42572,4.22634,4.22634,32454
2011-03-30,4.24996,4.35489,4.22897,4.22897,10387
2011-03-31,4.13452,4.25258,4.08206,4.24996,13143
2011-04-01,4.06369,4.16601,4.04008,4.04533,23492
2011-04-04,4.10042,4.13977,4.04533,4.09255,18959
2011-04-05,4.07681,4.24733,4.04008,4.24471,18712
2011-04-06,4.28144,4.28144,3.99286,4.0978,102819
2011-04-07,4.36801,4.49656,4.31816,4.44934,98600
2011-04-08,4.20536,4.44671,4.15289,4.44671,25445
2011-04-11,4.02434,4.19749,4.00598,4.19749,10930
2011-04-13,4.03221,4.13452,3.99548,4.0427,17244
2011-04-15,3.95875,4.11878,3.93514,4.11878,47715
2011-04-18,3.82758,4.06107,3.78036,3.83545,15711
2011-04-19,3.82758,3.88267,3.7515,3.762,9920
2011-04-20,3.77249,3.93514,3.7515,3.88267,13197
2011-04-21,3.61771,3.81447,3.5836,3.80135,18505
2011-04-25,3.43932,3.6728,3.43669,3.6728,26974
2011-04-26,3.28978,3.38422,3.26879,3.34487,21022
2011-04-27,3.19796,3.38422,3.15336,3.38422,36256
2011-04-28,3.15336,3.25305,3.10876,3.25305,29369
2011-04-29,3.2583,3.31339,3.15074,3.25305,72411
2011-05-02,3.23206,3.40521,3.15336,3.40521,47616
2011-05-03,3.07991,3.30552,3.07204,3.30552,39809
2011-05-04,2.94086,3.04318,2.92775,2.94086,18049
2011-05-05,2.79395,2.88577,2.79395,2.80969,15544
2011-05-06,2.71,2.7992,2.6759,2.7992,10464
2011-05-09,2.62868,2.77821,2.62343,2.77821,49085
2011-05-10,2.67327,2.68377,2.54735,2.62605,44420
2011-05-11,2.80445,2.80707,2.6759,2.7205,184247
2011-05-12,2.70738,2.85954,2.6654,2.6654,56773
2011-05-13,2.61294,2.77559,2.57358,2.57358,59927
2011-05-16,2.57883,2.74411,2.48439,2.48701,78362
2011-05-17,2.56309,2.64442,2.52112,2.62605,33336
2011-05-18,2.51849,2.55522,2.50275,2.50537,28158
2011-05-19,2.64442,2.64442,2.51849,2.51849,19691
2011-05-20,2.77821,2.77821,2.58145,2.59982,34272
2011-05-23,2.89889,2.91725,2.64179,2.77821,89220
2011-05-24,3.04055,3.0458,2.78346,2.78346,134759
2011-05-25,3.19271,3.19271,2.99071,3.11139,164167
2011-05-26,3.14024,3.35274,3.0458,3.32651,157075
2011-05-27,3.14024,3.19796,2.98546,3.17435,59192
2011-05-30,3.19534,3.23469,3.05629,3.14024,14664
2011-05-31,3.08253,3.22419,3.03531,3.21108,27959
2011-06-01,2.95136,3.18484,2.93037,3.08253,132884
2011-06-02,2.86741,2.99071,2.8333,2.9566,161398
2011-06-03,2.8333,2.94873,2.78346,2.89102,179281
2011-06-06,2.85429,2.90151,2.72837,2.72837,114475
2011-06-07,2.99858,2.99858,2.78346,2.90151,86693
2011-06-08,3.04842,3.13762,2.84904,2.92512,160392
2011-06-09,3.02481,3.14024,2.89627,2.9671,159289
2011-06-10,3.17697,3.17697,3.03793,3.06417,182241
2011-06-13,3.337,3.337,3.11926,3.11926,30804
