Date,Close,High,Low,Open,Volume
2022-04-08,75.3125,78.2125,74.25,75.25,349517
2022-04-11,76.4625,79.75,75.25,76.9625,170231
2022-04-12,76.15,77.2375,75.25,76.725,87302
2022-04-13,76.8875,79.4625,76.275,77.4875,99169
2022-04-18,76.9375,77.45,76.125,76.7125,76385
2022-04-19,75.7375,77.5,75.5,77.5,121602
2022-04-20,75.825,76.3375,75.375,76,78221
2022-04-21,75.825,77.25,75.425,77.25,67636
2022-04-22,75.3375,76.75,75.125,75.75,72092
2022-04-25,75.0875,76.25,74.3,75.35,87570
2022-04-26,75.65,76.2875,75.0125,75.3875,95157
2022-04-27,76.2625,77.45,75.1875,75.725,87058
2022-04-28,77.95,79.8875,76.25,76.9,83378
2022-04-29,78.5375,79.7,77.5,77.95,56067
2022-05-02,78.725,80.275,78.25,80.2625,50831
2022-05-04,79.0375,80.45,78.6625,80.45,46141
2022-05-05,81.1,82.8875,79.225,79.675,77314
2022-05-06,80.2625,81.25,75.4875,80,57186
2022-05-09,79.825,80.9375,79.025,80.9375,32735
2022-05-10,80.4875,81.75,78.7875,79.75,48054
2022-05-11,77.5375,80.875,76.7125,80.525,62322
2022-05-12,76.475,78.5125,76.2,77.25,53386
2022-05-13,78.1125,78.75,77.25,77.5,38634
2022-05-16,78.5625,79.5,78,78.1125,44949
2022-05-17,79.075,79.5,78,78.7375,35291
2022-05-18,79.95,80.625,78.75,80,49911
2022-05-19,79,79.6,78,79.3875,39041
2022-05-20,81.3,81.85,79,79.5,48102
2022-05-23,85.0875,96.25,81.65,82.2125,74471
2022-05-24,83.7875,85.15,81.275,85,53291
2022-05-25,85.4375,89,85.0125,87.65,69701
2022-05-26,86.3125,87.45,83.6875,87.375,46308
2022-05-27,86.5625,87.75,86.5,87.5,43788
2022-05-30,85.175,88.3,84.7,86.75,63394
2022-05-31,85.4875,86.2375,83.2,85.4875,78173
2022-06-01,86.825,87.5,85.0125,85.1125,43316
2022-06-02,86.9375,88.3625,86.25,86.975,33111
2022-06-03,86.7875,87.85,86.2625,86.2625,29383
2022-06-06,86.5125,88.525,86.25,88.525,105714
2022-06-07,86.775,87.65,86.325,86.325,26683
2022-06-08,86.8125,87.4875,85.65,86.925,43399
2022-06-09,87.4625,88.25,86.3375,88.25,28940
2022-06-10,86.475,87.4375,86.25,87.3125,32201
2022-06-13,85.4,86.5,84.55,85.2625,41039
2022-06-14,85.0625,85.8625,84.775,85,27528
2022-06-15,90.3125,91,85.5,85.675,77198
2022-06-16,91.6,93.7,88.75,90.075,84157
2022-06-17,90.8375,92.5,90.0375,92.5,46188
2022-06-20,88.5,92.0875,87.625,89.9375,40474
2022-06-21,90.125,91.075,88.7,88.7,36004
2022-06-22,92.4,92.8,88.9,90.25,50683
2022-06-23,94.1125,95,90.9875,91.6875,43971
2022-06-24,95.0375,98.75,94.15,95,85637
2022-06-27,97.0625,98.1,95.2875,96.25,43292
2022-06-28,96.9625,97.375,95.5125,96.525,39518
2022-06-29,96.4375,97.5,95.75,96.375,31126
2022-06-30,96.425,97.475,96,96.075,21154
2022-07-01,96.025,97.2375,95.2625,97.2375,18391
2022-07-04,97.6875,98.2625,96.3875,97.175,266578
2022-07-05,97.4,100.963,94.0375,98.5,310818
2022-07-06,98.775,99.25,97,97,240259
2022-07-07,99.25,100.225,98.5125,99.45,453283
2022-07-08,100.1,101.75,98.125,99.7,485673
2022-07-11,100.162,103.575,99.5,102,512298
2022-07-12,99.525,101.2,99,100.488,55177
2022-07-13,99.425,101.25,99.25,100.75,33129
2022-07-14,99.6875,100.4,99.175,99.9875,25753
2022-07-15,99.5875,100.45,99.1125,100,27874
2022-07-18,99.8375,101.775,99.325,99.325,23692
2022-07-19,98.975,100.65,98.75,99.75,31150
2022-07-20,99.425,100.463,98.75,99.25,25858
2022-07-21,99.5125,99.925,98.75,98.875,35121
2022-07-22,99.2875,100.75,99.25,100.4,22702
2022-07-25,99.0375,99.8375,97.775,99.25,26188
2022-07-26,98.925,99.7875,98.75,99.675,53643
2022-07-27,99.5,99.75,98.75,99.35,33444
2022-07-28,102.287,103.488,99.275,100.75,53780
2022-07-29,102.037,102.475,100.5,101.425,17518
2022-08-01,108.162,108.75,105.25,105.25,92732
2022-08-02,108.325,110.5,107.5,109.675,101839
2022-08-03,108.8,109.5,107.912,108.75,42872
2022-08-04,108.325,110.475,107.088,109.625,52091
2022-08-05,107.637,110,107.5,108.45,48801
2022-08-08,108.238,109.113,107.5,108.375,25873
2022-08-10,107.188,108.475,107,108.475,24692
2022-08-11,108.938,109.5,107.25,108,24045
2022-08-12,107.875,110.488,106.75,109.975,48160
2022-08-16,108.262,108.725,107.5,108.525,22175
2022-08-17,108.387,110.5,108,110.5,22644
2022-08-18,108.062,109.35,107.75,109,22695
2022-08-19,108.113,109.75,107.525,107.525,15090
2022-08-22,107.812,109,107.75,109,24340
2022-08-23,107.963,108.738,107.512,108.738,18708
2022-08-24,108.012,109.5,107.75,109.5,17374
2022-08-25,107.887,108.988,107.5,108.988,19204
2022-08-26,108.65,109.012,107.887,108.75,19688
2022-08-29,106.938,108.5,106.262,107.9,33753
2022-08-30,107.9,109.65,107.625,107.988,20998
2022-09-01,106.113,109.5,105.75,109.5,27619
2022-09-02,108.387,108.762,106.3,106.3,21046
2022-09-05,108.238,109.25,107.75,108.75,18011
2022-09-06,109.037,109.375,108.088,109.375,20508
2022-09-07,107.6,109,107.25,109,20947
2022-09-08,109.3,110,107.5,107.5,47058
2022-09-09,109.938,110.25,109,110,23980
2022-09-12,114.65,115.875,109.75,110.25,70320
2022-09-13,115.75,119.338,113.525,116.375,50964
2022-09-14,117.45,119.25,116.262,117,67292
2022-09-15,118.363,120.25,115.375,118.988,43545
2022-09-16,115.287,119.65,114,119,34397
2022-09-19,113.762,117.425,113.6,117,53245
2022-09-20,114.213,116.5,112.5,115.35,43919
2022-09-21,116.012,117,112.75,116.175,38518
2022-09-22,122.575,128.95,118,123,58992
2022-09-23,119.675,124,118.775,123.8,18597
