Date,Close,High,Low,Open,Volume
2021-07-19,1585.25,1770.65,1555.05,1755,13548172
2021-07-20,1737.55,1760,1576.8,1585.8,6980467
2021-07-22,1694.45,1779,1672.15,1751,1731678
2021-07-23,1635.4,1701.05,1605,1700,1084767
2021-07-26,1652.5,1688,1620,1635,747225
2021-07-27,1677.25,1715.2,1620.05,1664.5,676427
2021-07-28,1634.55,1674.8,1628.55,1672.25,256379
2021-07-29,1622.45,1651.1,1600,1636,351507
2021-07-30,1682,1726.85,1626.1,1629.5,1271880
2021-08-02,1666.45,1709.9,1660,1693.5,288875
2021-08-03,1672.65,1707,1666.65,1673.5,234059
2021-08-04,1645.25,1683.5,1640,1680,172637
2021-08-05,1637.4,1653.5,1600.1,1650.95,210820
2021-08-06,1656.95,1679,1623,1640,312272
2021-08-09,1602.4,1681,1575.7,1664.9,499926
2021-08-10,1520.45,1629,1510,1617.9,643538
2021-08-11,1575.35,1593.5,1435.6,1520,678501
2021-08-12,1576.95,1598,1557.4,1580,153642
2021-08-13,1612.35,1635,1570.45,1582,289245
2021-08-16,1527.7,1621.55,1519,1620,539674
2021-08-17,1496.95,1552,1490,1535,327596
2021-08-18,1544.65,1597.9,1470,1512,1365679
2021-08-20,1544.1,1599,1526.6,1580,365365
2021-08-23,1484.65,1563.35,1466,1545,431169
2021-08-24,1462.9,1484.65,1446.05,1484.65,399166
2021-08-25,1459.4,1490,1451,1476,419543
2021-08-26,1429.45,1465,1422.1,1465,315671
2021-08-27,1436.85,1453,1424.3,1433.7,277887
2021-08-30,1466.55,1572.5,1456,1474,1077246
2021-08-31,1522.5,1532.9,1466,1474,699312
2021-09-01,1498.2,1544.5,1490,1525.15,391724
2021-09-02,1560.8,1579,1500.05,1504,618055
2021-09-03,1620.45,1649.5,1572.9,1572.9,858686
2021-09-06,1653.05,1680,1626.1,1626.8,505372
2021-09-07,1619.55,1659.25,1595,1659,250650
2021-09-08,1613.75,1631.45,1592.1,1627,199817
2021-09-09,1656.9,1678.35,1596.3,1610,554691
2021-09-13,1671.85,1706.6,1647.8,1660,308421
2021-09-14,1698.4,1706.95,1678,1681.05,478063
2021-09-15,1813.85,1849.85,1700,1705,1871083
2021-09-16,1947.65,1964,1837.25,1845,1666295
2021-09-17,1881.8,1983.6,1846.9,1967.2,939201
2021-09-20,1927.35,1988,1805.2,1855,1097867
2021-09-21,2097.85,2129.9,1881,1935,1891176
2021-09-22,2122.6,2182,2082.1,2124,1220096
2021-09-23,2122.35,2219,2096.3,2140,984449
2021-09-24,2049.65,2144.6,2028,2132,505237
2021-09-27,1995.15,2062.35,1967,2057.8,448754
2021-09-28,2027.65,2082.7,1985,2000,617816
2021-09-29,2004.7,2059,1997.8,2000.05,338614
2021-09-30,2047.25,2064.95,2005.6,2011,307946
2021-10-01,2096.5,2128.7,2020.25,2040,623622
2021-10-04,2138.6,2167,2104.45,2107,377175
2021-10-05,2134.2,2159.9,2105.9,2133.95,282509
2021-10-06,2223.7,2243.6,2107,2138,1185905
2021-10-07,2203.55,2268.5,2188.85,2258,440559
2021-10-08,2260.25,2303,2203.2,2216,668949
2021-10-11,2311,2353.9,2260.8,2266,491905
2021-10-12,2280.6,2321.35,2265,2310,230451
2021-10-13,2208.3,2292.55,2185.1,2288,350118
2021-10-14,2146.75,2225.15,2135,2219,298192
2021-10-18,2160.4,2199,2142.05,2167,195258
2021-10-19,2123.5,2206,2065.1,2168,323627
2021-10-20,2021.65,2123.35,1992,2109,317245
2021-10-21,2022.9,2059,1955.05,2041.9,280846
2021-10-22,2029.85,2089,2005,2047,205790
2021-10-25,1933.7,2060,1925.05,2047,247026
2021-10-26,2009.3,2028,1940,1942,178975
2021-10-27,2116.9,2162.25,2014,2018,510198
2021-10-28,2096.8,2194.05,2076,2145,316297
2021-10-29,2073.85,2134,2001,2081.05,203092
2021-11-01,2066.25,2119.25,2052.4,2087.95,114684
2021-11-02,2062.2,2101,2047,2079,135225
2021-11-03,2022.25,2073.6,2011.15,2069,120986
2021-11-04,2070.2,2078.9,2034,2037,57792
2021-11-08,2112.7,2150,2068,2088.9,301127
2021-11-09,2124.1,2143.1,2116,2122,114557
2021-11-10,2083.35,2120,2070,2120,108328
2021-11-11,2012.55,2080,1987.5,2080,267061
2021-11-12,2018.55,2049.95,1916.1,1916.1,273009
2021-11-15,2027.85,2045,2010.95,2043,130796
2021-11-16,2138.1,2145.45,2016,2031,605189
2021-11-17,2199.55,2222,2142,2148,645057
2021-11-18,2139.15,2225.9,2103.05,2210.9,321751
2021-11-22,2087.3,2164.7,2040,2156,292606
2021-11-23,2118.1,2152,2051.3,2076,247436
2021-11-24,2126.25,2157.65,2092,2128,180588
2021-11-25,2209.4,2235,2117.35,2130,582661
