Date,Close,High,Low,Open,Volume
1995-02-14,2.155,2.155,2.155,2.155,100
1995-03-08,2.4,2.4,2.4,2.4,200
1995-03-24,2.55,2.55,2.55,2.55,200
1995-03-27,2.3025,2.5,2.3025,2.5,400
1995-03-28,2.45,2.45,2.35,2.35,1200
1995-04-04,2.6,2.6,2.6,2.6,600
1995-04-06,2.75,2.75,2.75,2.75,1500
1995-04-07,2.975,3.1,2.875,2.875,1400
1995-04-12,3,3,3,3,100
1995-04-18,2.875,2.875,2.875,2.875,200
1995-04-20,3.015,3.015,3.015,3.015,100
1995-04-21,3.05,3.05,3.05,3.05,200
1995-04-28,2.75,2.75,2.75,2.75,200
1995-05-03,2.625,2.625,2.625,2.625,700
1995-05-09,2.6525,2.7,2.6525,2.7,300
1995-05-16,2.6,2.6,2.6,2.6,100
1995-05-30,2.7,2.7,2.7,2.7,1000
1995-06-13,3.2125,3.2125,3.025,3.025,500
1995-06-14,3.15,3.15,3.125,3.15,500
1995-06-15,3.15,3.15,3.12,3.12,400
1995-06-16,3.145,3.15,3.1375,3.15,600
1995-06-20,3.1,3.1,3.1,3.1,200
1995-06-23,3.05,3.05,3.05,3.05,800
1995-06-30,2.75,2.75,2.75,2.75,100
1995-07-25,3,3,3,3,100
1995-08-01,2.7,2.75,2.7,2.75,200
1995-08-04,2.9,2.9,2.8975,2.8975,1100
1995-08-07,3,3,3,3,1200
1995-08-08,2.9,2.9,2.9,2.9,200
1995-08-09,3.0025,3.0025,3.0025,3.0025,1500
1995-08-11,3,3,3,3,200
1995-08-14,3.275,3.2875,3.275,3.2875,500
1995-08-17,3.005,3.005,3.005,3.005,100
1995-08-23,3.05,3.05,3.05,3.05,200
1995-09-18,2.925,2.925,2.925,2.925,100
1995-09-19,2.8,2.8,2.8,2.8,100
1995-10-20,2.85,2.85,2.85,2.85,100
1995-11-10,2.65,2.65,2.65,2.65,200
1995-11-29,2.65,2.65,2.65,2.65,300
1995-12-08,2.65,2.65,2.65,2.65,100
1995-12-12,2.875,2.915,2.875,2.875,300
1995-12-13,3.15,3.15,2.925,2.95,1300
1995-12-14,3.2225,3.355,3.2,3.355,2000
1995-12-15,3.2,3.3,3.2,3.3,900
1995-12-18,3.15,3.175,3.15,3.175,600
1995-12-19,3.1375,3.1375,3.1375,3.1375,900
1995-12-21,3.15,3.15,3.15,3.15,100
1995-12-27,3.15,3.15,3.15,3.15,300
1996-01-05,2.835,2.835,2.835,2.835,700
1996-01-11,2.75,2.75,2.75,2.75,500
1996-01-16,2.9,2.9,2.7,2.75,2400
1996-01-18,2.65,2.65,2.65,2.65,500
1996-01-29,2.75,2.75,2.75,2.75,100
1996-02-12,2.5,2.5,2.5,2.5,100
1996-02-22,2.5,2.5,2.5,2.5,200
1996-02-23,2.5,2.5,2.5,2.5,200
1996-02-26,2.75,2.75,2.75,2.75,300
1996-02-27,2.6025,2.6375,2.6,2.6375,400
1996-02-28,2.6,2.6,2.6,2.6,200
1996-02-29,2.45,2.6,2.45,2.6,500
1996-03-04,2.3,2.3,2.3,2.3,100
1996-03-06,2.4,2.4,2.4,2.4,500
1996-03-19,2.45,2.45,2.45,2.45,1000
1996-04-02,2.6,2.6,2.4,2.4,500
1996-04-09,2.6025,2.6025,2.6025,2.6025,100
1996-04-10,2.6,2.6,2.6,2.6,100
1996-04-16,2.6,2.6,2.6,2.6,600
1996-04-22,2.6,2.6,2.6,2.6,700
1996-04-24,2.6,2.6,2.6,2.6,200
1996-04-29,2.55,2.55,2.55,2.55,100
1996-05-01,2.625,2.625,2.625,2.625,500
1996-05-02,2.625,2.625,2.625,2.625,1600
1996-05-03,2.6,2.625,2.6,2.625,200
1996-05-06,2.55,2.55,2.55,2.55,200
1996-05-13,2.5,2.5,2.5,2.5,200
1996-05-21,2.4,2.4,2.4,2.4,5000
1996-05-22,2.4,2.45,2.4,2.45,1300
1996-05-23,2.35,2.35,2.35,2.35,100
1996-05-24,2.4,2.4,2.4,2.4,4500
1996-05-31,2.3625,2.3625,2.35,2.35,20000
1996-06-12,2.2,2.2,2.2,2.2,100
1996-06-13,2.3,2.3,2.3,2.3,1000
1996-06-14,2.3,2.3,2.3,2.3,200
1996-06-18,2.3,2.3,2.275,2.275,1100
1996-06-19,2.3,2.3,2.3,2.3,200
1996-06-20,2.3,2.3,2.3,2.3,200
1996-06-21,2.3,2.3,2.3,2.3,500
1996-06-24,2.25,2.3,2.25,2.3,600
1996-06-26,2.225,2.25,2.225,2.25,1000
1996-06-27,2.1375,2.2,2.1375,2.2,800
1996-06-28,2.175,2.175,2.1375,2.1375,200
1996-07-01,2,2.1875,2,2.1875,500
1996-07-02,2,2.05,2,2,400
1996-07-08,2,2,1.85,1.85,12600
1996-07-09,1.9525,2.045,1.85,2.045,6500
1996-07-10,1.875,1.875,1.875,1.875,1100
1996-07-11,1.985,1.985,1.8125,1.8125,200
1996-07-12,1.895,2.1,1.895,2.1,300
1996-07-15,1.85,1.85,1.85,1.85,100
1996-07-16,1.75,1.85,1.75,1.8,2300
1996-07-17,1.8,1.8,1.75,1.75,600
1996-07-22,1.9,1.9,1.9,1.9,200
1996-07-23,1.75,1.9325,1.75,1.9325,1000
1996-07-24,1.8475,1.8475,1.8475,1.8475,100
1996-07-31,1.7,1.7,1.7,1.7,1000
1996-08-02,1.775,1.775,1.775,1.775,100
1996-08-06,1.6975,1.6975,1.6975,1.6975,100
1996-08-07,1.75,1.75,1.7475,1.7475,2000
1996-08-08,1.75,1.75,1.75,1.75,3600
1996-08-09,1.725,1.725,1.725,1.725,300
1996-08-13,1.65,1.65,1.65,1.65,100
1996-08-14,1.505,1.65,1.505,1.65,600
1996-08-16,1.65,1.65,1.425,1.425,800
1996-08-22,1.725,1.725,1.7,1.7,600
1996-08-30,1.75,1.75,1.75,1.75,100
1996-09-02,1.8,1.8,1.75,1.7525,1800
1996-09-03,1.65,1.7,1.65,1.7,1500
1996-09-10,1.62,1.625,1.6,1.6,500
1996-09-11,1.55,1.5525,1.55,1.5525,300
1996-09-24,1.6,1.6,1.6,1.6,100
1996-09-25,1.525,1.525,1.525,1.525,600
1996-09-27,1.4975,1.4975,1.4975,1.4975,100
1996-10-01,1.6,1.6,1.6,1.6,100
1996-10-07,1.5,1.55,1.5,1.55,2000
1996-10-11,1.475,1.475,1.45,1.45,1100
1996-10-14,1.41,1.4275,1.41,1.4275,1300
1996-10-15,1.35,1.47,1.35,1.375,2800
1996-10-16,1.2575,1.375,1.2575,1.375,3800
1996-10-17,1.225,1.2575,1.225,1.2575,700
1996-10-18,1.175,1.175,1.15,1.15,2100
1996-10-22,1.2525,1.2525,1.2525,1.2525,200
1996-10-23,1.175,1.175,1.175,1.175,1200
1996-10-24,1.24,1.24,1.115,1.115,1100
1996-10-25,1.1575,1.195,1.1575,1.195,1100
1996-10-28,1.165,1.165,1.165,1.165,100
1996-10-29,1.15,1.1625,1.15,1.1625,500
1996-10-31,1.23,1.23,1.2275,1.2275,500
1996-11-01,1.1625,1.1625,1.1575,1.1575,200
1996-11-05,1.18,1.1975,1.1625,1.1625,500
1996-11-06,1.1,1.1375,1.1,1.1375,300
1996-11-07,1.1,1.15,1.025,1.15,1200
1996-11-08,1.05,1.075,1.0325,1.075,4500
1996-11-11,1.05,1.055,1.05,1.0525,2500
1996-11-13,1.0625,1.0625,1.0625,1.0625,200
1996-11-19,1.05,1.05,1,1.05,1600
1996-11-20,1.0375,1.05,1,1.0375,1900
1996-11-21,1.05,1.05,1.05,1.05,100
1996-11-22,1.05,1.05,1.05,1.05,100
1996-11-26,1.0775,1.0775,1.075,1.075,300
