Date,Close,High,Low,Open,Volume
2021-03-25,1435.6,1490,1350,1359,3479695
2021-03-26,1494.5,1530,1428.3,1430,1002138
2021-03-30,1486.55,1510,1435.5,1501,170145
2021-03-31,1419.45,1489.85,1409.95,1476.1,146087
2021-04-01,1449.05,1476,1425.1,1425.1,67232
2021-04-05,1424.95,1459.95,1422,1435,37221
2021-04-06,1455.25,1470,1422.05,1430,71043
2021-04-07,1455.05,1488.95,1443.65,1459,62183
2021-04-08,1456.35,1481.95,1450,1464,62787
2021-04-09,1444.8,1477,1441.45,1461,32379
2021-04-12,1366,1430,1351.1,1423,76484
2021-04-13,1368.4,1387.95,1361.15,1372,36743
2021-04-15,1341.8,1380.85,1336.7,1371.05,38327
2021-04-16,1338.3,1377,1335,1377,31669
2021-04-19,1296.1,1320,1295,1314,32114
2021-04-20,1294.85,1339.7,1286,1305.1,52698
2021-04-22,1273.2,1333,1245,1290,194559
2021-04-23,1284.1,1315,1275,1299,58253
2021-04-26,1300.5,1316,1285,1290,86599
2021-04-27,1305,1313.9,1292.5,1308.8,83136
2021-04-28,1359.1,1365,1307,1307,68163
2021-04-29,1358.15,1377.75,1339.3,1363.25,32211
2021-04-30,1345.6,1367.15,1336.55,1350,28684
2021-05-03,1293.6,1345.55,1291.75,1345.15,56238
2021-05-04,1331.15,1340,1296.1,1307,44843
2021-05-05,1378.2,1400,1299,1335,72070
2021-05-06,1406.2,1429,1366.15,1425,106027
2021-05-07,1485.7,1499,1406,1420.8,200337
2021-05-10,1535.5,1550,1491.55,1517,334749
2021-05-11,1499.6,1535,1492.35,1519,151515
2021-05-12,1525.35,1574,1496.6,1499,140050
2021-05-14,1532.25,1547,1503,1526.05,148091
2021-05-17,1520.1,1547.2,1513,1547,252416
2021-05-18,1510.5,1550,1501.75,1530,110954
2021-05-19,1491.85,1521.95,1480.35,1510.5,58784
2021-05-20,1484.5,1510,1478.1,1490,59743
2021-05-21,1476.45,1515,1460,1492,98710
2021-05-24,1494.1,1502.15,1470.5,1480,35914
2021-05-25,1593,1605.35,1500,1500,358890
2021-05-26,1630.15,1648,1573.55,1609,122685
2021-05-27,1632.6,1649.9,1599,1640,73263
2021-05-28,1639.9,1685,1585,1638,141693
2021-05-31,1706.95,1738,1623.6,1643,177334
2021-06-01,1749.2,1778,1653.4,1701,195257
2021-06-02,1777.65,1794,1725,1741.3,114030
2021-06-03,1784.35,1800,1760,1786,77069
2021-06-04,1791.9,1807.7,1770,1786,108480
2021-06-07,1808.2,1834.35,1771.3,1795,95360
2021-06-08,1800.45,1835,1789,1832,51294
2021-06-09,1804.35,1854.9,1791,1810,103394
2021-06-10,1818.2,1835,1804.8,1835,25675
2021-06-11,1797.2,1834.4,1785,1826.95,42589
2021-06-14,1786.45,1798,1718.15,1797,36421
2021-06-15,1769.8,1805.05,1761,1788,24666
2021-06-16,1738.05,1789.8,1721,1769.8,26931
2021-06-17,1722.2,1737.15,1701,1701,30921
2021-06-18,1700.45,1732.9,1685,1723,31823
2021-06-21,1725.9,1755,1648.5,1675,32329
