Date,Close,High,Low,Open,Volume
2018-08-23,422.05,426.9,385,390,11600387
2018-08-24,406.8,420,401.75,418,785983
2018-08-27,400.25,406,395,406,411202
2018-08-28,395.8,408,395,397.1,370390
2018-08-29,392.75,400,389,395.8,212493
2018-08-30,380.35,392,373.1,388,296385
2018-08-31,384.95,389,375.95,380.1,256303
2018-09-03,381.1,387.85,380.3,386.5,80770
2018-09-04,380.3,382,375.05,378.05,162888
2018-09-05,376.1,380,373.4,378,183808
2018-09-06,382.65,395,375,375,106322
2018-09-07,385.25,388.65,384,385,144584
2018-09-10,376.1,383,375.3,383,83141
2018-09-11,378.1,380.9,376,376.15,79912
2018-09-12,371.65,378.2,360.45,378,135269
2018-09-14,367.65,373.55,366,369.1,53753
2018-09-17,360.15,367.65,358.45,367.65,293017
2018-09-18,357.45,362,356,359.15,64000
2018-09-19,351.45,359.75,342,358,152301
2018-09-21,332.7,355.95,294.85,348,159380
2018-09-24,292.45,331,271.05,325,615181
2018-09-25,276.55,297.6,258.65,281.75,254102
2018-09-26,326.1,331.85,279.6,279.6,447494
2018-09-27,301.2,327.9,295,324.7,204139
2018-09-28,293.4,307.95,285.65,302.1,289156
2018-10-01,295.35,300,275,286,72722
2018-10-03,289.95,295.95,285,293,156998
2018-10-04,287.15,292,280.1,285,54270
2018-10-05,280.85,289.85,276.05,287,310535
2018-10-08,269.15,278.85,263.75,276,110920
2018-10-09,265.65,271.05,262.4,265.5,61062
2018-10-10,279.95,283,263.4,265.05,48015
2018-10-11,277.3,295,264.3,270,51990
2018-10-12,281.75,286.9,277,277.5,138597
2018-10-15,283.4,288.35,279.5,286.5,57091
2018-10-16,281.2,289,280.35,285,36611
2018-10-17,280.35,286.4,276,282.55,64947
2018-10-19,277.3,282,274.9,280,64508
2018-10-22,270.6,279.95,265.1,275,41446
2018-10-23,268.85,271.1,261.15,270,31084
2018-10-24,257.6,269.95,255.95,269.9,56209
2018-10-25,249.9,259.95,248.2,258.2,42751
2018-10-26,247.7,252.65,242.05,248,33349
2018-10-29,275.9,285.4,249.2,252.9,166599
2018-10-30,290.15,293.4,270.1,270.1,64264
2018-10-31,314.35,320.4,290.1,291.8,113608
2018-11-01,316.5,319,306.55,314,38544
2018-11-02,317.1,325.95,311.1,311.1,121795
2018-11-05,326,329.5,318,318,51931
2018-11-06,335,343.2,321,328.9,101895
2018-11-07,338.9,344.95,333.65,340,17463
2018-11-09,365.85,373.95,336.3,339,224986
2018-11-12,360,373,358.2,371,46418
2018-11-13,349,359.95,340,359.5,47641
2018-11-14,355.3,365,349.4,349.4,37246
2018-11-15,358.9,363.6,351,352.2,39809
2018-11-16,362.3,364.95,355,355,102341
2018-11-19,359.5,364.4,356.15,358.5,26420
2018-11-20,359.1,365,350.3,357,52775
2018-11-21,369.6,387.6,354,354,85387
2018-11-22,370.65,375,366,370,38986
2018-11-26,358,375,354,370,21592
2018-11-27,367.35,370,355.05,361.55,61163
2018-11-28,377,379.8,362.5,362.5,63906
2018-11-29,386.4,387.5,375.05,380,73796
2018-11-30,389.1,392.45,380,389,205036
2018-12-03,394,398.7,385.65,390,72784
2018-12-04,388.85,399.8,386,394,55745
2018-12-05,389.85,394,385,385,53611
2018-12-06,385.6,392,380.05,386,51439
2018-12-07,382.65,391.9,380.55,381,31615
2018-12-10,383.65,386.5,372.5,380,73625
2018-12-11,386.2,389.5,373.4,374,33545
2018-12-12,391.9,395,381.4,387,143035
2018-12-13,395.45,398.1,385.6,385.6,56527
2018-12-14,389.2,399,385.15,396,59964
2018-12-17,384.7,394.95,382.3,384.2,49798
2018-12-18,379.65,385,373.25,384.7,206921
2018-12-19,384.35,386.45,375.55,375.55,31598
2018-12-20,379.75,384.2,378.05,383,96654
2018-12-21,373.7,384,372.5,384,38431
2018-12-24,369.05,378.8,366.35,373.7,211898
2018-12-26,365.55,369.05,356.05,369.05,29680
2018-12-27,369.45,374.8,363.1,367.8,22675
2018-12-28,378.9,380.5,366.95,366.95,46102
2018-12-31,383.25,389.6,379.95,380,41441
2019-01-01,386.8,389.6,379.65,387.2,36817
2019-01-02,384.2,393.85,381.1,382,56469
2019-01-03,381.05,388.25,379,382.1,23396
2019-01-04,385.5,386.5,381.3,383.45,18909
2019-01-07,382.55,388,380.1,381.7,24835
2019-01-08,387.7,388.95,381.5,381.5,32830
2019-01-09,391.9,394,384.25,385.6,56923
2019-01-10,414.2,416.8,386.05,386.75,145295
2019-01-11,413.6,419.45,409.55,415,98462
2019-01-14,402.75,414.9,400.55,408,46457
2019-01-15,404.75,408.85,400.1,402,48655
2019-01-16,395.3,406.85,391.5,406.85,27574
2019-01-17,397.45,400,392,399,27853
2019-01-18,402.15,406.8,391.2,395,39662
2019-01-21,398.4,403,393.6,401,21948
2019-01-22,402.2,407.3,393,399.95,42155
2019-01-23,392.3,404.9,386.6,399.3,30192
2019-01-24,389.8,396.9,387.95,387.95,22416
2019-01-25,383.05,394.55,382.1,388,32111
2019-01-28,373.3,387,370.05,386,17895
2019-01-29,373.3,376.3,370,373,22024
2019-01-30,384.25,388.4,370.4,381,21578
2019-01-31,394.55,398.4,382.55,390,45829
2019-02-01,407.3,410,395.5,398,96991
2019-02-04,403.7,410,329.9,395.65,121090
2019-02-05,402.5,407.8,395,395,56718
2019-02-06,403.05,404.8,394.4,401,38297
2019-02-07,400.55,407.95,396.65,397,34574
