Date,Close,High,Low,Open,Volume
1998-09-09,1.68041,1.8237,1.57946,1.8237,53000
1998-09-10,1.57294,1.66087,1.54689,1.56643,40100
1998-09-11,1.60225,1.69995,1.45245,1.59574,40400
1998-09-14,1.48827,1.6283,1.47524,1.6283,56400
1998-09-15,1.49153,1.51107,1.46547,1.51107,14300
1998-09-16,1.5013,1.54689,1.49153,1.52084,41800
1998-09-17,1.53712,1.58923,1.51432,1.51758,21600
1998-09-18,1.53712,1.54689,1.50455,1.50455,9800
1998-09-21,1.51107,1.53386,1.49153,1.52735,6800
1998-09-22,1.50455,1.53061,1.49153,1.53061,16600
1998-09-23,1.48827,1.50455,1.4785,1.48501,15100
1998-09-24,1.45896,1.52409,1.42314,1.42314,15400
1998-09-25,1.40686,1.46547,1.40034,1.44919,22700
1998-09-28,1.33195,1.43291,1.31241,1.43291,19600
1998-09-29,1.27333,1.34824,1.24402,1.32218,39200
1998-09-30,1.31241,1.36778,0.98024,0.98024,7100
1998-10-05,1.21146,1.27008,1.2082,1.24402,10300
1998-10-06,1.2082,1.23751,1.13981,1.13981,12100
1998-10-07,1.31893,1.33195,1.25705,1.27008,7300
1998-10-08,1.23751,1.35475,1.23751,1.3287,6600
1998-10-09,1.21472,1.24402,1.18866,1.23751,7500
1998-10-12,1.22774,1.23751,1.20495,1.20495,5000
1998-10-13,1.06165,1.22449,0.976983,1.22123,12200
1998-10-14,1.19843,1.231,1.0584,1.0584,7500
1998-10-15,1.19518,1.21146,1.17238,1.17238,2300
1998-10-16,1.21146,1.23751,1.12027,1.12027,13000
1998-10-19,1.17889,1.18541,1.15935,1.18541,1200
1998-10-20,1.08119,1.13981,1.07468,1.13981,11400
1998-10-22,1.16587,1.16912,1.12027,1.16912,3200
1998-10-23,1.20495,1.23751,1.17238,1.17238,9600
1998-10-26,1.22123,1.29287,1.21472,1.25054,14000
1998-10-27,1.22449,1.23751,1.18541,1.20495,8800
1998-10-28,1.20495,1.231,1.00955,1.00955,4900
1998-10-29,1.22774,1.22774,1.18866,1.18866,1300
1998-10-30,1.21146,1.23426,1.20495,1.231,5200
1998-11-02,1.18866,1.29613,1.18541,1.21797,5400
1998-11-03,1.17889,1.20495,1.17238,1.17238,6300
1998-11-05,1.20169,1.20169,1.19192,1.19843,1400
1998-11-06,1.20495,1.22123,1.18866,1.18866,2900
1998-11-09,1.2082,1.231,1.20495,1.231,1900
1998-11-10,1.19843,1.21472,1.18866,1.19843,5700
1998-11-11,1.19843,1.20495,1.19192,1.20495,3100
1998-11-12,1.17564,1.20495,1.17238,1.20495,2600
1998-11-13,1.18215,1.19843,0.911851,0.911851,800
1998-11-16,1.18866,1.18866,1.1561,1.17889,1600
1998-11-17,1.12353,1.18541,1.10725,1.17238,7500
1998-11-18,1.13981,1.23751,1.13981,1.16587,18400
1998-11-19,1.12353,1.1561,1.11376,1.14633,12100
1998-11-20,1.12027,1.13981,1.12027,1.13981,5800
1998-11-23,1.07468,1.12027,1.07468,1.12027,8200
1998-11-24,1.06491,1.08119,1.04212,1.06817,10000
1998-11-26,1.04212,1.09748,1.04212,1.08771,4500
1998-11-27,1.07142,1.07142,1.0356,1.0356,3700
1998-11-30,1.06817,1.07468,1.04537,1.07468,1100
1998-12-01,1.09422,1.09422,1.05188,1.0584,900
1998-12-02,1.10725,1.10725,1.08445,1.10725,800
1998-12-03,1.09096,1.11702,1.09096,1.11702,800
1998-12-04,1.06165,1.08119,1.06165,1.08119,1100
1998-12-07,1.05514,1.05514,1.04863,1.04863,1900
1998-12-08,1.03886,1.04863,1.01932,1.04863,2200
1998-12-09,1.05514,1.0584,1.04212,1.04863,1400
1998-12-10,1.04537,1.08771,1.01932,1.01932,2000
1998-12-11,1.0584,1.07468,1.05514,1.07142,800
1998-12-14,1.04863,1.0584,1.04212,1.0584,1200
1998-12-15,1.06817,1.06817,1.02909,1.02909,3300
1998-12-16,1.0584,1.0584,1.02909,1.04537,1400
1998-12-17,1.0584,1.17238,1.02909,1.04212,9700
1998-12-18,1.06165,1.10725,1.06165,1.10725,400
1998-12-21,1.02909,1.0584,1.02909,1.0584,10200
1998-12-22,1.03235,1.04863,1.01281,1.02909,2200
1998-12-23,1.05514,1.05514,0.775073,0.993266,600
1998-12-24,1.05514,1.05514,1.04212,1.04212,800
1998-12-28,1.05514,1.05514,1.02583,1.02583,1000
1998-12-29,1.07142,1.07142,1.04212,1.04212,1400
1998-12-30,1.11702,1.13004,1.06817,1.06817,4600
1998-12-31,1.11376,1.11702,1.09422,1.10725,3800
1999-01-01,1.10725,1.10725,1.08771,1.09422,1300
1999-01-04,1.08445,1.11376,1.08119,1.08119,1700
