Date,Close,High,Low,Open,Volume
1995-01-12,45.7143,45.7143,45.7143,45.7143,50
1995-01-16,48.5714,48.5714,48.5714,48.5714,100
1995-01-24,49.2857,49.2857,49.2857,49.2857,100
1995-01-25,48.1429,48.1429,47.8571,47.8571,250
1995-01-27,47.1429,47.1429,47.1429,47.1429,50
1995-01-31,45.7214,45.7214,45.7214,45.7214,100
1995-02-02,48.5714,48.5714,48.5714,48.5714,100
1995-02-07,50,50,48.5714,48.5714,150
1995-02-08,47.8571,47.8571,47.8571,47.8571,100
1995-02-09,48.5714,48.5714,47.8571,47.8571,150
1995-02-13,47.8571,47.8571,47.8571,47.8571,100
1995-02-15,45.7143,45.7143,45.7143,45.7143,300
1995-02-21,42.8571,44.2857,42.8571,42.8571,300
1995-02-28,47.1429,47.1429,47.1429,47.1429,50
1995-03-01,47.8571,47.8571,47.8571,47.8571,50
1995-03-02,45.7143,45.7143,45.7143,45.7143,100
1995-03-06,44.2857,44.2857,44.2857,44.2857,150
1995-03-07,43.5714,43.5714,43.5714,43.5714,100
1995-03-09,45.7143,45.7143,45.7143,45.7143,50
1995-03-10,43.5714,45.7143,43.5714,45.7143,400
1995-03-15,43.5714,43.7143,43.5714,43.7143,300
1995-03-27,40.1786,40.3571,40,40.3571,400
1995-03-28,39.2857,39.2857,39.2857,39.2857,50
1995-03-29,40.7143,40.7143,40,40,200
1995-03-31,41.4286,41.4286,41.4286,41.4286,50
1995-04-03,39.2857,39.2857,39.2857,39.2857,50
1995-04-04,39.2857,40.7143,39.2857,40.7143,250
1995-04-05,40.7143,41.4286,40,41.4286,500
1995-04-06,41.4286,41.4286,40.7143,40.7143,100
1995-04-10,40,41.4286,40,41.4286,100
1995-04-17,41.4286,41.4286,41.4286,41.4286,100
1995-04-18,40.5714,40.5714,40.5714,40.5714,50
1995-04-19,40.7214,40.7214,40.7214,40.7214,50
1995-04-20,41,41,40.7143,40.7143,150
1995-04-21,42.1429,42.1429,42.1429,42.1429,300
