Date,Close,High,Low,Open,Volume
2016-09-16,2.56917,2.9075,2.50833,2.75833,229821
2016-09-19,2.64167,2.68083,2.58333,2.62083,51068
2016-09-20,2.65542,2.68208,2.62625,2.63458,27511
2016-09-21,2.66458,2.71667,2.60125,2.65,50781
2016-09-22,2.64333,2.7,2.625,2.67458,18350
2016-09-23,2.605,2.66583,2.57625,2.66458,12837
2016-09-26,2.63333,2.65833,2.54167,2.58333,21190
2016-09-27,2.585,2.64167,2.58333,2.63333,11379
2016-09-28,2.54917,2.62375,2.52083,2.59167,19224
2016-09-29,2.4075,2.59083,2.35,2.575,34734
2016-09-30,2.44958,2.49958,2.29167,2.39167,19738
2016-10-03,2.5275,2.54167,2.425,2.45167,15717
2016-10-04,2.51167,2.5625,2.5,2.51167,11048
2016-10-05,2.51292,2.53208,2.35458,2.525,18265
2016-10-06,2.50167,2.60833,2.46667,2.525,22796
2016-10-07,2.56542,2.60333,2.54167,2.56667,18311
2016-10-10,2.53958,2.56375,2.51833,2.55833,8830
2016-10-13,2.47208,2.54167,2.45917,2.54125,13823
2016-10-14,2.55292,2.57083,2.43792,2.43792,13776
2016-10-17,2.62708,2.70833,2.575,2.625,114134
2016-10-18,2.66458,2.7,2.62458,2.625,45956
2016-10-19,2.72667,2.74167,2.64167,2.64583,68185
2016-10-20,2.68792,2.78292,2.65833,2.7625,63347
2016-10-21,2.63375,2.7175,2.625,2.7175,34864
2016-10-24,2.64625,2.68292,2.61667,2.66458,57779
2016-10-25,2.65458,2.66667,2.625,2.63375,16976
2016-10-26,2.66875,2.71625,2.65125,2.66667,65353
2016-10-27,2.63208,2.70208,2.61542,2.69167,24429
2016-10-28,2.99458,3.11625,2.72458,2.79,698984
2016-11-01,2.93792,3.12375,2.91667,3.07917,110721
2016-11-02,2.79167,2.95667,2.775,2.95667,68205
2016-11-03,2.66792,2.81458,2.63333,2.81458,73434
2016-11-04,2.61375,2.76833,2.5675,2.66625,78978
2016-11-07,2.62583,2.76667,2.6,2.66542,81760
2016-11-08,2.61958,2.68333,2.57583,2.64542,45892
2016-11-09,2.54458,2.58333,2.29167,2.4125,116755
2016-11-10,2.59792,2.67167,2.55875,2.64917,42264
2016-11-11,2.52958,2.58292,2.50875,2.58167,41701
