Date,Close,High,Low,Open,Volume
2019-01-22,860,860,860,860,30
2019-01-23,903,903,903,903,147
2019-01-24,948.15,948.15,948.15,948.15,110
2019-01-25,995.55,995.55,995.55,995.55,150
2019-01-28,1045.3,1045.3,1044.7,1044.7,3724
2019-01-29,1040,1097.55,1001,1097.55,38592
2019-01-30,1034.2,1049.85,1003,1049.85,7091
2019-01-31,1031.35,1040,995,1000,12186
2019-02-01,1047.25,1058.2,1030,1030,81285
2019-02-04,1044.55,1057,1020,1020,86316
2019-02-05,1047.2,1050,1030,1030,67809
2019-02-06,1050,1060,1041.05,1060,83415
2019-02-07,1119.6,1124.95,1042.05,1044,26427
2019-02-08,1098.25,1107.55,1077.7,1100.05,129076
2019-02-11,1087.4,1100.45,1085,1095.05,215403
2019-02-12,1079.55,1094.5,1050,1084.05,112186
2019-02-13,1077.5,1089.9,1065.05,1089.9,73764
2019-02-14,1068,1097.7,1062,1062.05,93988
2019-02-15,1067.25,1075.7,1059.35,1066.05,22648
2019-02-18,1050.45,1063.65,1042,1048,64585
2019-02-19,1076.9,1089.9,1039.9,1039.9,57268
2019-02-20,1077.55,1096,1053.75,1089.95,27235
2019-02-21,1129.1,1135.95,1056.45,1070.7,95542
2019-02-22,1143.5,1159.8,1094.95,1106.9,22781
2019-02-25,1165.8,1169,1137.2,1142.5,26081
2019-02-26,1175.6,1179.7,1075,1140.1,49756
2019-02-27,1214.4,1219.7,1159.35,1179.95,114195
2019-02-28,1153.2,1205,1088,1151,1285790
2019-03-01,1171.8,1197,1145.1,1150,472576
2019-03-05,1185.85,1192,1148.15,1150,79044
2019-03-06,1178.15,1204.8,1156.55,1186.9,49599
2019-03-07,1138.2,1186,1105,1179.05,555854
2019-03-08,1132.7,1153,1126,1133.9,6826
2019-03-11,1149.2,1161.55,1122.15,1122.15,61197
2019-03-12,1151.6,1159.8,1138.55,1151,105409
2019-03-13,1155.3,1162,1140.8,1155.8,65735
2019-03-14,1124.85,1155,1116,1150.85,64908
2019-03-15,1112.65,1130,1076.25,1126,139390
2019-03-18,1040.45,1099.9,1012.05,1079.3,153868
2019-03-19,1009.9,1063,1003.85,1030.2,99187
2019-03-20,1021.8,1030.85,989.7,1009.9,223764
2019-03-22,1015.95,1030,1008.1,1023.95,88959
2019-03-25,990.55,1016,985,1015.85,59583
2019-03-26,990.45,1000,980,988,70471
2019-03-27,987.45,1000,975,1000,243460
2019-03-28,989.4,1000,966.05,990,352603
2019-03-29,989.5,995.9,978.05,995.9,422417
2019-04-01,990,1009.05,984.65,999.95,1356848
2019-04-02,1073.25,1155,1000,1000.15,579896
2019-04-03,1107.85,1120,1068.95,1075,76142
2019-04-04,1144.25,1150,1099.85,1107,205571
2019-04-05,1115.1,1148.9,1100.6,1140,59389
2019-04-08,1089.2,1137,1081.65,1110,75830
2019-04-09,1068.5,1103.75,1061.25,1095.05,85018
2019-04-10,1063.3,1096.7,1053,1074.55,97361
2019-04-11,1114.9,1124.8,1061.65,1063,82941
2019-04-12,1101.6,1119,1081,1119,98557
2019-04-15,1087.35,1115,1081,1106.5,29501
2019-04-16,1115.1,1120,1080.25,1082.25,90670
2019-04-18,1090.45,1114.2,1082.75,1090,42864
2019-04-22,1059.3,1092.4,1048.75,1075.25,14940
2019-04-23,1077.55,1097,1056.1,1065.55,23588
2019-04-24,1087.6,1097,1062.75,1087.9,323487
2019-04-25,1139.7,1179.15,1084.15,1100,143001
2019-04-26,1148.4,1174.95,1138.7,1139.7,33762
2019-04-30,1148.35,1154,1125,1125,27976
2019-05-02,1114,1135.8,1102.25,1114.8,31864
2019-05-03,1098.85,1114,1070,1110.1,25459
2019-05-06,1112.5,1122,1070.45,1070.45,9474
2019-05-07,1123.55,1141,1115.55,1118,60984
2019-05-08,1109.65,1124.25,1101.9,1115.2,11153
2019-05-09,1116.5,1125,1105.25,1114.5,34163
2019-05-10,1116,1148,1076.45,1148,48504
2019-05-13,1070.55,1129.15,1061.65,1119.35,12422
2019-05-14,1071.8,1088.35,1060,1076.85,29003
2019-05-15,1037.6,1100,1031,1076.1,35223
2019-05-16,1036.2,1050,1021,1040.05,95948
2019-05-17,1027.95,1060,1023.25,1054.8,31738
2019-05-20,1090.25,1101,1045.75,1059,158408
2019-05-21,1090.3,1119.95,1083.75,1110,66819
2019-05-22,1086.4,1096.45,1064.95,1089.1,184866
2019-05-23,1098.45,1125.15,1076.3,1100,696599
2019-05-24,1133.35,1199,1095,1109.75,794324
2019-05-27,1170.05,1180,1133.4,1139,515678
2019-05-28,1213.55,1219.9,1182,1182,561889
2019-05-29,1201.25,1212,1185,1210,33407
2019-05-30,1196.25,1204.8,1181.35,1185.05,49928
2019-05-31,1181.7,1195.05,1174.7,1195,52193
2019-06-03,1189.35,1200,1176.05,1182,66749
2019-06-04,1179.1,1187.95,1145.4,1171,108903
2019-06-06,1127.05,1189.95,1111.25,1189.95,57276
2019-06-07,1130.05,1150,1109.95,1115.05,38497
2019-06-10,1162.95,1169,1117.9,1130.1,69084
2019-06-11,1178.55,1185,1148,1165,51509
2019-06-12,1170.9,1178,1136,1174.85,28178
2019-06-13,1170.25,1177.7,1141.8,1160.3,52960
2019-06-14,1160.5,1170,1152,1160.3,14954
2019-06-17,1101.6,1157.85,1086,1151.35,50988
2019-06-18,1098.7,1115,1080,1100.15,29422
2019-06-19,1084.05,1117.75,1076.45,1104.8,30559
2019-06-20,1069.15,1098.95,1035.45,1080.2,102865
2019-06-21,1074.1,1098,1050,1095,109740
2019-06-24,1063.6,1088.8,1060.1,1074.1,23574
2019-06-25,1060.15,1070.45,1040.25,1064,75274
2019-06-26,1059.75,1070,1057,1061.05,66232
2019-06-27,1069.75,1088.9,1055.45,1059.95,74091
2019-06-28,1047.85,1067,1042,1061,43109
2019-07-01,1040,1051,1033.3,1045,36021
2019-07-02,1044.7,1070,1025,1070,55866
2019-07-03,1034,1050,1022.05,1035.1,46083
2019-07-04,1038.45,1043.45,1017.3,1043.45,166853
2019-07-05,1016.2,1050,1007,1047,55057
2019-07-08,991.7,1027.95,965,997.05,38270
2019-07-09,993.4,1012.9,976,988.5,30092
2019-07-10,989.15,997,978,994,7625
2019-07-11,1020.5,1044.9,988.8,995,32337
2019-07-12,1004.2,1020,989.95,1020,11214
2019-07-15,1000.55,1014.8,991.05,991.05,36743
2019-07-16,1012.9,1025,978,993.6,16059
2019-07-17,1009.95,1021.95,1005.45,1006.55,35805
2019-07-18,997.1,1026,990.1,1007.15,75339
2019-07-19,1004.1,1026.6,986,995,28786
2019-07-22,998.2,1016.05,990.75,1005,87989
2019-07-23,978.25,1015,970.1,991.5,28881
2019-07-24,952,986.05,950,978.25,15634
2019-07-25,959.9,967.95,942.05,948,62165
2019-07-26,986.3,990,955.05,970,40753
2019-07-29,956.25,986.45,954.05,986,33583
2019-07-30,938.25,968.7,931.9,956.25,56609
2019-07-31,921.55,938,899.55,922,89595
2019-08-01,924.6,941.05,902.25,921,37115
2019-08-02,988,989.95,933.35,939.7,87615
2019-08-05,955.1,1000,944.95,989,48558
2019-08-06,993.5,999,941,941,96689
2019-08-07,1009.4,1019,980.25,980.25,81903
2019-08-08,1009.45,1019.75,1005.1,1009.4,21604
2019-08-09,1025.1,1044.9,1003.4,1014.6,53093
2019-08-13,991.35,1025,985.15,1020,14325
2019-08-14,989.9,1000.85,976,976,21040
2019-08-16,998.4,1006.45,960,975.5,20917
2019-08-19,987.6,1002,978,1000,46281
2019-08-20,956.5,993.9,951.05,990,33952
2019-08-21,950.45,965.15,942,964.95,81725
