Date,Close,High,Low,Open,Volume
1995-02-08,22.15,23,22.1,22.5,1700
1995-02-09,22.4,22.75,22,22.75,2450
1995-02-10,21.7,22.25,21.6,22,2100
1995-02-13,22.2,22.95,22,22.95,2950
1995-02-14,21.3,22.05,21.05,22,2750
1995-02-15,21.75,22,21.25,22,4500
1995-02-16,21,21.3,21,21.3,800
1995-02-17,20.25,21,20,21,3800
1995-02-20,19.75,20,19.75,20,1050
1995-02-21,19.4,20,19.4,20,2550
1995-02-22,19.1,20,19,20,1900
1995-02-23,19.05,20,19.05,20,1050
1995-02-24,21,21,20.5,20.5,3000
1995-02-28,20.5,20.5,19.1,19.1,1250
1995-03-01,21,21,20.05,20.05,900
1995-03-02,20.7,21,19.5,21,10500
1995-03-03,21,22,19.75,19.75,3700
1995-03-06,21.35,22.5,20.45,22.5,3500
1995-03-07,22.85,23.5,21.25,21.25,17900
1995-03-08,21.85,22.6,21.85,22,3250
1995-03-09,22.4,22.9,21.85,21.85,4300
1995-03-10,21.75,22.5,21.25,22.5,3550
1995-03-13,20.5,21.5,20.5,21.5,2350
1995-03-14,22.5,23,21.5,21.5,8450
1995-03-15,24.2,26,23,23,22900
1995-03-16,24.65,24.65,22.9,23.2,23050
1995-03-20,22.25,23,22,22.05,7300
1995-03-21,23,23.25,21,21,17350
1995-03-22,23,24,23,23.5,3500
1995-03-23,24,24.9,23.1,23.1,11650
1995-03-24,25,25,23.25,24,7200
1995-03-27,25.65,25.85,23.75,23.75,8750
1995-03-28,26.25,26.5,25.05,25.95,16050
1995-03-29,27,27.5,25.9,26.5,33450
1995-03-30,27.55,28.45,26.9,26.9,6700
1995-03-31,28.8,30.75,27.85,28.45,11350
1995-04-03,29.3,29.65,28.05,28.05,9850
1995-04-04,29.2,30,29,29.5,22400
1995-04-05,29.85,31.5,29.5,30,33950
1995-04-06,31.15,31.7,29.5,29.5,39350
1995-04-07,29.7,31.45,29.5,31.15,13600
1995-04-10,28.25,30,28,30,11400
1995-04-11,28.6,29,28.1,28.1,13000
1995-04-12,28.5,30,28,28.5,4650
1995-04-17,26.75,28.25,26.5,28,13500
1995-04-18,25.05,26.7,24.8,26.5,16150
1995-04-19,25,26.75,24.85,25.5,8600
1995-04-20,24.8,25,24.25,24.25,10100
1995-04-21,25.25,25.25,24.75,25,4750
1995-04-24,23.7,25.5,23.3,25.5,3800
1995-04-25,23.3,25.75,23,25.75,8550
1995-04-26,23.05,23.75,23,23.5,2650
1995-04-27,22.85,23.1,22.6,23,4550
1995-04-28,22.5,22.5,22,22,2100
1995-05-02,19.05,21.75,19,21.75,5000
1995-05-03,19.6,20,19,19.5,6750
1995-05-04,22,22,20.75,21,4350
1995-05-05,24,24.5,22.75,22.75,13600
1995-05-08,23.25,23.5,22,22,1700
1995-05-09,24.6,25,23.5,23.5,5600
1995-05-10,23.25,24,23.25,24,2050
1995-05-12,22.75,24,22,24,2600
1995-05-15,22.05,22.1,22,22.05,2750
1995-05-16,21.5,22,21,21.5,5200
1995-05-17,22.4,22.5,22.1,22.25,1900
1995-05-18,23,23.5,22.5,23.5,3300
1995-05-19,23.1,23.1,22.5,23.05,3300
1995-05-22,21.75,22.5,21.5,22,5750
1995-05-23,22,22.25,21.65,22,3250
1995-05-24,21.75,22.55,21.75,22,1850
1995-05-25,22,22,21.75,21.75,2400
1995-05-26,21.75,22.5,21.75,22,4200
1995-05-29,21.75,22,21.4,21.75,2000
1995-05-30,21.5,21.75,21.25,21.3,3950
1995-05-31,22,22,21.5,21.5,2350
1995-06-01,21.85,22,21.5,22,3200
1995-06-02,23.05,23.05,21.75,22.1,10850
1995-06-05,23.2,23.4,22.75,23,4750
1995-06-06,22.95,23.75,22.85,23,21050
1995-06-07,22.25,23.5,22.25,23.5,9600
1995-06-08,22.25,22.9,22.25,22.25,2700
1995-06-09,22.2,22.7,22,22,3250
1995-06-12,21.6,22,21.5,21.5,2300
1995-06-13,21.4,21.95,21.35,21.5,6350
1995-06-14,21.4,21.5,21.25,21.3,2900
1995-06-15,19.8,22,19,22,1150
1995-06-16,20.4,20.5,19.5,19.55,2400
1995-06-19,19.95,20,18.5,20,650
1995-06-20,19,19.5,18.55,19,3500
1995-06-21,18.75,19,18.75,19,2150
1995-06-22,18.2,18.75,18,18,3500
1995-06-23,17.8,18.25,17.8,18.25,16100
1995-06-26,17.5,17.75,17.5,17.75,3000
1995-06-27,18.25,18.5,17.25,17.25,1950
1995-06-28,18,18.25,17.75,18.05,13400
1995-06-29,18,18.5,18,18.5,1550
1995-06-30,18.6,18.6,18,18.25,14150
1995-07-03,18.35,18.75,17.1,17.1,5150
1995-07-04,17.65,18.5,17.6,18.5,11300
1995-07-05,17.9,18,17.8,18,900
1995-07-06,17.5,17.55,17.5,17.5,500
1995-07-07,18,18,17.5,17.5,3200
1995-07-10,17.85,18.05,17.75,17.75,3450
1995-07-11,17.85,18,17.5,17.5,3100
1995-07-12,18.15,18.3,17.75,18.25,3350
1995-07-13,18.3,18.5,18.1,18.1,1100
1995-07-14,18.6,18.75,18.5,18.5,3900
1995-07-17,19,19,18.5,18.5,5800
1995-07-18,19.15,19.25,18.9,19.25,4800
1995-07-19,21.05,21.85,19.5,19.5,6550
1995-07-20,20.85,21.05,20.65,21,8350
1995-07-21,19.8,20.75,19.35,20.5,5850
1995-07-24,19.9,20.5,19.5,20,4450
1995-07-25,19.85,20.5,19.5,20.5,5750
1995-07-26,19.95,20.2,19.5,19.5,7550
1995-07-27,19.65,19.9,19.2,19.4,2750
1995-07-28,18.25,19.5,18.2,19.25,19800
1995-07-31,18.3,20.1,18.3,18.55,18200
1995-08-01,17.75,20.1,17,18.15,42400
1995-08-02,21.1,22,19.75,19.75,20150
1995-08-03,20.6,21,20.1,20.1,21200
1995-08-04,20.05,20.1,19.75,19.75,6050
1995-08-07,20.05,20.3,20,20,1550
1995-08-08,20.2,20.2,19.75,19.8,6450
1995-08-09,19.9,19.9,19.75,19.75,1800
1995-08-11,19.4,19.55,19.25,19.55,10000
1995-08-14,19,19.4,18.75,19,18200
1995-08-16,19.4,19.4,19.1,19.2,800
1995-08-17,19.2,19.75,19.05,19.25,2950
1995-08-18,19,19,18.95,19,8800
1995-08-21,18.85,19,18.1,18.1,4450
1995-08-22,18.95,19,18.9,19,6350
1995-08-23,18.75,19,18.75,19,2250
1995-08-24,18.25,19,18.25,18.6,10950
1995-08-25,18.35,19,17.9,19,12550
1995-08-28,18.3,18.4,17.85,17.85,4350
1995-08-30,18.1,18.25,18,18,2250
1995-08-31,18.15,18.25,18.05,18.15,1750
1995-09-01,18,18.2,17.8,18,5750
1995-09-05,17.95,18.25,17.55,18,7300
1995-09-07,17.6,18.25,17.6,18.25,1500
1995-09-08,17.6,17.75,17.6,17.75,250
1995-09-11,18,18,17.75,17.75,2300
1995-09-12,18.05,18.2,17.8,18,1150
1995-09-13,17.5,18,17.5,17.6,2450
1995-09-14,18.45,18.5,18,18.25,7950
1995-09-15,18.75,19.55,18.55,18.55,16950
1995-09-18,18.75,19.25,18.55,19,5900
1995-09-19,18.85,19,18.55,18.75,4200
1995-09-20,18.4,18.9,18.25,18.75,6300
1995-09-21,18.5,19,18.3,18.5,8000
1995-09-22,18.3,18.3,17.85,17.85,350
1995-09-25,18.2,18.25,18.1,18.25,1850
1995-09-26,18.25,18.6,18.1,18.5,2150
1995-09-27,18.4,19,18.3,19,5150
1995-09-28,18.5,18.5,18.25,18.25,5150
1995-09-29,19.2,19.6,18.4,18.5,4750
1995-10-04,19,19,18.64,18.64,1000
1995-10-05,19.1,19.95,19.05,19.95,5050
1995-10-06,19.1,19.6,19.05,19.5,1700
1995-10-09,19.55,20,19.3,19.3,13650
