Date,Close,High,Low,Open,Volume
2021-08-16,123.5,140.9,120.8,140.9,152435152
2021-08-17,125.65,131.75,123.5,124.4,40526064
2021-08-18,124.15,127.5,123,127.5,12528072
2021-08-20,118.5,123,117.5,120,11898633
2021-08-23,114.7,121.25,107.55,120.6,18674108
2021-08-24,113.25,115.8,112,115,5740819
2021-08-25,113.2,116.35,112.65,113.5,7285625
2021-08-26,112.1,114.75,111.6,113.5,3919088
2021-08-27,112.1,112.7,111.05,112.7,3064802
2021-08-30,120.95,122.25,112.3,113.5,11054528
2021-08-31,125.1,127.4,119.5,121.4,16749260
2021-09-01,126.25,128.75,124.25,125.6,7081885
2021-09-02,124.7,128.35,124,126.3,4545771
2021-09-03,126.9,129.7,125,125.25,8661075
2021-09-06,125.6,128.45,124.15,127.15,4298778
2021-09-07,121.4,126.4,120.7,126.2,3733870
2021-09-08,121,123,120.7,121.95,2062474
2021-09-09,120.35,122.2,120.05,121,1722413
2021-09-13,115.1,118.45,114.8,117.85,15279128
2021-09-14,119.55,121.95,116.05,116.9,8353968
2021-09-15,120.85,122.3,118.8,120.3,5049074
2021-09-16,119.35,121.7,118.8,120.1,2526336
2021-09-17,115.8,120.5,115.35,120,5269773
2021-09-20,117.7,120.4,115.05,115.5,5478030
2021-09-21,116.3,118.6,115.1,117.5,1959505
2021-09-22,119.65,120.35,115.9,117,5552538
2021-09-23,119.3,122,118,120.25,4081617
2021-09-24,119.7,121.05,119,120.4,1843651
2021-09-27,118.85,120.45,117.55,120.2,2242008
2021-09-28,116.4,119.45,115.8,119,2160490
2021-09-29,116.4,117.45,115.55,116,1724216
2021-09-30,115.8,117.1,115.7,116.8,1514865
2021-10-01,115.8,116.9,115.45,115.5,1641048
2021-10-04,115.8,116.85,115.6,116.5,1874155
2021-10-05,112.5,115.9,112.1,115.2,5977801
2021-10-06,113,115.1,112.8,113.6,2456312
2021-10-07,113.65,114.7,113.05,114.65,2664475
2021-10-08,113.4,114.5,113.25,114.45,1831316
2021-10-11,114.75,117.35,113.65,113.65,3254425
2021-10-12,113.95,115.55,113.75,114.95,3215778
2021-10-13,114.05,115,113.15,114.15,4895053
2021-10-14,112.55,114.8,112.35,114.5,4002402
2021-10-18,112.65,113.65,111.85,113.6,5664809
2021-10-19,119.4,128.4,113.4,113.5,25059128
2021-10-20,124.5,125.5,120.5,121.7,13245703
2021-10-21,122.9,127,122.25,126,5970096
2021-10-22,120.25,124.7,119.5,123,2113262
2021-10-25,117.05,121.75,114,121.2,2745832
2021-10-26,121.6,122.2,116.3,117,3396370
2021-10-27,120.05,122.45,119.2,121.6,1510892
2021-10-28,119.2,122.45,117.85,119.85,2735570
2021-10-29,122.7,124,118,119.2,4978128
2021-11-01,124.5,128,120.9,124,10472876
2021-11-02,137.3,142.6,126.6,126.7,31927084
2021-11-03,140.35,149.25,134.35,137.65,24332826
2021-11-04,146.5,147.8,142,142.4,6310539
2021-11-08,149.9,154.75,145.7,149,18117872
2021-11-09,147.15,152,145.7,150.4,6244990
2021-11-10,150.3,153.25,144.25,146,7463363
2021-11-11,146.75,150.95,145.3,150.9,3192136
2021-11-12,160.55,168.35,147.65,147.95,29585064
2021-11-15,163.85,167.7,156.25,161.8,12254901
2021-11-16,163.35,168.3,161.1,163.5,7507262
2021-11-17,162.25,166.5,160.15,162.95,5896345
2021-11-18,149.85,171,146.45,163.5,17084452
2021-11-22,153.45,157.5,146.7,151.45,10422280
2021-11-23,154.2,155.75,151.5,152.65,4667284
2021-11-24,153.55,156.6,152.2,155,4310673
2021-11-25,155.85,157.4,152.45,154,4335671
2021-11-26,147,154.1,146.05,152.65,5419185
2021-11-29,139.05,145.95,135.5,144.3,5112235
2021-11-30,148.15,151.15,142.5,142.7,11131410
2021-12-01,154.75,155.8,148.75,150,5996114
2021-12-02,152.9,155.3,151.5,155.3,2501926
2021-12-03,153.7,154.75,151.3,152.7,3092348
2021-12-06,147.7,154.5,147.1,154.5,2953002
2021-12-07,160.7,164.7,149,149,7897452
2021-12-08,175.75,183.8,162.85,163.95,32264156
2021-12-09,184.6,190.4,176.2,177,24389590
2021-12-10,188.6,194.55,179.2,184.6,16854998
2021-12-13,186.45,192.9,183.3,189.8,7496748
2021-12-14,191.1,198.9,183.75,185.95,14060901
2021-12-15,185.4,193.85,184.1,192.1,5920720
2021-12-16,181,188.55,178,187,5309232
2021-12-17,175.65,182.5,172.85,181,6822807
2021-12-20,175.25,177.7,168.3,172,6443659
2021-12-21,174.5,181.35,171.05,177,3180509
2021-12-22,174.05,180.9,173,175.8,3498817
2021-12-23,171.6,178.45,170.05,175.5,3905768
2021-12-24,167.6,172.45,166.8,172.45,2359289
2021-12-27,165.05,168.5,162.45,167,2943976
2021-12-28,171.75,175.2,165.75,166.4,4279356
2021-12-29,169.1,172.3,167.5,172.1,2310616
2021-12-30,164.4,168.9,164,168.5,1650651
2021-12-31,165.05,170.2,164,164.95,2507350
2022-01-03,169.35,170.9,166.15,166.2,2447794
2022-01-04,172.2,173.3,169.35,170.2,2916801
2022-01-05,178.9,181.8,167.1,172,6642011
2022-01-06,174.05,178.05,173.6,175.7,3918156
2022-01-07,186.85,192.85,173.95,175.65,13122707
2022-01-10,185.75,192.4,184.15,186.4,7881051
2022-01-11,182.3,189.5,181.5,184.95,4258270
2022-01-12,186.95,191.3,183,183.4,6021287
2022-01-13,186.85,188.7,185.6,187.5,2593222
2022-01-14,184.9,188.55,184,186,1900380
2022-01-17,186.8,190.6,183.1,185.75,3478895
2022-01-18,185.45,197.3,183.45,189,9371632
2022-01-19,185,186.9,179.35,185.45,4350032
2022-01-20,189.55,192.7,185.2,185.95,5165868
2022-01-21,183.15,188.5,180.55,188,3218149
2022-01-24,170.55,181.5,166.15,181,7276779
2022-01-25,169.7,174.9,162,166.1,6062147
2022-01-27,169.75,171.8,165.75,168,3736545
2022-01-28,167.6,174.85,166.5,171.5,3467969
2022-01-31,168.2,173,167.3,170,1977281
2022-02-01,171.75,174.2,168.35,169.6,2828077
2022-02-02,179.15,182.9,172.65,173,6014602
2022-02-03,184.1,185,178.2,180,3992735
2022-02-04,178.55,186,177.35,185,7131516
2022-02-07,181.1,184.7,177,179.9,4245070
2022-02-08,176.95,179.6,172.5,177,5955466
2022-02-09,179.55,183.45,177.6,177.85,2915433
2022-02-10,179.9,181.5,178.05,180,2747217
2022-02-11,177.45,181,176.25,177,4000403
2022-02-14,162.5,174,160,174,5394973
2022-02-15,171.65,173,161.3,165.7,4400266
2022-02-16,166,176.3,164.75,174.55,4661768
2022-02-17,168.1,170.7,166.2,168.5,2286708
2022-02-18,165.45,168.6,164.55,166.7,1401868
2022-02-21,158.75,163.95,156.6,163.65,3575955
2022-02-22,156.3,158,150,150,2953638
2022-02-23,155.55,161.75,153.95,158.85,2713342
2022-02-24,144.65,151.85,141,149,4579487
2022-02-25,154.5,156,148.9,148.9,2994948
2022-02-28,154.4,155.9,149,154.5,2667501
2022-03-02,163.6,164.5,150.9,151,5606901
2022-03-03,159.4,169,158,165.7,2807363
2022-03-04,156.5,162.45,153.5,157,4345750
2022-03-07,150.7,153.85,148.65,153.85,4513063
2022-03-08,150.55,153.4,149.4,150.75,2815684
2022-03-09,155.25,158,151.3,151.9,4638578
2022-03-10,154.55,159.8,152.25,159.8,2910604
2022-03-11,155.55,157.1,154.15,155.65,2144864
2022-03-14,156,158,153.2,156,1732471
2022-03-15,152.85,157.6,152,157.6,1602477
