Date,Close,High,Low,Open,Volume
2003-03-12,8.8125,9.195,7.75,7.75,1233452
2003-03-13,9,9.3325,8.7,8.7,1177678
2003-03-17,8.55,9,8.3825,9,176654
2003-03-19,8.8375,8.945,8.635,8.7,106862
2003-03-20,9.1775,9.56,8.75,8.79,433277
2003-03-21,9.2775,9.59,9.15,9.15,227349
2003-03-24,10.0725,10.29,9.575,9.75,790914
2003-03-25,10.9,11.1,9.84,10.02,1583444
2003-03-26,10.985,11.59,10.85,10.94,1656273
2003-03-27,10.37,11.08,10.25,11.0025,1031428
2003-03-28,11.7225,12.0425,10.25,10.25,2680172
2003-03-31,10.9575,11.7375,10.85,11.4,1526826
2003-04-01,11.5375,11.915,11.0475,11.2,1234990
2003-04-02,11.79,11.8975,11.525,11.695,585978
2003-04-03,11.8175,12.185,11.75,11.905,596968
2003-04-04,11.6825,11.92,11.65,11.805,332725
2003-04-07,11.81,11.9625,11.7175,11.75,273976
2003-04-08,12.525,13.04,11.75,11.75,1294743
2003-04-09,12.7825,13.1925,12.5525,12.5525,701154
2003-04-10,12.19,12.9,12.1,12.9,250513
2003-04-11,12.405,12.695,12.05,12.225,136630
2003-04-15,12.8075,13.75,12.6275,12.7,272453
2003-04-16,12.5975,13.1,12.4575,12.975,165178
2003-04-17,12.3025,12.75,12.175,12.7,220243
2003-04-21,12.2675,12.6875,12.2125,12.5,104187
2003-04-22,12.815,12.925,12.01,12.335,537677
2003-04-23,12.9925,13.1925,12.7,12.985,420333
2003-04-24,12.8225,13.15,12.7575,13.15,150244
2003-04-25,12.755,12.99,12.4,12.8825,127515
2003-04-28,13.2925,13.465,12.575,12.8,316043
2003-04-29,13.8825,14.165,13.35,13.35,952003
2003-04-30,14.5125,14.75,13.75,13.775,698681
2003-05-02,14.48,15.07,14.3075,14.795,884071
2003-05-05,13.9325,14.79,13.655,14.6375,464233
2003-05-06,14.41,14.685,14,14.095,490192
2003-05-07,14.33,14.785,14.2525,14.6,428378
2003-05-08,13.9925,14.47,13.915,14.25,256066
2003-05-09,14.0875,14.285,13.86,14.095,305672
2003-05-12,14.4525,14.7,14.1025,14.25,355352
2003-05-13,14.18,14.685,14.095,14.55,253599
2003-05-14,14.27,14.44,14.175,14.2825,177650
2003-05-15,15.835,15.9975,12.6,13.9,1371793
2003-05-16,16.0825,16.735,15.85,16.025,1024383
2003-05-19,15.5525,16.335,15.355,16.0075,406096
2003-05-20,16.5775,16.75,15.45,15.4825,891406
2003-05-21,16.04,16.985,15.905,16.65,519096
2003-05-22,16.555,16.75,15.8,16.25,807994
2003-05-23,18.0675,18.45,16.2275,16.9,1747877
2003-05-26,18.4975,18.8375,17.55,18.25,733394
2003-05-27,18.3275,18.735,18.2,18.525,406814
2003-05-28,18.395,19.2,18.2125,18.305,620142
2003-05-29,18.38,18.8175,18.2825,18.5,267503
2003-05-30,18.71,19.3,18.4,18.4,491858
2003-06-02,18.895,19.3225,18.6325,18.87,310845
2003-06-03,18.9275,19.3,18.8,18.8,233063
2003-06-04,19.8325,19.9875,18.9,18.9,674253
2003-06-05,19.6125,20.2,19.445,19.925,231452
2003-06-06,19.6125,20,19.3275,20,168702
2003-06-09,20.43,20.64,19.5,19.6825,408059
2003-06-10,19.705,20.42,19.4025,20.4,150898
2003-06-11,19.53,20.085,19.0625,19.8325,212180
2003-06-12,19.315,19.9425,19.105,19.65,132563
2003-06-13,19.345,19.82,19.2175,19.4,132693
2003-06-16,20.2525,20.415,19.25,19.25,536435
2003-06-17,20.7025,21.07,20.25,20.485,498155
2003-06-18,21.62,21.89,20.5625,20.5625,532769
2003-06-19,21.4325,22.1,21.3,21.75,394618
2003-06-20,21.805,21.9475,21.25,21.5,185127
2003-06-23,22.01,22.3475,21.75,21.9825,253701
2003-06-24,21.845,22.1125,21.5,21.5,212608
2003-06-25,22.4725,22.75,21.855,22.08,207627
2003-06-26,23.355,23.7,22.55,22.6,246710
2003-06-27,24.82,24.975,23.5,23.8325,552340
2003-06-30,27.8225,29.075,24.8825,24.8825,1577684
2003-07-01,28.025,28.57,27.8,28.15,598401
2003-07-02,28.205,30.385,28.0575,28.45,935703
2003-07-03,28.42,29.105,28.01,28.93,404087
2003-07-04,28.4375,29,28.255,28.99,348456
2003-07-07,27.7225,28.89,27.42,28.89,235021
2003-07-08,26.565,28.31,25.155,28,698498
2003-07-09,26.3125,27.45,25.7575,25.9625,535466
2003-07-10,26.2425,27.2375,25.555,26.5,451007
2003-07-11,26.395,27.35,26.2,26.3825,250848
2003-07-14,26.8175,27.685,26.55,26.6,241207
2003-07-15,25.915,27.17,25.605,27.17,220298
2003-07-16,25.6775,26.285,25.505,26.15,223318
2003-07-17,26.075,26.845,25.7,25.75,324524
2003-07-18,25.9675,26.235,25.75,26.0825,119169
2003-07-21,25.1325,26.3,24.95,26.2325,134756
2003-07-22,26.135,26.3225,25,25.7,289952
2003-07-23,25.365,26.685,25.2,26.4325,242947
2003-07-24,26.315,26.64,25.55,25.5825,237314
2003-07-25,26.2825,26.4,25.9,26.4,127890
2003-07-28,28.4125,28.9125,26.45,26.5,633478
2003-07-29,28.5125,28.885,27.325,28.75,550641
2003-07-30,29.045,30.075,28.05,28.8,454357
2003-07-31,28.1975,29.6375,28,29.25,200975
2003-08-01,27.86,28.5825,27.5675,28.1,191189
2003-08-04,27.8675,28.29,27.625,28.1325,113415
2003-08-05,27.86,29.1,27.705,28.2,198430
2003-08-06,27.1525,28.34,26.9125,27.8,147905
2003-08-07,27.2425,27.6725,27,27.275,156626
2003-08-08,28.125,28.35,27.305,27.305,150927
2003-08-11,28.465,28.795,27.5,27.95,115551
2003-08-12,27.4175,28.94,27.1625,28.695,180063
2003-08-13,27.97,28.2325,27.3,27.9,116240
2003-08-14,28.2225,28.5,28,28.15,103420
2003-08-18,28.7825,29,27.9,28.5,106295
2003-08-19,28.545,29.045,28.275,29.045,65678
2003-08-20,29.025,29.2,28.7,28.745,86389
2003-08-21,30.155,30.8,29.2,29.2,210207
2003-08-22,30.01,30.64,29.55,30.64,97573
2003-08-25,30.11,31.645,29,30.5,199224
2003-08-26,32.4625,33.1225,30,30,197398
2003-08-27,33.51,34.15,33,33,127751
2003-08-28,32.3975,34.2,32.1575,33.95,96858
2003-08-29,35.02,35.5,32.5,33,195853
2003-09-01,35.12,37.245,34.25,35.4325,196823
