Date,Close,High,Low,Open,Volume
2007-07-05,569.8,583.95,526.6,526.6,78025944
2007-07-06,573.6,586.45,568,568,13724278
2007-07-09,574.7,581,571.5,574.1,4829804
2007-07-10,571.75,580,568.6,575,5321889
2007-07-11,590.75,594.4,567,570,8859610
2007-07-12,610.75,616.5,595,595,10548513
2007-07-13,601.05,625,597.2,616,6964521
2007-07-16,610.9,614.5,602.2,605.7,3647160
2007-07-17,612.65,619.9,605.15,614.9,4930170
2007-07-18,643.4,649,615,615,11272734
2007-07-19,646.15,664.7,631.25,657.3,14333158
2007-07-20,646.8,658,643,646,5862319
2007-07-23,672.4,679,642,648,5850767
2007-07-24,656.9,678.85,653.15,677,6809825
2007-07-25,637.15,654,629.35,654,4897509
2007-07-26,633.3,649.9,601.55,601.55,6939654
2007-07-27,599.7,628.6,578,628.6,9518445
2007-07-30,603.6,617,590,604.9,4793278
2007-07-31,612.2,616.85,595.6,607.5,4414624
2007-08-01,585.15,609.95,581,609.95,5785919
2007-08-02,586.95,600,579.8,579.8,3052788
2007-08-03,601.85,605.5,593,593.5,3310944
2007-08-06,580.65,589.9,560,560,3153730
2007-08-07,588.7,599.85,587.15,590,2475707
2007-08-08,600.85,606.9,591.5,592.4,3651211
2007-08-09,595.5,614.95,592.1,609.8,3705892
2007-08-10,581.9,592.8,490,575.1,8480468
2007-08-13,596.8,599,587,594,2394623
2007-08-14,603.2,607.1,594.85,598,3558981
2007-08-16,583.85,604.05,572.05,601,4610933
2007-08-17,580.8,595.9,565.5,580,4587307
2007-08-20,579.7,614,576.3,592,2652088
2007-08-21,556.35,600,547,600,3200514
2007-08-22,557.8,566.9,531.15,561,3744178
2007-08-23,555.2,574,548.5,570,3953776
2007-08-24,565.85,571.9,548,559.95,3272452
2007-08-27,577.4,579.8,570,570.05,1863935
2007-08-28,586.75,590,573.4,576.8,2127399
2007-08-29,596.55,599.8,574.9,574.9,2567504
2007-08-30,587.3,629.9,582.25,629.9,4215212
2007-08-31,598.05,604.4,590,590,1878346
2007-09-03,610.75,613,595,598.05,2332926
2007-09-04,623.8,626.3,611.95,612,2918412
2007-09-05,639.7,644.95,626,626.4,3587083
2007-09-06,635.9,640.85,602.3,620,1990575
2007-09-07,623.6,642,620.1,637.6,2031822
2007-09-10,626.3,630.6,610,625,1228725
2007-09-11,617.95,633.4,615.2,633,1924334
2007-09-12,635.05,639.9,620,625,2897025
2007-09-13,644.8,649.7,620,620,3865965
2007-09-14,665.15,669,649,650,4984836
2007-09-17,652.95,669.7,651.05,668.8,1047228
2007-09-18,656.6,659.85,643.1,651,2009481
2007-09-19,713.15,720,666,689,10437435
2007-09-20,748.65,779,710,710.05,9328821
2007-09-21,744.45,773.4,725,748,4921308
2007-09-24,781.4,785.5,744.45,745,7961666
2007-09-25,766.2,789.7,740,777,2823547
2007-09-26,739,777,735,756,2029425
2007-09-27,740.7,762,726.1,745.1,6496004
2007-09-28,763.2,766.5,745,745,3390952
2007-10-01,766.8,775,753.65,764.95,2948584
2007-10-03,892.4,904,780,785,18724318
2007-10-04,863.35,898.7,831.3,831.3,6654490
2007-10-05,851.1,894.95,833.3,865.1,3641882
2007-10-08,837.75,875,802,858.55,6243519
2007-10-09,865.4,871.7,807,830,4668946
2007-10-10,894.5,917.7,871,880,5713017
2007-10-11,918.75,929.9,898,915,4064392
2007-10-12,866.85,949,852.3,949,4483346
2007-10-15,897.95,904,880,884.4,2168413
2007-10-16,919.3,926.95,888.05,896.95,4083342
2007-10-17,895.15,903,751,870,6837606
2007-10-18,843.9,933.9,802.2,915,4726717
2007-10-19,818.35,857,785.9,810,3788642
2007-10-22,802,837,780,800,5102646
2007-10-23,870.2,878,818,840,2882769
2007-10-24,861.2,899,857,890,2916840
2007-10-25,868.5,875,855,872,2795203
2007-10-26,911.45,919.8,870.15,889.5,3407143
2007-10-29,911.2,938,905.8,922,2122868
2007-10-30,959.15,972.95,902.1,915,7063412
2007-10-31,949.4,999,940.25,997.3,4957007
2007-11-01,934.3,974.7,922.05,960,3805938
2007-11-02,931.15,939.75,861.15,902.3,1979783
2007-11-05,914.5,945.2,901.35,932,1886828
2007-11-06,927.2,959.7,922,939.8,2254239
2007-11-07,927.95,945,920.15,940,1141856
2007-11-08,910.1,925,898.5,904,898334
2007-11-09,913.2,930,901,928.35,260715
2007-11-12,871.15,901.05,849.1,901.05,2336640
2007-11-13,905.6,911,862.15,876,1902929
