Date,Close,High,Low,Open,Volume
1995-02-08,6.3,6.75,6.225,6.225,4600
1995-02-09,6.225,6.4,6.2,6.4,3200
1995-02-10,6.3,6.5,6.3,6.3,3000
1995-02-13,6.3,6.45,6.3,6.44,2900
1995-02-14,6.125,6.3,6.125,6.125,1300
1995-02-15,6.125,6.3,6.125,6.3,4000
1995-02-16,5.85,6.125,5.75,6.125,1100
1995-02-17,5.75,5.75,5.7,5.7,800
1995-02-20,5.4,5.9,5.375,5.9,900
1995-02-21,5.3,5.375,5.1,5.1,2000
1995-02-22,5,5,5,5,600
1995-02-23,5.2,5.4,5.2,5.4,1500
1995-02-24,5.375,5.5,5.375,5.5,5100
1995-02-28,5.41,5.5,5.3,5.475,3200
1995-03-01,5.55,5.55,5.35,5.35,12500
1995-03-02,5.65,5.7,5.45,5.56,7200
1995-03-03,5.75,5.75,5.4,5.4,600
1995-03-06,5.7,5.7,5.4,5.7,5000
1995-03-07,5.475,5.7,5.25,5.7,1300
1995-03-08,5.525,5.6,5.3,5.5,2500
1995-03-09,5.45,5.5,5.4,5.45,1900
1995-03-10,5.4,5.575,5.4,5.575,3500
1995-03-13,4.81,5.35,4.81,5.275,800
1995-03-14,5.28,5.5,5.2,5.3,2300
1995-03-15,5.25,5.6,5.2,5.6,7400
1995-03-16,5.2,5.3,4.9,4.9,1100
1995-03-20,5.2,5.3,4.9,5.3,5400
1995-03-21,5.15,5.25,5.15,5.25,2000
1995-03-22,5.425,5.7,5.25,5.25,2600
1995-03-23,5.265,5.5,5.2,5.5,1700
1995-03-24,5.1,5.4,5.1,5.4,2200
1995-03-27,5,5.2,5,5.2,900
1995-03-28,5.035,5.1,5,5.1,700
1995-03-29,5.2,5.2,5,5,1300
1995-03-30,5.2,5.25,5.2,5.2,2500
1995-03-31,5.2,5.2,5.195,5.2,3000
1995-04-03,5.2,5.2,5,5,500
1995-04-04,5.17,5.2,5.1,5.1,4400
1995-04-05,5.15,5.3,5,5.3,7600
1995-04-06,5.47,5.5,5.1,5.3,69300
1995-04-07,5.85,5.95,5.505,5.505,11700
1995-04-10,5.705,6,5.6,6,13300
1995-04-11,5.75,5.755,5.7,5.75,4900
1995-04-12,5.88,5.9,5.83,5.9,7100
1995-04-17,6.04,6.1,5.85,6.075,6500
1995-04-18,5.895,6,5.825,5.99,12800
1995-04-19,5.9,6.1,5.85,5.85,12000
1995-04-20,5.87,6,5.85,5.855,56000
1995-04-21,5.825,5.9,5.705,5.9,3700
