Date,Close,High,Low,Open,Volume
1995-01-02,62.4,62.4,62.4,62.4,200
1995-01-04,62.25,63,62.25,63,150
1995-01-05,61.7625,61.7625,61.5,61.5,700
1995-01-10,61.5,61.5,60.7125,60.7125,450
1995-01-12,59.7,59.7,58.5,58.5,400
1995-01-16,60.9,60.9,60,60,5050
1995-01-17,56.25,60.75,56.25,60,150
1995-01-18,60.6,60.6,60.6,60.6,50
1995-01-20,59.25,59.25,59.25,59.25,100
1995-01-23,57.525,57.525,57.3,57.3,100
1995-01-24,58.2,58.35,58.2,58.35,10000
1995-01-25,55.5,55.5,52.38,52.38,4100
1995-01-27,58.95,58.95,56.985,56.985,5200
1995-01-30,59.25,59.25,58.5,58.5,200
1995-01-31,58.95,59.25,57,57.75,850
1995-02-01,58.5,58.95,53.4,53.4,300
1995-02-03,60,60,59.85,59.85,250
1995-02-06,60.6,60.6,60.375,60.375,5500
1995-02-07,57.75,57.75,57.75,57.75,50
1995-02-09,59.805,60.15,59.25,60,15050
1995-02-10,59.7,59.7,59.55,59.55,1250
1995-02-14,58.875,58.875,58.5,58.5,150
1995-02-15,59.1,59.25,56.25,56.25,150
1995-02-21,57.3,57.3,57.3,57.3,500
1995-02-22,56.25,56.25,56.25,56.25,100
1995-02-23,57,57,55.5,55.5,350
1995-02-24,55.875,55.875,55.875,55.875,100
1995-03-02,57,57.825,57,57.825,1200
1995-03-03,58.5,58.5,58.5,58.5,350
1995-03-06,57.375,57.375,57,57,200
1995-03-07,57,57,57,57,100
1995-03-08,58.8,58.875,58.65,58.65,500
1995-03-09,59.85,59.85,58.5,58.5,400
1995-03-10,60.8625,60.9,60,60,450
1995-03-13,58.425,58.5,58.35,58.35,100
1995-03-14,57.75,58.35,57.75,58.35,400
1995-03-15,59.4,60.75,59.4,59.5575,1500
1995-03-21,56.7,56.7,56.25,56.25,1550
1995-03-22,56.25,56.85,56.25,56.85,150
1995-03-23,57.75,57.75,57.45,57.45,100
1995-03-24,57.3,57.3,57.3,57.3,50
1995-03-27,57,57,57,57,350
1995-03-28,58.5,58.5,58.5,58.5,800
1995-03-29,59.1,59.1,57.9,57.9,200
1995-03-30,59.25,59.25,58.5,58.5,300
1995-03-31,59.25,59.25,59.25,59.25,100
1995-04-03,59.25,59.25,59.25,59.25,150
1995-04-04,59.475,60.75,58.95,60,650
1995-04-05,63.675,63.75,61.5,61.5,1900
1995-04-06,65.625,66,63,63,1850
1995-04-07,65.25,65.25,64.5,65.25,750
1995-04-10,64.8525,65.25,63.75,64.05,550
1995-04-11,64.0725,64.5,63.75,64.5,500
1995-04-12,63.75,63.75,63.75,63.75,200
1995-04-17,63.75,64.05,63.75,64.05,350
1995-04-18,64.5,64.5,63.75,63.75,500
1995-04-19,63.75,63.75,62.25,62.25,600
1995-04-20,63,63,60.75,60.75,650
1995-04-21,61.875,62.4,59.25,59.25,1300
1995-04-24,62.25,62.625,61.8,62.25,650
1995-04-25,61.95,62.25,61.2,62.25,1450
1995-04-26,62.025,62.025,61.8,61.8,600
1995-04-27,61.8,62.25,61.8,62.25,450
1995-04-28,59.25,60,58.5,60,1250
1995-05-02,56.25,57,56.25,56.25,300
1995-05-03,60.6375,60.75,58.05,58.35,750
1995-05-04,61.5,61.65,61.5,61.65,300
1995-05-05,61.5075,61.5075,61.5075,61.5075,100
1995-05-08,60.75,60.75,60,60,150
1995-05-09,60,60.45,60,60,400
1995-05-10,60.75,60.9,60.45,60.45,200
1995-05-12,61.2525,61.5,60.75,60.75,700
1995-05-15,60.9,60.9,59.85,59.85,900
1995-05-16,61.425,61.5,60,60,700
1995-05-17,62.25,62.25,61.05,61.05,600
1995-05-18,63.75,65.25,61.2,62.25,17650
1995-05-19,62.85,63.15,62.4075,63.15,800
1995-05-22,61.2,62.25,61.2,62.25,450
1995-05-23,62.13,63,61.5,63,500
1995-05-24,61.8,62.25,61.8,62.25,850
1995-05-25,63,63,60,60,3400
1995-05-26,61.95,61.95,61.8,61.8,700
1995-05-29,61.5,61.5,61.2,61.2,250
1995-05-30,63,63,61.5,62.2575,500
1995-05-31,63,63.75,63,63,2750
1995-06-01,64.5,64.5,63.15,63.15,1150
1995-06-02,63.75,63.75,63.45,63.45,300
1995-06-05,62.9025,63,62.4,63,300
1995-06-06,64.2,64.5,63.75,64.05,2000
1995-06-07,64.8,64.8,64.125,64.5,900
1995-06-08,65.25,65.25,63.75,63.75,950
1995-06-09,65.4,70.5,63.75,63.75,7350
1995-06-12,67.8,67.8,66,66,750
1995-06-13,67.125,67.5,66.75,67.5,650
1995-06-14,64.5,64.5,64.35,64.35,200
1995-06-15,66,66.7125,64.35,64.35,200
1995-06-16,65.55,65.55,64.5,65.25,750
1995-06-19,66.75,67.5,66.75,66.75,550
1995-06-20,67.875,67.875,66.3075,67.4925,5450
1995-06-21,66.7575,67.5,66.75,67.5,450
1995-06-22,66.66,67.65,64.8,66,5850
1995-06-23,66.7425,66.75,66,66,700
1995-06-26,65.4375,65.4375,65.4375,65.4375,100
1995-06-27,65.8275,66,64.5,64.5,6000
1995-06-28,66.375,66.375,65.85,65.85,250
1995-06-29,63.3,64.5,63.3,64.5,550
1995-06-30,63.75,64.2,63,63,2150
1995-07-03,62.9925,62.9925,62.85,62.85,550
1995-07-04,63.9525,66,60.75,61.5,2350
1995-07-05,62.7,62.7,62.625,62.625,350
1995-07-06,61.95,61.9575,61.95,61.9575,400
1995-07-07,61.5,61.65,60,60,350
1995-07-10,62.25,62.25,61.5,61.5,500
1995-07-11,62.1,62.1,60.915,61.5,600
1995-07-12,61.5,61.5,61.5,61.5,200
1995-07-13,63,63,57.75,57.75,100
1995-07-14,63.15,63.15,57.75,57.75,200
1995-07-17,62.955,63.6,61.5,62.7,1850
1995-07-18,62.4,63.6,62.4,63.15,550
1995-07-19,63.6,63.6,62.4,62.4,300
1995-07-20,63.75,63.75,63,63,350
1995-07-21,63.7575,64.8,63.6,64.8,51650
1995-07-24,67.5,70.35,63.75,63.75,350
1995-07-25,66,67.35,64.5,67.35,750
1995-07-26,66.195,69.75,66.15,69.75,900
1995-07-28,65.8125,65.925,64.5,64.5,900
1995-07-31,63.3,65.1,63,65.1,300
1995-08-01,63.75,63.9,63.75,63.75,1000
1995-08-02,66.75,67.5,65.55,66.75,750
1995-08-03,66.3,66.3375,66,66,500
1995-08-04,66.6,66.6,66,66,200
1995-08-07,67.455,67.5,63.75,63.75,150
1995-08-08,66,66,66,66,50
1995-08-09,66.75,66.75,66,66,550
1995-08-11,69,69.15,67.5,67.5,1450
1995-08-14,69.15,69.75,68.4,68.4,20750
1995-08-16,70.095,70.2,68.775,68.775,2800
1995-08-17,71.835,72,69.75,69.75,13300
1995-08-18,71.775,72,71.25,71.5425,1450
1995-08-21,73.6875,74.85,71.55,71.55,5000
1995-08-22,74.1675,74.85,72.75,72.75,2400
1995-08-23,73.2,73.5,73.05,73.05,550
1995-08-24,72.45,73.9125,71.025,72.75,5050
1995-08-25,72,72.6,71.4,72,3250
1995-08-28,74.7375,76.8,72,72,5650
1995-08-30,71.9625,72,71.25,72,1800
1995-08-31,71.4825,71.4825,71.25,71.25,800
1995-09-01,71.25,71.25,70.65,70.65,500
1995-09-05,70.5,70.95,69,70.2,1050
1995-09-07,70.8525,70.95,70.2,70.5,900
1995-09-08,69.4575,69.75,69.45,69.75,650
1995-09-11,69.15,69.15,69.15,69.15,100
1995-09-12,69,69,67.65,68.25,550
1995-09-13,69.15,69.15,67.95,67.95,750
1995-09-14,69.705,69.9,68.25,68.25,1200
1995-09-15,75.09,75.75,69.3,69.3,7700
1995-09-18,75.45,77.25,69.75,69.75,4950
1995-09-19,75.225,76.8,74.55,76.8,3850
1995-09-20,76.3125,77.55,75.15,75.15,3850
1995-09-21,75.75,78.45,75.3,78.45,1600
1995-09-22,79.8375,80.25,76.5,76.5,3750
1995-09-25,79.5,81.75,79.5,79.5,4950
1995-09-26,78.93,80.25,78.75,80.25,2500
1995-09-27,77.2125,79.05,76.65,79.05,1100
1995-09-28,75,76.35,75,75.3,750
1995-09-29,76.5,78,75.3,75.3,21250
1995-10-04,76.05,76.5,75,75.9,1000
1995-10-05,77.25,78.75,76.5,76.5,1750
1995-10-06,77.4,78,75.75,77.25,500
1995-10-09,78.4275,78.45,75.75,75.75,7350
1995-10-10,77.685,78,76.8,78.4275,3350
1995-10-11,76.95,78.1875,76.4925,78.15,1550
1995-10-12,76.8,77.25,76.2,76.95,900
1995-10-13,76.6875,77.25,75.6,76.8,2650
1995-10-16,76.29,76.35,75,76.6875,1200
1995-10-17,77.25,78,75.75,75.75,2650
1995-10-18,76.5,77.25,76.5,76.5,500
1995-10-19,75.75,75.7575,75.75,75.75,250
1995-10-20,75.3,75.3,74.7,75,650
1995-10-23,76.95,77.55,75,75.3,1100
1995-10-24,76.2,76.2,76.2,76.2,100
1995-10-25,76.2,76.35,76.2,76.2,600
1995-10-26,76.125,76.125,75,75.75,1750
1995-10-27,76.5,76.8,75,76.2,850
1995-10-30,75.75,76.8,75,76.8,650
1995-10-31,76.65,77.1,75.6,75.75,1950
1995-11-01,79.5,80.1,77.25,77.25,4350
1995-11-02,79.5075,81.75,78,78,34150
1995-11-03,80.4,81.6,80.25,79.5075,3450
1995-11-06,79.5825,80.25,79.5,80.4,1700
