Date,Close,High,Low,Open,Volume
2024-07-10,1359.15,1385,1325.05,1325.05,14007559
2024-07-11,1361.95,1370,1341.15,1354.35,1200703
2024-07-12,1362.45,1373.35,1345,1362,882782
2024-07-15,1374.75,1408.7,1340,1360,1037827
2024-07-16,1362.35,1399,1360,1380,421306
2024-07-18,1368.5,1379,1349.5,1360.05,309066
2024-07-19,1351.45,1365.05,1341.1,1365.05,289152
2024-07-22,1323.45,1341,1305.2,1341,260396
2024-07-23,1283.15,1323.4,1261.05,1320,321841
2024-07-24,1308.5,1313.7,1285.25,1294.95,115886
2024-07-25,1305.95,1315.05,1270.05,1270.05,77559
2024-07-26,1297.35,1315,1285.7,1310.95,103355
2024-07-29,1295.9,1310,1282.5,1310,102054
2024-07-30,1301.8,1305,1285,1285,177736
2024-07-31,1306.1,1310,1299.95,1302.25,100240
2024-08-01,1318.25,1330,1302.85,1311,161028
2024-08-02,1298.3,1309.65,1281.05,1290,95697
2024-08-05,1250,1279.95,1231.65,1261,214960
2024-08-06,1294.8,1309.25,1235,1251,186401
2024-08-07,1305.05,1311.95,1288,1300,160161
2024-08-08,1289.65,1321.95,1280.5,1300,102065
2024-08-09,1286.75,1308,1272,1295,82452
2024-08-12,1273.85,1314.9,1267.25,1280,155206
2024-08-13,1236.7,1289.7,1225,1286.5,227263
2024-08-14,1243.4,1269.7,1226.6,1263,279561
2024-08-16,1258.7,1279.9,1247,1250.95,157716
2024-08-19,1325,1367.4,1259.65,1264.95,411065
2024-08-20,1332.1,1357.15,1305.5,1328.95,195390
2024-08-21,1363.5,1389.65,1328,1339,388054
2024-08-22,1359.4,1377.45,1351.15,1369.75,87048
2024-08-23,1385.2,1414,1357.05,1368.9,366974
2024-08-26,1417.25,1455.2,1391,1421.25,649487
2024-08-27,1388.95,1428,1382,1425,181716
2024-08-28,1383.1,1409.15,1372,1390,183453
2024-08-29,1375.65,1395,1359.5,1395,167615
2024-08-30,1410.45,1418,1375.65,1390,203892
2024-09-02,1389.35,1421.2,1382,1412.05,89656
