Date,Close,High,Low,Open,Volume
2025-11-18,219.4,227.71,207,217,36063488
2025-11-19,236.28,241.34,220.25,220.69,34006912
2025-11-20,232.63,237.69,222,236,8065061
2025-11-21,232.81,239.26,224.62,229.5,4738179
2025-11-24,217.09,230.12,214,229,4553487
2025-11-25,214.77,224.4,208.61,216.5,3776850
2025-11-26,210.63,215,210,214.77,2061951
2025-11-27,212.62,214.48,209.66,214.42,1249261
2025-11-28,217.26,223.8,213.5,216.1,3529972
2025-12-01,218.88,222.4,215.3,220.29,1717549
2025-12-02,239.34,240.76,225.55,227.01,34596080
2025-12-03,242.4,248.4,229,240.51,18275546
2025-12-04,219.86,239.13,218.16,238.71,6258735
2025-12-05,212.66,223.9,210.23,222,4977840
2025-12-08,202.61,214.6,197.4,212.8,8728197
2025-12-09,201.68,205.8,194.81,204.5,2718353
2025-12-10,200.2,204,198.59,203.2,1097543
2025-12-11,200.07,201.8,190.71,201.8,2463622
2025-12-12,193.72,201.98,190.81,200.61,2240405
2025-12-15,189.26,192.98,185.05,192.77,2334184
2025-12-16,186.4,193.8,184.45,192,2232561
2025-12-17,177.63,186.37,176.24,186,2680002
2025-12-18,172.93,178.01,171.51,177.63,1561455
2025-12-19,185.16,186.1,171.61,173.78,4573753
2025-12-22,188.42,196.1,185.43,188.86,3028078
2025-12-23,184.81,188.42,183.6,188.42,692148
2025-12-24,188.42,191,182.15,184.29,1992519
2025-12-26,183.98,187.95,182.71,187.95,942276
2025-12-29,182.64,184.95,177,183.99,1091224
2025-12-30,185.22,187,177.26,182.5,1159016
2025-12-31,192.35,193.41,183.16,184.4,2900628
2026-01-01,188.86,192.33,188.1,192,332916
2026-01-02,187.75,188.72,181.56,187.92,1423681
2026-01-05,184.91,187,181.35,187,1427230
2026-01-06,200.06,203.4,192.6,198,12714945
2026-01-07,217.08,219.4,200.06,200.99,11173349
2026-01-08,201.81,223.55,196.3,219.69,5982755
2026-01-09,208.42,217.75,198.88,202.78,10760309
2026-01-12,210.49,215.45,204.06,208.5,4668495
2026-01-13,212.08,219,207.5,214,4885863
2026-01-14,218.35,220.94,213.14,214.7,3600791
2026-01-16,215.31,229.3,211,224.9,9409140
2026-01-19,212.07,214.54,208.03,214.31,2183041
2026-01-20,202.03,213.45,200,213,2456406
2026-01-21,195.34,203.52,193.78,200.2,2114610
2026-01-22,208.33,211.5,197.81,198.59,3275703
2026-01-23,198.45,208.8,197.5,208.8,1073599
2026-01-27,194.87,199,189.02,198.5,1800608
2026-01-28,190.95,197.89,189.51,195.3,1261300
2026-01-29,189.56,193.04,186.81,191.9,1147484
2026-01-30,191.67,195,187.62,188.3,1149530
2026-02-02,193.74,194.89,188.26,192.35,666850
2026-02-03,205.42,213,199.88,204.41,4219953
2026-02-04,208.55,210,203,205.39,880017
2026-02-05,202.56,208.54,201.1,206.5,575500
2026-02-06,202.48,204.53,197.6,200,784211
2026-02-09,202.84,206.68,202.1,203,595556
2026-02-10,204.9,209.4,202.05,203.7,1131823
2026-02-11,206.12,209.8,202.72,206.5,1755707
2026-02-12,207.26,208.98,195.9,206.12,1974502
2026-02-13,210.29,217.5,204.19,208.99,4352593
2026-02-16,207.05,209.78,205.04,208.3,1282367
2026-02-17,216.53,221.39,202.22,206.5,3236757
