Date,Close,High,Low,Open,Volume
2024-02-16,1149.55,1258,1141,1228.7,1788742
2024-02-19,1151,1178,1105.85,1149.5,389057
2024-02-20,1161.2,1198,1140.35,1150,678777
2024-02-21,1166.6,1197.9,1150,1162.1,415999
2024-02-22,1158.15,1186.95,1139.1,1166.55,113667
2024-02-23,1169.15,1174.9,1156.05,1161.95,127547
2024-02-26,1130.5,1185.15,1100.3,1146.55,191751
2024-02-27,1121,1153.7,1112,1135,259971
2024-02-28,1037.4,1121,1002.35,1116,506919
2024-02-29,1082.85,1102,1031.1,1037.4,141204
2024-03-01,1017.5,1125.95,1013.15,1096,393304
2024-03-04,1036.55,1060.65,1010,1028.25,312834
2024-03-05,1059.3,1065.5,1032.15,1034.7,103169
2024-03-06,1032.3,1079.8,1025,1055.05,121776
2024-03-07,1094.2,1099.9,1039,1039,212534
2024-03-11,1115.9,1124,1090.15,1100.25,187958
2024-03-12,1083.3,1116.75,1060.5,1116.75,87592
2024-03-13,993.4,1093,980.35,1070,236716
2024-03-14,1031.85,1055.55,988.55,1004.95,224330
2024-03-15,1006.3,1058.75,1000,1010,91497
2024-03-18,1040.95,1053.45,1010.55,1010.95,79031
2024-03-19,999.9,1047.95,990,1038.5,105982
2024-03-20,1004.65,1038,998,1034.95,28952
2024-03-21,998.35,1026.5,995,1004.9,60528
2024-03-22,991.55,1035,984,998.8,121225
2024-03-26,986.5,1009.35,980,991.55,109921
2024-03-27,999.85,1008.9,987,987,73836
2024-03-28,987.45,1010.1,970,1000,82536
2024-04-01,1001.65,1014,995,995,35883
2024-04-02,993.75,1011.45,992.1,1010.6,53906
2024-04-03,996.8,1005.2,985.35,1004.95,87206
2024-04-04,1004.1,1008.25,997.2,997.2,39443
2024-04-05,1005.9,1008.2,1000,1004.1,27118
2024-04-08,994.45,1015.9,992,1006.95,31642
2024-04-09,1005.1,1028.5,995.85,995.95,60569
2024-04-10,1001.95,1012.95,999,1005,35599
2024-04-12,1170.55,1202.3,1089,1114.95,831193
2024-04-15,1129.25,1165,1105.05,1165,81164
2024-04-16,1097.25,1134.65,1080,1111,80493
2024-04-18,1113.05,1148.55,1099.2,1099.2,92105
2024-04-19,1128.2,1133.95,1097.7,1113,68858
2024-04-22,1144.2,1157,1130,1134.95,55632
2024-04-23,1204.05,1225,1162.6,1162.6,348878
2024-04-24,1208.25,1225,1197.2,1204.95,178852
2024-04-25,1169.65,1207.95,1160,1182.35,45793
2024-04-26,1151.75,1183.25,1136.4,1175,24987
2024-04-29,1140,1159,1131.8,1151.75,28292
2024-04-30,1170.7,1206,1138.95,1138.95,53596
2024-05-02,1130.35,1183.8,1124.2,1159.95,45690
2024-05-03,1096,1146.65,1078.15,1135.95,55935
2024-05-06,1080.2,1111.95,1072.3,1100,44131
2024-05-07,1095,1098.15,1070.05,1087,46091
2024-05-08,1076.85,1098.6,1072.25,1081,15481
2024-05-09,1055.3,1096,1049,1096,21788
2024-05-10,1047.1,1067.5,1023.15,1055.3,18811
2024-05-13,1031.65,1056.95,1020.65,1056.95,26041
2024-05-14,1041.55,1046,1014.95,1044.95,9823
2024-05-15,1008.95,1041.9,1002.85,1041.9,88285
2024-05-16,1021.7,1029.15,1012.6,1017.9,56225
2024-05-17,1043.9,1120.5,1029.75,1030,123924
2024-05-20,1054.5,1061.95,1041.85,1050,5047
2024-05-21,1040.15,1064.3,1029,1064.3,52156
2024-05-22,1046.05,1062.15,1036.1,1042,76731
2024-05-23,1039.7,1080,1035,1080,45719
2024-05-24,1022.65,1048,1017,1042.95,55542
2024-05-27,1023.7,1043.85,1017.75,1027.95,47561
2024-05-28,1023.45,1048.75,1013.1,1023.7,55687
2024-05-29,1026.55,1036,1005,1035,59220
2024-05-30,996.1,1060,994,1060,179601
2024-05-31,1028.35,1041.6,999.95,999.95,69590
2024-06-03,1029.45,1043.95,1017,1035.1,35960
2024-06-04,1028.3,1033.55,991.1,1016,105753
2024-06-05,1031.7,1037,999,1037,30921
2024-06-06,1040,1044.95,1023.35,1031.7,25598
2024-06-07,1035.5,1044.75,1030.5,1038.95,22352
2024-06-10,1044.9,1064,1040,1064,50306
2024-06-11,1024.35,1045.5,1017.55,1044.35,41957
