Date,Close,High,Low,Open,Volume
2020-11-02,32.8,33.15,30.05,31.1,23099680
2020-11-03,32.95,33.75,32.7,33.15,4556016
2020-11-04,32.7,33.1,32,32.95,1667520
2020-11-05,33,33.3,32.4,32.7,3951058
2020-11-06,32.85,33.05,32.5,32.7,1351591
2020-11-09,32.65,33.5,30.5,33,4323953
2020-11-10,33.35,34.5,33.15,33.5,5976055
2020-11-11,32.95,33.7,32.8,33.45,1459446
2020-11-12,33.55,33.75,33,33,1868282
2020-11-13,34.5,34.75,33.5,33.55,5544814
2020-11-16,34.2,34.75,34.1,34.5,853354
2020-11-17,34.3,34.7,33.8,34.15,2071178
2020-11-18,33.95,34.55,33.85,34,2069678
2020-11-19,33.2,33.9,33.05,33.9,1392356
2020-11-20,33.05,33.7,32.75,33.2,1280775
2020-11-23,37.3,38,34.35,34.7,11604586
2020-11-24,36.2,39,36,37.75,4370022
2020-11-25,34.95,36.7,34.75,36.35,1673052
2020-11-26,34.45,36.05,34.35,34.6,2461538
2020-11-27,34.35,34.85,34.1,34.6,1054709
2020-12-01,34.8,35.65,34.05,34.5,1553456
2020-12-02,34.4,35.4,34.15,34.9,1058999
2020-12-03,34.8,35.35,34.4,34.95,1739440
2020-12-04,34.9,35.35,34.7,35,1283490
2020-12-07,35.2,35.85,34.7,35.05,2264012
2020-12-08,34.7,35.95,34.4,35.9,2767501
2020-12-09,37.6,39.55,34.9,34.9,9679293
2020-12-10,37.05,37.9,36.95,37.25,1902573
2020-12-11,37.5,37.7,37,37.45,1682915
2020-12-14,37.6,37.85,36.1,37.7,1669172
2020-12-15,38.1,38.25,37.1,37.1,2757434
2020-12-16,38.95,39.4,38.3,38.5,2540422
2020-12-17,39.05,39.6,39,39.1,1812679
2020-12-18,39.55,39.8,39.05,39.3,2071976
2020-12-21,36.2,40,35.3,39.85,2029451
2020-12-22,36.8,37.3,34.5,34.65,1854982
2020-12-23,36.2,38,35.9,37.4,2032261
2020-12-24,36.5,36.85,36,36.65,1575992
2020-12-28,37.1,37.2,36.5,36.5,1860194
2020-12-29,37.55,37.9,37.2,37.9,1882732
2020-12-30,37.5,37.65,36.3,37.55,1483158
2020-12-31,37.7,37.85,37.15,37.15,1034633
2021-01-01,37.75,37.8,37.35,37.75,832887
2021-01-04,37.95,38.3,37.4,38.3,1156997
2021-01-05,37.45,37.65,37.05,37.65,614490
2021-01-06,37.65,37.95,37.45,37.75,936322
2021-01-07,39.9,42.35,37.35,37.9,10240657
2021-01-08,39.45,40.5,39.1,40.3,2127779
2021-01-11,40.95,41.9,40.25,41.4,2804368
2021-01-12,41.2,41.85,40.05,40.9,3410587
2021-01-13,41.45,41.6,40.9,41.6,2252023
2021-01-14,41.8,42.15,40.5,41.7,1762138
