Date,Close,High,Low,Open,Volume
1995-01-09,115,115,115,115,150
1995-01-10,115,115,115,115,100
1995-01-11,114,114,114,114,50
1995-01-12,115,115,114,114,650
1995-01-13,114,114,114,114,50
1995-01-16,114,114,114,114,50
1995-01-17,117,117.5,117,117.5,100
1995-01-18,115,115,115,115,150
1995-01-19,117,117,117,117,50
1995-01-20,117,117,117,117,100
1995-01-23,117,117,117,117,100
1995-01-24,112,112,112,112,250
1995-01-25,118,118,118,118,100
1995-01-30,117,117,115,115,700
1995-01-31,112,112,112,112,100
1995-02-03,136.25,136.25,120,120,400
1995-02-06,137.5,142.5,137.5,140,900
1995-02-07,133,135,133,135,300
1995-02-08,132.5,132.5,132.5,132.5,300
1995-02-09,132,132,132,132,50
1995-02-10,131,132,131,132,900
1995-02-13,131,132,130,131,1500
1995-02-14,125.2,130,123,129.95,1350
1995-02-15,120,125,120,125,500
1995-02-16,115,115,115,115,400
1995-02-17,118,118,115,115,100
1995-02-20,116.5,116.5,116.5,116.5,200
1995-02-21,108,108,108,108,200
1995-02-22,108,108.05,108,108.05,300
1995-02-24,132,139,132,139,150
1995-02-28,124,129,124,129,100
1995-03-01,128,130,128,130,550
1995-03-02,130,130,130,130,100
1995-03-03,125,127.5,125,127.5,200
1995-03-06,126.75,129,126.75,128,5200
1995-03-07,128.75,129,125,125,1200
1995-03-08,126.25,130,126,130,1500
1995-03-09,124.25,124.25,123.75,123.75,150
1995-03-10,125,125,125,125,100
1995-03-13,125,125,125,125,350
1995-03-14,126,128.75,126,128.5,500
1995-03-15,129,130,129,130,300
1995-03-20,120,130,120,129.5,1200
1995-03-22,120.5,121,120,121,100
1995-03-23,122,122,120,120,150
1995-03-24,125,125,115,115,250
1995-03-27,128,128,128,128,50
1995-03-28,127,127,127,127,50
1995-03-29,132.9,133,130,130,200
1995-03-30,130.5,131,130,130,950
1995-03-31,133,135,133,133,450
1995-04-03,130,133,129,133,3100
1995-04-04,131.25,131.25,129,131,1450
1995-04-05,131,138.5,128.55,135,2250
1995-04-06,130,130,130,130,250
1995-04-07,133,135,133,135,300
1995-04-10,130.25,133,130,133,600
1995-04-11,127.5,128,127.5,128,150
1995-04-12,128.4,131,128,128.5,800
1995-04-17,127,129,126,128.95,800
1995-04-18,129.75,130,120,122,1000
1995-04-19,139.1,141,133,137,12650
1995-04-20,142,145,140,142,19650
1995-04-21,139,145,138.05,142,4350
1995-04-24,138,144,138,143.5,4000
1995-04-25,134,139,133,137,3350
1995-04-26,136,136,135,135,1050
1995-04-27,131.7,133,130,132,900
1995-04-28,125,130,125,130,150
1995-05-02,125,130,119,120,1000
1995-05-03,126,126,123,123,800
1995-05-04,127,128,125,128,1700
1995-05-05,130,130,126.5,127.5,10850
1995-05-08,131.25,132,131,131,650
1995-05-09,132.5,133,131,131,600
1995-05-10,133,133,131,131,250
1995-05-12,130,130.5,130,130,3150
1995-05-15,125,125,123,123,200
1995-05-16,120.25,126,120,126,850
1995-05-17,126,126,121,121,700
1995-05-18,130,130,128,130,600
1995-05-19,130,131.95,128,129,850
1995-05-22,130,133,130,131,750
1995-05-23,128,128,125,128,1550
1995-05-24,135,135,130,132,700
