Date,Close,High,Low,Open,Volume
2022-05-30,803.1,839.95,773,825,2637898
2022-05-31,805.7,818,801.1,805.05,362441
2022-06-01,806.15,811.9,788.45,811.9,142831
2022-06-02,782.55,807.75,780,807.75,48340
2022-06-03,746.5,791.2,742.05,785,48361
2022-06-06,770.1,787.65,707.45,733,166416
2022-06-07,776.2,798.95,752.8,758.3,93288
2022-06-08,784.85,799,774,774,60115
2022-06-09,802.85,807.75,750.65,790,57921
2022-06-10,784.6,799.95,779,790.8,14635
2022-06-13,788.65,798.7,759,761,46430
2022-06-14,795.75,800,778.55,785,34110
2022-06-15,798.75,802,789.35,791,25663
2022-06-16,779.3,808.75,766,808,38765
2022-06-17,782.25,790,761.25,779.3,12220
2022-06-20,759.3,780.7,750.05,771.1,58565
2022-06-21,772.9,775.75,758.75,765.85,6031
2022-06-22,770.55,777.7,761.2,775.55,5196
2022-06-23,780.15,784.75,763.25,763.25,17880
2022-06-24,799.35,804,780.25,781.1,16245
2022-06-27,809.95,821,793,793,29224
2022-06-28,797.85,817.15,792,795.4,13009
2022-06-29,777.95,796.35,766.4,789.55,3576
2022-06-30,793.9,799.85,770,784,6941
2022-07-01,785.05,794.8,776.3,793.9,2217
2022-07-04,785.65,789.95,773.1,773.1,2871
2022-07-05,780.15,785.25,770.05,778.1,9993
2022-07-06,779.25,783.3,770.15,774.15,14379
2022-07-07,789.7,792.15,776,781.6,21840
2022-07-08,777.75,798.15,773.5,795.05,4090
2022-07-11,845.25,874.25,770.75,777.75,98506
2022-07-12,824.8,867.95,807.7,859,43593
2022-07-13,831.25,838.9,812.4,824,9859
2022-07-14,831.05,845.25,821.1,839.45,11045
2022-07-15,842.6,849,828,837.75,7267
2022-07-18,872.1,884,845,845,62097
2022-07-19,890.3,902.95,864.85,872.25,136695
2022-07-20,901.75,924.8,890,908,73667
2022-07-21,909.95,918,890.3,901.75,41649
2022-07-22,978.15,992.7,901.15,910,166580
2022-07-25,954.85,1005.15,940.3,965.25,68362
2022-07-26,961.05,972.8,942.4,968,24708
2022-07-27,965.5,1075,945.15,1020,812235
2022-07-28,987.4,1020,962,978,119965
2022-07-29,989.8,1005.5,979.25,1003,48081
2022-08-01,998.95,1029,965.9,999,83857
2022-08-02,1009.2,1021.45,982,1010,84432
2022-08-03,1009.7,1031.95,996.7,1009,64986
2022-08-04,998.9,1014,971,1014,74555
2022-08-05,974.85,1004.9,970,1004.7,28896
2022-08-08,997.3,1007,974.1,974.1,47114
2022-08-10,997.65,1030,987.35,1011.15,205683
2022-08-11,1018.4,1024,986,1013.75,157246
2022-08-12,1107.55,1125,1000.85,1018.4,442682
2022-08-16,1097.95,1147,1082.45,1120,134470
2022-08-17,1072,1108.5,1068.5,1089.95,88310
2022-08-18,1094.2,1100,1050,1086.7,64392
2022-08-19,1069.35,1099.9,1055.6,1099.9,66775
