Date,Close,High,Low,Open,Volume
1995-01-02,9.38667,9.6,9.15556,9.15556,1100
1995-01-03,9.42222,9.55556,9.42222,9.42222,1200
1995-01-04,9.6,9.6,9.38667,9.52889,4300
1995-01-05,9.6,9.6,9.43111,9.52889,300
1995-01-06,9.42222,9.6,9.38844,9.6,1400
1995-01-09,9.424,9.45778,9.33333,9.45778,2500
1995-01-10,9.36889,9.36889,9.28,9.28889,1100
1995-01-11,9.12889,9.21778,9.12,9.20889,1800
1995-01-12,9.18222,9.24444,9.13778,9.24444,700
1995-01-13,9.24444,9.24444,9.06667,9.06667,2100
1995-01-16,9.29778,9.29778,9.06667,9.06667,600
1995-01-17,9.36889,9.41333,9.06667,9.06667,1300
1995-01-18,9.38667,9.42222,9.38667,9.42222,900
1995-01-19,9.42222,9.42222,9.42222,9.42222,700
1995-01-20,9.51644,9.52889,9.35289,9.42222,1500
1995-01-23,9.31556,9.35111,9.24444,9.24444,1700
1995-01-24,9.06667,9.17333,8.88889,9.06667,2200
1995-01-25,9.06667,9.10222,9.03111,9.06667,1400
1995-01-27,9.24444,9.24444,9.06844,9.06844,700
1995-01-30,9.41333,9.42222,9.13778,9.13778,1000
1995-01-31,9.49333,9.49333,9.24444,9.33333,5700
1995-02-01,9.31556,9.49333,9.31556,9.49333,5500
1995-02-02,9.37956,9.38667,9.24444,9.31556,7800
1995-02-03,9.49333,9.49333,9.35111,9.35111,800
1995-02-06,9.45422,9.49333,9.35111,9.38667,4400
1995-02-07,9.42222,9.44,9.33333,9.42222,7400
1995-02-08,9.55556,9.67111,9.33333,9.38667,13900
1995-02-09,9.49333,9.49333,9.38667,9.38667,1000
1995-02-10,9.6,9.6,9.49333,9.49333,4900
1995-02-13,9.47733,9.6,9.47378,9.6,1200
1995-02-14,9.54311,9.55556,9.51111,9.51111,2100
1995-02-15,9.51111,9.52889,9.51111,9.52889,2900
1995-02-16,9.28,9.42222,9.24444,9.42222,3300
1995-02-17,9.17333,9.38667,9.08444,9.08444,1700
1995-02-20,8.76444,9.20889,8.71111,9.20889,1200
1995-02-21,9.24444,9.24444,8.88889,8.88889,9700
1995-02-22,9.22489,9.31556,9.10222,9.13778,19700
1995-02-23,9.51111,9.6,9.21067,9.21067,4600
1995-02-24,9.69422,9.77778,9.6,9.6,3400
1995-02-28,9.75289,9.77778,9.57333,9.77778,33700
1995-03-01,10.1458,10.1689,9.77778,9.77778,10800
1995-03-02,10.4356,10.5244,10.1333,10.1333,6200
1995-03-03,11.1289,11.3778,10.4889,10.4889,12200
1995-03-06,11.0524,11.3067,10.9333,11.0222,10700
1995-03-07,10.7556,11.0311,10.7556,11.0222,32700
1995-03-08,10.5031,10.7733,10.4889,10.7733,1100
1995-03-09,10.5067,10.5778,10.5067,10.5333,1400
1995-03-10,10.6311,10.6667,10.4889,10.5956,7500
1995-03-13,10.1458,10.3467,10.1333,10.3111,19400
1995-03-14,10.2133,10.2756,10.2044,10.24,1900
1995-03-15,10.24,10.56,10.24,10.56,1300
1995-03-16,9.95556,10.0267,9.92,10.0267,1600
1995-03-20,9.96267,9.99111,9.95556,9.95556,900
1995-03-21,9.74222,9.84889,9.74222,9.82222,1100
1995-03-22,9.81333,9.92,9.67111,9.67111,1600
1995-03-23,9.97333,9.99111,9.86667,9.86667,1200
1995-03-24,9.77778,9.77956,9.77778,9.77956,500
1995-03-27,9.77956,9.88444,9.6,9.6,1500
1995-03-28,10.0267,10.1333,9.77778,9.77778,5900
1995-03-29,10.2062,10.2133,10.1333,10.1333,10200
1995-03-30,10.24,10.3111,10.2044,10.3022,2900
1995-03-31,10.1529,10.2578,10.1333,10.2578,1200
1995-04-03,10.1067,10.1689,10.0622,10.1689,500
1995-04-04,10.0978,10.0978,10.0267,10.0978,1700
1995-04-05,10.2756,10.3822,10.2044,10.2044,1400
1995-04-06,10.3111,10.3111,10.2756,10.3111,900
1995-04-07,10.3129,10.4178,10.3129,10.3289,2600
1995-04-10,10.3111,10.3111,10.3111,10.3111,400
1995-04-11,10.1689,10.2133,10.0622,10.2133,2000
1995-04-12,10.1689,10.2044,10.1333,10.1333,600
1995-04-17,10.2329,10.3022,9.95556,10.3022,6700
1995-04-18,10.0622,10.2756,10.0622,10.2044,12500
1995-04-19,10.1404,10.2222,9.95556,10.0444,15700
1995-04-20,9.78133,9.99111,9.78133,9.95556,1400
1995-04-21,9.744,9.81333,9.744,9.77778,1100
1995-04-24,9.84889,10,9.81333,9.81333,3700
1995-04-25,9.49333,9.6,9.35111,9.42222,2900
1995-04-26,9.44889,9.45778,9.344,9.42222,1200
1995-04-27,9.20889,9.31556,9.17333,9.31556,2400
1995-04-28,8.96,9.06667,8.96,9.06667,6700
1995-05-02,8.49778,8.60444,8.25067,8.60444,14700
1995-05-03,8.52089,8.60444,8,8.17778,3200
1995-05-04,8.92444,9.06667,8.68444,8.88889,1500
1995-05-05,9.18756,9.24444,8.97778,9.24444,2600
1995-05-08,9.28,9.28,9.13778,9.24444,1900
1995-05-09,9.30311,9.36,9.13778,9.13778,1600
1995-05-10,9.456,9.6,9.24444,9.24444,5200
1995-05-12,9.42222,9.42222,9.10222,9.17333,3800
1995-05-15,9.63733,9.77778,9.33333,9.33333,11800
1995-05-16,9.84889,9.99111,9.68889,9.74222,4500
1995-05-17,9.95556,10.2044,9.81333,9.82222,3600
1995-05-18,10.1689,10.3111,10.1689,10.3111,2800
