Date,Close,High,Low,Open,Volume
2006-10-19,60.775,84.625,59.775,84.625,2558307
2006-10-20,62.55,66.95,61,61,1992156
2006-10-23,59.475,63.225,58.875,61.7,218970
2006-10-26,58.6,61.25,58.125,60.5,279272
2006-10-27,54.275,59.35,53.875,58.55,225940
2006-10-30,51.3,55.55,51,54.3,227783
2006-10-31,49.25,52.325,49,52.325,206259
2006-11-01,52.075,53.95,48.75,50.2,520801
2006-11-02,51.275,53.95,50.75,52.875,185416
2006-11-03,49.95,51.5,49.65,51.5,87501
2006-11-06,49.675,51.075,48.65,48.65,59943
2006-11-07,49.05,52.2,48.65,50.5,239498
2006-11-08,48.25,50.8,48.05,50.8,63614
2006-11-09,48.125,49.1,47.75,48.9,61297
2006-11-10,46.825,48.4,46.5,48.4,55439
2006-11-13,45.275,47,45.025,47,55079
2006-11-14,44.175,45.9,44,45.5,64223
2006-11-15,44.7,46.25,44.075,44.2,120048
2006-11-16,45.3,46.85,45,45.95,109928
2006-11-17,47.1,48.25,45.1,45.5,170229
2006-11-20,49.45,52.85,45.125,45.125,882944
2006-11-21,50.075,52.225,49.25,50.05,295466
2006-11-22,52.675,54.95,50.25,50.85,995761
2006-11-23,51.625,53.7,51.05,53,194173
2006-11-24,52.55,54,51,52.5,169223
2006-11-27,58.225,59.25,52.25,53,1263634
2006-11-28,59.725,60.6,56.55,57,621800
2006-11-29,61.625,64.45,60.4,60.5,547867
2006-11-30,60,62.5,59.05,61.75,163244
2006-12-01,62.475,63.375,59.55,60.075,303117
2006-12-04,64.7,67.7,61.1,62.375,504845
2006-12-05,64.225,67.85,62.65,64,547387
2006-12-06,63.3,66.025,62.75,64.85,243864
2006-12-07,65.675,68.475,63.5,63.85,1109010
2006-12-08,62.6,66.125,62,66.125,254984
2006-12-11,57.625,62.5,56,62.5,150501
2006-12-12,52.725,59.45,50.025,58.275,185729
2006-12-13,54.025,54.75,50.025,53,162647
2006-12-14,56.2,56.975,54.275,54.75,113041
2006-12-15,55.925,58.5,55.55,56.525,148088
2006-12-18,55.525,56.925,54.55,56.5,59447
2006-12-19,54.95,59.25,54,55.5,181594
2006-12-20,55.975,57.2,55,56.875,104062
2006-12-21,54.925,56,54.5,56,45531
2006-12-22,53.7,55.75,53.35,54.5,61081
2006-12-26,54.275,55,51.125,51.125,19745
2006-12-27,56.775,57.65,54.5,54.95,64966
2006-12-28,56.375,58.1,55,55,40672
