Date,Close,High,Low,Open,Volume
2022-11-21,490,543.6,448.2,468.8,13932702
2022-11-22,492,506.75,475.5,494,1117795
2022-11-23,490.55,499.4,481.1,493,554688
2022-11-24,490,497.95,484.05,484.05,192573
2022-11-25,512.55,523.6,490.3,491,372240
2022-11-28,499.45,518.65,495.1,514,152475
2022-11-29,500.2,512.95,494,510,557957
2022-11-30,511.15,536.6,498.95,500,386424
2022-12-01,518.75,531.7,508.75,513.2,302352
2022-12-02,518,528.7,513.25,519.7,239327
2022-12-05,520.5,525.85,511.2,517,181204
2022-12-06,624.6,624.6,515.2,517.15,2132436
2022-12-07,617.9,687.7,587.35,668,3357129
2022-12-08,590.2,629.95,583.05,622,1157910
2022-12-09,565,591.95,560.05,586.1,525960
2022-12-12,567.5,583.95,561.05,567.75,236792
2022-12-13,583.35,603.7,564,577.65,595677
2022-12-14,600.35,607.95,582.95,585,386062
2022-12-15,584.75,617.25,577,598.6,214083
2022-12-16,610.25,627.8,586.5,593.8,423761
2022-12-19,594.65,626.95,590.05,626.95,233791
2022-12-20,614.85,617.8,590.35,593.55,303701
2022-12-21,595.45,615,572,615,270422
2022-12-22,570.55,606.65,563.45,606.65,102954
2022-12-23,553.65,574.1,550,570.55,91570
2022-12-26,586.65,594,561.35,585.45,182988
2022-12-27,577.65,594.45,572.2,586.65,73459
2022-12-28,580.65,587.45,575,578,39539
2022-12-29,594.1,613.75,575,580,221588
2022-12-30,614.7,622.85,602,607.7,156851
2023-01-02,605.35,618.85,598.2,614.7,125625
2023-01-03,627.5,652.95,605.55,610,679139
2023-01-04,627.55,644.9,616.95,628.85,137670
2023-01-05,649.7,659.9,625.95,632.15,272222
2023-01-06,637.25,650.4,627.5,649,188156
2023-01-09,632.95,646.95,627.05,643,62370
2023-01-10,593.6,631,587.15,630.7,156571
2023-01-11,602.05,609.8,596,604.9,71875
2023-01-12,585.9,601.95,577,601.95,68778
2023-01-13,588.05,599.95,583.75,587.5,49846
2023-01-16,589.9,595.4,585,585,30969
2023-01-17,594.35,603.25,585.5,585.5,41657
2023-01-18,589.8,604,586.55,597.05,41427
2023-01-19,591.45,599,590,593.95,20392
2023-01-20,591.9,596.3,587.4,591,21039
2023-01-23,590.6,615.9,587.5,600,88310
2023-01-24,590.65,600,588.4,593.05,82420
2023-01-25,597.05,604,589.3,591.05,38999
2023-01-27,593.25,603.9,586,600,73100
2023-01-30,611.05,616.3,586.6,607.5,513980
2023-01-31,600.5,624.95,595,619.45,66654
2023-02-01,575.4,607.1,570.15,600.05,101771
2023-02-02,575,592.35,568.3,575.4,157523
2023-02-03,561.7,589.9,552,574.8,50419
2023-02-06,571.95,585.05,558.1,563.95,44540
2023-02-07,569.7,581.75,565.1,581.75,22737
2023-02-08,573.45,581,565.9,573.95,37431
2023-02-09,589.05,595.8,566.6,573.45,55266
2023-02-10,603.55,621.85,583.65,590,1191838
2023-02-13,596.2,612,576.35,606.9,78767
2023-02-14,591.85,600.1,585.95,599.7,12155
