Date,Close,High,Low,Open,Volume
2007-02-22,79.55,90.1,76.55,90.1,53656752
2007-02-23,80.05,82.2,78.65,80.9,17554890
2007-02-26,81.85,85.5,78.1,80.7,13470061
2007-02-27,82.6,84.35,80.2,82,8050388
2007-02-28,78.4,80.7,74.1,78.9,4480363
2007-03-01,78.05,80.55,77.8,80.5,3122780
2007-03-02,79,86.3,77.05,86.3,2978973
2007-03-05,70.75,77.9,68.6,76.5,2930744
2007-03-06,70.9,75,68.65,74.15,3020075
2007-03-07,64.65,72.9,64,72.9,2233027
2007-03-08,65.4,68.45,61.15,68.45,2130798
2007-03-09,64.05,66.75,63.55,66,1594394
2007-03-12,69.55,70.2,63.75,64.7,2282968
2007-03-13,78.05,81.3,69.6,70.2,7450148
2007-03-14,72.25,75,71.35,75,2599215
2007-03-15,74.35,82,73.45,82,2611703
2007-03-16,73,75.7,71.8,75,1024200
2007-03-19,73.5,74.9,72.7,73.7,731335
2007-03-20,72.2,75,71.8,74.1,899272
2007-03-21,75.6,76.85,71.5,72.65,1334608
2007-03-22,77.1,78.95,76.5,78,1475778
2007-03-23,73.95,78,73.4,78,870374
2007-03-26,69.9,74.5,68.9,74.5,1055304
2007-03-28,71.2,72.3,68.3,69,675802
2007-03-29,73.7,74,70.5,70.95,638136
2007-03-30,72.25,74,72,73.2,300215
2007-04-02,70.2,72,70,71,211212
2007-04-03,71.05,71.9,69.5,71,266046
2007-04-04,71.3,73,70.55,71.4,358760
2007-04-05,71.1,72.75,70.55,71.5,312766
2007-04-09,72.1,73.5,71.55,71.9,421326
2007-04-10,73.3,73.95,72,72.5,680905
2007-04-11,73.8,74.85,72.85,73.4,565874
2007-04-12,74.25,75.4,72.25,72.3,476789
2007-04-13,75.4,76.7,74,75.5,952755
2007-04-16,76.6,77.95,75.75,76,729585
2007-04-17,78.75,81.7,74.65,76.75,2157772
2007-04-18,77.4,80.85,77.1,79.6,1148816
2007-04-19,78.15,78.9,75.85,77,688076
2007-04-20,78.45,80.5,78,78.95,492279
2007-04-23,86.4,91.25,78.8,78.8,13295497
2007-04-24,84.3,88.7,83.55,88.45,4198618
2007-04-25,85.55,88.5,83.7,85,4905672
2007-04-26,84.85,88,84,87.1,1692931
2007-04-27,82.4,87.9,81.1,87.25,3748311
2007-04-30,81.65,83.6,80.75,82.5,2211708
2007-05-03,89.15,91.45,82.5,82.8,9805125
2007-05-04,88,92.4,87.15,90,6762900
2007-05-07,88.45,91.3,88,89,4078224
2007-05-08,85.15,89.6,84.75,88.9,1737301
2007-05-09,86.15,87.2,84,85.55,1605104
2007-05-10,85.7,89,85.3,87.4,1856754
2007-05-11,85.05,86.3,83.5,85,1621701
2007-05-14,87.45,89,86.25,86.6,2160491
2007-05-15,91.85,93.2,86.75,88.35,8536158
2007-05-16,89.6,92.75,89.2,92,2834721
2007-05-17,89.9,92.3,89.1,90.3,2197910
2007-05-18,89.15,92,88.3,90,2397794
2007-05-21,88.75,91.4,88.5,90.1,1603687
2007-05-22,85.35,89.45,84.5,89,2343545
2007-05-23,81.9,86.8,81.5,86,2839718
2007-05-24,83.7,85,82.05,82.25,1907547
2007-05-25,84.6,85.4,82.05,83.15,1227045
2007-05-28,84.2,86.5,83.75,86,1232117
2007-05-29,83.45,85.25,83.05,85.25,764212
2007-05-30,82.25,84.35,82.05,84,752070
2007-05-31,82.55,83.4,82.05,83,550267
2007-06-01,85.2,86.75,82.5,83,2722923
2007-06-04,84.55,87.8,84,86,1842583
2007-06-05,84.55,85.05,84,85,640674
2007-06-06,84.2,88.3,84,85,3968416
2007-06-07,84.5,85.4,83.4,83.9,1295918
2007-06-08,82.85,84.5,82,84,870139
2007-06-11,82.35,85.5,82.15,83.95,768290
2007-06-12,81.7,83.3,80.6,83.3,898475
2007-06-13,81.4,82.4,80.7,81.75,549372
2007-06-14,83.1,83.7,81.65,82,792514
2007-06-15,84.65,87,82.8,83.8,2797490
2007-06-18,83.25,85.8,83,85.1,784353
2007-06-19,83.15,83.85,82.5,83.4,474523
2007-06-20,85.2,85.7,83.15,83.15,679415
2007-06-21,87.5,88.5,85.1,85.7,2639580
2007-06-22,85.85,88.1,85.4,88.1,815187
2007-06-25,83.6,86.05,83.2,86.05,782852
2007-06-26,83.75,84.35,83.5,84.15,391244
2007-06-27,83.15,84.25,83,84,363672
2007-06-28,83.6,88.5,83.25,88,353397
2007-06-29,84.2,85.75,83.6,84,536329
2007-07-02,85.8,86.5,83.75,84.5,1048114
2007-07-03,84.65,87.35,84.4,86,648392
2007-07-04,84,85,83.5,85,272809
2007-07-05,82.4,84.45,82,84.45,371049
2007-07-06,81.95,83.4,81.8,83,846992
2007-07-09,82.7,83.4,82.35,82.9,318277
2007-07-10,82.15,84.25,82,82.75,400698
2007-07-11,81.25,82.4,80.25,82,285484
2007-07-12,81,83.5,80.5,82.05,725769
2007-07-13,80.7,83,80.45,82.8,513692
2007-07-16,80.1,81.9,79.6,81.9,405361
2007-07-17,78.45,80.75,78.2,80.1,492853
2007-07-18,78.9,80.6,77.1,78.45,616259
2007-07-19,79.9,81.5,79.1,79.95,758353
2007-07-20,82.35,83.3,80,80.5,1037179
2007-07-23,82,84.25,81.5,83,709711
2007-07-24,81.05,82.45,80.9,81,390724
2007-07-25,79.3,81,78.6,81,301956
2007-07-26,81.55,84.25,80,80,433085
2007-07-27,77.3,81.1,77,77,663991
2007-07-30,78.95,80.8,78.3,79,555122
2007-07-31,81.8,82.3,79.25,80.4,689366
2007-08-01,79,81.9,78.55,81,397866
2007-08-02,78.1,79.5,78,79.05,249024
2007-08-03,78.45,79.8,78.1,79,209254
2007-08-06,80.05,80.5,76.5,78,347397
2007-08-07,79.15,81,78,80.1,254445
2007-08-08,82.9,83.25,80,80.35,736350
2007-08-09,79.7,84.75,79.05,83.85,602862
2007-08-10,77.95,79.4,77.35,78.5,602921
2007-08-13,78.45,79.6,78,78.5,175559
2007-08-14,78.1,80,78,79.8,124136
2007-08-16,76.85,77.25,75.1,77,477747
2007-08-17,75.1,78.2,74.6,77.7,298366
2007-08-20,74.2,77.6,73.4,77.55,481259
2007-08-21,69.85,75.45,69.15,75.45,513737
2007-08-22,70.25,72.15,69.2,70,817110
2007-08-23,70.45,80,70.05,72,361204
2007-08-24,70.65,71.85,69.05,70.15,157629
2007-08-27,73.2,75,72.45,72.45,360702
2007-08-28,72.25,73.8,71.8,73.8,150841
2007-08-29,79.5,80.65,70.3,72,2600724
2007-08-30,80.55,83.2,79.8,81.5,2111665
2007-08-31,83.85,84.4,78.6,78.6,1293507
2007-09-03,80.95,84.35,80.65,84.25,486057
2007-09-04,83.8,84,81,81.7,543993
2007-09-05,82.95,84.8,81.85,84,277984
2007-09-06,81.2,82.7,80.9,81.1,276363
2007-09-07,81.2,83,81,81.5,234423
2007-09-10,80.9,81.6,80,80,181253
2007-09-11,80.75,81.85,80.15,80.15,134845
2007-09-12,81.6,82.5,80.65,81.9,374080
2007-09-13,80.85,82,78.5,81.9,1270821
2007-09-14,80,82.25,79.6,81.3,284289
2007-09-17,78.05,80.7,77.7,80.2,131010
2007-09-18,78.75,79.6,78,78.2,266608
2007-09-19,77.55,80.55,77.25,80.5,305166
2007-09-20,77.05,79.4,76.55,78,276797
2007-09-21,74.3,77,73.35,76.75,463472
2007-09-24,71.65,76.6,71.5,76.6,802046
2007-09-25,71.6,72.9,70.45,71,477905
2007-09-26,74.05,75.5,71.95,71.95,463407
2007-09-27,73.05,75.6,72.3,75.6,328334
2007-09-28,76.5,77.35,73,73.5,604985
