Date,Close,High,Low,Open,Volume
1995-03-01,17.5,17.5,17.5,17.5,300
1995-05-18,19.5,19.5,19.5,19.5,50
1995-05-19,19.5,19.5,19.5,19.5,50
1995-05-26,19.75,19.75,19.75,19.75,50
1995-05-31,19,19,19,19,50
1995-06-06,19,19,19,19,100
1995-08-17,18.5,18.5,18.5,18.5,100
1995-08-24,20.25,20.25,20.25,20.25,400
1995-08-28,16.5,18.75,16.5,18.75,500
1995-09-19,14.9,14.9,14.85,14.85,100
1995-10-05,14.75,14.75,14,14,400
1995-10-06,14.75,14.75,14.75,14.75,50
1995-10-09,15.2575,15.2575,15.2575,15.2575,50
1995-10-10,19,19,19,15.2575,50
1995-10-12,22.5,22.5,22.5,19,100
1995-12-05,14.25,14.25,14.25,14.25,50
1995-12-07,12.75,12.75,12.75,12.75,50
1995-12-08,13.25,13.25,12.75,12.75,400
1995-12-13,12.6,12.75,12.5,13.25,300
1995-12-14,12.5,12.5,12.25,12.25,100
1995-12-15,12.55,12.6,12.5,12.5,450
1995-12-18,12,12,12,12.55,300
1995-12-21,12.5,12.5,11.25,12,400
1995-12-22,12.6,12.7,12.5,12.5,500
1995-12-26,12.05,12.05,12.05,12.05,100
1995-12-27,12.055,12.055,12.055,12.055,50
1995-12-28,12.25,12.25,12.25,12.25,50
1995-12-29,12.25,12.25,12.25,12.25,50
1996-01-01,12.125,12.125,12.125,12.125,50
1996-01-02,12,13.3,12,13.3,100
1996-01-04,12,12,12,12,50
1996-01-05,11.9975,11.9975,11.9975,11.9975,50
1996-01-08,11.5025,11.75,11.5025,11.9975,250
1996-01-09,11.7875,11.875,11.7,11.5025,1300
1996-01-11,11.5,11.5,11.5,11.5,50
1996-01-12,11.25,11.25,11.25,11.25,50
1996-01-16,11.575,11.75,11.4,11.4,100
1996-01-23,11.6,11.6,11.55,11.55,100
1996-01-24,11.55,11.55,11.5,11.5,100
1996-01-25,11,11.3,11,11.3,100
1996-01-31,11,11,11,11,50
1996-02-02,11.25,11.25,11.25,11.25,100
1996-02-05,12.3625,12.3625,12.3625,12.3625,50
1996-02-06,12.35,12.35,12.35,12.35,50
1996-02-09,12.25,12.25,12.25,12.25,50
1996-02-13,12.75,12.75,12.4,12.4,250
1996-02-14,13.5,13.5,13.5,13.5,50
1996-02-15,13.4475,13.4475,13.445,13.445,100
1996-02-19,13.7,13.7,13.4375,13.4375,100
1996-02-20,13.5,13.75,13.5,13.75,100
1996-02-23,13.5,13.5,13.5,13.5,100
1996-02-26,12.9475,12.9475,12.7525,12.7525,200
1996-03-11,12,12,12,12,100
1996-03-12,11.805,11.805,11.805,11.805,50
1996-03-28,12.85,12.85,12.85,12.85,100
1996-04-02,13.45,13.45,13.45,12.85,50
1996-04-08,13.5,13.5,13.5,13.5,50
1996-04-10,13.45,13.45,13.45,13.45,100
1996-04-11,13.45,13.45,13.45,13.45,50
1996-04-15,12.2525,12.2525,12.2525,12.2525,50
1996-04-16,12.6,12.6,12.6,12.2525,50
1996-04-18,13.5,13.5,13,13,200
1996-04-19,14.5,14.5,14.5,14.5,50
1996-04-23,13.5,13.5,13.5,13.5,50
1996-04-24,14.6,14.6,14.6,14.6,50
1996-04-25,14.75,14.75,14.6,14.6,250
1996-04-29,16,16,16,16,50
1996-04-30,15.5,16,15.5,16,200
1996-05-02,15.2,15.2,15.2,15.2,100
1996-05-03,16.085,16.25,15.15,15.2,300
1996-05-06,15.75,15.75,15.75,16.085,100
1996-05-10,15.65,15.75,15.65,15.75,150
1996-05-14,15.9975,15.9975,15.75,15.75,300
1996-05-15,15,15,15,15,100
1996-05-16,15,15,15,15,50
1996-05-17,15,15,15,15,50
1996-05-21,15.5,15.75,15.5,15,100
1996-05-31,15.45,15.45,15.45,15.45,50
1996-06-03,15.5625,15.5625,15.5,15.5,100
1996-06-04,16,16.25,16,16.25,200
1996-06-05,16.75,16.75,16.25,16.25,150
1996-06-06,16.5,16.5,16.5,16.5,50
1996-06-11,16.6675,16.75,16.5,16.5,150
1996-06-12,16.5075,16.5075,16.5075,16.5075,50
1996-06-13,16.5,16.5,16.5,16.5,50
1996-06-18,16.5,16.5,16.5,16.5,50
1996-06-19,16.5,16.5,16.5,16.5,50
1996-06-20,16.5,16.5,15.0025,15.0025,550
1996-06-21,16.5,16.5,16.25,16.25,700
1996-06-24,16.5,16.75,16.5,16.5,150
1996-06-25,16.5,16.5,16,16.5,300
1996-06-26,16.5,16.6,16.5,16.6,100
1996-06-27,16.5,16.5,16.5,16.5,2900
1996-07-04,15.75,16,15.5,15.5,250
1996-07-09,15,15,15,15,50
1996-07-11,15.25,15.25,15.25,15.25,50
1996-07-12,16.5,16.5,16,16,150
1996-07-15,16.5,16.5,16.3,16.35,250
1996-07-16,16.45,16.45,16.45,16.45,50
1996-07-19,16.25,16.25,16.25,16.25,50
1996-07-22,16.225,16.225,16.225,16.225,50
1996-07-23,16,16,16,16,50
1996-07-26,16.25,16.25,16,16,200
1996-07-29,16,16,16,16,100
1996-07-30,15.9875,16,15.9875,16,100
1996-08-01,15.95,15.95,15.95,15.95,50
1996-08-02,15.5,15.5,15.5,15.5,50
1996-08-12,15.9975,15.9975,15.9975,15.9975,100
1996-08-13,15.5,15.5,15.5,15.5,50
1996-08-20,16,16,16,16,50
1996-08-21,16,16,15.9975,15.9975,150
1996-08-22,15.75,15.75,15.7475,15.7475,100
1996-08-23,16.5,16.5,15.5,15.5,250
1996-08-27,17.3375,17.375,15.9125,15.9125,300
1996-08-30,16.225,16.225,16.225,16.225,50
1996-09-03,15.05,16,15.05,16,300
1996-09-04,15.75,15.75,15.75,15.75,50
1996-09-09,15.75,15.75,15.75,15.75,50
1996-09-20,16.7475,16.7475,15,15,100
1996-09-23,16,16,16,16,50
1996-09-24,14.925,14.95,14.9,14.9,200
1996-09-25,14.75,15.25,13.9,14,700
1996-09-26,15.25,15.25,15.25,15.25,100
1996-09-27,15.62,15.62,15.25,15.25,200
1996-09-30,15.65,15.75,15.05,15.05,250
1996-10-01,16.11,16.2,15.215,15.215,2000
1996-10-09,15.05,15.05,15.05,15.05,50
1996-10-10,15,15,15,15,100
1996-10-14,15.45,15.45,14.1,14.1,4000
1996-10-22,14.375,14.375,14.375,14.375,50
1996-10-28,14.25,14.25,14.25,14.25,50
1996-10-29,14.25,14.25,14.25,14.25,100
1996-11-04,13.65,13.75,13.65,13.75,200
1996-11-07,13.75,13.75,13.75,13.75,100
1996-11-08,12.9275,12.9275,12.915,12.915,150
1996-11-14,13.6,13.65,13.5,13.65,150
1996-11-15,13.75,13.75,13.75,13.75,50
1996-11-19,13.75,13.75,13.75,13.75,50
1996-11-20,14.225,14.225,14.225,14.225,50
1996-11-22,14,14,14,14,50
1996-11-28,14.75,14.75,13.75,13.75,150
1996-11-29,14.9975,14.9975,14.5,14.75,200
1996-12-02,14.9,14.9,14.9,14.9,50
1996-12-03,13.875,13.875,13.875,13.875,50
1996-12-04,13.75,13.875,12.925,12.925,200
1996-12-05,14.7,14.7,14.25,14.25,350
1996-12-06,15.5,15.5,14.95,14.95,200
1996-12-09,14.525,14.525,14.525,14.525,50
1996-12-10,14.3675,14.75,14.3,14.51,1400
1996-12-16,13.75,13.75,13.75,13.75,100
1996-12-19,13.25,13.25,13.25,13.25,200
1996-12-24,12.6425,13,12.425,13,200
1996-12-26,13.45,13.45,13.4475,13.4475,100
1996-12-31,12.7525,12.7525,12.7525,12.7525,50
1997-01-02,12.775,12.775,12.775,12.775,50
1997-01-10,13.6,13.6,12.5,12.5,650
1997-01-13,13.6,13.6,13.6,13.6,200
1997-01-14,13.6,13.6,13.6,13.6,100
1997-01-27,14.2325,14.25,14.2,14.2,200
1997-01-28,13.65,13.65,13.65,13.65,50
1997-01-29,13.5,13.5,13.5,13.5,200
1997-02-03,12.75,12.7525,12.75,12.7525,100
1997-02-04,12.9,12.9,12.9,12.9,200
1997-02-07,12.3,12.3,12.3,12.3,50
1997-02-10,12.5,12.5,12.5,12.5,50
1997-02-11,12.6,12.75,12.6,12.75,300
1997-02-13,12.4,12.4,12.4,12.4,100
1997-02-14,12.4,12.5,12.4,12.4,2000
1997-02-26,11.6,11.6025,11.6,11.6025,100
1997-02-27,11.745,11.745,11.6975,11.6975,300
1997-03-03,12.775,13.15,12.555,12.95,10600
1997-03-04,13.6625,13.6675,12.8975,13.5375,22600
1997-03-05,14.595,14.595,14.55,14.55,100
1997-03-06,13.9,14.25,13.9,14.25,150
1997-03-10,13,13,13,13,200
1997-03-11,12.15,13.875,12.15,13.875,34200
1997-03-14,12.975,12.975,12.975,12.975,50
1997-03-17,13.875,13.875,13.475,13.475,500
1997-03-18,13.05,13.5025,13.05,13.5,500
1997-03-20,12.45,12.5,12.25,12.5,400
1997-03-21,12,12,12,12,100
1997-03-25,11.5625,12.75,11.55,12.75,6200
1997-03-26,11.1,11.75,11.1,11.75,4000
1997-03-27,11.25,11.25,11.25,11.25,50
1997-03-31,12,12,10.75,10.75,250
1997-04-01,12.04,12.25,11,11,350
1997-04-02,11.45,11.4525,11.45,11.4525,100
1997-04-04,11.125,11.975,11.125,11.975,20000
1997-04-07,11,11,10.6,11,250
1997-04-09,11.575,11.7,11.45,11.7,10000
1997-04-11,11.425,11.425,11.25,11.25,100
1997-04-15,11.55,11.55,11.55,11.55,50
1997-04-21,11,11,11,11,50
1997-04-30,10.6625,11.45,10.6625,11.45,20000
1997-05-02,10.55,10.55,10.55,10.55,50
1997-05-05,10.25,10.2525,10.25,10.2525,100
1997-05-06,10.75,10.75,10.75,10.75,50
1997-05-07,11,11.5,10.5,11.4975,10200
1997-05-08,11,11,10.5,10.5,150
1997-05-09,11,11,10.95,10.95,150
1997-05-12,11,11,10.8,10.8,150
1997-05-13,10.555,11,10.25,10.25,200
1997-05-15,10.75,10.75,10.75,10.75,50
1997-05-16,10.65,10.65,10.65,10.65,50
1997-05-20,10.25,10.65,10.15,10.5975,10250
1997-05-21,10.2,10.2,10.2,10.2,200
1997-05-23,10.4,10.4,10.4,10.4,150
1997-05-26,10.075,10.075,10.075,10.075,50
1997-05-27,10.375,10.5,10,10,200
1997-05-29,9.8,10.65,9.8,10.65,17000
1997-06-02,9.75,9.75,9.75,9.75,100
1997-06-03,9.35,10.35,9.35,10.35,10050
1997-06-04,9.7,9.95,9.35,9.35,10550
1997-06-05,10.15,10.15,9.55,9.7,350
1997-06-06,10.59,10.8375,10.45,10.45,500
1997-06-09,10.1175,10.575,10.075,10.55,550
1997-06-10,9.875,10.25,9.8,10.25,950
1997-06-11,10.5675,10.5675,10.5675,10.5675,200
1997-06-12,11.05,11.05,10.75,10.75,500
1997-06-13,11.25,11.4875,11.2,11.2,450
1997-06-16,11.025,11.025,10.775,10.775,250
1997-06-17,11.7725,11.7725,11.4425,11.48,500
1997-06-18,11.7375,11.95,11.55,11.8,800
1997-06-19,11.675,11.8375,11.55,11.55,700
