Date,Close,High,Low,Open,Volume
2006-04-04,14.35,14.75,10,12,41758920
2006-04-05,17.25,17.25,14.05,14.5,5791771
2006-04-07,18.8,20.7,17.5,19.5,9405656
2006-04-10,19.8,21.35,18.7,20.35,7487580
2006-04-12,18.1,20.25,17.6,20,4111461
2006-04-13,17.15,18.6,16.1,18.15,2353144
2006-04-17,16.95,18.45,16.8,17,1131568
2006-04-18,16.1,17.8,16,17.8,1350963
2006-04-19,16.55,17.75,15.05,16.15,3451635
2006-04-20,15.8,17,15.7,16.65,825619
2006-04-21,15.45,16,15.2,16,598944
2006-04-24,18.55,18.55,15,15.5,2393946
2006-04-25,17.3,20,17,20,2744021
2006-04-26,17.8,18.5,17.5,17.5,1048249
2006-04-27,17.5,18.2,17.25,17.9,644968
2006-04-28,17.2,17.5,14,16.95,762168
2006-05-02,17.75,18.45,17.55,17.9,394046
2006-05-03,18,19.3,16.9,17.9,2118328
2006-05-04,17.7,18.45,17.5,17.9,671049
2006-05-05,17.55,18.35,17.5,17.95,510263
2006-05-08,17.4,18.3,17.2,18.3,356175
2006-05-09,17.15,17.5,16.6,16.8,420962
2006-05-10,17.25,17.75,17.15,17.4,528579
2006-05-11,16.7,17.75,16.55,17.75,313614
2006-05-12,16.65,17.6,15.5,16,550606
2006-05-15,16.05,17,15.7,16.9,595786
2006-05-16,15.55,16.25,15,16.05,432699
2006-05-17,16.15,16.85,15.85,16,350327
2006-05-18,14.9,16.05,14.5,16.05,317433
2006-05-19,13.75,15.85,13.4,15.5,400213
2006-05-22,12.15,16.4,11,13.75,478956
2006-05-23,13.4,13.7,11.5,12,879432
2006-05-24,13.7,14.45,13.4,13.7,456473
2006-05-25,13.7,13.85,13.3,13.5,254095
2006-05-26,13.75,14.45,13.65,13.95,409167
2006-05-29,13.85,14.25,13.8,14.25,118489
2006-05-30,13.85,14.15,13.6,13.6,174591
2006-05-31,12.9,13.5,12.4,12.8,493287
2006-06-01,12.55,13.45,12.55,13.25,154517
2006-06-02,12.15,13,10.05,10.05,312975
2006-06-05,12.2,12.55,12.1,12.55,75433
2006-06-06,11.55,12.1,11.1,11.7,268828
2006-06-07,10.3,11.85,10,11.55,248181
2006-06-08,9.35,10.45,8.25,10.45,573865
2006-06-09,10.2,10.3,9.05,9.35,251636
2006-06-12,9.95,10.6,9.6,10.6,301503
2006-06-13,9.2,9.95,8.95,9.5,264716
2006-06-14,9.15,10,9,9.6,132599
2006-06-15,9.6,9.7,9.05,9.65,115454
2006-06-16,10.2,10.6,9.75,9.75,254658
2006-06-19,10.3,10.5,9.85,10.2,103734
2006-06-20,10.15,10.5,10.1,10.15,87521
2006-06-21,10.75,10.9,10.05,10.45,302063
2006-06-22,11.35,11.55,10.4,11,296232
2006-06-23,11.3,11.5,10.75,11.1,222482
2006-06-26,11.85,13.55,11.6,13,519807
2006-06-27,11.75,12.9,10.8,12.9,295365
2006-06-28,11.2,11.5,11.05,11.25,156320
2006-06-29,11.3,11.9,11.2,11.4,267152
2006-06-30,11.65,11.85,11.5,11.5,259188
2006-07-03,11.2,12.2,11.15,12.2,332768
2006-07-04,11.05,11.25,11,11.25,79547
2006-07-05,11,11.25,10.85,10.9,133401
2006-07-06,10.85,11,10.7,10.95,218270
2006-07-07,10.7,11.25,10.45,10.45,282879
2006-07-10,10.3,10.9,10.1,10.9,90747
2006-07-11,10.3,10.6,10,10.6,39714
2006-07-12,10.2,10.4,9.7,9.7,59216
2006-07-13,10.35,10.7,10,10,25992
2006-07-14,10.2,10.35,9.5,9.6,51897
2006-07-17,9.8,10.5,9.5,10.5,101698
2006-07-18,9.75,10.5,9.15,9.15,53474
2006-07-19,9.6,10.4,9.5,10.4,62410
2006-07-20,9.5,9.95,9.45,9.6,76489
2006-07-21,9.4,9.6,9.3,9.45,75558
2006-07-24,9.5,9.8,8.9,9.8,71048
2006-07-25,9.35,9.9,9.25,9.5,44088
2006-07-26,9.25,10.1,9.05,10.1,68987
2006-07-27,9.35,9.6,9.15,9.4,39819
2006-07-28,9.2,9.7,9.15,9.55,58354
2006-07-31,9.45,9.9,9.3,9.55,67234
2006-08-01,9.25,9.6,9.15,9.5,57451
2006-08-02,9.3,9.4,9.15,9.35,32451
2006-08-03,9.25,9.45,9.1,9.15,45224
2006-08-04,9.1,9.35,9.05,9.3,66502
2006-08-07,9.1,9.25,9.05,9.2,16988
2006-08-08,9.15,9.35,9.05,9.35,37289
2006-08-09,9.1,9.2,9,9,50562
2006-08-10,9.15,9.35,9,9.3,39806
2006-08-11,10.1,10.1,9.1,9.25,133882
2006-08-14,10.05,10.55,9.95,10.4,153620
2006-08-16,10.1,10.35,10,10.25,141025
2006-08-17,9.75,10.15,9.7,10,58248
2006-08-18,9.6,9.9,9.6,9.65,24350
2006-08-21,9.65,9.85,9.5,9.6,44355
2006-08-22,9.55,9.8,9.4,9.4,62544
2006-08-23,9.3,9.6,9.1,9.4,45900
2006-08-24,9.35,9.75,8.95,8.95,49313
2006-08-25,9.25,9.75,9.25,9.75,83224
2006-08-28,9.65,9.8,9.2,9.5,105528
2006-08-29,9.55,9.85,9.45,9.75,106285
2006-08-30,9.5,9.7,9.35,9.7,59453
2006-08-31,9.45,9.65,9.35,9.65,60435
2006-09-01,9.45,9.8,9.4,9.8,59193
2006-09-04,9.55,9.6,9.45,9.5,48901
