Date,Close,High,Low,Open,Volume
2006-08-21,21.04,21.95,20,21.6,13777145
2006-08-22,21.005,21.4,21,21.19,3013946
2006-08-23,21,21.1,21,21.1,2045718
2006-08-24,22.035,22.225,21.005,21.005,3382785
2006-08-25,22.505,23.05,22.07,22.5,4535140
2006-08-28,22.23,22.74,22.125,22.58,1072005
2006-08-29,22.335,22.735,22.2,22.4,1385158
2006-08-30,22.14,22.58,22.05,22.45,756615
2006-08-31,21.47,22.28,21.4,22.28,959952
2006-09-01,21.325,21.77,21.255,21.75,444118
2006-09-04,22.14,22.2,21.33,21.49,1028122
2006-09-05,21.905,22.23,21.555,22.23,467217
2006-09-06,22.215,22.5,21.95,22,914871
2006-09-07,21.895,22.075,21.62,22.05,792502
2006-09-08,21.955,22.245,21.81,22,477616
2006-09-11,21.205,22.05,21.06,22.01,410782
2006-09-12,21.285,21.43,21.035,21.2,331743
2006-09-13,21.465,21.75,21.4,21.52,285366
2006-09-14,21.715,21.945,21.425,21.58,459235
2006-09-15,21.555,21.8,21.25,21.8,368626
2006-09-18,21.64,21.835,21.41,21.56,452106
2006-09-19,21.22,21.775,21.11,21.6,215139
2006-09-20,21.315,21.4,21.105,21.28,136247
2006-09-21,21.405,21.65,21.2,21.4,326976
2006-09-22,21.18,21.45,21.025,21.45,346501
2006-09-25,21.18,21.45,21.11,21.2,306464
2006-09-26,21.25,21.35,21.065,21.25,379934
2006-09-27,21.84,21.935,21.2,21.25,1151023
2006-09-28,22.555,22.72,21.565,22,2399872
2006-09-29,23.545,23.895,22.55,23.2,3619210
2006-10-03,23.585,23.99,23.41,23.7,890511
2006-10-04,22.865,23.77,22.705,23.73,518449
2006-10-05,23.14,23.6,23,23,951707
2006-10-06,23.875,23.995,23.265,23.265,1418285
2006-10-09,25.525,25.74,23.405,23.54,3866873
2006-10-10,25.15,25.8,24.565,25.8,1797967
2006-10-11,25.59,26.495,25.235,25.32,3387850
2006-10-12,26.305,26.695,25.5,25.65,2085433
2006-10-13,25.515,26.545,25.33,26.48,1938177
2006-10-16,25.485,26,25.2,25.775,611986
2006-10-17,25.77,26.15,25.225,25.68,1067801
2006-10-18,28.635,29.04,25.8,25.92,6729095
2006-10-19,28.59,29.6,28.005,29.6,4479385
2006-10-20,29.265,30.14,28.505,28.62,3688807
2006-10-23,31.435,31.59,30,30.16,3826756
2006-10-26,31.775,32.47,31.32,31.5,4391167
2006-10-27,30.56,32.095,30.185,31.83,3048124
2006-10-30,31.015,31.99,29.92,30.47,3206182
2006-10-31,30.785,31.4,30.5,31.06,1221581
2006-11-01,33.17,33.49,30.755,30.94,5289134
2006-11-02,34.06,34.71,33.135,33.6,5034323
2006-11-03,34.215,35.09,34,34.2,3093920
2006-11-06,34.645,34.93,33.535,34.37,3472630
2006-11-07,35.33,36.39,34.725,34.89,4751846
2006-11-08,35.445,36.45,34.525,35.6,4696396
2006-11-09,35.565,36.45,35.4,35.71,2733584
2006-11-10,35.315,35.8,35,35.72,1976094
2006-11-13,35.17,35.98,35.04,35.3,2012860
2006-11-14,35.885,36.27,35.22,35.31,3954557
2006-11-15,36.4,36.94,36.105,36.17,3220402
2006-11-16,36.12,37.05,35.7,36.7,1600636
2006-11-17,34.865,36.5,34.12,36.3,1436364
2006-11-20,36.135,36.3,33.05,33.87,3170429
2006-11-21,36.88,37.28,36.035,36.38,2514244
2006-11-22,37.03,37.69,36.555,37.07,2130021
2006-11-23,37.345,37.97,36.5,37.17,2428198
2006-11-24,37.71,38.2,37.02,37.37,2396828
2006-11-27,37.945,38.38,37.47,37.995,1742441
2006-11-28,37.22,38.175,36.6,37.5,1408104
2006-11-29,37.53,37.985,37.25,37.51,796578
2006-11-30,37.02,37.99,36.45,37.64,1742271
2006-12-01,38.29,38.69,35.005,35.005,2376568
2006-12-04,39.435,39.725,38.355,38.63,2559169
2006-12-05,39.465,40.495,38.86,40.01,2607562
2006-12-06,38.83,39.67,38.155,39.64,1789823
2006-12-07,39.38,39.85,38.35,38.94,1502439
2006-12-08,38.5,39.6,38.11,39.35,733885
2006-12-11,35.95,38.675,34.62,38.55,2267123
2006-12-12,31.695,36.49,29.815,35.86,3580245
2006-12-13,33.375,34.075,30.2,32,4035219
2006-12-14,35.415,35.68,33.5,33.7,2455198
2006-12-15,35.37,36.095,35,35,1286456
2006-12-18,36.06,36.295,33.61,35.58,2373689
2006-12-19,35.275,36.74,34.77,36.25,2119464
2006-12-20,34.155,36.095,33.715,35.48,2120756
2006-12-21,34.38,34.84,33.525,34.1,1152502
2006-12-22,34.645,35.05,34.265,34.5,746262
2006-12-26,35.645,35.93,34.52,34.7,936719
2006-12-27,35.68,36.245,35.51,35.9,839920
2006-12-28,35.135,35.905,34.835,35.905,1247577
2006-12-29,35.6,36.075,35.255,35.43,626944
2007-01-02,37.34,37.69,35.5,35.98,1089498
2007-01-03,37.92,38.39,37.51,37.735,1305567
2007-01-04,37.235,38.14,37,38.08,836317
2007-01-05,36.845,37.765,36.5,37.345,933562
2007-01-08,35.82,37.49,35.62,36.81,639278
2007-01-09,35.365,36.57,34.88,36,517553
2007-01-10,34.045,35.5,33.9,35.5,1054981
2007-01-11,35.245,35.4,33.7,34.15,697371
2007-01-12,35.79,36.2,35.515,35.58,660602
2007-01-15,36.495,37.35,35.925,36.1,1038444
2007-01-16,36.865,37.4,36.535,36.84,1172597
2007-01-17,36.595,37.24,36.3,36.98,442809
2007-01-18,36.34,36.9,35.525,36.85,437906
2007-01-19,37.17,37.49,36.015,36.705,905030
2007-01-22,37.375,38.1,37.125,37.5,902379
2007-01-23,37.6,38,37.13,37.495,883585
2007-01-24,37.44,38.145,36.85,37.8,1051529
2007-01-25,36.88,37.865,36.715,37.77,1022602
2007-01-29,38.55,38.89,36.33,37.125,1818593
2007-01-31,37.95,39.13,37.76,38.745,1552713
2007-02-01,38.34,38.59,37.1,37.1,597730
2007-02-02,39.5,39.795,38.2,38.78,1473400
2007-02-05,39.32,40.07,39.06,39.68,949468
2007-02-06,40.865,41.54,39.45,39.64,2595282
2007-02-07,42.305,42.64,40.93,41.1,1945626
2007-02-08,42.925,43.7,42.115,42.4,2953853
2007-02-09,41.7,43.24,40.8,43,1038383
2007-02-12,39.75,41.48,39.215,41.48,968693
2007-02-13,40.055,41.63,37.02,39.4,1366009
2007-02-14,40.64,41.19,37.8,39.1,1270478
2007-02-15,41.855,42.32,40.86,41.44,1775763
2007-02-19,41.305,42.5,40.51,42.17,635115
2007-02-20,40.73,41.585,40.5,41.44,410575
2007-02-21,40.42,41.2,40.115,40.78,433120
2007-02-22,39.125,40.84,38.855,40.34,941966
2007-02-23,38.16,39.5,36.405,39.385,1489263
2007-02-26,38.48,39,37.02,38.025,764491
2007-02-27,37.975,38.7,37.6,38.7,550346
2007-02-28,35.48,39.15,34.2,36.5,1987169
2007-03-01,38.035,38.445,34.9,35,1610203
2007-03-02,36.93,38.28,36.5,38.28,953324
2007-03-05,34.41,36.5,34.01,36,840924
2007-03-06,34.965,35.85,32.705,34.5,1434571
2007-03-07,35.885,36.44,33.665,35.505,1586914
2007-03-08,37.48,37.8,34.8,36.07,827558
2007-03-09,37.11,38.59,36.5,37.6,793824
2007-03-12,37.065,37.79,36.665,37,486271
2007-03-13,38.755,39,36.915,37.215,1319025
2007-03-14,37.005,38,36.725,37,1171811
2007-03-15,36.97,38.3,36.755,37.7,793347
2007-03-16,37.475,37.74,35.9,37.1,913314
2007-03-19,37.645,38.4,37.155,37.9,880579
2007-03-20,37.53,38.3,37.32,37.965,907333
2007-03-21,37.485,37.84,37.105,37.5,465069
2007-03-22,37.685,38.35,37.505,38,855368
2007-03-23,37.215,37.91,37.005,37.5,520001
2007-03-26,36.765,37.5,36.6,37.32,504932
2007-03-28,35.56,36.5,35.3,36.125,421809
2007-03-29,35.625,36.1,34.955,35.3,494229
2007-03-30,36.03,36.47,35.735,36.1,400488
2007-04-02,34.08,35.3,33.8,35.3,434588
2007-04-03,34.005,34.5,32.7,34.025,1623151
2007-04-04,34.175,35.49,34,34.77,799037
2007-04-05,35.465,35.8,33.83,34.47,906657
2007-04-09,36.24,36.495,35.705,35.985,427717
2007-04-10,37.105,37.4,36.05,36.05,856197
2007-04-11,36.495,37.465,36.31,37.465,504661
2007-04-12,36.285,36.99,35.8,36.5,651726
2007-04-13,36.58,36.88,36.25,36.69,497970
2007-04-16,37.865,38,36.7,36.7,678352
2007-04-17,38.1,38.84,37.85,38,861019
2007-04-18,38.745,39.2,38.23,38.485,1003346
2007-04-19,38.285,38.695,37.525,38.5,336168
2007-04-20,39.27,39.595,38.51,38.51,460429
2007-04-23,39.815,40.65,39.4,39.7,685397
2007-04-24,41.01,41.25,37.08,39.5,861186
2007-04-25,41.95,42.14,41,41.1,889885
2007-04-26,40.8,42.3,40.405,41.7,885991
2007-04-27,39.4,40.825,39.215,40,314629
2007-04-30,42.345,42.64,39,39.68,1022790
2007-05-03,44.77,45,42.72,42.8,1379766
2007-05-04,43.585,45.5,43.305,45,654873
2007-05-07,42.735,44.455,42.505,44,705003
2007-05-08,41.945,44.185,41.725,43,512192
2007-05-09,43.67,43.85,41.7,42,761575
2007-05-10,42.93,44.64,42.56,44.2,795922
2007-05-11,43.12,43.9,41.8,42,478747
2007-05-14,43.735,44.2,43.465,43.465,385530
2007-05-15,43.67,43.9,43.01,43.9,222345
2007-05-16,46.445,47,43.6,43.6,1033043
2007-05-17,45.75,47.38,42.57,47,644679
2007-05-18,48.245,48.47,43.015,43.015,1303656
2007-05-21,47.45,48.55,47.225,48.45,1048708
2007-05-22,48.16,48.945,47.5,47.6,874890
2007-05-23,47.385,48.7,46.715,48.2,605824
2007-05-24,49.155,49.7,46.9,47.385,880500
2007-05-25,49.705,50.4,48.1,48.7,1313295
2007-05-28,50.435,51.2,49.7,50,940216
2007-05-29,51.26,51.58,50.515,50.8,774570
2007-05-30,49.58,51.49,49.105,50,1468581
2007-05-31,49.745,50.85,49.25,49.72,713184
2007-06-01,50,50.59,49.615,50.01,580260
2007-06-04,48.825,50.5,48.4,50,443400
2007-06-05,49.925,50.43,48.35,48.825,1060565
2007-06-06,49.105,51,48.825,50.24,1082212
2007-06-07,49.405,49.94,48.5,48.8,829317
2007-06-08,50.825,51.655,48.6,48.6,2109144
2007-06-11,51.27,52.4,50.855,51.9,1768484
2007-06-12,52.345,53.09,49.7,50,1297857
2007-06-13,53.28,54.2,52.1,52.1,1655075
2007-06-14,54.145,54.5,53.4,53.79,1442486
2007-06-15,56.415,57.295,54.04,54.3,1973552
2007-06-18,56.415,57.74,55.825,56.415,1270860
2007-06-19,58.375,59.205,56.4,57.2,1017168
2007-06-20,58.685,59.65,58.03,59,1832293
2007-06-21,60.02,60.425,58.515,58.685,1016259
2007-06-22,61.64,61.84,59.95,60.1,1176699
2007-06-25,65.095,66.44,60.76,61.64,2452540
2007-06-26,69.095,69.55,65.615,67.2,5176489
2007-06-27,70.24,74.47,68.5,69.6,8875679
2007-06-28,70.765,72.2,70.01,71,3283610
2007-06-29,74.89,75.4,70.8,71.3,3924023
2007-07-02,76.605,77.945,72.1,76.2,4795024
2007-07-03,77.24,78.4,76.8,78,2291472
2007-07-04,76.095,77.89,75.61,77.49,1481629
2007-07-05,75.285,76.76,73.01,76.52,2001293
2007-07-06,74.145,75.89,73.9,74.605,1896412
2007-07-09,74.525,75.17,74.2,74.3,696230
2007-07-10,79.305,79.7,74.6,74.6,3284114
2007-07-11,83.735,84.39,79.2,82,4434280
2007-07-12,95.095,97.99,84.025,85.205,12300436
2007-07-13,90.975,100.9,90.13,96.5,10504434
2007-07-16,88.73,93.3,86.5,91.5,6907559
2007-07-17,89.665,90.68,87.2,89.8,4603058
2007-07-18,86.785,89.47,84.87,89.47,3655563
2007-07-19,85.54,87.6,85.115,86.6,1406914
2007-07-20,88.15,89.6,85.2,85.9,3191707
2007-07-23,96.02,96.7,88.1,88.77,5770275
2007-07-24,93,99.25,90.105,90.105,4465869
2007-07-25,93.055,94.845,90.51,91.77,4432268
2007-07-26,92.62,94.8,91.9,93.9,3060281
2007-07-27,87.03,91.5,85.845,91,2978593
2007-07-30,82.115,87.5,81.265,86.5,3923203
2007-07-31,83.895,84.35,81,82.5,2633264
2007-08-01,75.66,83,75,83,3007219
2007-08-02,76.745,79.87,74,76.5,3786611
2007-08-03,83.22,84.38,78.055,79.4,5181731
2007-08-06,82.87,83.6,77.515,82.07,3977577
2007-08-07,83.985,93.725,82.9,93.725,3105852
2007-08-08,85.535,86.3,83.81,84.9,2379104
2007-08-09,82.915,87.795,82.34,86.47,2978160
2007-08-10,82.635,83.4,77.27,80,3036609
2007-08-13,82.925,85.5,82,83.9,1584702
2007-08-14,80.5,84.84,80.05,84.84,1977995
2007-08-16,75.6,78,74.7,75,1979361
2007-08-17,76.29,78.77,72.75,75,2864104
2007-08-20,76.715,84.88,75.22,84.88,1335200
2007-08-21,72.66,77.4,72.2,77.4,1773224
2007-08-22,72.425,74.5,66.9,73.1,5157050
2007-08-23,70.325,77.3,69.645,77.3,3290620
2007-08-24,72.18,73.8,69.825,70.6,2273775
2007-08-27,74.835,75.38,73,73.24,1457486
2007-08-28,79.69,80.2,73.01,73.01,3726035
2007-08-29,82.44,82.785,75,75,5043606
2007-08-30,80.535,85.4,79.835,83.5,7564635
2007-08-31,80.745,82.69,80.26,81,3593492
2007-09-03,80.735,82.3,80.24,82.3,2125245
2007-09-04,80.555,81.77,80,80,2196113
2007-09-05,79.2,81.4,78.77,80.95,1998407
2007-09-06,81.195,81.98,78.2,78.44,4359530
2007-09-07,77.94,81.5,77.605,79.8,2635103
2007-09-10,78.43,79.42,76.6,77,2290729
2007-09-11,77.735,80.77,77.01,79.2,2689805
2007-09-12,78.875,79.545,77.68,78.8,1909990
2007-09-13,78.525,79.5,77.845,79.29,2271166
2007-09-14,76.765,79.8,76.3,79.34,2500892
