Date,Close,High,Low,Open,Volume
1995-01-02,72,72,71.5,71.5,400
1995-01-03,72.5,73.75,72.5,73.45,750
1995-01-04,72,72,71,71,600
1995-01-05,71.05,71.05,71.05,71.05,200
1995-01-06,70,70,70,70,600
1995-01-09,67.1,70,65.5,66,1300
1995-01-10,66.25,66.25,66,66,200
1995-01-11,66.15,66.15,66.15,66.15,400
1995-01-12,65,66,62,66,600
1995-01-13,66.5,66.5,66.05,66.05,200
1995-01-16,70,70,69.75,69.75,300
1995-01-17,63.25,68,63.25,68,200
1995-01-18,66.25,70,66.25,69.05,500
1995-01-19,68,69,67,69,1550
1995-01-20,70,71.5,70,71,1550
1995-01-23,64.25,65,64,65,5500
1995-01-24,63.75,64,62.25,64,1550
1995-01-25,63,64,63,64,500
1995-01-27,65,65,63.5,63.5,200
1995-01-30,67,67,63.5,63.5,3850
1995-01-31,70.45,72,65,67,1650
1995-02-01,66,69,65,69,2350
1995-02-02,64.6,64.6,64,64,200
1995-02-03,67.5,67.5,65,65,500
1995-02-06,67,67,65.2,65.25,4450
1995-02-07,68.35,68.75,65,65,6800
1995-02-08,67,67,67,67,1600
1995-02-09,68.3,68.5,67.5,67.5,1200
1995-02-10,65.5,65.5,65.1,65.25,2150
1995-02-13,65.5,66,64.75,64.75,950
1995-02-14,60.5,65.25,60,65.25,1950
1995-02-15,61.8,61.8,61.8,61.8,50
1995-02-16,61.45,61.75,61.4,61.75,300
1995-02-17,61,61,60,61,600
1995-02-20,58.95,60.75,58,58,1100
1995-02-21,55.5,60.75,55.5,60.75,700
1995-02-22,55,59,55,59,700
1995-02-23,60,60,60,60,100
1995-02-24,60,65.8,60,65.8,1100
1995-02-28,60,63,59.75,60,450
1995-03-01,63,64,61.6,61.6,400
1995-03-02,62.55,62.6,61,61,550
1995-03-03,62.75,63.2,62,62,1050
1995-03-06,63,64,62,62,850
1995-03-07,63,63.5,62.5,62.5,250
1995-03-08,62.5,63,62.5,63,1600
1995-03-09,62,64.5,62,62.55,2000
1995-03-10,64.5,64.5,63.4,64,550
1995-03-13,62.1,63.5,61,61.5,1650
1995-03-14,67.45,69.5,62,63,2800
1995-03-15,67,70,66,66,4050
1995-03-16,66,66,62.05,65.95,2750
1995-03-20,62.75,62.75,61,62.2,900
1995-03-21,61.55,63,60,60,1650
1995-03-22,63,63,62,63,450
1995-03-23,63.75,64,63.5,64,600
1995-03-24,64,64,61,61,800
1995-03-27,62,63,62,63,300
1995-03-28,59.8,61.8,57.5,57.5,2300
1995-03-29,63,63,61.8,61.9,450
1995-03-30,57.5,61.75,57.5,61.25,350
1995-03-31,59.5,59.5,59.5,59.5,250
1995-04-03,61,61,60,60,2250
1995-04-04,60.5,61,60,61,500
1995-04-05,61,61,60,60,300
1995-04-06,64.75,64.75,61,61,1350
1995-04-07,62.4,63.75,62,63.75,450
1995-04-10,60.5,60.5,59,60,1100
1995-04-11,60,60,58.5,58.5,250
1995-04-12,61.5,62.5,60.5,62.5,100
1995-04-17,59.35,60.75,59,60.75,2450
1995-04-18,56.3,59,56,56,2500
1995-04-19,57,58.5,57,58.5,450
1995-04-20,56.65,57,56.6,57,800
1995-04-21,56.5,57,56,56.25,700
1995-04-24,56,60,52,56,2450
1995-04-25,53.6,56.95,52,52,500
1995-04-26,54.5,55.5,54,54,800
1995-04-27,54.75,55.5,54.5,55,2400
1995-04-28,54,54.8,54,54.4,1400
1995-05-02,53.75,54.5,50,52,3050
1995-05-03,53.55,54,53,53,1500
1995-05-04,55.25,56,54,54,700
1995-05-05,58,58,57.05,58,2200
1995-05-08,58.1,58.1,57.5,58,2750
1995-05-09,61,61,58,58,5550
1995-05-10,60.5,60.5,60,60,1650
1995-05-12,59,59,59,59,2200
1995-05-15,59.5,59.5,58.5,59,3150
1995-05-16,57.5,59,57.5,58,15500
1995-05-17,58,59,58,58,1100
1995-05-18,58,59,58,59,2100
1995-05-19,58.05,60.1,58.05,60.1,1100
1995-05-22,57.5,58,57.5,58,1200
1995-05-23,55.05,57,55.05,57,2250
1995-05-24,57.5,58,57.5,58,150
