Date,Close,High,Low,Open,Volume
2024-05-23,306,314,280,286,54121524
2024-05-24,300.2,308,297,307.8,6397582
2024-05-27,300.15,302,285,300.25,3414127
2024-05-28,300.1,304.9,295.55,297.15,1377345
2024-05-29,301.25,302.2,297.3,298.7,1479134
2024-05-30,298.4,303,291.6,299,2916705
2024-05-31,298.4,300.35,295,296.9,984823
2024-06-03,301.1,306,299.25,300.25,706028
2024-06-04,297.2,301.9,278.55,291.5,982994
2024-06-05,301.95,303.6,283.05,295,732622
2024-06-06,334.65,335,300.45,304,1773723
2024-06-07,339.5,363.9,334.75,335.05,2147985
2024-06-10,344.6,353.8,335.05,339.5,570110
2024-06-11,337.6,350.35,335.05,347,259022
2024-06-12,341.5,372,338.05,366,2694647
2024-06-13,340.8,347.35,338,347.35,474789
2024-06-14,338.95,344.45,338.05,344.45,830449
2024-06-18,334.35,341.25,329.5,339.8,718819
2024-06-19,330.35,342.65,320,328,1337509
2024-06-20,321.05,330.35,310.35,330,1280100
2024-06-21,334.1,336,320,321.05,609225
2024-06-24,332.45,340,328.8,330,932002
2024-06-25,331,335.5,326.1,332.9,259740
2024-06-26,335.05,341.55,329.7,331.25,403040
2024-06-27,332.75,339.95,328,336,282421
2024-06-28,338,340,329.75,334.7,575207
2024-07-01,351,357.9,341,341,2741840
2024-07-02,341.25,352.5,335.1,352,356420
2024-07-03,345.4,347.45,341.2,343,202987
2024-07-04,343.15,346.55,341.5,345.5,301041
2024-07-05,347.5,355,338.6,341.05,339758
2024-07-08,347.35,350.05,342,347.5,156448
2024-07-09,346.35,367,341,352.9,534746
2024-07-10,362.85,375,345.1,348.95,1630485
2024-07-11,364.45,371.5,361.2,366.9,515489
2024-07-12,341.8,365.9,340.1,364.45,1930034
2024-07-15,337.55,346.95,334.25,341.05,349603
2024-07-16,339.4,341.9,334.55,341,228749
2024-07-18,340.4,346.6,335.45,339.45,1401791
2024-07-19,344.15,363.95,341,355,1029064
2024-07-22,343.95,350.3,338.65,344.15,297719
2024-07-23,338.8,346.95,324.85,346.95,335363
