Date,Close,High,Low,Open,Volume
2005-04-27,314.8,334.45,250,250,6308564
2005-04-28,314.975,332,294.575,310,3697296
2005-04-29,320.8,327.4,312.5,322.75,2976342
2005-05-02,313.2,326.725,310.075,322,1141547
2005-05-03,308.275,315.975,305.5,312.9,1351774
2005-05-04,305.85,310.625,300.5,305,582255
2005-05-05,329.075,336.2,307.5,308.1,2491576
2005-05-06,340.025,343.75,330.675,332.925,2140464
2005-05-09,338.8,344.475,334.075,338.5,854976
2005-05-10,333.15,342.45,328.775,337.625,799610
2005-05-11,326.4,332.3,323.55,331.5,426208
2005-05-12,330,337.25,327.05,328.9,531988
2005-05-13,328.675,334.325,327.625,331,253367
2005-05-16,346.2,349.5,330,330,635492
2005-05-17,342.425,357.5,338.125,349,889910
2005-05-18,342,345.95,337.1,338.5,490751
2005-05-19,342.95,352.5,340.5,346.9,361443
2005-05-20,341.2,346,338.825,344.975,195006
2005-05-23,340.025,344,337.75,343,128336
2005-05-24,337.975,343.5,337.025,341.5,71882
2005-05-25,338.725,341.5,312,338,92432
2005-05-26,336.75,341.5,334.125,339.9,85235
2005-05-27,329.05,338.975,325.55,337,80266
2005-05-30,321.825,331.45,320.5,329.45,67498
2005-05-31,322.325,325,318,322.45,75858
2005-06-01,326.85,335.925,323.5,324.5,170990
2005-06-02,323.575,329.75,322.5,328.7,74756
2005-06-03,322.75,327,321.25,325.925,54148
2005-06-06,328.975,335.95,327,327,93056
2005-06-07,342.875,347.5,328.025,331.25,174446
2005-06-08,348.4,353,345.5,347.425,153357
2005-06-09,342.975,350,338.675,349,133070
2005-06-10,331.425,347.5,328,345,66876
2005-06-13,338.425,340.95,322.525,333.3,45037
2005-06-14,332,338.5,329,336.05,39527
2005-06-15,327.5,339.4,323.05,335,64188
2005-06-16,320.175,332.4,317.55,332.4,58429
2005-06-17,317.275,323.5,311.5,320.05,147727
2005-06-20,308.6,323,305.525,320,51072
2005-06-21,297.925,313.3,295.675,310,82053
2005-06-22,307.075,312,299.75,299.95,148902
2005-06-23,301.675,310.975,300.75,310.975,36589
2005-06-24,297.125,304.5,295,303.85,36798
2005-06-27,296.7,303.475,294.3,299.25,28659
2005-06-28,287.175,297.5,282.025,291,28344
2005-06-29,292.975,295.425,285.15,287.5,27776
2005-06-30,289.725,295.4,288.125,294.5,14988
2005-07-01,287.125,292.5,284.25,287.625,17881
2005-07-04,285.175,291.575,284.125,288,53374
2005-07-05,283.3,288.675,282.5,286.75,44144
2005-07-06,288.3,291,283.75,286,29474
2005-07-07,284.25,290,266.15,282.625,12966
2005-07-08,284.675,289.75,283.5,285,11553
2005-07-11,283.25,288.875,282,285,9492
2005-07-12,282.1,286,280.55,286,24309
2005-07-13,287.775,292.2,282.5,282.5,69347
2005-07-14,277.475,291.5,276,291,24232
2005-07-15,276.575,283.4,275.5,281.35,21547
2005-07-18,289.575,292.45,277.75,277.75,17430
2005-07-19,285.3,296.2,283.075,292,21378
2005-07-20,279.675,288.5,277.55,285.025,11591
2005-07-21,279.95,285.75,278,285.5,61312
