Date,Close,High,Low,Open,Volume
2006-04-25,5.1575,6.79,4.75,4.75,15454057
2006-04-26,5.595,5.9,5.175,5.275,4843287
2006-04-27,6.2025,6.35,5.65,5.7,5115764
2006-04-28,5.89,6.09,5.2775,5.8,1489907
2006-05-02,6.305,6.7,6.2775,6.475,1152131
2006-05-03,5.995,6.37,5.94,6.325,685106
2006-05-04,5.8425,6.115,5.6375,5.9625,808560
2006-05-05,6.115,6.385,5.825,5.85,1502360
2006-05-08,6.1525,6.28,6.0925,6.2,453765
2006-05-09,5.9725,6.22,5.825,6.125,226841
2006-05-10,5.83,6.045,5.8,6.0375,169963
2006-05-11,5.9075,6.06,5.675,5.89,320507
2006-05-12,5.77,5.9,5.7425,5.81,161124
2006-05-15,5.42,5.875,5.3025,5.81,148395
2006-05-16,5.205,5.5,4.95,5.5,135626
2006-05-17,5.5475,5.64,5.24,5.24,213221
2006-05-18,4.9025,5.45,4.8025,5.45,178391
2006-05-19,4.4925,5.1125,4.4,4.75,135885
2006-05-22,3.85,4.695,3.6125,4.505,106063
2006-05-23,4.2825,4.39,3.5,3.8875,94992
2006-05-24,4.185,4.57,4.0175,4.44,92614
2006-05-25,4.2125,4.3,3.575,4.05,70465
2006-05-26,4.39,4.445,4.2,4.2,62701
2006-05-29,4.37,4.55,4.325,4.4075,26497
2006-05-30,4.63,4.84,4.375,4.49,152805
2006-05-31,4.295,4.55,4.1,4.55,83380
2006-06-01,4.165,4.785,4.0775,4.42,53030
2006-06-02,4.02,4.27,3.825,4.27,59756
2006-06-05,3.8325,4.17,3.8,4.0125,50306
2006-06-06,3.605,3.75,3.5075,3.625,41865
2006-06-07,2.9825,3.665,2.925,3.425,107911
2006-06-08,2.65,3.05,2.5025,2.6125,100997
2006-06-09,2.7525,2.95,2.6,2.6,111345
2006-06-12,2.595,3.195,2.515,3,61381
2006-06-13,2.4425,2.6,2.4,2.505,55903
2006-06-14,2.3725,2.62,2.325,2.49,82361
2006-06-15,2.6825,2.775,2.4275,2.525,101154
2006-06-16,3.2125,3.22,2.7125,2.8,141124
2006-06-19,3.73,3.8225,2.9,3.35,284357
2006-06-20,3.6,3.8375,3.495,3.65,173318
2006-06-21,3.9075,4.075,3.65,3.65,272032
2006-06-22,4.165,4.26,3.995,3.995,203540
2006-06-23,4.0525,4.17,4,4.04,102440
2006-06-26,3.7175,4.17,3.7025,4.05,63451
2006-06-27,3.59,3.85,3.4125,3.7175,64357
2006-06-28,3.535,3.7,3.425,3.605,43487
2006-06-29,3.555,3.67,3.54,3.605,28090
2006-06-30,3.6525,3.9,3.6025,3.65,36912
2006-07-03,3.59,3.7425,3.565,3.635,15467
2006-07-04,3.53,3.66,3.45,3.62,20179
2006-07-05,3.5275,3.585,3.435,3.435,13337
2006-07-06,3.47,3.545,3.4375,3.5125,17702
2006-07-07,3.375,3.59,3.3025,3.59,18286
2006-07-10,3.24,3.49,3.2,3.3,16232
